Date,Time,Year,Month,Day,Shape,Spacing_cm,Connection,Irradiance_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-04-01,05:15,2024,April,1,Flat,62,Se-P,23.84,26.55,31.14,81.383,0.035,65.107,0.03,1.93,0.67
2024-04-01,05:30,2024,April,1,Flat,62,Se-P,47.67,26.98,32.17,81.057,0.071,64.846,0.059,3.849,0.67
2024-04-01,05:45,2024,April,1,Flat,62,Se-P,71.51,27.41,33.2,80.731,0.106,64.584,0.089,5.756,0.67
2024-04-01,06:00,2024,April,1,Flat,62,Se-P,95.35,27.85,34.23,80.404,0.142,64.323,0.119,7.652,0.67
2024-04-01,06:15,2024,April,1,Flat,62,Se-P,152.19,28.51,36.31,79.745,0.227,63.796,0.19,12.138,0.67
2024-04-01,06:30,2024,April,1,Flat,62,Se-P,209.04,29.17,38.4,79.086,0.313,63.269,0.262,16.568,0.67
2024-04-01,06:45,2024,April,1,Flat,62,Se-P,265.88,29.83,40.48,78.427,0.399,62.742,0.334,20.941,0.67
2024-04-01,07:00,2024,April,1,Flat,62,Se-P,322.73,30.49,42.56,77.768,0.485,62.215,0.406,25.256,0.67
2024-04-01,07:15,2024,April,1,Flat,62,Se-P,383.96,31.19,44.79,77.061,0.578,61.649,0.484,29.84,0.67
2024-04-01,07:30,2024,April,1,Flat,62,Se-P,445.19,31.89,47.02,76.354,0.672,61.083,0.562,34.356,0.67
2024-04-01,07:45,2024,April,1,Flat,62,Se-P,506.42,32.6,49.26,75.647,0.766,60.517,0.641,38.804,0.67
2024-04-01,08:00,2024,April,1,Flat,62,Se-P,567.65,33.3,51.49,74.94,0.86,59.952,0.72,43.183,0.67
2024-04-01,08:15,2024,April,1,Flat,62,Se-P,614.22,33.94,53.3,74.368,0.932,59.495,0.781,46.45,0.67
2024-04-01,08:30,2024,April,1,Flat,62,Se-P,660.78,34.58,55.1,73.797,1.005,59.038,0.841,49.675,0.67
2024-04-01,08:45,2024,April,1,Flat,62,Se-P,707.35,35.22,56.9,73.226,1.077,58.581,0.902,52.857,0.67
2024-04-01,09:00,2024,April,1,Flat,62,Se-P,753.92,35.86,58.71,72.654,1.15,58.124,0.963,55.995,0.67
2024-04-01,09:15,2024,April,1,Flat,62,Se-P,786.99,36.36,60.03,72.235,1.202,57.788,1.007,58.188,0.67
2024-04-01,09:30,2024,April,1,Flat,62,Se-P,820.06,36.86,61.36,71.816,1.254,57.453,1.051,60.358,0.67
2024-04-01,09:45,2024,April,1,Flat,62,Se-P,853.13,37.35,62.68,71.397,1.307,57.117,1.094,62.505,0.67
2024-04-01,10:00,2024,April,1,Flat,62,Se-P,886.2,37.85,64.0,70.977,1.359,56.782,1.138,64.629,0.67
2024-04-01,10:15,2024,April,1,Flat,62,Se-P,892.86,38.24,64.56,70.802,1.37,56.641,1.147,64.989,0.67
2024-04-01,10:30,2024,April,1,Flat,62,Se-P,899.53,38.62,65.11,70.626,1.381,56.501,1.157,65.346,0.67
2024-04-01,10:45,2024,April,1,Flat,62,Se-P,906.19,39.01,65.67,70.451,1.392,56.361,1.166,65.702,0.67
2024-04-01,11:00,2024,April,1,Flat,62,Se-P,912.85,39.4,66.22,70.275,1.403,56.22,1.175,66.055,0.67
2024-04-01,11:15,2024,April,1,Flat,62,Se-P,897.73,39.63,66.08,70.321,1.379,56.257,1.155,64.994,0.67
2024-04-01,11:30,2024,April,1,Flat,62,Se-P,882.6,39.87,65.94,70.366,1.356,56.293,1.136,63.931,0.67
2024-04-01,11:45,2024,April,1,Flat,62,Se-P,867.48,40.11,65.79,70.411,1.333,56.329,1.116,62.867,0.67
2024-04-01,12:00,2024,April,1,Flat,62,Se-P,852.35,40.34,65.65,70.457,1.309,56.365,1.096,61.802,0.67
2024-04-01,12:15,2024,April,1,Flat,62,Se-P,830.83,40.43,65.2,70.6,1.276,56.48,1.068,60.339,0.67
2024-04-01,12:30,2024,April,1,Flat,62,Se-P,809.32,40.51,64.74,70.744,1.242,56.595,1.04,58.87,0.67
2024-04-01,12:45,2024,April,1,Flat,62,Se-P,787.8,40.59,64.29,70.887,1.208,56.71,1.012,57.396,0.67
2024-04-01,13:00,2024,April,1,Flat,62,Se-P,766.28,40.68,63.84,71.03,1.175,56.824,0.984,55.917,0.67
2024-04-01,13:15,2024,April,1,Flat,62,Se-P,723.54,40.6,62.69,71.395,1.108,57.116,0.928,53.01,0.67
2024-04-01,13:30,2024,April,1,Flat,62,Se-P,680.81,40.52,61.54,71.759,1.042,57.407,0.872,50.078,0.67
2024-04-01,13:45,2024,April,1,Flat,62,Se-P,638.07,40.43,60.38,72.124,0.975,57.699,0.817,47.12,0.67
2024-04-01,14:00,2024,April,1,Flat,62,Se-P,595.33,40.35,59.23,72.488,0.909,57.991,0.761,44.137,0.67
2024-04-01,14:15,2024,April,1,Flat,62,Se-P,539.22,40.07,57.55,73.02,0.822,58.416,0.688,40.205,0.67
2024-04-01,14:30,2024,April,1,Flat,62,Se-P,483.11,39.8,55.87,73.552,0.735,58.842,0.616,36.225,0.67
2024-04-01,14:45,2024,April,1,Flat,62,Se-P,426.99,39.52,54.19,74.084,0.649,59.267,0.543,32.196,0.67
2024-04-01,15:00,2024,April,1,Flat,62,Se-P,370.88,39.24,52.51,74.616,0.562,59.693,0.471,28.12,0.67
2024-04-01,15:15,2024,April,1,Flat,62,Se-P,323.71,38.75,50.84,75.145,0.49,60.116,0.41,24.677,0.67
2024-04-01,15:30,2024,April,1,Flat,62,Se-P,276.54,38.26,49.17,75.674,0.418,60.539,0.35,21.195,0.67
2024-04-01,15:45,2024,April,1,Flat,62,Se-P,229.37,37.77,47.5,76.202,0.346,60.962,0.29,17.674,0.67
2024-04-01,16:00,2024,April,1,Flat,62,Se-P,182.2,37.28,45.84,76.731,0.275,61.385,0.23,14.113,0.67
2024-04-01,16:15,2024,April,1,Flat,62,Se-P,146.02,36.59,44.24,77.236,0.22,61.788,0.184,11.368,0.67
2024-04-01,16:30,2024,April,1,Flat,62,Se-P,109.85,35.9,42.65,77.74,0.165,62.192,0.138,8.594,0.67
2024-04-01,16:45,2024,April,1,Flat,62,Se-P,73.67,35.21,41.05,78.245,0.11,62.596,0.093,5.792,0.67
2024-04-01,17:00,2024,April,1,Flat,62,Se-P,37.5,34.52,39.46,78.75,0.056,63.0,0.047,2.963,0.67
2024-04-01,17:15,2024,April,1,Flat,62,Se-P,28.12,33.9,38.6,79.021,0.042,63.216,0.035,2.228,0.67
2024-04-01,17:30,2024,April,1,Flat,62,Se-P,18.75,33.28,37.75,79.291,0.028,63.433,0.023,1.489,0.67
2024-04-01,17:45,2024,April,1,Flat,62,Se-P,9.38,32.66,36.89,79.562,0.014,63.649,0.012,0.746,0.67
2024-04-02,05:15,2024,April,2,Flat,62,Se-P,22.74,27.26,31.83,81.165,0.034,64.932,0.028,1.838,0.67
2024-04-02,05:30,2024,April,2,Flat,62,Se-P,45.48,27.59,32.73,80.88,0.068,64.704,0.057,3.666,0.67
2024-04-02,05:45,2024,April,2,Flat,62,Se-P,68.23,27.93,33.63,80.594,0.102,64.475,0.085,5.485,0.67
2024-04-02,06:00,2024,April,2,Flat,62,Se-P,90.97,28.26,34.53,80.309,0.136,64.247,0.114,7.294,0.67
2024-04-02,06:15,2024,April,2,Flat,62,Se-P,144.72,28.89,36.51,79.683,0.216,63.747,0.181,11.535,0.67
2024-04-02,06:30,2024,April,2,Flat,62,Se-P,198.46,29.52,38.49,79.058,0.297,63.246,0.249,15.725,0.67
2024-04-02,06:45,2024,April,2,Flat,62,Se-P,252.2,30.16,40.46,78.432,0.378,62.745,0.317,19.864,0.67
2024-04-02,07:00,2024,April,2,Flat,62,Se-P,305.95,30.79,42.44,77.806,0.459,62.245,0.385,23.952,0.67
2024-04-02,07:15,2024,April,2,Flat,62,Se-P,366.14,31.47,44.63,77.114,0.551,61.691,0.461,28.469,0.67
2024-04-02,07:30,2024,April,2,Flat,62,Se-P,426.33,32.16,46.81,76.421,0.643,61.137,0.538,32.922,0.67
2024-04-02,07:45,2024,April,2,Flat,62,Se-P,486.51,32.84,49.0,75.728,0.735,60.583,0.616,37.309,0.67
2024-04-02,08:00,2024,April,2,Flat,62,Se-P,546.7,33.52,51.19,75.036,0.828,60.029,0.694,41.63,0.67
2024-04-02,08:15,2024,April,2,Flat,62,Se-P,591.48,34.14,52.93,74.484,0.897,59.587,0.752,44.785,0.67
2024-04-02,08:30,2024,April,2,Flat,62,Se-P,636.27,34.77,54.67,73.933,0.967,59.146,0.81,47.9,0.67
2024-04-02,08:45,2024,April,2,Flat,62,Se-P,681.05,35.39,56.41,73.381,1.037,58.705,0.868,50.975,0.67
2024-04-02,09:00,2024,April,2,Flat,62,Se-P,725.83,36.01,58.16,72.829,1.107,58.263,0.927,54.009,0.67
2024-04-02,09:15,2024,April,2,Flat,62,Se-P,760.71,36.52,59.54,72.392,1.162,57.913,0.973,56.34,0.67
2024-04-02,09:30,2024,April,2,Flat,62,Se-P,795.58,37.03,60.92,71.954,1.216,57.563,1.019,58.645,0.67
2024-04-02,09:45,2024,April,2,Flat,62,Se-P,830.46,37.54,62.3,71.517,1.271,57.213,1.065,60.924,0.67
2024-04-02,10:00,2024,April,2,Flat,62,Se-P,865.33,38.05,63.68,71.079,1.327,56.863,1.111,63.178,0.67
2024-04-02,10:15,2024,April,2,Flat,62,Se-P,886.03,38.39,64.54,70.807,1.359,56.645,1.139,64.495,0.67
2024-04-02,10:30,2024,April,2,Flat,62,Se-P,906.73,38.73,65.4,70.534,1.392,56.428,1.166,65.802,0.67
2024-04-02,10:45,2024,April,2,Flat,62,Se-P,927.42,39.08,66.26,70.262,1.425,56.21,1.194,67.1,0.67
2024-04-02,11:00,2024,April,2,Flat,62,Se-P,948.12,39.42,67.12,69.99,1.458,55.992,1.221,68.388,0.67
2024-04-02,11:15,2024,April,2,Flat,62,Se-P,939.01,39.62,67.1,69.997,1.444,55.998,1.21,67.737,0.67
2024-04-02,11:30,2024,April,2,Flat,62,Se-P,929.91,39.83,67.08,70.004,1.43,56.003,1.198,67.085,0.67
2024-04-02,11:45,2024,April,2,Flat,62,Se-P,920.81,40.04,67.06,70.011,1.416,56.009,1.186,66.434,0.67
2024-04-02,12:00,2024,April,2,Flat,62,Se-P,911.7,40.24,67.03,70.019,1.402,56.015,1.174,65.782,0.67
2024-04-02,12:15,2024,April,2,Flat,62,Se-P,876.41,40.29,66.2,70.282,1.347,56.226,1.128,63.423,0.67
2024-04-02,12:30,2024,April,2,Flat,62,Se-P,841.12,40.34,65.37,70.546,1.292,56.437,1.082,61.048,0.67
2024-04-02,12:45,2024,April,2,Flat,62,Se-P,805.82,40.39,64.54,70.809,1.236,56.647,1.035,58.658,0.67
2024-04-02,13:00,2024,April,2,Flat,62,Se-P,770.53,40.44,63.7,71.073,1.181,56.858,0.989,56.253,0.67
2024-04-02,13:15,2024,April,2,Flat,62,Se-P,740.53,40.37,62.88,71.333,1.134,57.067,0.95,54.218,0.67
2024-04-02,13:30,2024,April,2,Flat,62,Se-P,710.53,40.3,62.06,71.594,1.088,57.275,0.911,52.17,0.67
2024-04-02,13:45,2024,April,2,Flat,62,Se-P,680.53,40.22,61.24,71.854,1.041,57.483,0.872,50.109,0.67
2024-04-02,14:00,2024,April,2,Flat,62,Se-P,650.53,40.15,60.41,72.115,0.994,57.692,0.833,48.036,0.67
2024-04-02,14:15,2024,April,2,Flat,62,Se-P,591.76,39.91,58.7,72.657,0.903,58.126,0.756,43.952,0.67
2024-04-02,14:30,2024,April,2,Flat,62,Se-P,532.99,39.66,56.98,73.2,0.812,58.56,0.68,39.817,0.67
