Date,Time,Year,Month,Day,Shape,Spacing_cm,Connection,Irradiance_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-04-01,05:15,2024,April,1,Flat,93,TCT,23.84,26.55,24.14,83.6,0.038,66.88,0.032,2.107,0.67
2024-04-01,05:30,2024,April,1,Flat,93,TCT,47.67,26.98,25.17,83.274,0.075,66.619,0.063,4.202,0.67
2024-04-01,05:45,2024,April,1,Flat,93,TCT,71.51,27.41,26.2,82.947,0.113,66.358,0.095,6.284,0.67
2024-04-01,06:00,2024,April,1,Flat,93,TCT,95.35,27.85,27.23,82.621,0.151,66.097,0.126,8.355,0.67
2024-04-01,06:15,2024,April,1,Flat,93,TCT,152.19,28.51,29.31,81.962,0.241,65.569,0.202,13.256,0.67
2024-04-01,06:30,2024,April,1,Flat,93,TCT,209.04,29.17,31.4,81.303,0.332,65.042,0.278,18.099,0.67
2024-04-01,06:45,2024,April,1,Flat,93,TCT,265.88,29.83,33.48,80.644,0.423,64.515,0.355,22.881,0.67
2024-04-01,07:00,2024,April,1,Flat,93,TCT,322.73,30.49,35.56,79.985,0.515,63.988,0.431,27.603,0.67
2024-04-01,07:15,2024,April,1,Flat,93,TCT,383.96,31.19,37.79,79.278,0.614,63.422,0.514,32.621,0.67
2024-04-01,07:30,2024,April,1,Flat,93,TCT,445.19,31.89,40.02,78.57,0.714,62.856,0.598,37.569,0.67
2024-04-01,07:45,2024,April,1,Flat,93,TCT,506.42,32.6,42.26,77.863,0.814,62.291,0.681,42.444,0.67
2024-04-01,08:00,2024,April,1,Flat,93,TCT,567.65,33.3,44.49,77.156,0.914,61.725,0.765,47.248,0.67
2024-04-01,08:15,2024,April,1,Flat,93,TCT,614.22,33.94,46.3,76.585,0.991,61.268,0.83,50.835,0.67
2024-04-01,08:30,2024,April,1,Flat,93,TCT,660.78,34.58,48.1,76.014,1.068,60.811,0.894,54.377,0.67
2024-04-01,08:45,2024,April,1,Flat,93,TCT,707.35,35.22,49.9,75.442,1.145,60.354,0.959,57.873,0.67
