Date,Time,Year,Month,Day,Shape,Spacing_cm,Connection,Irradiance_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-04-01,05:15,2024,April,1,Flat,93,TSSC,23.84,26.55,24.14,83.6,0.039,66.88,0.032,2.166,0.67
2024-04-01,05:30,2024,April,1,Flat,93,TSSC,47.67,26.98,25.17,83.274,0.077,66.619,0.065,4.319,0.67
2024-04-01,05:45,2024,April,1,Flat,93,TSSC,71.51,27.41,26.2,82.947,0.116,66.358,0.097,6.46,0.67
2024-04-01,06:00,2024,April,1,Flat,93,TSSC,95.35,27.85,27.23,82.621,0.155,66.097,0.13,8.589,0.67
2024-04-01,06:15,2024,April,1,Flat,93,TSSC,152.19,28.51,29.31,81.962,0.248,65.569,0.208,13.628,0.67
2024-04-01,06:30,2024,April,1,Flat,93,TSSC,209.04,29.17,31.4,81.303,0.342,65.042,0.286,18.606,0.67
2024-04-01,06:45,2024,April,1,Flat,93,TSSC,265.88,29.83,33.48,80.644,0.435,64.515,0.365,23.523,0.67
2024-04-01,07:00,2024,April,1,Flat,93,TSSC,322.73,30.49,35.56,79.985,0.53,63.988,0.443,28.377,0.67
2024-04-01,07:15,2024,April,1,Flat,93,TSSC,383.96,31.19,37.79,79.278,0.631,63.422,0.529,33.536,0.67
2024-04-01,07:30,2024,April,1,Flat,93,TSSC,445.19,31.89,40.02,78.57,0.734,62.856,0.614,38.622,0.67
2024-04-01,07:45,2024,April,1,Flat,93,TSSC,506.42,32.6,42.26,77.863,0.836,62.291,0.7,43.634,0.67
2024-04-01,08:00,2024,April,1,Flat,93,TSSC,567.65,33.3,44.49,77.156,0.94,61.725,0.787,48.572,0.67
2024-04-01,08:15,2024,April,1,Flat,93,TSSC,614.22,33.94,46.3,76.585,1.018,61.268,0.853,52.26,0.67
2024-04-01,08:30,2024,April,1,Flat,93,TSSC,660.78,34.58,48.1,76.014,1.098,60.811,0.919,55.901,0.67
2024-04-01,08:45,2024,April,1,Flat,93,TSSC,707.35,35.22,49.9,75.442,1.177,60.354,0.986,59.496,0.67
2024-04-01,09:00,2024,April,1,Flat,93,TSSC,753.92,35.86,51.71,74.871,1.257,59.897,1.053,63.043,0.67
2024-04-01,09:15,2024,April,1,Flat,93,TSSC,786.99,36.36,53.03,74.452,1.314,59.561,1.1,65.525,0.67
2024-04-01,09:30,2024,April,1,Flat,93,TSSC,820.06,36.86,54.36,74.032,1.371,59.226,1.148,67.981,0.67
2024-04-01,09:45,2024,April,1,Flat,93,TSSC,853.13,37.35,55.68,73.613,1.428,58.89,1.196,70.412,0.67
2024-04-01,10:00,2024,April,1,Flat,93,TSSC,886.2,37.85,57.01,73.194,1.485,58.555,1.244,72.818,0.67
2024-04-01,10:15,2024,April,1,Flat,93,TSSC,892.86,38.24,57.56,73.018,1.497,58.415,1.254,73.229,0.67
2024-04-01,10:30,2024,April,1,Flat,93,TSSC,899.53,38.62,58.11,72.843,1.509,58.274,1.264,73.638,0.67
2024-04-01,10:45,2024,April,1,Flat,93,TSSC,906.19,39.01,58.67,72.667,1.521,58.134,1.274,74.044,0.67
2024-04-01,11:00,2024,April,1,Flat,93,TSSC,912.85,39.4,59.22,72.492,1.533,57.994,1.284,74.449,0.67
2024-04-01,11:15,2024,April,1,Flat,93,TSSC,897.73,39.63,59.08,72.537,1.507,58.03,1.262,73.251,0.67
2024-04-01,11:30,2024,April,1,Flat,93,TSSC,882.6,39.87,58.94,72.583,1.482,58.066,1.241,72.052,0.67
2024-04-01,11:45,2024,April,1,Flat,93,TSSC,867.48,40.11,58.79,72.628,1.456,58.102,1.219,70.851,0.67
2024-04-01,12:00,2024,April,1,Flat,93,TSSC,852.35,40.34,58.65,72.673,1.43,58.139,1.198,69.65,0.67
2024-04-01,12:15,2024,April,1,Flat,93,TSSC,830.83,40.43,58.2,72.817,1.394,58.253,1.167,67.996,0.67
2024-04-01,12:30,2024,April,1,Flat,93,TSSC,809.32,40.51,57.74,72.96,1.357,58.368,1.137,66.336,0.67
2024-04-01,12:45,2024,April,1,Flat,93,TSSC,787.8,40.59,57.29,73.104,1.32,58.483,1.106,64.671,0.67
2024-04-01,13:00,2024,April,1,Flat,93,TSSC,766.28,40.68,56.84,73.247,1.284,58.598,1.075,63.0,0.67
2024-04-01,13:15,2024,April,1,Flat,93,TSSC,723.54,40.6,55.69,73.611,1.211,58.889,1.014,59.716,0.67
2024-04-01,13:30,2024,April,1,Flat,93,TSSC,680.81,40.52,54.54,73.976,1.138,59.181,0.953,56.404,0.67
2024-04-01,13:45,2024,April,1,Flat,93,TSSC,638.07,40.43,53.38,74.34,1.065,59.472,0.892,53.064,0.67
2024-04-01,14:00,2024,April,1,Flat,93,TSSC,595.33,40.35,52.23,74.705,0.993,59.764,0.832,49.697,0.67
2024-04-01,14:15,2024,April,1,Flat,93,TSSC,539.22,40.07,50.55,75.237,0.898,60.189,0.752,45.259,0.67
2024-04-01,14:30,2024,April,1,Flat,93,TSSC,483.11,39.8,48.87,75.769,0.803,60.615,0.673,40.769,0.67
2024-04-01,14:45,2024,April,1,Flat,93,TSSC,426.99,39.52,47.19,76.301,0.709,61.041,0.593,36.227,0.67
2024-04-01,15:00,2024,April,1,Flat,93,TSSC,370.88,39.24,45.51,76.833,0.615,61.466,0.515,31.634,0.67
2024-04-01,15:15,2024,April,1,Flat,93,TSSC,323.71,38.75,43.84,77.362,0.535,61.889,0.448,27.755,0.67
2024-04-01,15:30,2024,April,1,Flat,93,TSSC,276.54,38.26,42.17,77.89,0.457,62.312,0.382,23.834,0.67
2024-04-01,15:45,2024,April,1,Flat,93,TSSC,229.37,37.77,40.5,78.419,0.378,62.735,0.317,19.87,0.67
2024-04-01,16:00,2024,April,1,Flat,93,TSSC,182.2,37.28,38.84,78.947,0.3,63.158,0.251,15.864,0.67
2024-04-01,16:15,2024,April,1,Flat,93,TSSC,146.02,36.59,37.24,79.452,0.24,63.562,0.201,12.775,0.67
2024-04-01,16:30,2024,April,1,Flat,93,TSSC,109.85,35.9,35.65,79.957,0.18,63.966,0.151,9.656,0.67
2024-04-01,16:45,2024,April,1,Flat,93,TSSC,73.67,35.21,34.05,80.462,0.121,64.369,0.101,6.507,0.67
2024-04-01,17:00,2024,April,1,Flat,93,TSSC,37.5,34.52,32.46,80.967,0.061,64.773,0.051,3.327,0.67
2024-04-01,17:15,2024,April,1,Flat,93,TSSC,28.12,33.9,31.6,81.237,0.046,64.99,0.038,2.502,0.67
2024-04-01,17:30,2024,April,1,Flat,93,TSSC,18.75,33.28,30.75,81.508,0.031,65.206,0.026,1.672,0.67
2024-04-01,17:45,2024,April,1,Flat,93,TSSC,9.38,32.66,29.89,81.778,0.015,65.423,0.013,0.838,0.67
2024-04-02,05:15,2024,April,2,Flat,93,TSSC,22.74,27.26,24.83,83.381,0.037,66.705,0.031,2.062,0.67
2024-04-02,05:30,2024,April,2,Flat,93,TSSC,45.48,27.59,25.73,83.096,0.074,66.477,0.062,4.115,0.67
2024-04-02,05:45,2024,April,2,Flat,93,TSSC,68.23,27.93,26.63,82.811,0.111,66.249,0.093,6.156,0.67
2024-04-02,06:00,2024,April,2,Flat,93,TSSC,90.97,28.26,27.53,82.526,0.148,66.02,0.124,8.187,0.67
2024-04-02,06:15,2024,April,2,Flat,93,TSSC,144.72,28.89,29.51,81.9,0.236,65.52,0.198,12.951,0.67
2024-04-02,06:30,2024,April,2,Flat,93,TSSC,198.46,29.52,31.49,81.274,0.324,65.019,0.272,17.66,0.67
2024-04-02,06:45,2024,April,2,Flat,93,TSSC,252.2,30.16,33.46,80.648,0.413,64.519,0.346,22.313,0.67
2024-04-02,07:00,2024,April,2,Flat,93,TSSC,305.95,30.79,35.44,80.023,0.502,64.018,0.42,26.911,0.67
2024-04-02,07:15,2024,April,2,Flat,93,TSSC,366.14,31.47,37.63,79.33,0.602,63.464,0.504,31.995,0.67
2024-04-02,07:30,2024,April,2,Flat,93,TSSC,426.33,32.16,39.81,78.637,0.702,62.91,0.588,37.009,0.67
2024-04-02,07:45,2024,April,2,Flat,93,TSSC,486.51,32.84,42.0,77.945,0.803,62.356,0.673,41.952,0.67
2024-04-02,08:00,2024,April,2,Flat,93,TSSC,546.7,33.52,44.19,77.252,0.905,61.802,0.758,46.824,0.67
2024-04-02,08:15,2024,April,2,Flat,93,TSSC,591.48,34.14,45.93,76.701,0.98,61.361,0.821,50.384,0.67
2024-04-02,08:30,2024,April,2,Flat,93,TSSC,636.27,34.77,47.67,76.149,1.056,60.919,0.885,53.901,0.67
2024-04-02,08:45,2024,April,2,Flat,93,TSSC,681.05,35.39,49.41,75.597,1.133,60.478,0.949,57.374,0.67
2024-04-02,09:00,2024,April,2,Flat,93,TSSC,725.83,36.01,51.16,75.046,1.209,60.037,1.013,60.804,0.67
2024-04-02,09:15,2024,April,2,Flat,93,TSSC,760.71,36.52,52.54,74.608,1.269,59.687,1.063,63.439,0.67
2024-04-02,09:30,2024,April,2,Flat,93,TSSC,795.58,37.03,53.92,74.171,1.329,59.337,1.113,66.047,0.67
2024-04-02,09:45,2024,April,2,Flat,93,TSSC,830.46,37.54,55.3,73.733,1.389,58.987,1.163,68.627,0.67
2024-04-02,10:00,2024,April,2,Flat,93,TSSC,865.33,38.05,56.68,73.296,1.449,58.636,1.214,71.18,0.67
