Date,Time,Year,Month,Day,Shape,Spacing_cm,Connection,Irradiance_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-04-01,05:15,2024,April,1,Inverted-V,77,TCT,25.74,26.55,25.19,83.268,0.041,66.615,0.034,2.269,0.67
2024-04-01,05:30,2024,April,1,Inverted-V,77,TCT,51.49,26.98,26.27,82.927,0.081,66.341,0.068,4.524,0.67
2024-04-01,05:45,2024,April,1,Inverted-V,77,TCT,77.23,27.41,27.35,82.585,0.122,66.068,0.102,6.765,0.67
2024-04-01,06:00,2024,April,1,Inverted-V,77,TCT,102.98,27.85,28.42,82.244,0.163,65.795,0.137,8.992,0.67
2024-04-01,06:15,2024,April,1,Inverted-V,77,TCT,164.37,28.51,30.62,81.549,0.261,65.239,0.219,14.263,0.67
2024-04-01,06:30,2024,April,1,Inverted-V,77,TCT,225.76,29.17,32.81,80.854,0.359,64.683,0.301,19.466,0.67
2024-04-01,06:45,2024,April,1,Inverted-V,77,TCT,287.16,29.83,35.01,80.159,0.458,64.127,0.384,24.6,0.67
2024-04-01,07:00,2024,April,1,Inverted-V,77,TCT,348.55,30.49,37.2,79.464,0.557,63.571,0.467,29.665,0.67
2024-04-01,07:15,2024,April,1,Inverted-V,77,TCT,414.68,31.19,39.56,78.718,0.664,62.974,0.556,35.043,0.67
2024-04-01,07:30,2024,April,1,Inverted-V,77,TCT,480.81,31.89,41.92,77.972,0.772,62.378,0.647,40.34,0.67
2024-04-01,07:45,2024,April,1,Inverted-V,77,TCT,546.93,32.6,44.27,77.226,0.88,61.781,0.737,45.555,0.67
2024-04-01,08:00,2024,April,1,Inverted-V,77,TCT,613.06,33.3,46.63,76.48,0.989,61.184,0.828,50.686,0.67
2024-04-01,08:15,2024,April,1,Inverted-V,77,TCT,663.35,33.94,48.52,75.879,1.072,60.703,0.898,54.514,0.67
2024-04-01,08:30,2024,April,1,Inverted-V,77,TCT,713.65,34.58,50.42,75.278,1.156,60.223,0.968,58.291,0.67
2024-04-01,08:45,2024,April,1,Inverted-V,77,TCT,763.94,35.22,52.32,74.678,1.239,59.742,1.038,62.016,0.67
2024-04-01,09:00,2024,April,1,Inverted-V,77,TCT,814.23,35.86,54.22,74.077,1.324,59.262,1.108,65.688,0.67
2024-04-01,09:15,2024,April,1,Inverted-V,77,TCT,849.95,36.36,55.61,73.637,1.383,58.909,1.159,68.253,0.67
2024-04-01,09:30,2024,April,1,Inverted-V,77,TCT,885.66,36.86,57.0,73.196,1.444,58.557,1.209,70.792,0.67
2024-04-01,09:45,2024,April,1,Inverted-V,77,TCT,921.38,37.35,58.39,72.756,1.504,58.205,1.259,73.302,0.67
2024-04-01,10:00,2024,April,1,Inverted-V,77,TCT,957.1,37.85,59.78,72.316,1.564,57.853,1.31,75.785,0.67
2024-04-01,10:15,2024,April,1,Inverted-V,77,TCT,964.29,38.24,60.34,72.136,1.577,57.709,1.321,76.206,0.67
2024-04-01,10:30,2024,April,1,Inverted-V,77,TCT,971.49,38.62,60.91,71.957,1.589,57.565,1.331,76.626,0.67
2024-04-01,10:45,2024,April,1,Inverted-V,77,TCT,978.68,39.01,61.48,71.777,1.602,57.422,1.342,77.043,0.67
2024-04-01,11:00,2024,April,1,Inverted-V,77,TCT,985.88,39.4,62.05,71.597,1.615,57.278,1.352,77.457,0.67
2024-04-01,11:15,2024,April,1,Inverted-V,77,TCT,969.54,39.63,61.87,71.652,1.588,57.322,1.33,76.22,0.67
2024-04-01,11:30,2024,April,1,Inverted-V,77,TCT,953.21,39.87,61.7,71.707,1.561,57.366,1.307,74.98,0.67
2024-04-01,11:45,2024,April,1,Inverted-V,77,TCT,936.87,40.11,61.53,71.762,1.534,57.41,1.284,73.74,0.67
2024-04-01,12:00,2024,April,1,Inverted-V,77,TCT,920.54,40.34,61.35,71.817,1.507,57.453,1.262,72.497,0.67
2024-04-01,12:15,2024,April,1,Inverted-V,77,TCT,897.3,40.43,60.86,71.974,1.468,57.579,1.229,70.788,0.67
2024-04-01,12:30,2024,April,1,Inverted-V,77,TCT,874.06,40.51,60.36,72.131,1.429,57.705,1.197,69.072,0.67
2024-04-01,12:45,2024,April,1,Inverted-V,77,TCT,850.82,40.59,59.87,72.288,1.391,57.83,1.165,67.349,0.67
2024-04-01,13:00,2024,April,1,Inverted-V,77,TCT,827.58,40.68,59.37,72.445,1.352,57.956,1.132,65.621,0.67
2024-04-01,13:15,2024,April,1,Inverted-V,77,TCT,781.43,40.6,58.13,72.837,1.275,58.269,1.068,62.221,0.67
2024-04-01,13:30,2024,April,1,Inverted-V,77,TCT,735.27,40.52,56.9,73.228,1.198,58.582,1.004,58.79,0.67
2024-04-01,13:45,2024,April,1,Inverted-V,77,TCT,689.11,40.43,55.66,73.62,1.122,58.896,0.939,55.328,0.67
2024-04-01,14:00,2024,April,1,Inverted-V,77,TCT,642.96,40.35,54.42,74.011,1.045,59.209,0.875,51.834,0.67
2024-04-01,14:15,2024,April,1,Inverted-V,77,TCT,582.35,40.07,52.63,74.579,0.945,59.663,0.792,47.226,0.67
