Date,Time,Year,Month,Day,Shape,Spacing_cm,Connection,Irradiance_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-04-01,05:15,2024,April,1,Inverted-V,77,TSSC,25.74,26.55,25.19,83.268,0.042,66.615,0.035,2.332,0.67
2024-04-01,05:30,2024,April,1,Inverted-V,77,TSSC,51.49,26.98,26.27,82.927,0.084,66.341,0.07,4.651,0.67
2024-04-01,05:45,2024,April,1,Inverted-V,77,TSSC,77.23,27.41,27.35,82.585,0.126,66.068,0.105,6.955,0.67
2024-04-01,06:00,2024,April,1,Inverted-V,77,TSSC,102.98,27.85,28.42,82.244,0.168,65.795,0.141,9.245,0.67
2024-04-01,06:15,2024,April,1,Inverted-V,77,TSSC,164.37,28.51,30.62,81.549,0.268,65.239,0.225,14.663,0.67
2024-04-01,06:30,2024,April,1,Inverted-V,77,TSSC,225.76,29.17,32.81,80.854,0.369,64.683,0.309,20.012,0.67
2024-04-01,06:45,2024,April,1,Inverted-V,77,TSSC,287.16,29.83,35.01,80.159,0.471,64.127,0.394,25.29,0.67
2024-04-01,07:00,2024,April,1,Inverted-V,77,TSSC,348.55,30.49,37.2,79.464,0.573,63.571,0.48,30.497,0.67
2024-04-01,07:15,2024,April,1,Inverted-V,77,TSSC,414.68,31.19,39.56,78.718,0.683,62.974,0.572,36.026,0.67
2024-04-01,07:30,2024,April,1,Inverted-V,77,TSSC,480.81,31.89,41.92,77.972,0.794,62.378,0.665,41.471,0.67
2024-04-01,07:45,2024,April,1,Inverted-V,77,TSSC,546.93,32.6,44.27,77.226,0.905,61.781,0.758,46.832,0.67
2024-04-01,08:00,2024,April,1,Inverted-V,77,TSSC,613.06,33.3,46.63,76.48,1.017,61.184,0.852,52.107,0.67
2024-04-01,08:15,2024,April,1,Inverted-V,77,TSSC,663.35,33.94,48.52,75.879,1.102,60.703,0.923,56.043,0.67
2024-04-01,08:30,2024,April,1,Inverted-V,77,TSSC,713.65,34.58,50.42,75.278,1.188,60.223,0.995,59.925,0.67
