Date,Time,Year,Month,Day,Shape,Spacing_cm,Connection,Irradiance_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-04-01,05:15,2024,April,1,Inverted-V,93,Se-P,25.74,26.55,22.19,84.218,0.038,67.375,0.032,2.138,0.67
2024-04-01,05:30,2024,April,1,Inverted-V,93,Se-P,51.49,26.98,23.27,83.877,0.076,67.101,0.064,4.263,0.67
2024-04-01,05:45,2024,April,1,Inverted-V,93,Se-P,77.23,27.41,24.35,83.535,0.114,66.828,0.095,6.376,0.67
2024-04-01,06:00,2024,April,1,Inverted-V,93,Se-P,102.98,27.85,25.42,83.194,0.152,66.555,0.127,8.476,0.67
2024-04-01,06:15,2024,April,1,Inverted-V,93,Se-P,164.37,28.51,27.62,82.499,0.243,65.999,0.204,13.445,0.67
2024-04-01,06:30,2024,April,1,Inverted-V,93,Se-P,225.76,29.17,29.81,81.804,0.335,65.443,0.28,18.352,0.67
2024-04-01,06:45,2024,April,1,Inverted-V,93,Se-P,287.16,29.83,32.01,81.109,0.427,64.887,0.357,23.194,0.67
2024-04-01,07:00,2024,April,1,Inverted-V,93,Se-P,348.55,30.49,34.2,80.414,0.519,64.331,0.435,27.973,0.67
2024-04-01,07:15,2024,April,1,Inverted-V,93,Se-P,414.68,31.19,36.56,79.668,0.619,63.734,0.519,33.048,0.67
2024-04-01,07:30,2024,April,1,Inverted-V,93,Se-P,480.81,31.89,38.92,78.922,0.72,63.137,0.603,38.048,0.67
2024-04-01,07:45,2024,April,1,Inverted-V,93,Se-P,546.93,32.6,41.27,78.176,0.82,62.541,0.687,42.971,0.67
2024-04-01,08:00,2024,April,1,Inverted-V,93,Se-P,613.06,33.3,43.63,77.43,0.922,61.944,0.772,47.818,0.67
2024-04-01,08:15,2024,April,1,Inverted-V,93,Se-P,663.35,33.94,45.52,76.829,0.999,61.463,0.837,51.435,0.67
2024-04-01,08:30,2024,April,1,Inverted-V,93,Se-P,713.65,34.58,47.42,76.228,1.077,60.983,0.902,55.004,0.67
2024-04-01,08:45,2024,April,1,Inverted-V,93,Se-P,763.94,35.22,49.32,75.628,1.155,60.502,0.967,58.524,0.67
