Date,Time,Year,Month,Day,Shape,Spacing_cm,Connection,Irradiance_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-04-01,05:15,2024,April,1,V-Shape,62,TSSC,25.03,26.55,30.17,81.691,0.041,65.353,0.034,2.236,0.67
2024-04-01,05:30,2024,April,1,V-Shape,62,TSSC,50.06,26.98,31.23,81.355,0.082,65.084,0.068,4.458,0.67
2024-04-01,05:45,2024,April,1,V-Shape,62,TSSC,75.09,27.41,32.29,81.019,0.123,64.815,0.103,6.666,0.67
2024-04-01,06:00,2024,April,1,V-Shape,62,TSSC,100.12,27.85,33.35,80.683,0.164,64.546,0.137,8.861,0.67
2024-04-01,06:15,2024,April,1,V-Shape,62,TSSC,159.8,28.51,35.51,80.002,0.262,64.001,0.22,14.053,0.67
2024-04-01,06:30,2024,April,1,V-Shape,62,TSSC,219.49,29.17,37.66,79.32,0.361,63.456,0.302,19.179,0.67
2024-04-01,06:45,2024,April,1,V-Shape,62,TSSC,279.18,29.83,39.81,78.639,0.46,62.911,0.385,24.236,0.67
2024-04-01,07:00,2024,April,1,V-Shape,62,TSSC,338.87,30.49,41.96,77.957,0.56,62.366,0.469,29.224,0.67
2024-04-01,07:15,2024,April,1,V-Shape,62,TSSC,403.16,31.19,44.27,77.226,0.667,61.781,0.559,34.521,0.67
2024-04-01,07:30,2024,April,1,V-Shape,62,TSSC,467.45,31.89,46.58,76.494,0.775,61.196,0.649,39.737,0.67
2024-04-01,07:45,2024,April,1,V-Shape,62,TSSC,531.74,32.6,48.89,75.763,0.884,60.61,0.74,44.871,0.67
2024-04-01,08:00,2024,April,1,V-Shape,62,TSSC,596.03,33.3,51.2,75.032,0.993,60.025,0.832,49.923,0.67
2024-04-01,08:15,2024,April,1,V-Shape,62,TSSC,644.93,33.94,53.06,74.442,1.076,59.554,0.902,53.691,0.67
2024-04-01,08:30,2024,April,1,V-Shape,62,TSSC,693.82,34.58,54.93,73.852,1.16,59.082,0.972,57.408,0.67
2024-04-01,08:45,2024,April,1,V-Shape,62,TSSC,742.72,35.22,56.79,73.262,1.244,58.61,1.042,61.073,0.67
2024-04-01,09:00,2024,April,1,V-Shape,62,TSSC,791.62,35.86,58.65,72.673,1.329,58.138,1.113,64.686,0.67
2024-04-01,09:15,2024,April,1,V-Shape,62,TSSC,826.34,36.36,60.02,72.24,1.389,57.792,1.163,67.211,0.67
2024-04-01,09:30,2024,April,1,V-Shape,62,TSSC,861.06,36.86,61.38,71.808,1.449,57.446,1.213,69.708,0.67
2024-04-01,09:45,2024,April,1,V-Shape,62,TSSC,895.79,37.35,62.75,71.375,1.509,57.1,1.264,72.177,0.67
2024-04-01,10:00,2024,April,1,V-Shape,62,TSSC,930.51,37.85,64.11,70.943,1.57,56.754,1.315,74.619,0.67
2024-04-01,10:15,2024,April,1,V-Shape,62,TSSC,937.51,38.24,64.68,70.765,1.583,56.612,1.325,75.032,0.67
2024-04-01,10:30,2024,April,1,V-Shape,62,TSSC,944.5,38.62,65.24,70.587,1.595,56.47,1.336,75.442,0.67
2024-04-01,10:45,2024,April,1,V-Shape,62,TSSC,951.5,39.01,65.8,70.409,1.608,56.327,1.347,75.85,0.67
2024-04-01,11:00,2024,April,1,V-Shape,62,TSSC,958.49,39.4,66.36,70.231,1.621,56.185,1.357,76.256,0.67
2024-04-01,11:15,2024,April,1,V-Shape,62,TSSC,942.61,39.63,66.2,70.282,1.593,56.226,1.335,75.035,0.67
2024-04-01,11:30,2024,April,1,V-Shape,62,TSSC,926.73,39.87,66.04,70.333,1.566,56.267,1.312,73.813,0.67
2024-04-01,11:45,2024,April,1,V-Shape,62,TSSC,910.85,40.11,65.88,70.385,1.539,56.308,1.289,72.59,0.67
2024-04-01,12:00,2024,April,1,V-Shape,62,TSSC,894.97,40.34,65.71,70.436,1.512,56.349,1.266,71.365,0.67
2024-04-01,12:15,2024,April,1,V-Shape,62,TSSC,872.37,40.43,65.23,70.588,1.473,56.47,1.234,69.682,0.67
2024-04-01,12:30,2024,April,1,V-Shape,62,TSSC,849.78,40.51,64.75,70.74,1.435,56.592,1.201,67.992,0.67
2024-04-01,12:45,2024,April,1,V-Shape,62,TSSC,827.19,40.59,64.27,70.892,1.396,56.713,1.169,66.296,0.67
2024-04-01,13:00,2024,April,1,V-Shape,62,TSSC,804.59,40.68,63.79,71.044,1.357,56.835,1.137,64.593,0.67
2024-04-01,13:15,2024,April,1,V-Shape,62,TSSC,759.72,40.6,62.59,71.425,1.28,57.14,1.072,61.247,0.67
2024-04-01,13:30,2024,April,1,V-Shape,62,TSSC,714.85,40.52,61.39,71.806,1.203,57.445,1.007,57.87,0.67
2024-04-01,13:45,2024,April,1,V-Shape,62,TSSC,669.97,40.43,60.18,72.188,1.126,57.75,0.943,54.462,0.67
2024-04-01,14:00,2024,April,1,V-Shape,62,TSSC,625.1,40.35,58.98,72.569,1.049,58.055,0.879,51.023,0.67
2024-04-01,14:15,2024,April,1,V-Shape,62,TSSC,566.18,40.07,57.23,73.123,0.949,58.499,0.795,46.488,0.67
