Date,Time,Year,Month,Day,Shape,Spacing_cm,Connection,Irradiance_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-04-01,05:15,2024,April,1,V-Shape,77,TCT,25.03,26.55,26.17,82.957,0.04,66.366,0.033,2.2,0.67
2024-04-01,05:30,2024,April,1,V-Shape,77,TCT,50.06,26.98,27.23,82.621,0.079,66.097,0.066,4.386,0.67
2024-04-01,05:45,2024,April,1,V-Shape,77,TCT,75.09,27.41,28.29,82.286,0.119,65.828,0.1,6.559,0.67
2024-04-01,06:00,2024,April,1,V-Shape,77,TCT,100.12,27.85,29.35,81.95,0.159,65.56,0.133,8.719,0.67
2024-04-01,06:15,2024,April,1,V-Shape,77,TCT,159.8,28.51,31.51,81.268,0.254,65.015,0.213,13.832,0.67
2024-04-01,06:30,2024,April,1,V-Shape,77,TCT,219.49,29.17,33.66,80.587,0.35,64.469,0.293,18.879,0.67
2024-04-01,06:45,2024,April,1,V-Shape,77,TCT,279.18,29.83,35.81,79.905,0.446,63.924,0.373,23.86,0.67
2024-04-01,07:00,2024,April,1,V-Shape,77,TCT,338.87,30.49,37.96,79.224,0.542,63.379,0.454,28.775,0.67
2024-04-01,07:15,2024,April,1,V-Shape,77,TCT,403.16,31.19,40.27,78.492,0.646,62.794,0.541,33.996,0.67
2024-04-01,07:30,2024,April,1,V-Shape,77,TCT,467.45,31.89,42.58,77.761,0.751,62.209,0.629,39.139,0.67
2024-04-01,07:45,2024,April,1,V-Shape,77,TCT,531.74,32.6,44.89,77.03,0.856,61.624,0.717,44.203,0.67
2024-04-01,08:00,2024,April,1,V-Shape,77,TCT,596.03,33.3,47.2,76.298,0.962,61.039,0.806,49.189,0.67
2024-04-01,08:15,2024,April,1,V-Shape,77,TCT,644.93,33.94,49.06,75.708,1.043,60.567,0.874,52.909,0.67
2024-04-01,08:30,2024,April,1,V-Shape,77,TCT,693.82,34.58,50.93,75.119,1.124,60.095,0.941,56.579,0.67
2024-04-01,08:45,2024,April,1,V-Shape,77,TCT,742.72,35.22,52.79,74.529,1.206,59.623,1.01,60.2,0.67
2024-04-01,09:00,2024,April,1,V-Shape,77,TCT,791.62,35.86,54.65,73.939,1.287,59.151,1.078,63.771,0.67
2024-04-01,09:15,2024,April,1,V-Shape,77,TCT,826.34,36.36,56.02,73.507,1.346,58.806,1.127,66.267,0.67
2024-04-01,09:30,2024,April,1,V-Shape,77,TCT,861.06,36.86,57.38,73.074,1.404,58.46,1.176,68.736,0.67
2024-04-01,09:45,2024,April,1,V-Shape,77,TCT,895.79,37.35,58.75,72.642,1.462,58.114,1.225,71.179,0.67
2024-04-01,10:00,2024,April,1,V-Shape,77,TCT,930.51,37.85,60.11,72.21,1.521,57.768,1.274,73.595,0.67
2024-04-01,10:15,2024,April,1,V-Shape,77,TCT,937.51,38.24,60.68,72.032,1.533,57.625,1.284,74.006,0.67
2024-04-01,10:30,2024,April,1,V-Shape,77,TCT,944.5,38.62,61.24,71.854,1.546,57.483,1.295,74.414,0.67
2024-04-01,10:45,2024,April,1,V-Shape,77,TCT,951.5,39.01,61.8,71.675,1.558,57.34,1.305,74.82,0.67
2024-04-01,11:00,2024,April,1,V-Shape,77,TCT,958.49,39.4,62.36,71.497,1.57,57.198,1.315,75.224,0.67
2024-04-01,11:15,2024,April,1,V-Shape,77,TCT,942.61,39.63,62.2,71.549,1.544,57.239,1.293,74.019,0.67
2024-04-01,11:30,2024,April,1,V-Shape,77,TCT,926.73,39.87,62.04,71.6,1.518,57.28,1.271,72.812,0.67
2024-04-01,11:45,2024,April,1,V-Shape,77,TCT,910.85,40.11,61.88,71.651,1.492,57.321,1.249,71.605,0.67
2024-04-01,12:00,2024,April,1,V-Shape,77,TCT,894.97,40.34,61.71,71.703,1.465,57.362,1.227,70.396,0.67
2024-04-01,12:15,2024,April,1,V-Shape,77,TCT,872.37,40.43,61.23,71.855,1.428,57.484,1.196,68.732,0.67
2024-04-01,12:30,2024,April,1,V-Shape,77,TCT,849.78,40.51,60.75,72.006,1.39,57.605,1.164,67.063,0.67
2024-04-01,12:45,2024,April,1,V-Shape,77,TCT,827.19,40.59,60.27,72.158,1.352,57.727,1.133,65.387,0.67
2024-04-01,13:00,2024,April,1,V-Shape,77,TCT,804.59,40.68,59.79,72.31,1.315,57.848,1.101,63.705,0.67
2024-04-01,13:15,2024,April,1,V-Shape,77,TCT,759.72,40.6,58.59,72.692,1.24,58.153,1.039,60.399,0.67
2024-04-01,13:30,2024,April,1,V-Shape,77,TCT,714.85,40.52,57.39,73.073,1.166,58.458,0.976,57.063,0.67
2024-04-01,13:45,2024,April,1,V-Shape,77,TCT,669.97,40.43,56.18,73.454,1.091,58.764,0.914,53.697,0.67
2024-04-01,14:00,2024,April,1,V-Shape,77,TCT,625.1,40.35,54.98,73.836,1.017,59.069,0.852,50.302,0.67
2024-04-01,14:15,2024,April,1,V-Shape,77,TCT,566.18,40.07,53.23,74.39,0.919,59.512,0.77,45.825,0.67
2024-04-01,14:30,2024,April,1,V-Shape,77,TCT,507.26,39.8,51.48,74.944,0.822,59.955,0.689,41.292,0.67
2024-04-01,14:45,2024,April,1,V-Shape,77,TCT,448.34,39.52,49.73,75.499,0.726,60.399,0.608,36.703,0.67
2024-04-01,15:00,2024,April,1,V-Shape,77,TCT,389.42,39.24,47.98,76.053,0.629,60.842,0.527,32.059,0.67
2024-04-01,15:15,2024,April,1,V-Shape,77,TCT,339.9,38.75,46.25,76.6,0.548,61.28,0.459,28.135,0.67
2024-04-01,15:30,2024,April,1,V-Shape,77,TCT,290.37,38.26,44.52,77.147,0.468,61.718,0.392,24.166,0.67
2024-04-01,15:45,2024,April,1,V-Shape,77,TCT,240.84,37.77,42.79,77.695,0.387,62.156,0.324,20.152,0.67
2024-04-01,16:00,2024,April,1,V-Shape,77,TCT,191.31,37.28,41.06,78.242,0.307,62.593,0.257,16.093,0.67
2024-04-01,16:15,2024,April,1,V-Shape,77,TCT,153.33,36.59,39.42,78.761,0.246,63.009,0.206,12.963,0.67
2024-04-01,16:30,2024,April,1,V-Shape,77,TCT,115.34,35.9,37.78,79.28,0.184,63.424,0.155,9.8,0.67
2024-04-01,16:45,2024,April,1,V-Shape,77,TCT,77.36,35.21,36.14,79.799,0.124,63.839,0.103,6.605,0.67
2024-04-01,17:00,2024,April,1,V-Shape,77,TCT,39.38,34.52,34.5,80.318,0.063,64.255,0.053,3.378,0.67
2024-04-01,17:15,2024,April,1,V-Shape,77,TCT,29.53,33.9,33.64,80.593,0.047,64.474,0.039,2.54,0.67
2024-04-01,17:30,2024,April,1,V-Shape,77,TCT,19.69,33.28,32.77,80.867,0.031,64.694,0.026,1.698,0.67
2024-04-01,17:45,2024,April,1,V-Shape,77,TCT,9.84,32.66,31.91,81.141,0.016,64.913,0.013,0.851,0.67
2024-04-02,05:15,2024,April,2,V-Shape,77,TCT,23.88,27.26,26.86,82.739,0.038,66.191,0.032,2.095,0.67
2024-04-02,05:30,2024,April,2,V-Shape,77,TCT,47.76,27.59,27.79,82.445,0.076,65.956,0.063,4.178,0.67
2024-04-02,05:45,2024,April,2,V-Shape,77,TCT,71.64,27.93,28.72,82.151,0.114,65.72,0.095,6.251,0.67
2024-04-02,06:00,2024,April,2,V-Shape,77,TCT,95.52,28.26,29.65,81.856,0.152,65.485,0.127,8.312,0.67
2024-04-02,06:15,2024,April,2,V-Shape,77,TCT,151.95,28.89,31.69,81.209,0.242,64.967,0.202,13.145,0.67
2024-04-02,06:30,2024,April,2,V-Shape,77,TCT,208.38,29.52,33.73,80.562,0.332,64.45,0.278,17.919,0.67
2024-04-02,06:45,2024,April,2,V-Shape,77,TCT,264.82,30.16,35.78,79.915,0.423,63.932,0.354,22.635,0.67
2024-04-02,07:00,2024,April,2,V-Shape,77,TCT,321.25,30.79,37.82,79.268,0.514,63.415,0.43,27.291,0.67
2024-04-02,07:15,2024,April,2,V-Shape,77,TCT,384.44,31.47,40.08,78.552,0.616,62.841,0.516,32.437,0.67
2024-04-02,07:30,2024,April,2,V-Shape,77,TCT,447.64,32.16,42.35,77.835,0.719,62.268,0.602,37.508,0.67
2024-04-02,07:45,2024,April,2,V-Shape,77,TCT,510.84,32.84,44.61,77.119,0.823,61.695,0.689,42.503,0.67
2024-04-02,08:00,2024,April,2,V-Shape,77,TCT,574.04,33.52,46.87,76.403,0.926,61.122,0.776,47.423,0.67
2024-04-02,08:15,2024,April,2,V-Shape,77,TCT,621.06,34.14,48.67,75.833,1.004,60.667,0.841,51.015,0.67
2024-04-02,08:30,2024,April,2,V-Shape,77,TCT,668.08,34.77,50.47,75.264,1.082,60.211,0.906,54.561,0.67
2024-04-02,08:45,2024,April,2,V-Shape,77,TCT,715.1,35.39,52.26,74.695,1.16,59.756,0.972,58.061,0.67
2024-04-02,09:00,2024,April,2,V-Shape,77,TCT,762.12,36.01,54.06,74.125,1.239,59.3,1.037,61.515,0.67
2024-04-02,09:15,2024,April,2,V-Shape,77,TCT,798.74,36.52,55.49,73.674,1.3,58.939,1.089,64.166,0.67
2024-04-02,09:30,2024,April,2,V-Shape,77,TCT,835.36,37.03,56.91,73.223,1.361,58.578,1.14,66.789,0.67
2024-04-02,09:45,2024,April,2,V-Shape,77,TCT,871.98,37.54,58.34,72.771,1.423,58.217,1.192,69.383,0.67
2024-04-02,10:00,2024,April,2,V-Shape,77,TCT,908.6,38.05,59.76,72.32,1.485,57.856,1.244,71.947,0.67
2024-04-02,10:15,2024,April,2,V-Shape,77,TCT,930.33,38.39,60.65,72.039,1.522,57.631,1.274,73.445,0.67
2024-04-02,10:30,2024,April,2,V-Shape,77,TCT,952.06,38.73,61.54,71.759,1.559,57.407,1.305,74.932,0.67
2024-04-02,10:45,2024,April,2,V-Shape,77,TCT,973.79,39.08,62.42,71.478,1.595,57.183,1.336,76.409,0.67
2024-04-02,11:00,2024,April,2,V-Shape,77,TCT,995.53,39.42,63.31,71.198,1.632,56.958,1.367,77.874,0.67
2024-04-02,11:15,2024,April,2,V-Shape,77,TCT,985.97,39.62,63.27,71.209,1.617,56.967,1.354,77.135,0.67
2024-04-02,11:30,2024,April,2,V-Shape,77,TCT,976.41,39.83,63.24,71.219,1.601,56.976,1.341,76.396,0.67
2024-04-02,11:45,2024,April,2,V-Shape,77,TCT,966.85,40.04,63.21,71.23,1.585,56.984,1.328,75.657,0.67
2024-04-02,12:00,2024,April,2,V-Shape,77,TCT,957.29,40.24,63.17,71.241,1.57,56.993,1.315,74.918,0.67
2024-04-02,12:15,2024,April,2,V-Shape,77,TCT,920.23,40.29,62.3,71.518,1.508,57.215,1.263,72.237,0.67
2024-04-02,12:30,2024,April,2,V-Shape,77,TCT,883.17,40.34,61.42,71.796,1.446,57.437,1.211,69.538,0.67
2024-04-02,12:45,2024,April,2,V-Shape,77,TCT,846.11,40.39,60.54,72.073,1.384,57.659,1.159,66.822,0.67
2024-04-02,13:00,2024,April,2,V-Shape,77,TCT,809.06,40.44,59.67,72.351,1.322,57.881,1.107,64.087,0.67
2024-04-02,13:15,2024,April,2,V-Shape,77,TCT,777.56,40.37,58.81,72.623,1.27,58.099,1.063,61.772,0.67
2024-04-02,13:30,2024,April,2,V-Shape,77,TCT,746.06,40.3,57.95,72.896,1.217,58.317,1.019,59.442,0.67
