Date,Time,Year,Month,Day,Shape,Spacing_cm,Connection,Irradiance_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-04-01,05:15,2024,April,1,V-Shape,93,Se-P,25.03,26.55,23.17,83.907,0.037,67.126,0.031,2.073,0.67
2024-04-01,05:30,2024,April,1,V-Shape,93,Se-P,50.06,26.98,24.23,83.571,0.074,66.857,0.062,4.134,0.67
2024-04-01,05:45,2024,April,1,V-Shape,93,Se-P,75.09,27.41,25.29,83.235,0.111,66.588,0.093,6.183,0.67
2024-04-01,06:00,2024,April,1,V-Shape,93,Se-P,100.12,27.85,26.35,82.9,0.148,66.32,0.124,8.219,0.67
2024-04-01,06:15,2024,April,1,V-Shape,93,Se-P,159.8,28.51,28.51,82.218,0.237,65.774,0.198,13.039,0.67
2024-04-01,06:30,2024,April,1,V-Shape,93,Se-P,219.49,29.17,30.66,81.537,0.326,65.229,0.273,17.798,0.67
2024-04-01,06:45,2024,April,1,V-Shape,93,Se-P,279.18,29.83,32.81,80.855,0.415,64.684,0.348,22.497,0.67
2024-04-01,07:00,2024,April,1,V-Shape,93,Se-P,338.87,30.49,34.96,80.174,0.505,64.139,0.423,27.135,0.67
2024-04-01,07:15,2024,April,1,V-Shape,93,Se-P,403.16,31.19,37.27,79.442,0.602,63.554,0.504,32.062,0.67
2024-04-01,07:30,2024,April,1,V-Shape,93,Se-P,467.45,31.89,39.58,78.711,0.7,62.969,0.586,36.916,0.67
2024-04-01,07:45,2024,April,1,V-Shape,93,Se-P,531.74,32.6,41.89,77.98,0.798,62.384,0.668,41.698,0.67
2024-04-01,08:00,2024,April,1,V-Shape,93,Se-P,596.03,33.3,44.2,77.248,0.897,61.799,0.751,46.407,0.67
2024-04-01,08:15,2024,April,1,V-Shape,93,Se-P,644.93,33.94,46.06,76.658,0.972,61.327,0.814,49.921,0.67
2024-04-01,08:30,2024,April,1,V-Shape,93,Se-P,693.82,34.58,47.93,76.069,1.048,60.855,0.877,53.39,0.67
2024-04-01,08:45,2024,April,1,V-Shape,93,Se-P,742.72,35.22,49.79,75.479,1.123,60.383,0.941,56.813,0.67
2024-04-01,09:00,2024,April,1,V-Shape,93,Se-P,791.62,35.86,51.65,74.889,1.2,59.911,1.005,60.189,0.67
2024-04-01,09:15,2024,April,1,V-Shape,93,Se-P,826.34,36.36,53.02,74.457,1.254,59.565,1.05,62.55,0.67
2024-04-01,09:30,2024,April,1,V-Shape,93,Se-P,861.06,36.86,54.38,74.024,1.308,59.22,1.096,64.885,0.67
2024-04-01,09:45,2024,April,1,V-Shape,93,Se-P,895.79,37.35,55.75,73.592,1.363,58.874,1.141,67.197,0.67
2024-04-01,10:00,2024,April,1,V-Shape,93,Se-P,930.51,37.85,57.11,73.16,1.418,58.528,1.187,69.483,0.67
2024-04-01,10:15,2024,April,1,V-Shape,93,Se-P,937.51,38.24,57.68,72.982,1.429,58.385,1.197,69.873,0.67
2024-04-01,10:30,2024,April,1,V-Shape,93,Se-P,944.5,38.62,58.24,72.803,1.44,58.243,1.206,70.261,0.67
2024-04-01,10:45,2024,April,1,V-Shape,93,Se-P,951.5,39.01,58.8,72.625,1.452,58.1,1.216,70.647,0.67
2024-04-01,11:00,2024,April,1,V-Shape,93,Se-P,958.49,39.4,59.36,72.447,1.463,57.958,1.226,71.03,0.67
2024-04-01,11:15,2024,April,1,V-Shape,93,Se-P,942.61,39.63,59.2,72.499,1.439,57.999,1.205,69.892,0.67
2024-04-01,11:30,2024,April,1,V-Shape,93,Se-P,926.73,39.87,59.04,72.55,1.414,58.04,1.185,68.752,0.67
2024-04-01,11:45,2024,April,1,V-Shape,93,Se-P,910.85,40.11,58.88,72.601,1.39,58.081,1.164,67.611,0.67
2024-04-01,12:00,2024,April,1,V-Shape,93,Se-P,894.97,40.34,58.71,72.653,1.366,58.122,1.144,66.469,0.67
2024-04-01,12:15,2024,April,1,V-Shape,93,Se-P,872.37,40.43,58.23,72.804,1.33,58.244,1.114,64.896,0.67
2024-04-01,12:30,2024,April,1,V-Shape,93,Se-P,849.78,40.51,57.75,72.956,1.295,58.365,1.085,63.318,0.67
2024-04-01,12:45,2024,April,1,V-Shape,93,Se-P,827.19,40.59,57.27,73.108,1.26,58.487,1.056,61.734,0.67
2024-04-01,13:00,2024,April,1,V-Shape,93,Se-P,804.59,40.68,56.79,73.26,1.225,58.608,1.026,60.145,0.67
2024-04-01,13:15,2024,April,1,V-Shape,93,Se-P,759.72,40.6,55.59,73.642,1.156,58.913,0.968,57.02,0.67
2024-04-01,13:30,2024,April,1,V-Shape,93,Se-P,714.85,40.52,54.39,74.023,1.086,59.218,0.91,53.866,0.67
2024-04-01,13:45,2024,April,1,V-Shape,93,Se-P,669.97,40.43,53.18,74.404,1.017,59.523,0.852,50.686,0.67
2024-04-01,14:00,2024,April,1,V-Shape,93,Se-P,625.1,40.35,51.98,74.786,0.948,59.829,0.794,47.477,0.67
2024-04-01,14:15,2024,April,1,V-Shape,93,Se-P,566.18,40.07,50.23,75.34,0.857,60.272,0.718,43.247,0.67
2024-04-01,14:30,2024,April,1,V-Shape,93,Se-P,507.26,39.8,48.48,75.894,0.766,60.715,0.642,38.965,0.67
2024-04-01,14:45,2024,April,1,V-Shape,93,Se-P,448.34,39.52,46.73,76.449,0.676,61.159,0.566,34.632,0.67
2024-04-01,15:00,2024,April,1,V-Shape,93,Se-P,389.42,39.24,44.98,77.003,0.586,61.602,0.491,30.247,0.67
2024-04-01,15:15,2024,April,1,V-Shape,93,Se-P,339.9,38.75,43.25,77.55,0.511,62.04,0.428,26.543,0.67
2024-04-01,15:30,2024,April,1,V-Shape,93,Se-P,290.37,38.26,41.52,78.097,0.436,62.478,0.365,22.796,0.67
2024-04-01,15:45,2024,April,1,V-Shape,93,Se-P,240.84,37.77,39.79,78.644,0.361,62.916,0.302,19.008,0.67
2024-04-01,16:00,2024,April,1,V-Shape,93,Se-P,191.31,37.28,38.06,79.192,0.286,63.353,0.24,15.178,0.67
2024-04-01,16:15,2024,April,1,V-Shape,93,Se-P,153.33,36.59,36.42,79.711,0.229,63.769,0.192,12.224,0.67
2024-04-01,16:30,2024,April,1,V-Shape,93,Se-P,115.34,35.9,34.78,80.23,0.172,64.184,0.144,9.241,0.67
2024-04-01,16:45,2024,April,1,V-Shape,93,Se-P,77.36,35.21,33.14,80.749,0.115,64.599,0.096,6.228,0.67
2024-04-01,17:00,2024,April,1,V-Shape,93,Se-P,39.38,34.52,31.5,81.268,0.058,65.015,0.049,3.185,0.67
2024-04-01,17:15,2024,April,1,V-Shape,93,Se-P,29.53,33.9,30.64,81.543,0.044,65.234,0.037,2.395,0.67
2024-04-01,17:30,2024,April,1,V-Shape,93,Se-P,19.69,33.28,29.77,81.817,0.029,65.454,0.024,1.601,0.67
2024-04-01,17:45,2024,April,1,V-Shape,93,Se-P,9.84,32.66,28.91,82.091,0.015,65.673,0.012,0.802,0.67
2024-04-02,05:15,2024,April,2,V-Shape,93,Se-P,23.88,27.26,23.86,83.689,0.035,66.951,0.029,1.974,0.67
2024-04-02,05:30,2024,April,2,V-Shape,93,Se-P,47.76,27.59,24.79,83.395,0.07,66.716,0.059,3.938,0.67
2024-04-02,05:45,2024,April,2,V-Shape,93,Se-P,71.64,27.93,25.72,83.1,0.106,66.48,0.089,5.891,0.67
2024-04-02,06:00,2024,April,2,V-Shape,93,Se-P,95.52,28.26,26.65,82.806,0.141,66.245,0.118,7.835,0.67
2024-04-02,06:15,2024,April,2,V-Shape,93,Se-P,151.95,28.89,28.69,82.159,0.225,65.727,0.189,12.391,0.67
2024-04-02,06:30,2024,April,2,V-Shape,93,Se-P,208.38,29.52,30.73,81.512,0.309,65.21,0.259,16.894,0.67
2024-04-02,06:45,2024,April,2,V-Shape,93,Se-P,264.82,30.16,32.78,80.865,0.394,64.692,0.33,21.342,0.67
2024-04-02,07:00,2024,April,2,V-Shape,93,Se-P,321.25,30.79,34.82,80.218,0.479,64.175,0.401,25.735,0.67
2024-04-02,07:15,2024,April,2,V-Shape,93,Se-P,384.44,31.47,37.08,79.502,0.574,63.601,0.481,30.591,0.67
2024-04-02,07:30,2024,April,2,V-Shape,93,Se-P,447.64,32.16,39.35,78.785,0.67,63.028,0.561,35.377,0.67
2024-04-02,07:45,2024,April,2,V-Shape,93,Se-P,510.84,32.84,41.61,78.069,0.767,62.455,0.642,40.094,0.67
2024-04-02,08:00,2024,April,2,V-Shape,93,Se-P,574.04,33.52,43.87,77.353,0.863,61.882,0.723,44.74,0.67
2024-04-02,08:15,2024,April,2,V-Shape,93,Se-P,621.06,34.14,45.67,76.783,0.936,61.427,0.784,48.133,0.67
2024-04-02,08:30,2024,April,2,V-Shape,93,Se-P,668.08,34.77,47.47,76.214,1.008,60.971,0.844,51.484,0.67
2024-04-02,08:45,2024,April,2,V-Shape,93,Se-P,715.1,35.39,49.26,75.645,1.081,60.516,0.905,54.792,0.67
2024-04-02,09:00,2024,April,2,V-Shape,93,Se-P,762.12,36.01,51.06,75.075,1.154,60.06,0.967,58.057,0.67
2024-04-02,09:15,2024,April,2,V-Shape,93,Se-P,798.74,36.52,52.49,74.624,1.211,59.699,1.015,60.565,0.67
2024-04-02,09:30,2024,April,2,V-Shape,93,Se-P,835.36,37.03,53.91,74.172,1.269,59.338,1.062,63.046,0.67
