Date,Shape,Spacing_cm,Irradiance_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-02-02,Flat,62,5.1,27.34,31.47,81.28,0.008,65.02,0.006,0.41,0.67
2024-02-02,Flat,77,5.1,27.34,27.47,82.55,0.008,66.04,0.006,0.42,0.67
2024-02-02,Flat,93,5.1,27.34,24.47,83.5,0.008,66.8,0.006,0.42,0.67
2024-02-02,V-Shape,62,5.36,27.34,30.47,81.59,0.008,65.28,0.007,0.43,0.67
2024-02-02,V-Shape,77,5.36,27.34,26.47,82.86,0.008,66.29,0.007,0.44,0.67
2024-02-02,V-Shape,93,5.36,27.34,23.47,83.81,0.008,67.05,0.007,0.44,0.67
2024-02-02,Inverted-V,62,5.51,27.34,29.48,81.91,0.008,65.53,0.007,0.45,0.67
2024-02-02,Inverted-V,77,5.51,27.34,25.48,83.18,0.008,66.54,0.007,0.45,0.67
2024-02-02,Inverted-V,93,5.51,27.34,22.48,84.13,0.008,67.3,0.007,0.46,0.67
2024-02-03,Flat,62,6.04,27.49,31.64,81.23,0.009,64.98,0.008,0.49,0.67
2024-02-03,Flat,77,6.04,27.49,27.64,82.49,0.009,65.99,0.007,0.49,0.67
2024-02-03,Flat,93,6.04,27.49,24.64,83.44,0.009,66.75,0.007,0.5,0.67
2024-02-03,V-Shape,62,6.34,27.49,30.65,81.54,0.009,65.23,0.008,0.51,0.67
2024-02-03,V-Shape,77,6.34,27.49,26.65,82.81,0.009,66.24,0.008,0.52,0.67
2024-02-03,V-Shape,93,6.34,27.49,23.65,83.76,0.009,67.0,0.008,0.52,0.67
2024-02-03,Inverted-V,62,6.52,27.49,29.65,81.85,0.01,65.48,0.008,0.53,0.67
2024-02-03,Inverted-V,77,6.52,27.49,25.65,83.12,0.01,66.5,0.008,0.54,0.67
2024-02-03,Inverted-V,93,6.52,27.49,22.65,84.07,0.01,67.26,0.008,0.54,0.67
2024-02-04,Flat,62,6.42,26.61,30.77,81.5,0.01,65.2,0.008,0.52,0.67
2024-02-04,Flat,77,6.42,26.61,26.77,82.77,0.009,66.21,0.008,0.53,0.67
2024-02-04,Flat,93,6.42,26.61,23.77,83.72,0.009,66.97,0.008,0.53,0.67
2024-02-04,V-Shape,62,6.74,26.61,29.78,81.81,0.01,65.45,0.008,0.55,0.67
2024-02-04,V-Shape,77,6.74,26.61,25.78,83.08,0.01,66.47,0.008,0.55,0.67
2024-02-04,V-Shape,93,6.74,26.61,22.78,84.03,0.01,67.23,0.008,0.56,0.67
2024-02-04,Inverted-V,62,6.94,26.61,28.78,82.13,0.01,65.7,0.009,0.57,0.67
2024-02-04,Inverted-V,77,6.94,26.61,24.78,83.4,0.01,66.72,0.009,0.57,0.67
2024-02-04,Inverted-V,93,6.94,26.61,21.78,84.35,0.01,67.48,0.009,0.58,0.67
2024-02-05,Flat,62,6.54,25.66,29.82,81.8,0.01,65.44,0.008,0.53,0.67
2024-02-05,Flat,77,6.54,25.66,25.82,83.07,0.01,66.45,0.008,0.54,0.67
2024-02-05,Flat,93,6.54,25.66,22.82,84.02,0.01,67.21,0.008,0.54,0.67
2024-02-05,V-Shape,62,6.87,25.66,28.83,82.11,0.01,65.69,0.009,0.56,0.67
2024-02-05,V-Shape,77,6.87,25.66,24.83,83.38,0.01,66.71,0.008,0.57,0.67
2024-02-05,V-Shape,93,6.87,25.66,21.83,84.33,0.01,67.47,0.008,0.57,0.67
2024-02-05,Inverted-V,62,7.06,25.66,27.84,82.43,0.01,65.94,0.009,0.58,0.67
