Season,Shape,Spacing_cm,Energy_kWh
Autumn,Flat,62,33.6311375
Autumn,Flat,77,34.063765
Autumn,Flat,93,34.38528
Autumn,Inverted-V,62,36.428875
Autumn,Inverted-V,77,36.8950175
Autumn,Inverted-V,93,37.2414075
Autumn,V-Shape,62,35.349405
Autumn,V-Shape,77,35.80322
Autumn,V-Shape,93,36.14062
Spring,Flat,62,37.984495
Spring,Flat,77,38.478075
Spring,Flat,93,38.844945
Spring,Inverted-V,62,41.11467
Spring,Inverted-V,77,41.6468125
Spring,Inverted-V,93,42.0424975
Spring,V-Shape,62,39.90682
Spring,V-Shape,77,40.42483
Spring,V-Shape,93,40.80996
Summer,Flat,62,35.675685
Summer,Flat,77,36.143575
Summer,Flat,93,36.4914175
Summer,Inverted-V,62,38.6323975
Summer,Inverted-V,77,39.1367225
Summer,Inverted-V,93,39.5115075
Summer,V-Shape,62,37.4910625
Summer,V-Shape,77,37.9820225
Summer,V-Shape,93,38.3469575
Winter,Flat,62,30.537735
Winter,Flat,77,30.921065
Winter,Flat,93,31.205825
Winter,Inverted-V,62,33.0805925
Winter,Inverted-V,77,33.4934675
Winter,Inverted-V,93,33.8002575
Winter,V-Shape,62,32.1001525
Winter,V-Shape,77,32.5021825
Winter,V-Shape,93,32.8010525
