Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-09-01,06:00,September,Autumn,Flat,77,94.07,25.02,27.37,82.58,0.14,66.06,0.12,7.7,0.67
2024-09-01,06:15,September,Autumn,Flat,77,94.07,25.02,27.37,82.58,0.14,66.06,0.12,7.7,0.67
2024-09-01,06:30,September,Autumn,Flat,77,94.07,25.02,27.37,82.58,0.14,66.06,0.12,7.7,0.67
2024-09-01,06:45,September,Autumn,Flat,77,94.07,25.02,27.37,82.58,0.14,66.06,0.12,7.7,0.67
2024-09-01,07:00,September,Autumn,Flat,77,250.1,26.26,32.51,80.95,0.37,64.76,0.31,20.17,0.67
2024-09-01,07:15,September,Autumn,Flat,77,250.1,26.26,32.51,80.95,0.37,64.76,0.31,20.17,0.67
2024-09-01,07:30,September,Autumn,Flat,77,250.1,26.26,32.51,80.95,0.37,64.76,0.31,20.17,0.67
2024-09-01,07:45,September,Autumn,Flat,77,250.1,26.26,32.51,80.95,0.37,64.76,0.31,20.17,0.67
2024-09-01,08:00,September,Autumn,Flat,77,447.98,28.21,39.41,78.77,0.67,63.01,0.56,35.4,0.67
2024-09-01,08:15,September,Autumn,Flat,77,447.98,28.21,39.41,78.77,0.67,63.01,0.56,35.4,0.67
2024-09-01,08:30,September,Autumn,Flat,77,447.98,28.21,39.41,78.77,0.67,63.01,0.56,35.4,0.67
2024-09-01,08:45,September,Autumn,Flat,77,447.98,28.21,39.41,78.77,0.67,63.01,0.56,35.4,0.67
2024-09-01,09:00,September,Autumn,Flat,77,540.88,30.26,43.78,77.38,0.81,61.9,0.68,42.17,0.67
2024-09-01,09:15,September,Autumn,Flat,77,540.88,30.26,43.78,77.38,0.81,61.9,0.68,42.17,0.67
2024-09-01,09:30,September,Autumn,Flat,77,540.88,30.26,43.78,77.38,0.81,61.9,0.68,42.17,0.67
2024-09-01,09:45,September,Autumn,Flat,77,540.88,30.26,43.78,77.38,0.81,61.9,0.68,42.17,0.67
2024-09-01,10:00,September,Autumn,Flat,77,622.25,31.88,47.44,76.22,0.94,60.98,0.79,47.96,0.67
2024-09-01,10:15,September,Autumn,Flat,77,622.25,31.88,47.44,76.22,0.94,60.98,0.79,47.96,0.67
2024-09-01,10:30,September,Autumn,Flat,77,622.25,31.88,47.44,76.22,0.94,60.98,0.79,47.96,0.67
2024-09-01,10:45,September,Autumn,Flat,77,622.25,31.88,47.44,76.22,0.94,60.98,0.79,47.96,0.67
2024-09-01,11:00,September,Autumn,Flat,77,563.75,32.96,47.05,76.34,0.85,61.08,0.71,43.5,0.67
2024-09-01,11:15,September,Autumn,Flat,77,563.75,32.96,47.05,76.34,0.85,61.08,0.71,43.5,0.67
2024-09-01,11:30,September,Autumn,Flat,77,563.75,32.96,47.05,76.34,0.85,61.08,0.71,43.5,0.67
2024-09-01,11:45,September,Autumn,Flat,77,563.75,32.96,47.05,76.34,0.85,61.08,0.71,43.5,0.67
2024-09-01,12:00,September,Autumn,Flat,77,474.35,33.56,45.42,76.86,0.71,61.49,0.6,36.79,0.67
2024-09-01,12:15,September,Autumn,Flat,77,474.35,33.56,45.42,76.86,0.71,61.49,0.6,36.79,0.67
2024-09-01,12:30,September,Autumn,Flat,77,474.35,33.56,45.42,76.86,0.71,61.49,0.6,36.79,0.67
2024-09-01,12:45,September,Autumn,Flat,77,474.35,33.56,45.42,76.86,0.71,61.49,0.6,36.79,0.67
2024-09-01,13:00,September,Autumn,Flat,77,366.0,33.61,42.76,77.7,0.55,62.16,0.46,28.62,0.67
2024-09-01,13:15,September,Autumn,Flat,77,366.0,33.61,42.76,77.7,0.55,62.16,0.46,28.62,0.67
2024-09-01,13:30,September,Autumn,Flat,77,366.0,33.61,42.76,77.7,0.55,62.16,0.46,28.62,0.67
2024-09-01,13:45,September,Autumn,Flat,77,366.0,33.61,42.76,77.7,0.55,62.16,0.46,28.62,0.67
2024-09-01,14:00,September,Autumn,Flat,77,387.75,33.06,42.75,77.71,0.58,62.17,0.49,30.33,0.67
2024-09-01,14:15,September,Autumn,Flat,77,387.75,33.06,42.75,77.71,0.58,62.17,0.49,30.33,0.67
2024-09-01,14:30,September,Autumn,Flat,77,387.75,33.06,42.75,77.71,0.58,62.17,0.49,30.33,0.67
2024-09-01,14:45,September,Autumn,Flat,77,387.75,33.06,42.75,77.71,0.58,62.17,0.49,30.33,0.67
2024-09-01,15:00,September,Autumn,Flat,77,272.05,32.07,38.87,78.94,0.41,63.15,0.34,21.53,0.67
2024-09-01,15:15,September,Autumn,Flat,77,272.05,32.07,38.87,78.94,0.41,63.15,0.34,21.53,0.67
2024-09-01,15:30,September,Autumn,Flat,77,272.05,32.07,38.87,78.94,0.41,63.15,0.34,21.53,0.67
