Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-09-01,06:00,September,Autumn,Inverted-V,62,101.6,25.02,29.56,81.88,0.15,65.51,0.13,8.26,0.67
2024-09-01,06:15,September,Autumn,Inverted-V,62,101.6,25.02,29.56,81.88,0.15,65.51,0.13,8.26,0.67
2024-09-01,06:30,September,Autumn,Inverted-V,62,101.6,25.02,29.56,81.88,0.15,65.51,0.13,8.26,0.67
2024-09-01,06:45,September,Autumn,Inverted-V,62,101.6,25.02,29.56,81.88,0.15,65.51,0.13,8.26,0.67
2024-09-01,07:00,September,Autumn,Inverted-V,62,270.11,26.26,35.01,80.16,0.4,64.13,0.34,21.63,0.67
2024-09-01,07:15,September,Autumn,Inverted-V,62,270.11,26.26,35.01,80.16,0.4,64.13,0.34,21.63,0.67
2024-09-01,07:30,September,Autumn,Inverted-V,62,270.11,26.26,35.01,80.16,0.4,64.13,0.34,21.63,0.67
2024-09-01,07:45,September,Autumn,Inverted-V,62,270.11,26.26,35.01,80.16,0.4,64.13,0.34,21.63,0.67
2024-09-01,08:00,September,Autumn,Inverted-V,62,483.82,28.21,42.31,77.85,0.73,62.28,0.61,37.89,0.67
2024-09-01,08:15,September,Autumn,Inverted-V,62,483.82,28.21,42.31,77.85,0.73,62.28,0.61,37.89,0.67
2024-09-01,08:30,September,Autumn,Inverted-V,62,483.82,28.21,42.31,77.85,0.73,62.28,0.61,37.89,0.67
2024-09-01,08:45,September,Autumn,Inverted-V,62,483.82,28.21,42.31,77.85,0.73,62.28,0.61,37.89,0.67
2024-09-01,09:00,September,Autumn,Inverted-V,62,584.15,30.26,46.86,76.4,0.88,61.12,0.74,45.1,0.67
2024-09-01,09:15,September,Autumn,Inverted-V,62,584.15,30.26,46.86,76.4,0.88,61.12,0.74,45.1,0.67
2024-09-01,09:30,September,Autumn,Inverted-V,62,584.15,30.26,46.86,76.4,0.88,61.12,0.74,45.1,0.67
