Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-09-01,06:00,September,Autumn,V-Shape,62,98.77,25.02,30.49,81.59,0.15,65.27,0.12,8.01,0.67
2024-09-01,06:15,September,Autumn,V-Shape,62,98.77,25.02,30.49,81.59,0.15,65.27,0.12,8.01,0.67
2024-09-01,06:30,September,Autumn,V-Shape,62,98.77,25.02,30.49,81.59,0.15,65.27,0.12,8.01,0.67
2024-09-01,06:45,September,Autumn,V-Shape,62,98.77,25.02,30.49,81.59,0.15,65.27,0.12,8.01,0.67
2024-09-01,07:00,September,Autumn,V-Shape,62,262.61,26.26,35.83,79.9,0.39,63.92,0.33,20.97,0.67
2024-09-01,07:15,September,Autumn,V-Shape,62,262.61,26.26,35.83,79.9,0.39,63.92,0.33,20.97,0.67
2024-09-01,07:30,September,Autumn,V-Shape,62,262.61,26.26,35.83,79.9,0.39,63.92,0.33,20.97,0.67
2024-09-01,07:45,September,Autumn,V-Shape,62,262.61,26.26,35.83,79.9,0.39,63.92,0.33,20.97,0.67
2024-09-01,08:00,September,Autumn,V-Shape,62,470.38,28.21,42.97,77.64,0.71,62.11,0.59,36.76,0.67
2024-09-01,08:15,September,Autumn,V-Shape,62,470.38,28.21,42.97,77.64,0.71,62.11,0.59,36.76,0.67
2024-09-01,08:30,September,Autumn,V-Shape,62,470.38,28.21,42.97,77.64,0.71,62.11,0.59,36.76,0.67
2024-09-01,08:45,September,Autumn,V-Shape,62,470.38,28.21,42.97,77.64,0.71,62.11,0.59,36.76,0.67
2024-09-01,09:00,September,Autumn,V-Shape,62,567.92,30.26,47.46,76.22,0.86,60.97,0.72,43.77,0.67
2024-09-01,09:15,September,Autumn,V-Shape,62,567.92,30.26,47.46,76.22,0.86,60.97,0.72,43.77,0.67
2024-09-01,09:30,September,Autumn,V-Shape,62,567.92,30.26,47.46,76.22,0.86,60.97,0.72,43.77,0.67
2024-09-01,09:45,September,Autumn,V-Shape,62,567.92,30.26,47.46,76.22,0.86,60.97,0.72,43.77,0.67
2024-09-01,10:00,September,Autumn,V-Shape,62,653.36,31.88,51.21,75.03,0.99,60.02,0.83,49.75,0.67
2024-09-01,10:15,September,Autumn,V-Shape,62,653.36,31.88,51.21,75.03,0.99,60.02,0.83,49.75,0.67
2024-09-01,10:30,September,Autumn,V-Shape,62,653.36,31.88,51.21,75.03,0.99,60.02,0.83,49.75,0.67
2024-09-01,10:45,September,Autumn,V-Shape,62,653.36,31.88,51.21,75.03,0.99,60.02,0.83,49.75,0.67
2024-09-01,11:00,September,Autumn,V-Shape,62,591.94,32.96,50.76,75.17,0.9,60.14,0.75,45.14,0.67
2024-09-01,11:15,September,Autumn,V-Shape,62,591.94,32.96,50.76,75.17,0.9,60.14,0.75,45.14,0.67
2024-09-01,11:30,September,Autumn,V-Shape,62,591.94,32.96,50.76,75.17,0.9,60.14,0.75,45.14,0.67
2024-09-01,11:45,September,Autumn,V-Shape,62,591.94,32.96,50.76,75.17,0.9,60.14,0.75,45.14,0.67
2024-09-01,12:00,September,Autumn,V-Shape,62,498.07,33.56,49.01,75.72,0.75,60.58,0.63,38.19,0.67
2024-09-01,12:15,September,Autumn,V-Shape,62,498.07,33.56,49.01,75.72,0.75,60.58,0.63,38.19,0.67
2024-09-01,12:30,September,Autumn,V-Shape,62,498.07,33.56,49.01,75.72,0.75,60.58,0.63,38.19,0.67
2024-09-01,12:45,September,Autumn,V-Shape,62,498.07,33.56,49.01,75.72,0.75,60.58,0.63,38.19,0.67
2024-09-01,13:00,September,Autumn,V-Shape,62,384.3,33.61,46.22,76.61,0.58,61.29,0.49,29.73,0.67
