Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-01-01,06:00,January,LateWinter,Flat,77,33.2,21.74,22.57,84.1,0.05,67.28,0.04,2.75,0.67
2025-01-01,06:15,January,LateWinter,Flat,77,33.2,21.74,22.57,84.1,0.05,67.28,0.04,2.75,0.67
2025-01-01,06:30,January,LateWinter,Flat,77,33.2,21.74,22.57,84.1,0.05,67.28,0.04,2.75,0.67
2025-01-01,06:45,January,LateWinter,Flat,77,33.2,21.74,22.57,84.1,0.05,67.28,0.04,2.75,0.67
2025-01-01,07:00,January,LateWinter,Flat,77,209.23,23.01,28.24,82.3,0.31,65.84,0.26,17.08,0.67
2025-01-01,07:15,January,LateWinter,Flat,77,209.23,23.01,28.24,82.3,0.31,65.84,0.26,17.08,0.67
2025-01-01,07:30,January,LateWinter,Flat,77,209.23,23.01,28.24,82.3,0.31,65.84,0.26,17.08,0.67
2025-01-01,07:45,January,LateWinter,Flat,77,209.23,23.01,28.24,82.3,0.31,65.84,0.26,17.08,0.67
2025-01-01,08:00,January,LateWinter,Flat,77,435.92,24.88,35.78,79.92,0.65,63.93,0.54,34.82,0.67
2025-01-01,08:15,January,LateWinter,Flat,77,435.92,24.88,35.78,79.92,0.65,63.93,0.54,34.82,0.67
2025-01-01,08:30,January,LateWinter,Flat,77,435.92,24.88,35.78,79.92,0.65,63.93,0.54,34.82,0.67
2025-01-01,08:45,January,LateWinter,Flat,77,435.92,24.88,35.78,79.92,0.65,63.93,0.54,34.82,0.67
2025-01-01,09:00,January,LateWinter,Flat,77,635.67,26.4,42.29,77.85,0.95,62.28,0.8,49.79,0.67
2025-01-01,09:15,January,LateWinter,Flat,77,635.67,26.4,42.29,77.85,0.95,62.28,0.8,49.79,0.67
2025-01-01,09:30,January,LateWinter,Flat,77,635.67,26.4,42.29,77.85,0.95,62.28,0.8,49.79,0.67
2025-01-01,09:45,January,LateWinter,Flat,77,635.67,26.4,42.29,77.85,0.95,62.28,0.8,49.79,0.67
2025-01-01,10:00,January,LateWinter,Flat,77,790.92,27.43,47.2,76.3,1.19,61.04,1.0,61.0,0.67
2025-01-01,10:15,January,LateWinter,Flat,77,790.92,27.43,47.2,76.3,1.19,61.04,1.0,61.0,0.67
2025-01-01,10:30,January,LateWinter,Flat,77,790.92,27.43,47.2,76.3,1.19,61.04,1.0,61.0,0.67
2025-01-01,10:45,January,LateWinter,Flat,77,790.92,27.43,47.2,76.3,1.19,61.04,1.0,61.0,0.67
2025-01-01,11:00,January,LateWinter,Flat,77,839.95,28.19,49.19,75.67,1.27,60.53,1.06,64.37,0.67
2025-01-01,11:15,January,LateWinter,Flat,77,839.95,28.19,49.19,75.67,1.27,60.53,1.06,64.37,0.67
2025-01-01,11:30,January,LateWinter,Flat,77,839.95,28.19,49.19,75.67,1.27,60.53,1.06,64.37,0.67
2025-01-01,11:45,January,LateWinter,Flat,77,839.95,28.19,49.19,75.67,1.27,60.53,1.06,64.37,0.67
