Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-01-01,06:00,January,LateWinter,Inverted-V,62,35.86,21.74,24.64,83.44,0.05,66.75,0.04,2.96,0.67
2025-01-01,06:15,January,LateWinter,Inverted-V,62,35.86,21.74,24.64,83.44,0.05,66.75,0.04,2.96,0.67
2025-01-01,06:30,January,LateWinter,Inverted-V,62,35.86,21.74,24.64,83.44,0.05,66.75,0.04,2.96,0.67
2025-01-01,06:45,January,LateWinter,Inverted-V,62,35.86,21.74,24.64,83.44,0.05,66.75,0.04,2.96,0.67
2025-01-01,07:00,January,LateWinter,Inverted-V,62,225.97,23.01,30.66,81.54,0.34,65.23,0.28,18.32,0.67
2025-01-01,07:15,January,LateWinter,Inverted-V,62,225.97,23.01,30.66,81.54,0.34,65.23,0.28,18.32,0.67
2025-01-01,07:30,January,LateWinter,Inverted-V,62,225.97,23.01,30.66,81.54,0.34,65.23,0.28,18.32,0.67
2025-01-01,07:45,January,LateWinter,Inverted-V,62,225.97,23.01,30.66,81.54,0.34,65.23,0.28,18.32,0.67
2025-01-01,08:00,January,LateWinter,Inverted-V,62,470.79,24.88,38.65,79.01,0.7,63.2,0.59,37.29,0.67
2025-01-01,08:15,January,LateWinter,Inverted-V,62,470.79,24.88,38.65,79.01,0.7,63.2,0.59,37.29,0.67
2025-01-01,08:30,January,LateWinter,Inverted-V,62,470.79,24.88,38.65,79.01,0.7,63.2,0.59,37.29,0.67
2025-01-01,08:45,January,LateWinter,Inverted-V,62,470.79,24.88,38.65,79.01,0.7,63.2,0.59,37.29,0.67
2025-01-01,09:00,January,LateWinter,Inverted-V,62,686.52,26.4,45.56,76.82,1.03,61.45,0.87,53.22,0.67
2025-01-01,09:15,January,LateWinter,Inverted-V,62,686.52,26.4,45.56,76.82,1.03,61.45,0.87,53.22,0.67
2025-01-01,09:30,January,LateWinter,Inverted-V,62,686.52,26.4,45.56,76.82,1.03,61.45,0.87,53.22,0.67
2025-01-01,09:45,January,LateWinter,Inverted-V,62,686.52,26.4,45.56,76.82,1.03,61.45,0.87,53.22,0.67
2025-01-01,10:00,January,LateWinter,Inverted-V,62,854.19,27.43,50.78,75.16,1.29,60.13,1.08,65.13,0.67
2025-01-01,10:15,January,LateWinter,Inverted-V,62,854.19,27.43,50.78,75.16,1.29,60.13,1.08,65.13,0.67
2025-01-01,10:30,January,LateWinter,Inverted-V,62,854.19,27.43,50.78,75.16,1.29,60.13,1.08,65.13,0.67
2025-01-01,10:45,January,LateWinter,Inverted-V,62,854.19,27.43,50.78,75.16,1.29,60.13,1.08,65.13,0.67
2025-01-01,11:00,January,LateWinter,Inverted-V,62,907.15,28.19,52.87,74.5,1.38,59.6,1.15,68.7,0.67
2025-01-01,11:15,January,LateWinter,Inverted-V,62,907.15,28.19,52.87,74.5,1.38,59.6,1.15,68.7,0.67
2025-01-01,11:30,January,LateWinter,Inverted-V,62,907.15,28.19,52.87,74.5,1.38,59.6,1.15,68.7,0.67
2025-01-01,11:45,January,LateWinter,Inverted-V,62,907.15,28.19,52.87,74.5,1.38,59.6,1.15,68.7,0.67
2025-01-01,12:00,January,LateWinter,Inverted-V,62,889.11,28.67,52.9,74.49,1.35,59.6,1.13,67.33,0.67
2025-01-01,12:15,January,LateWinter,Inverted-V,62,889.11,28.67,52.9,74.49,1.35,59.6,1.13,67.33,0.67
2025-01-01,12:30,January,LateWinter,Inverted-V,62,889.11,28.67,52.9,74.49,1.35,59.6,1.13,67.33,0.67
2025-01-01,12:45,January,LateWinter,Inverted-V,62,889.11,28.67,52.9,74.49,1.35,59.6,1.13,67.33,0.67
2025-01-01,13:00,January,LateWinter,Inverted-V,62,779.89,28.85,50.35,75.3,1.18,60.24,0.99,59.55,0.67
2025-01-01,13:15,January,LateWinter,Inverted-V,62,779.89,28.85,50.35,75.3,1.18,60.24,0.99,59.55,0.67
2025-01-01,13:30,January,LateWinter,Inverted-V,62,779.89,28.85,50.35,75.3,1.18,60.24,0.99,59.55,0.67
2025-01-01,13:45,January,LateWinter,Inverted-V,62,779.89,28.85,50.35,75.3,1.18,60.24,0.99,59.55,0.67
2025-01-01,14:00,January,LateWinter,Inverted-V,62,639.0,28.65,46.63,76.48,0.96,61.18,0.81,49.37,0.67
2025-01-01,14:15,January,LateWinter,Inverted-V,62,639.0,28.65,46.63,76.48,0.96,61.18,0.81,49.37,0.67
2025-01-01,14:30,January,LateWinter,Inverted-V,62,639.0,28.65,46.63,76.48,0.96,61.18,0.81,49.37,0.67
2025-01-01,14:45,January,LateWinter,Inverted-V,62,639.0,28.65,46.63,76.48,0.96,61.18,0.81,49.37,0.67
2025-01-01,15:00,January,LateWinter,Inverted-V,62,408.53,28.01,40.22,78.51,0.61,62.81,0.51,32.2,0.67
2025-01-01,15:15,January,LateWinter,Inverted-V,62,408.53,28.01,40.22,78.51,0.61,62.81,0.51,32.2,0.67
2025-01-01,15:30,January,LateWinter,Inverted-V,62,408.53,28.01,40.22,78.51,0.61,62.81,0.51,32.2,0.67
2025-01-01,15:45,January,LateWinter,Inverted-V,62,408.53,28.01,40.22,78.51,0.61,62.81,0.51,32.2,0.67
2025-01-01,16:00,January,LateWinter,Inverted-V,62,196.4,26.63,33.54,80.62,0.29,64.5,0.24,15.79,0.67
2025-01-01,16:15,January,LateWinter,Inverted-V,62,196.4,26.63,33.54,80.62,0.29,64.5,0.24,15.79,0.67
2025-01-01,16:30,January,LateWinter,Inverted-V,62,196.4,26.63,33.54,80.62,0.29,64.5,0.24,15.79,0.67
2025-01-01,16:45,January,LateWinter,Inverted-V,62,196.4,26.63,33.54,80.62,0.29,64.5,0.24,15.79,0.67
