Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-01-01,06:00,January,LateWinter,V-Shape,62,34.86,21.74,25.61,83.13,0.05,66.51,0.04,2.87,0.67
2025-01-01,06:15,January,LateWinter,V-Shape,62,34.86,21.74,25.61,83.13,0.05,66.51,0.04,2.87,0.67
2025-01-01,06:30,January,LateWinter,V-Shape,62,34.86,21.74,25.61,83.13,0.05,66.51,0.04,2.87,0.67
2025-01-01,06:45,January,LateWinter,V-Shape,62,34.86,21.74,25.61,83.13,0.05,66.51,0.04,2.87,0.67
2025-01-01,07:00,January,LateWinter,V-Shape,62,219.69,23.01,31.5,81.27,0.33,65.02,0.27,17.77,0.67
2025-01-01,07:15,January,LateWinter,V-Shape,62,219.69,23.01,31.5,81.27,0.33,65.02,0.27,17.77,0.67
2025-01-01,07:30,January,LateWinter,V-Shape,62,219.69,23.01,31.5,81.27,0.33,65.02,0.27,17.77,0.67
2025-01-01,07:45,January,LateWinter,V-Shape,62,219.69,23.01,31.5,81.27,0.33,65.02,0.27,17.77,0.67
2025-01-01,08:00,January,LateWinter,V-Shape,62,457.72,24.88,39.32,78.79,0.69,63.03,0.57,36.18,0.67
2025-01-01,08:15,January,LateWinter,V-Shape,62,457.72,24.88,39.32,78.79,0.69,63.03,0.57,36.18,0.67
2025-01-01,08:30,January,LateWinter,V-Shape,62,457.72,24.88,39.32,78.79,0.69,63.03,0.57,36.18,0.67
2025-01-01,08:45,January,LateWinter,V-Shape,62,457.72,24.88,39.32,78.79,0.69,63.03,0.57,36.18,0.67
2025-01-01,09:00,January,LateWinter,V-Shape,62,667.45,26.4,46.09,76.65,1.01,61.32,0.84,51.66,0.67
2025-01-01,09:15,January,LateWinter,V-Shape,62,667.45,26.4,46.09,76.65,1.01,61.32,0.84,51.66,0.67
2025-01-01,09:30,January,LateWinter,V-Shape,62,667.45,26.4,46.09,76.65,1.01,61.32,0.84,51.66,0.67
2025-01-01,09:45,January,LateWinter,V-Shape,62,667.45,26.4,46.09,76.65,1.01,61.32,0.84,51.66,0.67
2025-01-01,10:00,January,LateWinter,V-Shape,62,830.47,27.43,51.19,75.03,1.26,60.03,1.05,63.24,0.67
2025-01-01,10:15,January,LateWinter,V-Shape,62,830.47,27.43,51.19,75.03,1.26,60.03,1.05,63.24,0.67
2025-01-01,10:30,January,LateWinter,V-Shape,62,830.47,27.43,51.19,75.03,1.26,60.03,1.05,63.24,0.67
2025-01-01,10:45,January,LateWinter,V-Shape,62,830.47,27.43,51.19,75.03,1.26,60.03,1.05,63.24,0.67
2025-01-01,11:00,January,LateWinter,V-Shape,62,881.95,28.19,53.24,74.39,1.34,59.51,1.12,66.71,0.67
2025-01-01,11:15,January,LateWinter,V-Shape,62,881.95,28.19,53.24,74.39,1.34,59.51,1.12,66.71,0.67
2025-01-01,11:30,January,LateWinter,V-Shape,62,881.95,28.19,53.24,74.39,1.34,59.51,1.12,66.71,0.67
2025-01-01,11:45,January,LateWinter,V-Shape,62,881.95,28.19,53.24,74.39,1.34,59.51,1.12,66.71,0.67
2025-01-01,12:00,January,LateWinter,V-Shape,62,864.41,28.67,53.28,74.37,1.31,59.5,1.1,65.37,0.67
2025-01-01,12:15,January,LateWinter,V-Shape,62,864.41,28.67,53.28,74.37,1.31,59.5,1.1,65.37,0.67
2025-01-01,12:30,January,LateWinter,V-Shape,62,864.41,28.67,53.28,74.37,1.31,59.5,1.1,65.37,0.67
2025-01-01,12:45,January,LateWinter,V-Shape,62,864.41,28.67,53.28,74.37,1.31,59.5,1.1,65.37,0.67
2025-01-01,13:00,January,LateWinter,V-Shape,62,758.23,28.85,50.81,75.16,1.15,60.13,0.96,57.81,0.67
2025-01-01,13:15,January,LateWinter,V-Shape,62,758.23,28.85,50.81,75.16,1.15,60.13,0.96,57.81,0.67
2025-01-01,13:30,January,LateWinter,V-Shape,62,758.23,28.85,50.81,75.16,1.15,60.13,0.96,57.81,0.67
2025-01-01,13:45,January,LateWinter,V-Shape,62,758.23,28.85,50.81,75.16,1.15,60.13,0.96,57.81,0.67
2025-01-01,14:00,January,LateWinter,V-Shape,62,621.25,28.65,47.18,76.3,0.94,61.04,0.78,47.92,0.67
2025-01-01,14:15,January,LateWinter,V-Shape,62,621.25,28.65,47.18,76.3,0.94,61.04,0.78,47.92,0.67
2025-01-01,14:30,January,LateWinter,V-Shape,62,621.25,28.65,47.18,76.3,0.94,61.04,0.78,47.92,0.67
2025-01-01,14:45,January,LateWinter,V-Shape,62,621.25,28.65,47.18,76.3,0.94,61.04,0.78,47.92,0.67
2025-01-01,15:00,January,LateWinter,V-Shape,62,397.18,28.01,40.94,78.28,0.6,62.62,0.5,31.24,0.67
2025-01-01,15:15,January,LateWinter,V-Shape,62,397.18,28.01,40.94,78.28,0.6,62.62,0.5,31.24,0.67
2025-01-01,15:30,January,LateWinter,V-Shape,62,397.18,28.01,40.94,78.28,0.6,62.62,0.5,31.24,0.67
