Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-07-01,06:00,July,Monsoon,Flat,93,55.72,25.8,24.19,83.58,0.08,66.87,0.07,4.6,0.67
2024-07-01,06:15,July,Monsoon,Flat,93,55.72,25.8,24.19,83.58,0.08,66.87,0.07,4.6,0.67
2024-07-01,06:30,July,Monsoon,Flat,93,55.72,25.8,24.19,83.58,0.08,66.87,0.07,4.6,0.67
2024-07-01,06:45,July,Monsoon,Flat,93,55.72,25.8,24.19,83.58,0.08,66.87,0.07,4.6,0.67
2024-07-01,07:00,July,Monsoon,Flat,93,175.38,26.95,28.33,82.27,0.26,65.82,0.22,14.32,0.67
2024-07-01,07:15,July,Monsoon,Flat,93,175.38,26.95,28.33,82.27,0.26,65.82,0.22,14.32,0.67
2024-07-01,07:30,July,Monsoon,Flat,93,175.38,26.95,28.33,82.27,0.26,65.82,0.22,14.32,0.67
2024-07-01,07:45,July,Monsoon,Flat,93,175.38,26.95,28.33,82.27,0.26,65.82,0.22,14.32,0.67
2024-07-01,08:00,July,Monsoon,Flat,93,319.35,28.16,33.14,80.75,0.48,64.6,0.4,25.71,0.67
2024-07-01,08:15,July,Monsoon,Flat,93,319.35,28.16,33.14,80.75,0.48,64.6,0.4,25.71,0.67
2024-07-01,08:30,July,Monsoon,Flat,93,319.35,28.16,33.14,80.75,0.48,64.6,0.4,25.71,0.67
2024-07-01,08:45,July,Monsoon,Flat,93,319.35,28.16,33.14,80.75,0.48,64.6,0.4,25.71,0.67
2024-07-01,09:00,July,Monsoon,Flat,93,445.75,29.36,37.5,79.37,0.67,63.49,0.56,35.42,0.67
2024-07-01,09:15,July,Monsoon,Flat,93,445.75,29.36,37.5,79.37,0.67,63.49,0.56,35.42,0.67
2024-07-01,09:30,July,Monsoon,Flat,93,445.75,29.36,37.5,79.37,0.67,63.49,0.56,35.42,0.67
2024-07-01,09:45,July,Monsoon,Flat,93,445.75,29.36,37.5,79.37,0.67,63.49,0.56,35.42,0.67
2024-07-01,10:00,July,Monsoon,Flat,93,503.5,30.55,40.14,78.53,0.75,62.83,0.63,39.7,0.67
2024-07-01,10:15,July,Monsoon,Flat,93,503.5,30.55,40.14,78.53,0.75,62.83,0.63,39.7,0.67
2024-07-01,10:30,July,Monsoon,Flat,93,503.5,30.55,40.14,78.53,0.75,62.83,0.63,39.7,0.67
2024-07-01,10:45,July,Monsoon,Flat,93,503.5,30.55,40.14,78.53,0.75,62.83,0.63,39.7,0.67
2024-07-01,11:00,July,Monsoon,Flat,93,479.52,31.66,40.65,78.37,0.72,62.7,0.6,37.75,0.67
2024-07-01,11:15,July,Monsoon,Flat,93,479.52,31.66,40.65,78.37,0.72,62.7,0.6,37.75,0.67
2024-07-01,11:30,July,Monsoon,Flat,93,479.52,31.66,40.65,78.37,0.72,62.7,0.6,37.75,0.67
2024-07-01,11:45,July,Monsoon,Flat,93,479.52,31.66,40.65,78.37,0.72,62.7,0.6,37.75,0.67
2024-07-01,12:00,July,Monsoon,Flat,93,582.78,32.64,44.21,77.25,0.88,61.8,0.73,45.37,0.67
2024-07-01,12:15,July,Monsoon,Flat,93,582.78,32.64,44.21,77.25,0.88,61.8,0.73,45.37,0.67
2024-07-01,12:30,July,Monsoon,Flat,93,582.78,32.64,44.21,77.25,0.88,61.8,0.73,45.37,0.67
2024-07-01,12:45,July,Monsoon,Flat,93,582.78,32.64,44.21,77.25,0.88,61.8,0.73,45.37,0.67
2024-07-01,13:00,July,Monsoon,Flat,93,422.25,33.19,40.75,78.34,0.63,62.67,0.53,33.23,0.67
2024-07-01,13:15,July,Monsoon,Flat,93,422.25,33.19,40.75,78.34,0.63,62.67,0.53,33.23,0.67
2024-07-01,13:30,July,Monsoon,Flat,93,422.25,33.19,40.75,78.34,0.63,62.67,0.53,33.23,0.67
2024-07-01,13:45,July,Monsoon,Flat,93,422.25,33.19,40.75,78.34,0.63,62.67,0.53,33.23,0.67
2024-07-01,14:00,July,Monsoon,Flat,93,336.6,33.1,38.52,79.05,0.5,63.24,0.42,26.67,0.67
2024-07-01,14:15,July,Monsoon,Flat,93,336.6,33.1,38.52,79.05,0.5,63.24,0.42,26.67,0.67
2024-07-01,14:30,July,Monsoon,Flat,93,336.6,33.1,38.52,79.05,0.5,63.24,0.42,26.67,0.67
2024-07-01,14:45,July,Monsoon,Flat,93,336.6,33.1,38.52,79.05,0.5,63.24,0.42,26.67,0.67
2024-07-01,15:00,July,Monsoon,Flat,93,200.73,32.53,34.55,80.3,0.3,64.24,0.25,16.09,0.67
2024-07-01,15:15,July,Monsoon,Flat,93,200.73,32.53,34.55,80.3,0.3,64.24,0.25,16.09,0.67
2024-07-01,15:30,July,Monsoon,Flat,93,200.73,32.53,34.55,80.3,0.3,64.24,0.25,16.09,0.67
2024-07-01,15:45,July,Monsoon,Flat,93,200.73,32.53,34.55,80.3,0.3,64.24,0.25,16.09,0.67
2024-07-01,16:00,July,Monsoon,Flat,93,110.8,31.5,31.27,81.34,0.16,65.07,0.14,8.97,0.67
2024-07-01,16:15,July,Monsoon,Flat,93,110.8,31.5,31.27,81.34,0.16,65.07,0.14,8.97,0.67
2024-07-01,16:30,July,Monsoon,Flat,93,110.8,31.5,31.27,81.34,0.16,65.07,0.14,8.97,0.67
2024-07-01,16:45,July,Monsoon,Flat,93,110.8,31.5,31.27,81.34,0.16,65.07,0.14,8.97,0.67
2024-07-01,17:00,July,Monsoon,Flat,93,36.05,29.66,27.56,82.52,0.05,66.01,0.04,2.95,0.67
2024-07-01,17:15,July,Monsoon,Flat,93,36.05,29.66,27.56,82.52,0.05,66.01,0.04,2.95,0.67
