Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-07-01,06:00,July,Monsoon,Inverted-V,93,60.18,25.8,22.3,84.18,0.09,67.35,0.07,5.0,0.67
2024-07-01,06:15,July,Monsoon,Inverted-V,93,60.18,25.8,22.3,84.18,0.09,67.35,0.07,5.0,0.67
2024-07-01,06:30,July,Monsoon,Inverted-V,93,60.18,25.8,22.3,84.18,0.09,67.35,0.07,5.0,0.67
2024-07-01,06:45,July,Monsoon,Inverted-V,93,60.18,25.8,22.3,84.18,0.09,67.35,0.07,5.0,0.67
2024-07-01,07:00,July,Monsoon,Inverted-V,93,189.41,26.95,26.69,82.79,0.28,66.24,0.23,15.53,0.67
2024-07-01,07:15,July,Monsoon,Inverted-V,93,189.41,26.95,26.69,82.79,0.28,66.24,0.23,15.53,0.67
2024-07-01,07:30,July,Monsoon,Inverted-V,93,189.41,26.95,26.69,82.79,0.28,66.24,0.23,15.53,0.67
2024-07-01,07:45,July,Monsoon,Inverted-V,93,189.41,26.95,26.69,82.79,0.28,66.24,0.23,15.53,0.67
2024-07-01,08:00,July,Monsoon,Inverted-V,93,344.9,28.16,31.78,81.18,0.51,64.94,0.43,27.88,0.67
2024-07-01,08:15,July,Monsoon,Inverted-V,93,344.9,28.16,31.78,81.18,0.51,64.94,0.43,27.88,0.67
2024-07-01,08:30,July,Monsoon,Inverted-V,93,344.9,28.16,31.78,81.18,0.51,64.94,0.43,27.88,0.67
2024-07-01,08:45,July,Monsoon,Inverted-V,93,344.9,28.16,31.78,81.18,0.51,64.94,0.43,27.88,0.67
2024-07-01,09:00,July,Monsoon,Inverted-V,93,481.41,29.36,36.4,79.72,0.72,63.78,0.6,38.39,0.67
2024-07-01,09:15,July,Monsoon,Inverted-V,93,481.41,29.36,36.4,79.72,0.72,63.78,0.6,38.39,0.67
2024-07-01,09:30,July,Monsoon,Inverted-V,93,481.41,29.36,36.4,79.72,0.72,63.78,0.6,38.39,0.67
2024-07-01,09:45,July,Monsoon,Inverted-V,93,481.41,29.36,36.4,79.72,0.72,63.78,0.6,38.39,0.67
2024-07-01,10:00,July,Monsoon,Inverted-V,93,543.78,30.55,39.14,78.85,0.81,63.08,0.68,43.0,0.67
2024-07-01,10:15,July,Monsoon,Inverted-V,93,543.78,30.55,39.14,78.85,0.81,63.08,0.68,43.0,0.67
2024-07-01,10:30,July,Monsoon,Inverted-V,93,543.78,30.55,39.14,78.85,0.81,63.08,0.68,43.0,0.67
2024-07-01,10:45,July,Monsoon,Inverted-V,93,543.78,30.55,39.14,78.85,0.81,63.08,0.68,43.0,0.67
2024-07-01,11:00,July,Monsoon,Inverted-V,93,517.88,31.66,39.61,78.7,0.78,62.96,0.65,40.9,0.67
2024-07-01,11:15,July,Monsoon,Inverted-V,93,517.88,31.66,39.61,78.7,0.78,62.96,0.65,40.9,0.67
2024-07-01,11:30,July,Monsoon,Inverted-V,93,517.88,31.66,39.61,78.7,0.78,62.96,0.65,40.9,0.67
2024-07-01,11:45,July,Monsoon,Inverted-V,93,517.88,31.66,39.61,78.7,0.78,62.96,0.65,40.9,0.67
2024-07-01,12:00,July,Monsoon,Inverted-V,93,629.4,32.64,43.38,77.51,0.95,62.01,0.79,49.13,0.67
2024-07-01,12:15,July,Monsoon,Inverted-V,93,629.4,32.64,43.38,77.51,0.95,62.01,0.79,49.13,0.67
2024-07-01,12:30,July,Monsoon,Inverted-V,93,629.4,32.64,43.38,77.51,0.95,62.01,0.79,49.13,0.67
2024-07-01,12:45,July,Monsoon,Inverted-V,93,629.4,32.64,43.38,77.51,0.95,62.01,0.79,49.13,0.67
2024-07-01,13:00,July,Monsoon,Inverted-V,93,456.03,33.19,39.59,78.71,0.68,62.97,0.57,36.01,0.67
2024-07-01,13:15,July,Monsoon,Inverted-V,93,456.03,33.19,39.59,78.71,0.68,62.97,0.57,36.01,0.67
2024-07-01,13:30,July,Monsoon,Inverted-V,93,456.03,33.19,39.59,78.71,0.68,62.97,0.57,36.01,0.67
2024-07-01,13:45,July,Monsoon,Inverted-V,93,456.03,33.19,39.59,78.71,0.68,62.97,0.57,36.01,0.67
2024-07-01,14:00,July,Monsoon,Inverted-V,93,363.53,33.1,37.19,79.47,0.54,63.57,0.45,28.92,0.67
2024-07-01,14:15,July,Monsoon,Inverted-V,93,363.53,33.1,37.19,79.47,0.54,63.57,0.45,28.92,0.67
2024-07-01,14:30,July,Monsoon,Inverted-V,93,363.53,33.1,37.19,79.47,0.54,63.57,0.45,28.92,0.67
2024-07-01,14:45,July,Monsoon,Inverted-V,93,363.53,33.1,37.19,79.47,0.54,63.57,0.45,28.92,0.67
2024-07-01,15:00,July,Monsoon,Inverted-V,93,216.79,32.53,32.95,80.81,0.32,64.65,0.27,17.46,0.67
2024-07-01,15:15,July,Monsoon,Inverted-V,93,216.79,32.53,32.95,80.81,0.32,64.65,0.27,17.46,0.67
2024-07-01,15:30,July,Monsoon,Inverted-V,93,216.79,32.53,32.95,80.81,0.32,64.65,0.27,17.46,0.67
2024-07-01,15:45,July,Monsoon,Inverted-V,93,216.79,32.53,32.95,80.81,0.32,64.65,0.27,17.46,0.67
2024-07-01,16:00,July,Monsoon,Inverted-V,93,119.66,31.5,29.49,81.91,0.18,65.52,0.15,9.74,0.67
2024-07-01,16:15,July,Monsoon,Inverted-V,93,119.66,31.5,29.49,81.91,0.18,65.52,0.15,9.74,0.67
2024-07-01,16:30,July,Monsoon,Inverted-V,93,119.66,31.5,29.49,81.91,0.18,65.52,0.15,9.74,0.67
2024-07-01,16:45,July,Monsoon,Inverted-V,93,119.66,31.5,29.49,81.91,0.18,65.52,0.15,9.74,0.67
2024-07-01,17:00,July,Monsoon,Inverted-V,93,38.93,29.66,25.63,83.13,0.06,66.5,0.05,3.2,0.67
2024-07-01,17:15,July,Monsoon,Inverted-V,93,38.93,29.66,25.63,83.13,0.06,66.5,0.05,3.2,0.67
2024-07-01,17:30,July,Monsoon,Inverted-V,93,38.93,29.66,25.63,83.13,0.06,66.5,0.05,3.2,0.67
2024-07-01,17:45,July,Monsoon,Inverted-V,93,38.93,29.66,25.63,83.13,0.06,66.5,0.05,3.2,0.67
2024-07-02,06:00,July,Monsoon,Inverted-V,93,92.53,24.56,21.87,84.32,0.14,67.45,0.11,7.69,0.67
2024-07-02,06:15,July,Monsoon,Inverted-V,93,92.53,24.56,21.87,84.32,0.14,67.45,0.11,7.69,0.67
2024-07-02,06:30,July,Monsoon,Inverted-V,93,92.53,24.56,21.87,84.32,0.14,67.45,0.11,7.69,0.67
2024-07-02,06:45,July,Monsoon,Inverted-V,93,92.53,24.56,21.87,84.32,0.14,67.45,0.11,7.69,0.67
2024-07-02,07:00,July,Monsoon,Inverted-V,93,265.52,25.59,27.23,82.62,0.39,66.1,0.33,21.74,0.67
2024-07-02,07:15,July,Monsoon,Inverted-V,93,265.52,25.59,27.23,82.62,0.39,66.1,0.33,21.74,0.67
2024-07-02,07:30,July,Monsoon,Inverted-V,93,265.52,25.59,27.23,82.62,0.39,66.1,0.33,21.74,0.67
2024-07-02,07:45,July,Monsoon,Inverted-V,93,265.52,25.59,27.23,82.62,0.39,66.1,0.33,21.74,0.67
2024-07-02,08:00,July,Monsoon,Inverted-V,93,441.2,27.61,33.64,80.59,0.66,64.47,0.55,35.47,0.67
2024-07-02,08:15,July,Monsoon,Inverted-V,93,441.2,27.61,33.64,80.59,0.66,64.47,0.55,35.47,0.67
2024-07-02,08:30,July,Monsoon,Inverted-V,93,441.2,27.61,33.64,80.59,0.66,64.47,0.55,35.47,0.67
2024-07-02,08:45,July,Monsoon,Inverted-V,93,441.2,27.61,33.64,80.59,0.66,64.47,0.55,35.47,0.67
2024-07-02,09:00,July,Monsoon,Inverted-V,93,628.11,30.46,41.16,78.21,0.94,62.57,0.79,49.37,0.67
2024-07-02,09:15,July,Monsoon,Inverted-V,93,628.11,30.46,41.16,78.21,0.94,62.57,0.79,49.37,0.67
2024-07-02,09:30,July,Monsoon,Inverted-V,93,628.11,30.46,41.16,78.21,0.94,62.57,0.79,49.37,0.67
2024-07-02,09:45,July,Monsoon,Inverted-V,93,628.11,30.46,41.16,78.21,0.94,62.57,0.79,49.37,0.67
2024-07-02,10:00,July,Monsoon,Inverted-V,93,762.57,32.28,46.34,76.57,1.15,61.26,0.96,58.97,0.67
2024-07-02,10:15,July,Monsoon,Inverted-V,93,762.57,32.28,46.34,76.57,1.15,61.26,0.96,58.97,0.67
2024-07-02,10:30,July,Monsoon,Inverted-V,93,762.57,32.28,46.34,76.57,1.15,61.26,0.96,58.97,0.67
2024-07-02,10:45,July,Monsoon,Inverted-V,93,762.57,32.28,46.34,76.57,1.15,61.26,0.96,58.97,0.67
2024-07-02,11:00,July,Monsoon,Inverted-V,93,727.65,33.49,46.68,76.46,1.1,61.17,0.92,56.21,0.67
2024-07-02,11:15,July,Monsoon,Inverted-V,93,727.65,33.49,46.68,76.46,1.1,61.17,0.92,56.21,0.67
2024-07-02,11:30,July,Monsoon,Inverted-V,93,727.65,33.49,46.68,76.46,1.1,61.17,0.92,56.21,0.67
2024-07-02,11:45,July,Monsoon,Inverted-V,93,727.65,33.49,46.68,76.46,1.1,61.17,0.92,56.21,0.67
2024-07-02,12:00,July,Monsoon,Inverted-V,93,626.29,34.21,44.87,77.04,0.94,61.63,0.79,48.66,0.67
2024-07-02,12:15,July,Monsoon,Inverted-V,93,626.29,34.21,44.87,77.04,0.94,61.63,0.79,48.66,0.67
2024-07-02,12:30,July,Monsoon,Inverted-V,93,626.29,34.21,44.87,77.04,0.94,61.63,0.79,48.66,0.67
2024-07-02,12:45,July,Monsoon,Inverted-V,93,626.29,34.21,44.87,77.04,0.94,61.63,0.79,48.66,0.67
2024-07-02,13:00,July,Monsoon,Inverted-V,93,595.44,34.53,44.42,77.18,0.9,61.74,0.75,46.33,0.67
2024-07-02,13:15,July,Monsoon,Inverted-V,93,595.44,34.53,44.42,77.18,0.9,61.74,0.75,46.33,0.67
2024-07-02,13:30,July,Monsoon,Inverted-V,93,595.44,34.53,44.42,77.18,0.9,61.74,0.75,46.33,0.67
2024-07-02,13:45,July,Monsoon,Inverted-V,93,595.44,34.53,44.42,77.18,0.9,61.74,0.75,46.33,0.67
2024-07-02,14:00,July,Monsoon,Inverted-V,93,470.52,34.59,41.35,78.15,0.71,62.52,0.59,36.96,0.67
2024-07-02,14:15,July,Monsoon,Inverted-V,93,470.52,34.59,41.35,78.15,0.71,62.52,0.59,36.96,0.67
2024-07-02,14:30,July,Monsoon,Inverted-V,93,470.52,34.59,41.35,78.15,0.71,62.52,0.59,36.96,0.67
2024-07-02,14:45,July,Monsoon,Inverted-V,93,470.52,34.59,41.35,78.15,0.71,62.52,0.59,36.96,0.67
2024-07-02,15:00,July,Monsoon,Inverted-V,93,314.71,34.32,37.19,79.47,0.47,63.58,0.39,25.03,0.67
2024-07-02,15:15,July,Monsoon,Inverted-V,93,314.71,34.32,37.19,79.47,0.47,63.58,0.39,25.03,0.67
2024-07-02,15:30,July,Monsoon,Inverted-V,93,314.71,34.32,37.19,79.47,0.47,63.58,0.39,25.03,0.67
2024-07-02,15:45,July,Monsoon,Inverted-V,93,314.71,34.32,37.19,79.47,0.47,63.58,0.39,25.03,0.67
2024-07-02,16:00,July,Monsoon,Inverted-V,93,182.95,33.48,33.05,80.78,0.27,64.62,0.23,14.73,0.67
2024-07-02,16:15,July,Monsoon,Inverted-V,93,182.95,33.48,33.05,80.78,0.27,64.62,0.23,14.73,0.67
2024-07-02,16:30,July,Monsoon,Inverted-V,93,182.95,33.48,33.05,80.78,0.27,64.62,0.23,14.73,0.67
2024-07-02,16:45,July,Monsoon,Inverted-V,93,182.95,33.48,33.05,80.78,0.27,64.62,0.23,14.73,0.67
2024-07-02,17:00,July,Monsoon,Inverted-V,93,54.9,30.98,27.35,82.58,0.08,66.07,0.07,4.49,0.67
2024-07-02,17:15,July,Monsoon,Inverted-V,93,54.9,30.98,27.35,82.58,0.08,66.07,0.07,4.49,0.67
2024-07-02,17:30,July,Monsoon,Inverted-V,93,54.9,30.98,27.35,82.58,0.08,66.07,0.07,4.49,0.67
2024-07-02,17:45,July,Monsoon,Inverted-V,93,54.9,30.98,27.35,82.58,0.08,66.07,0.07,4.49,0.67
2024-07-03,06:00,July,Monsoon,Inverted-V,93,95.55,24.95,22.34,84.17,0.14,67.34,0.12,7.93,0.67
2024-07-03,06:15,July,Monsoon,Inverted-V,93,95.55,24.95,22.34,84.17,0.14,67.34,0.12,7.93,0.67
2024-07-03,06:30,July,Monsoon,Inverted-V,93,95.55,24.95,22.34,84.17,0.14,67.34,0.12,7.93,0.67
2024-07-03,06:45,July,Monsoon,Inverted-V,93,95.55,24.95,22.34,84.17,0.14,67.34,0.12,7.93,0.67
2024-07-03,07:00,July,Monsoon,Inverted-V,93,272.16,26.05,27.85,82.42,0.4,65.94,0.34,22.25,0.67
2024-07-03,07:15,July,Monsoon,Inverted-V,93,272.16,26.05,27.85,82.42,0.4,65.94,0.34,22.25,0.67
2024-07-03,07:30,July,Monsoon,Inverted-V,93,272.16,26.05,27.85,82.42,0.4,65.94,0.34,22.25,0.67
2024-07-03,07:45,July,Monsoon,Inverted-V,93,272.16,26.05,27.85,82.42,0.4,65.94,0.34,22.25,0.67
2024-07-03,08:00,July,Monsoon,Inverted-V,93,469.21,27.68,34.41,80.35,0.7,64.28,0.59,37.63,0.67
2024-07-03,08:15,July,Monsoon,Inverted-V,93,469.21,27.68,34.41,80.35,0.7,64.28,0.59,37.63,0.67
2024-07-03,08:30,July,Monsoon,Inverted-V,93,469.21,27.68,34.41,80.35,0.7,64.28,0.59,37.63,0.67
2024-07-03,08:45,July,Monsoon,Inverted-V,93,469.21,27.68,34.41,80.35,0.7,64.28,0.59,37.63,0.67
2024-07-03,09:00,July,Monsoon,Inverted-V,93,659.93,29.67,41.17,78.21,0.99,62.57,0.83,51.87,0.67
2024-07-03,09:15,July,Monsoon,Inverted-V,93,659.93,29.67,41.17,78.21,0.99,62.57,0.83,51.87,0.67
2024-07-03,09:30,July,Monsoon,Inverted-V,93,659.93,29.67,41.17,78.21,0.99,62.57,0.83,51.87,0.67
2024-07-03,09:45,July,Monsoon,Inverted-V,93,659.93,29.67,41.17,78.21,0.99,62.57,0.83,51.87,0.67
2024-07-03,10:00,July,Monsoon,Inverted-V,93,774.93,31.54,45.91,76.71,1.17,61.36,0.98,60.01,0.67
2024-07-03,10:15,July,Monsoon,Inverted-V,93,774.93,31.54,45.91,76.71,1.17,61.36,0.98,60.01,0.67
2024-07-03,10:30,July,Monsoon,Inverted-V,93,774.93,31.54,45.91,76.71,1.17,61.36,0.98,60.01,0.67
2024-07-03,10:45,July,Monsoon,Inverted-V,93,774.93,31.54,45.91,76.71,1.17,61.36,0.98,60.01,0.67
2024-07-03,11:00,July,Monsoon,Inverted-V,93,669.28,33.13,44.86,77.04,1.01,61.63,0.84,52.0,0.67
2024-07-03,11:15,July,Monsoon,Inverted-V,93,669.28,33.13,44.86,77.04,1.01,61.63,0.84,52.0,0.67
