Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-07-01,06:00,July,Monsoon,V-Shape,93,58.51,25.8,23.26,83.88,0.09,67.1,0.07,4.84,0.67
2024-07-01,06:15,July,Monsoon,V-Shape,93,58.51,25.8,23.26,83.88,0.09,67.1,0.07,4.84,0.67
2024-07-01,06:30,July,Monsoon,V-Shape,93,58.51,25.8,23.26,83.88,0.09,67.1,0.07,4.84,0.67
2024-07-01,06:45,July,Monsoon,V-Shape,93,58.51,25.8,23.26,83.88,0.09,67.1,0.07,4.84,0.67
2024-07-01,07:00,July,Monsoon,V-Shape,93,184.15,26.95,27.55,82.52,0.27,66.02,0.23,15.07,0.67
2024-07-01,07:15,July,Monsoon,V-Shape,93,184.15,26.95,27.55,82.52,0.27,66.02,0.23,15.07,0.67
2024-07-01,07:30,July,Monsoon,V-Shape,93,184.15,26.95,27.55,82.52,0.27,66.02,0.23,15.07,0.67
2024-07-01,07:45,July,Monsoon,V-Shape,93,184.15,26.95,27.55,82.52,0.27,66.02,0.23,15.07,0.67
2024-07-01,08:00,July,Monsoon,V-Shape,93,335.32,28.16,32.54,80.94,0.5,64.75,0.42,27.04,0.67
2024-07-01,08:15,July,Monsoon,V-Shape,93,335.32,28.16,32.54,80.94,0.5,64.75,0.42,27.04,0.67
2024-07-01,08:30,July,Monsoon,V-Shape,93,335.32,28.16,32.54,80.94,0.5,64.75,0.42,27.04,0.67
2024-07-01,08:45,July,Monsoon,V-Shape,93,335.32,28.16,32.54,80.94,0.5,64.75,0.42,27.04,0.67
2024-07-01,09:00,July,Monsoon,V-Shape,93,468.04,29.36,37.06,79.51,0.7,63.61,0.59,37.24,0.67
2024-07-01,09:15,July,Monsoon,V-Shape,93,468.04,29.36,37.06,79.51,0.7,63.61,0.59,37.24,0.67
2024-07-01,09:30,July,Monsoon,V-Shape,93,468.04,29.36,37.06,79.51,0.7,63.61,0.59,37.24,0.67
2024-07-01,09:45,July,Monsoon,V-Shape,93,468.04,29.36,37.06,79.51,0.7,63.61,0.59,37.24,0.67
2024-07-01,10:00,July,Monsoon,V-Shape,93,528.68,30.55,39.77,78.65,0.79,62.92,0.66,41.73,0.67
2024-07-01,10:15,July,Monsoon,V-Shape,93,528.68,30.55,39.77,78.65,0.79,62.92,0.66,41.73,0.67
2024-07-01,10:30,July,Monsoon,V-Shape,93,528.68,30.55,39.77,78.65,0.79,62.92,0.66,41.73,0.67
