Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-03-01,06:00,March,Spring,Flat,62,39.5,23.97,28.96,82.07,0.06,65.66,0.05,3.22,0.67
2024-03-01,06:15,March,Spring,Flat,62,39.5,23.97,28.96,82.07,0.06,65.66,0.05,3.22,0.67
2024-03-01,06:30,March,Spring,Flat,62,39.5,23.97,28.96,82.07,0.06,65.66,0.05,3.22,0.67
2024-03-01,06:45,March,Spring,Flat,62,39.5,23.97,28.96,82.07,0.06,65.66,0.05,3.22,0.67
2024-03-01,07:00,March,Spring,Flat,62,223.0,26.98,36.55,79.67,0.33,63.74,0.28,17.77,0.67
2024-03-01,07:15,March,Spring,Flat,62,223.0,26.98,36.55,79.67,0.33,63.74,0.28,17.77,0.67
2024-03-01,07:30,March,Spring,Flat,62,223.0,26.98,36.55,79.67,0.33,63.74,0.28,17.77,0.67
2024-03-01,07:45,March,Spring,Flat,62,223.0,26.98,36.55,79.67,0.33,63.74,0.28,17.77,0.67
2024-03-01,08:00,March,Spring,Flat,62,422.38,29.81,44.37,77.19,0.64,61.76,0.53,32.87,0.67
2024-03-01,08:15,March,Spring,Flat,62,422.38,29.81,44.37,77.19,0.64,61.76,0.53,32.87,0.67
2024-03-01,08:30,March,Spring,Flat,62,422.38,29.81,44.37,77.19,0.64,61.76,0.53,32.87,0.67
2024-03-01,08:45,March,Spring,Flat,62,422.38,29.81,44.37,77.19,0.64,61.76,0.53,32.87,0.67
2024-03-01,09:00,March,Spring,Flat,62,633.1,32.21,52.04,74.77,0.96,59.81,0.8,48.08,0.67
2024-03-01,09:15,March,Spring,Flat,62,633.1,32.21,52.04,74.77,0.96,59.81,0.8,48.08,0.67
2024-03-01,09:30,March,Spring,Flat,62,633.1,32.21,52.04,74.77,0.96,59.81,0.8,48.08,0.67
2024-03-01,09:45,March,Spring,Flat,62,633.1,32.21,52.04,74.77,0.96,59.81,0.8,48.08,0.67
2024-03-01,10:00,March,Spring,Flat,62,776.78,34.07,57.49,73.04,1.18,58.43,0.99,57.93,0.67
2024-03-01,10:15,March,Spring,Flat,62,776.78,34.07,57.49,73.04,1.18,58.43,0.99,57.93,0.67
2024-03-01,10:30,March,Spring,Flat,62,776.78,34.07,57.49,73.04,1.18,58.43,0.99,57.93,0.67
2024-03-01,10:45,March,Spring,Flat,62,776.78,34.07,57.49,73.04,1.18,58.43,0.99,57.93,0.67
2024-03-01,11:00,March,Spring,Flat,62,810.8,35.5,59.77,72.32,1.24,57.85,1.04,60.0,0.67
2024-03-01,11:15,March,Spring,Flat,62,810.8,35.5,59.77,72.32,1.24,57.85,1.04,60.0,0.67
2024-03-01,11:30,March,Spring,Flat,62,810.8,35.5,59.77,72.32,1.24,57.85,1.04,60.0,0.67
2024-03-01,11:45,March,Spring,Flat,62,810.8,35.5,59.77,72.32,1.24,57.85,1.04,60.0,0.67
2024-03-01,12:00,March,Spring,Flat,62,792.75,36.28,60.1,72.21,1.21,57.77,1.01,58.6,0.67
2024-03-01,12:15,March,Spring,Flat,62,792.75,36.28,60.1,72.21,1.21,57.77,1.01,58.6,0.67
2024-03-01,12:30,March,Spring,Flat,62,792.75,36.28,60.1,72.21,1.21,57.77,1.01,58.6,0.67
2024-03-01,12:45,March,Spring,Flat,62,792.75,36.28,60.1,72.21,1.21,57.77,1.01,58.6,0.67
2024-03-01,13:00,March,Spring,Flat,62,688.0,36.5,57.7,72.97,1.05,58.38,0.88,51.27,0.67
2024-03-01,13:15,March,Spring,Flat,62,688.0,36.5,57.7,72.97,1.05,58.38,0.88,51.27,0.67
2024-03-01,13:30,March,Spring,Flat,62,688.0,36.5,57.7,72.97,1.05,58.38,0.88,51.27,0.67
2024-03-01,13:45,March,Spring,Flat,62,688.0,36.5,57.7,72.97,1.05,58.38,0.88,51.27,0.67
2024-03-01,14:00,March,Spring,Flat,62,546.47,36.03,53.69,74.24,0.83,59.39,0.69,41.27,0.67
2024-03-01,14:15,March,Spring,Flat,62,546.47,36.03,53.69,74.24,0.83,59.39,0.69,41.27,0.67
2024-03-01,14:30,March,Spring,Flat,62,546.47,36.03,53.69,74.24,0.83,59.39,0.69,41.27,0.67
2024-03-01,14:45,March,Spring,Flat,62,546.47,36.03,53.69,74.24,0.83,59.39,0.69,41.27,0.67
2024-03-01,15:00,March,Spring,Flat,62,410.23,34.96,49.22,75.66,0.62,60.53,0.52,31.44,0.67
2024-03-01,15:15,March,Spring,Flat,62,410.23,34.96,49.22,75.66,0.62,60.53,0.52,31.44,0.67
2024-03-01,15:30,March,Spring,Flat,62,410.23,34.96,49.22,75.66,0.62,60.53,0.52,31.44,0.67
2024-03-01,15:45,March,Spring,Flat,62,410.23,34.96,49.22,75.66,0.62,60.53,0.52,31.44,0.67
