Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-03-01,06:00,March,Spring,V-Shape,62,41.48,23.97,28.01,82.38,0.06,65.9,0.05,3.39,0.67
2024-03-01,06:15,March,Spring,V-Shape,62,41.48,23.97,28.01,82.38,0.06,65.9,0.05,3.39,0.67
2024-03-01,06:30,March,Spring,V-Shape,62,41.48,23.97,28.01,82.38,0.06,65.9,0.05,3.39,0.67
2024-03-01,06:45,March,Spring,V-Shape,62,41.48,23.97,28.01,82.38,0.06,65.9,0.05,3.39,0.67
2024-03-01,07:00,March,Spring,V-Shape,62,234.15,26.98,35.83,79.9,0.35,63.92,0.29,18.7,0.67
2024-03-01,07:15,March,Spring,V-Shape,62,234.15,26.98,35.83,79.9,0.35,63.92,0.29,18.7,0.67
2024-03-01,07:30,March,Spring,V-Shape,62,234.15,26.98,35.83,79.9,0.35,63.92,0.29,18.7,0.67
2024-03-01,07:45,March,Spring,V-Shape,62,234.15,26.98,35.83,79.9,0.35,63.92,0.29,18.7,0.67
2024-03-01,08:00,March,Spring,V-Shape,62,443.5,29.81,43.9,77.34,0.67,61.88,0.56,34.56,0.67
2024-03-01,08:15,March,Spring,V-Shape,62,443.5,29.81,43.9,77.34,0.67,61.88,0.56,34.56,0.67
2024-03-01,08:30,March,Spring,V-Shape,62,443.5,29.81,43.9,77.34,0.67,61.88,0.56,34.56,0.67
2024-03-01,08:45,March,Spring,V-Shape,62,443.5,29.81,43.9,77.34,0.67,61.88,0.56,34.56,0.67
2024-03-01,09:00,March,Spring,V-Shape,62,664.75,32.21,51.83,74.83,1.01,59.87,0.84,50.51,0.67
2024-03-01,09:15,March,Spring,V-Shape,62,664.75,32.21,51.83,74.83,1.01,59.87,0.84,50.51,0.67
2024-03-01,09:30,March,Spring,V-Shape,62,664.75,32.21,51.83,74.83,1.01,59.87,0.84,50.51,0.67
2024-03-01,09:45,March,Spring,V-Shape,62,664.75,32.21,51.83,74.83,1.01,59.87,0.84,50.51,0.67
2024-03-01,10:00,March,Spring,V-Shape,62,815.62,34.07,57.46,73.05,1.24,58.44,1.04,60.83,0.67
2024-03-01,10:15,March,Spring,V-Shape,62,815.62,34.07,57.46,73.05,1.24,58.44,1.04,60.83,0.67
2024-03-01,10:30,March,Spring,V-Shape,62,815.62,34.07,57.46,73.05,1.24,58.44,1.04,60.83,0.67
2024-03-01,10:45,March,Spring,V-Shape,62,815.62,34.07,57.46,73.05,1.24,58.44,1.04,60.83,0.67
2024-03-01,11:00,March,Spring,V-Shape,62,851.34,35.5,59.78,72.31,1.3,57.85,1.09,63.0,0.67
2024-03-01,11:15,March,Spring,V-Shape,62,851.34,35.5,59.78,72.31,1.3,57.85,1.09,63.0,0.67
2024-03-01,11:30,March,Spring,V-Shape,62,851.34,35.5,59.78,72.31,1.3,57.85,1.09,63.0,0.67
2024-03-01,11:45,March,Spring,V-Shape,62,851.34,35.5,59.78,72.31,1.3,57.85,1.09,63.0,0.67
2024-03-01,12:00,March,Spring,V-Shape,62,832.39,36.28,60.09,72.22,1.27,57.77,1.07,61.53,0.67
2024-03-01,12:15,March,Spring,V-Shape,62,832.39,36.28,60.09,72.22,1.27,57.77,1.07,61.53,0.67
2024-03-01,12:30,March,Spring,V-Shape,62,832.39,36.28,60.09,72.22,1.27,57.77,1.07,61.53,0.67
2024-03-01,12:45,March,Spring,V-Shape,62,832.39,36.28,60.09,72.22,1.27,57.77,1.07,61.53,0.67
2024-03-01,13:00,March,Spring,V-Shape,62,722.4,36.5,57.56,73.02,1.1,58.41,0.92,53.86,0.67
2024-03-01,13:15,March,Spring,V-Shape,62,722.4,36.5,57.56,73.02,1.1,58.41,0.92,53.86,0.67
2024-03-01,13:30,March,Spring,V-Shape,62,722.4,36.5,57.56,73.02,1.1,58.41,0.92,53.86,0.67
2024-03-01,13:45,March,Spring,V-Shape,62,722.4,36.5,57.56,73.02,1.1,58.41,0.92,53.86,0.67
2024-03-01,14:00,March,Spring,V-Shape,62,573.79,36.03,53.37,74.34,0.87,59.47,0.73,43.38,0.67
2024-03-01,14:15,March,Spring,V-Shape,62,573.79,36.03,53.37,74.34,0.87,59.47,0.73,43.38,0.67
