Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-05-01,05:00,May,Summer,Flat,62,5.25,28.43,32.56,80.93,0.01,64.75,0.01,0.42,0.67
2024-05-01,05:15,May,Summer,Flat,62,5.25,28.43,32.56,80.93,0.01,64.75,0.01,0.42,0.67
2024-05-01,05:30,May,Summer,Flat,62,5.25,28.43,32.56,80.93,0.01,64.75,0.01,0.42,0.67
2024-05-01,05:45,May,Summer,Flat,62,5.25,28.43,32.56,80.93,0.01,64.75,0.01,0.42,0.67
2024-05-01,06:00,May,Summer,Flat,62,118.1,29.34,36.29,79.75,0.18,63.8,0.15,9.42,0.67
2024-05-01,06:15,May,Summer,Flat,62,118.1,29.34,36.29,79.75,0.18,63.8,0.15,9.42,0.67
2024-05-01,06:30,May,Summer,Flat,62,118.1,29.34,36.29,79.75,0.18,63.8,0.15,9.42,0.67
2024-05-01,06:45,May,Summer,Flat,62,118.1,29.34,36.29,79.75,0.18,63.8,0.15,9.42,0.67
2024-05-01,07:00,May,Summer,Flat,62,327.05,31.7,43.88,77.35,0.49,61.88,0.41,25.49,0.67
2024-05-01,07:15,May,Summer,Flat,62,327.05,31.7,43.88,77.35,0.49,61.88,0.41,25.49,0.67
2024-05-01,07:30,May,Summer,Flat,62,327.05,31.7,43.88,77.35,0.49,61.88,0.41,25.49,0.67
2024-05-01,07:45,May,Summer,Flat,62,327.05,31.7,43.88,77.35,0.49,61.88,0.41,25.49,0.67
2024-05-01,08:00,May,Summer,Flat,62,536.88,33.96,51.38,74.97,0.81,59.98,0.68,40.86,0.67
2024-05-01,08:15,May,Summer,Flat,62,536.88,33.96,51.38,74.97,0.81,59.98,0.68,40.86,0.67
2024-05-01,08:30,May,Summer,Flat,62,536.88,33.96,51.38,74.97,0.81,59.98,0.68,40.86,0.67
2024-05-01,08:45,May,Summer,Flat,62,536.88,33.96,51.38,74.97,0.81,59.98,0.68,40.86,0.67
2024-05-01,09:00,May,Summer,Flat,62,654.85,35.92,56.29,73.42,1.0,58.74,0.83,49.03,0.67
2024-05-01,09:15,May,Summer,Flat,62,654.85,35.92,56.29,73.42,1.0,58.74,0.83,49.03,0.67
2024-05-01,09:30,May,Summer,Flat,62,654.85,35.92,56.29,73.42,1.0,58.74,0.83,49.03,0.67
2024-05-01,09:45,May,Summer,Flat,62,654.85,35.92,56.29,73.42,1.0,58.74,0.83,49.03,0.67
2024-05-01,10:00,May,Summer,Flat,62,842.65,37.65,62.72,71.39,1.29,57.11,1.08,61.73,0.67
2024-05-01,10:15,May,Summer,Flat,62,842.65,37.65,62.72,71.39,1.29,57.11,1.08,61.73,0.67
2024-05-01,10:30,May,Summer,Flat,62,842.65,37.65,62.72,71.39,1.29,57.11,1.08,61.73,0.67
2024-05-01,10:45,May,Summer,Flat,62,842.65,37.65,62.72,71.39,1.29,57.11,1.08,61.73,0.67
2024-05-01,11:00,May,Summer,Flat,62,893.7,39.06,65.4,70.53,1.37,56.43,1.15,64.86,0.67
2024-05-01,11:15,May,Summer,Flat,62,893.7,39.06,65.4,70.53,1.37,56.43,1.15,64.86,0.67
2024-05-01,11:30,May,Summer,Flat,62,893.7,39.06,65.4,70.53,1.37,56.43,1.15,64.86,0.67
2024-05-01,11:45,May,Summer,Flat,62,893.7,39.06,65.4,70.53,1.37,56.43,1.15,64.86,0.67
2024-05-01,12:00,May,Summer,Flat,62,762.97,40.0,63.07,71.27,1.17,57.02,0.98,55.82,0.67
2024-05-01,12:15,May,Summer,Flat,62,762.97,40.0,63.07,71.27,1.17,57.02,0.98,55.82,0.67
2024-05-01,12:30,May,Summer,Flat,62,762.97,40.0,63.07,71.27,1.17,57.02,0.98,55.82,0.67
2024-05-01,12:45,May,Summer,Flat,62,762.97,40.0,63.07,71.27,1.17,57.02,0.98,55.82,0.67
2024-05-01,13:00,May,Summer,Flat,62,701.47,40.56,62.1,71.58,1.07,57.27,0.9,51.5,0.67
2024-05-01,13:15,May,Summer,Flat,62,701.47,40.56,62.1,71.58,1.07,57.27,0.9,51.5,0.67
2024-05-01,13:30,May,Summer,Flat,62,701.47,40.56,62.1,71.58,1.07,57.27,0.9,51.5,0.67
2024-05-01,13:45,May,Summer,Flat,62,701.47,40.56,62.1,71.58,1.07,57.27,0.9,51.5,0.67
2024-05-01,14:00,May,Summer,Flat,62,594.3,40.35,59.21,72.5,0.91,58.0,0.76,44.06,0.67
2024-05-01,14:15,May,Summer,Flat,62,594.3,40.35,59.21,72.5,0.91,58.0,0.76,44.06,0.67
2024-05-01,14:30,May,Summer,Flat,62,594.3,40.35,59.21,72.5,0.91,58.0,0.76,44.06,0.67
2024-05-01,14:45,May,Summer,Flat,62,594.3,40.35,59.21,72.5,0.91,58.0,0.76,44.06,0.67
2024-05-01,15:00,May,Summer,Flat,62,448.73,39.95,55.17,73.78,0.68,59.02,0.57,33.73,0.67
2024-05-01,15:15,May,Summer,Flat,62,448.73,39.95,55.17,73.78,0.68,59.02,0.57,33.73,0.67
2024-05-01,15:30,May,Summer,Flat,62,448.73,39.95,55.17,73.78,0.68,59.02,0.57,33.73,0.67
2024-05-01,15:45,May,Summer,Flat,62,448.73,39.95,55.17,73.78,0.68,59.02,0.57,33.73,0.67
2024-05-01,16:00,May,Summer,Flat,62,233.02,39.03,48.86,75.77,0.35,60.62,0.29,17.88,0.67
2024-05-01,16:15,May,Summer,Flat,62,233.02,39.03,48.86,75.77,0.35,60.62,0.29,17.88,0.67
2024-05-01,16:30,May,Summer,Flat,62,233.02,39.03,48.86,75.77,0.35,60.62,0.29,17.88,0.67
2024-05-01,16:45,May,Summer,Flat,62,233.02,39.03,48.86,75.77,0.35,60.62,0.29,17.88,0.67
2024-05-01,17:00,May,Summer,Flat,62,44.97,37.5,42.62,77.75,0.07,62.2,0.06,3.52,0.67
2024-05-01,17:15,May,Summer,Flat,62,44.97,37.5,42.62,77.75,0.07,62.2,0.06,3.52,0.67
2024-05-01,17:30,May,Summer,Flat,62,44.97,37.5,42.62,77.75,0.07,62.2,0.06,3.52,0.67
2024-05-01,17:45,May,Summer,Flat,62,44.97,37.5,42.62,77.75,0.07,62.2,0.06,3.52,0.67
2024-05-02,05:00,May,Summer,Flat,62,5.6,30.16,34.3,80.38,0.01,64.31,0.01,0.45,0.67
2024-05-02,05:15,May,Summer,Flat,62,5.6,30.16,34.3,80.38,0.01,64.31,0.01,0.45,0.67
2024-05-02,05:30,May,Summer,Flat,62,5.6,30.16,34.3,80.38,0.01,64.31,0.01,0.45,0.67
2024-05-02,05:45,May,Summer,Flat,62,5.6,30.16,34.3,80.38,0.01,64.31,0.01,0.45,0.67
2024-05-02,06:00,May,Summer,Flat,62,117.22,31.06,37.99,79.21,0.18,63.37,0.15,9.3,0.67
2024-05-02,06:15,May,Summer,Flat,62,117.22,31.06,37.99,79.21,0.18,63.37,0.15,9.3,0.67
2024-05-02,06:30,May,Summer,Flat,62,117.22,31.06,37.99,79.21,0.18,63.37,0.15,9.3,0.67
2024-05-02,06:45,May,Summer,Flat,62,117.22,31.06,37.99,79.21,0.18,63.37,0.15,9.3,0.67
2024-05-02,07:00,May,Summer,Flat,62,320.5,32.97,44.98,77.0,0.48,61.6,0.4,24.89,0.67
2024-05-02,07:15,May,Summer,Flat,62,320.5,32.97,44.98,77.0,0.48,61.6,0.4,24.89,0.67
2024-05-02,07:30,May,Summer,Flat,62,320.5,32.97,44.98,77.0,0.48,61.6,0.4,24.89,0.67
2024-05-02,07:45,May,Summer,Flat,62,320.5,32.97,44.98,77.0,0.48,61.6,0.4,24.89,0.67
2024-05-02,08:00,May,Summer,Flat,62,521.08,35.0,52.03,74.77,0.79,59.82,0.66,39.57,0.67
2024-05-02,08:15,May,Summer,Flat,62,521.08,35.0,52.03,74.77,0.79,59.82,0.66,39.57,0.67
2024-05-02,08:30,May,Summer,Flat,62,521.08,35.0,52.03,74.77,0.79,59.82,0.66,39.57,0.67
2024-05-02,08:45,May,Summer,Flat,62,521.08,35.0,52.03,74.77,0.79,59.82,0.66,39.57,0.67
2024-05-02,09:00,May,Summer,Flat,62,677.88,36.96,57.91,72.91,1.03,58.33,0.87,50.48,0.67
2024-05-02,09:15,May,Summer,Flat,62,677.88,36.96,57.91,72.91,1.03,58.33,0.87,50.48,0.67
2024-05-02,09:30,May,Summer,Flat,62,677.88,36.96,57.91,72.91,1.03,58.33,0.87,50.48,0.67
2024-05-02,09:45,May,Summer,Flat,62,677.88,36.96,57.91,72.91,1.03,58.33,0.87,50.48,0.67
2024-05-02,10:00,May,Summer,Flat,62,828.22,38.53,63.24,71.22,1.27,56.98,1.06,60.56,0.67
2024-05-02,10:15,May,Summer,Flat,62,828.22,38.53,63.24,71.22,1.27,56.98,1.06,60.56,0.67
2024-05-02,10:30,May,Summer,Flat,62,828.22,38.53,63.24,71.22,1.27,56.98,1.06,60.56,0.67
2024-05-02,10:45,May,Summer,Flat,62,828.22,38.53,63.24,71.22,1.27,56.98,1.06,60.56,0.67
2024-05-02,11:00,May,Summer,Flat,62,903.83,39.49,66.09,70.32,1.39,56.25,1.16,65.43,0.67
2024-05-02,11:15,May,Summer,Flat,62,903.83,39.49,66.09,70.32,1.39,56.25,1.16,65.43,0.67
2024-05-02,11:30,May,Summer,Flat,62,903.83,39.49,66.09,70.32,1.39,56.25,1.16,65.43,0.67
2024-05-02,11:45,May,Summer,Flat,62,903.83,39.49,66.09,70.32,1.39,56.25,1.16,65.43,0.67
2024-05-02,12:00,May,Summer,Flat,62,869.28,39.88,65.61,70.47,1.34,56.37,1.12,63.04,0.67
2024-05-02,12:15,May,Summer,Flat,62,869.28,39.88,65.61,70.47,1.34,56.37,1.12,63.04,0.67
2024-05-02,12:30,May,Summer,Flat,62,869.28,39.88,65.61,70.47,1.34,56.37,1.12,63.04,0.67
2024-05-02,12:45,May,Summer,Flat,62,869.28,39.88,65.61,70.47,1.34,56.37,1.12,63.04,0.67
2024-05-02,13:00,May,Summer,Flat,62,781.88,39.97,63.52,71.13,1.2,56.91,1.0,57.12,0.67
2024-05-02,13:15,May,Summer,Flat,62,781.88,39.97,63.52,71.13,1.2,56.91,1.0,57.12,0.67
2024-05-02,13:30,May,Summer,Flat,62,781.88,39.97,63.52,71.13,1.2,56.91,1.0,57.12,0.67
2024-05-02,13:45,May,Summer,Flat,62,781.88,39.97,63.52,71.13,1.2,56.91,1.0,57.12,0.67
2024-05-02,14:00,May,Summer,Flat,62,608.7,39.93,59.15,72.52,0.93,58.01,0.78,45.14,0.67
2024-05-02,14:15,May,Summer,Flat,62,608.7,39.93,59.15,72.52,0.93,58.01,0.78,45.14,0.67
2024-05-02,14:30,May,Summer,Flat,62,608.7,39.93,59.15,72.52,0.93,58.01,0.78,45.14,0.67
2024-05-02,14:45,May,Summer,Flat,62,608.7,39.93,59.15,72.52,0.93,58.01,0.78,45.14,0.67
2024-05-02,15:00,May,Summer,Flat,62,445.38,39.66,54.79,73.89,0.68,59.11,0.57,33.52,0.67
2024-05-02,15:15,May,Summer,Flat,62,445.38,39.66,54.79,73.89,0.68,59.11,0.57,33.52,0.67
2024-05-02,15:30,May,Summer,Flat,62,445.38,39.66,54.79,73.89,0.68,59.11,0.57,33.52,0.67
2024-05-02,15:45,May,Summer,Flat,62,445.38,39.66,54.79,73.89,0.68,59.11,0.57,33.52,0.67
2024-05-02,16:00,May,Summer,Flat,62,223.98,38.93,48.53,75.88,0.34,60.7,0.28,17.2,0.67
2024-05-02,16:15,May,Summer,Flat,62,223.98,38.93,48.53,75.88,0.34,60.7,0.28,17.2,0.67
2024-05-02,16:30,May,Summer,Flat,62,223.98,38.93,48.53,75.88,0.34,60.7,0.28,17.2,0.67
2024-05-02,16:45,May,Summer,Flat,62,223.98,38.93,48.53,75.88,0.34,60.7,0.28,17.2,0.67
2024-05-02,17:00,May,Summer,Flat,62,45.35,37.29,42.42,77.81,0.07,62.25,0.06,3.55,0.67
2024-05-02,17:15,May,Summer,Flat,62,45.35,37.29,42.42,77.81,0.07,62.25,0.06,3.55,0.67
2024-05-02,17:30,May,Summer,Flat,62,45.35,37.29,42.42,77.81,0.07,62.25,0.06,3.55,0.67
2024-05-02,17:45,May,Summer,Flat,62,45.35,37.29,42.42,77.81,0.07,62.25,0.06,3.55,0.67
2024-05-03,05:00,May,Summer,Flat,62,5.45,28.86,33.0,80.8,0.01,64.64,0.01,0.44,0.67
2024-05-03,05:15,May,Summer,Flat,62,5.45,28.86,33.0,80.8,0.01,64.64,0.01,0.44,0.67
2024-05-03,05:30,May,Summer,Flat,62,5.45,28.86,33.0,80.8,0.01,64.64,0.01,0.44,0.67
2024-05-03,05:45,May,Summer,Flat,62,5.45,28.86,33.0,80.8,0.01,64.64,0.01,0.44,0.67
2024-05-03,06:00,May,Summer,Flat,62,106.75,30.24,36.91,79.56,0.16,63.65,0.13,8.5,0.67
2024-05-03,06:15,May,Summer,Flat,62,106.75,30.24,36.91,79.56,0.16,63.65,0.13,8.5,0.67
2024-05-03,06:30,May,Summer,Flat,62,106.75,30.24,36.91,79.56,0.16,63.65,0.13,8.5,0.67
2024-05-03,06:45,May,Summer,Flat,62,106.75,30.24,36.91,79.56,0.16,63.65,0.13,8.5,0.67
2024-05-03,07:00,May,Summer,Flat,62,262.55,32.77,43.33,77.52,0.39,62.02,0.33,20.5,0.67
2024-05-03,07:15,May,Summer,Flat,62,262.55,32.77,43.33,77.52,0.39,62.02,0.33,20.5,0.67
2024-05-03,07:30,May,Summer,Flat,62,262.55,32.77,43.33,77.52,0.39,62.02,0.33,20.5,0.67
2024-05-03,07:45,May,Summer,Flat,62,262.55,32.77,43.33,77.52,0.39,62.02,0.33,20.5,0.67
2024-05-03,08:00,May,Summer,Flat,62,424.88,35.01,49.63,75.53,0.64,60.42,0.54,32.52,0.67
2024-05-03,08:15,May,Summer,Flat,62,424.88,35.01,49.63,75.53,0.64,60.42,0.54,32.52,0.67
2024-05-03,08:30,May,Summer,Flat,62,424.88,35.01,49.63,75.53,0.64,60.42,0.54,32.52,0.67
2024-05-03,08:45,May,Summer,Flat,62,424.88,35.01,49.63,75.53,0.64,60.42,0.54,32.52,0.67
2024-05-03,09:00,May,Summer,Flat,62,595.53,36.68,55.57,73.65,0.91,58.92,0.76,44.7,0.67
2024-05-03,09:15,May,Summer,Flat,62,595.53,36.68,55.57,73.65,0.91,58.92,0.76,44.7,0.67
2024-05-03,09:30,May,Summer,Flat,62,595.53,36.68,55.57,73.65,0.91,58.92,0.76,44.7,0.67
2024-05-03,09:45,May,Summer,Flat,62,595.53,36.68,55.57,73.65,0.91,58.92,0.76,44.7,0.67
2024-05-03,10:00,May,Summer,Flat,62,754.7,38.47,61.34,71.82,1.15,57.46,0.97,55.55,0.67
2024-05-03,10:15,May,Summer,Flat,62,754.7,38.47,61.34,71.82,1.15,57.46,0.97,55.55,0.67
2024-05-03,10:30,May,Summer,Flat,62,754.7,38.47,61.34,71.82,1.15,57.46,0.97,55.55,0.67
2024-05-03,10:45,May,Summer,Flat,62,754.7,38.47,61.34,71.82,1.15,57.46,0.97,55.55,0.67
2024-05-03,11:00,May,Summer,Flat,62,772.17,40.34,63.64,71.09,1.18,56.87,0.99,56.38,0.67
2024-05-03,11:15,May,Summer,Flat,62,772.17,40.34,63.64,71.09,1.18,56.87,0.99,56.38,0.67
2024-05-03,11:30,May,Summer,Flat,62,772.17,40.34,63.64,71.09,1.18,56.87,0.99,56.38,0.67
