Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-05-01,05:00,May,Summer,Inverted-V,93,5.67,28.43,23.57,83.78,0.01,67.02,0.01,0.47,0.67
2024-05-01,05:15,May,Summer,Inverted-V,93,5.67,28.43,23.57,83.78,0.01,67.02,0.01,0.47,0.67
2024-05-01,05:30,May,Summer,Inverted-V,93,5.67,28.43,23.57,83.78,0.01,67.02,0.01,0.47,0.67
2024-05-01,05:45,May,Summer,Inverted-V,93,5.67,28.43,23.57,83.78,0.01,67.02,0.01,0.47,0.67
2024-05-01,06:00,May,Summer,Inverted-V,93,127.55,29.34,27.53,82.53,0.19,66.02,0.16,10.44,0.67
2024-05-01,06:15,May,Summer,Inverted-V,93,127.55,29.34,27.53,82.53,0.19,66.02,0.16,10.44,0.67
2024-05-01,06:30,May,Summer,Inverted-V,93,127.55,29.34,27.53,82.53,0.19,66.02,0.16,10.44,0.67
2024-05-01,06:45,May,Summer,Inverted-V,93,127.55,29.34,27.53,82.53,0.19,66.02,0.16,10.44,0.67
2024-05-01,07:00,May,Summer,Inverted-V,93,353.21,31.7,35.53,79.99,0.53,63.99,0.44,28.24,0.67
2024-05-01,07:15,May,Summer,Inverted-V,93,353.21,31.7,35.53,79.99,0.53,63.99,0.44,28.24,0.67
2024-05-01,07:30,May,Summer,Inverted-V,93,353.21,31.7,35.53,79.99,0.53,63.99,0.44,28.24,0.67
2024-05-01,07:45,May,Summer,Inverted-V,93,353.21,31.7,35.53,79.99,0.53,63.99,0.44,28.24,0.67
2024-05-01,08:00,May,Summer,Inverted-V,93,579.83,33.96,43.46,77.48,0.87,61.99,0.73,45.25,0.67
2024-05-01,08:15,May,Summer,Inverted-V,93,579.83,33.96,43.46,77.48,0.87,61.99,0.73,45.25,0.67
2024-05-01,08:30,May,Summer,Inverted-V,93,579.83,33.96,43.46,77.48,0.87,61.99,0.73,45.25,0.67
2024-05-01,08:45,May,Summer,Inverted-V,93,579.83,33.96,43.46,77.48,0.87,61.99,0.73,45.25,0.67
2024-05-01,09:00,May,Summer,Inverted-V,93,707.24,35.92,48.6,75.85,1.07,60.68,0.89,54.31,0.67
