Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-11-01,06:00,November,Winter,V-Shape,62,93.87,25.48,30.83,81.48,0.14,65.19,0.12,7.61,0.67
2024-11-01,06:15,November,Winter,V-Shape,62,93.87,25.48,30.83,81.48,0.14,65.19,0.12,7.61,0.67
2024-11-01,06:30,November,Winter,V-Shape,62,93.87,25.48,30.83,81.48,0.14,65.19,0.12,7.61,0.67
2024-11-01,06:45,November,Winter,V-Shape,62,93.87,25.48,30.83,81.48,0.14,65.19,0.12,7.61,0.67
2024-11-01,07:00,November,Winter,V-Shape,62,285.34,26.43,36.56,79.67,0.43,63.73,0.36,22.74,0.67
2024-11-01,07:15,November,Winter,V-Shape,62,285.34,26.43,36.56,79.67,0.43,63.73,0.36,22.74,0.67
2024-11-01,07:30,November,Winter,V-Shape,62,285.34,26.43,36.56,79.67,0.43,63.73,0.36,22.74,0.67
2024-11-01,07:45,November,Winter,V-Shape,62,285.34,26.43,36.56,79.67,0.43,63.73,0.36,22.74,0.67
2024-11-01,08:00,November,Winter,V-Shape,62,507.62,27.71,43.4,77.5,0.76,62.0,0.64,39.62,0.67
2024-11-01,08:15,November,Winter,V-Shape,62,507.62,27.71,43.4,77.5,0.76,62.0,0.64,39.62,0.67
2024-11-01,08:30,November,Winter,V-Shape,62,507.62,27.71,43.4,77.5,0.76,62.0,0.64,39.62,0.67
2024-11-01,08:45,November,Winter,V-Shape,62,507.62,27.71,43.4,77.5,0.76,62.0,0.64,39.62,0.67
2024-11-01,09:00,November,Winter,V-Shape,62,688.67,29.1,49.32,75.63,1.04,60.5,0.87,52.76,0.67
2024-11-01,09:15,November,Winter,V-Shape,62,688.67,29.1,49.32,75.63,1.04,60.5,0.87,52.76,0.67
2024-11-01,09:30,November,Winter,V-Shape,62,688.67,29.1,49.32,75.63,1.04,60.5,0.87,52.76,0.67
2024-11-01,09:45,November,Winter,V-Shape,62,688.67,29.1,49.32,75.63,1.04,60.5,0.87,52.76,0.67
2024-11-01,10:00,November,Winter,V-Shape,62,797.56,30.32,53.26,74.38,1.21,59.5,1.01,60.32,0.67
2024-11-01,10:15,November,Winter,V-Shape,62,797.56,30.32,53.26,74.38,1.21,59.5,1.01,60.32,0.67
2024-11-01,10:30,November,Winter,V-Shape,62,797.56,30.32,53.26,74.38,1.21,59.5,1.01,60.32,0.67
2024-11-01,10:45,November,Winter,V-Shape,62,797.56,30.32,53.26,74.38,1.21,59.5,1.01,60.32,0.67
2024-11-01,11:00,November,Winter,V-Shape,62,791.49,31.22,54.01,74.14,1.2,59.31,1.01,59.72,0.67
2024-11-01,11:15,November,Winter,V-Shape,62,791.49,31.22,54.01,74.14,1.2,59.31,1.01,59.72,0.67
2024-11-01,11:30,November,Winter,V-Shape,62,791.49,31.22,54.01,74.14,1.2,59.31,1.01,59.72,0.67
2024-11-01,11:45,November,Winter,V-Shape,62,791.49,31.22,54.01,74.14,1.2,59.31,1.01,59.72,0.67
2024-11-01,12:00,November,Winter,V-Shape,62,687.12,31.7,51.88,74.82,1.04,59.85,0.87,52.21,0.67
2024-11-01,12:15,November,Winter,V-Shape,62,687.12,31.7,51.88,74.82,1.04,59.85,0.87,52.21,0.67
2024-11-01,12:30,November,Winter,V-Shape,62,687.12,31.7,51.88,74.82,1.04,59.85,0.87,52.21,0.67
2024-11-01,12:45,November,Winter,V-Shape,62,687.12,31.7,51.88,74.82,1.04,59.85,0.87,52.21,0.67
