Date,Time,ISO_Week,Month,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-02-01,05:30,5,February,V-Shape,77,TCT,9.55,22.82,22.06,84.26,0.02,67.41,0.01,0.85,0.67
2024-02-01,05:45,5,February,V-Shape,77,TCT,14.33,23.06,22.42,84.15,0.02,67.32,0.02,1.27,0.67
2024-02-01,06:00,5,February,V-Shape,77,TCT,19.11,23.29,22.77,84.03,0.03,67.23,0.03,1.7,0.67
2024-02-01,06:15,5,February,V-Shape,77,TCT,48.71,23.68,23.9,83.68,0.08,66.94,0.06,4.31,0.67
2024-02-01,06:30,5,February,V-Shape,77,TCT,78.3,24.07,25.03,83.32,0.12,66.65,0.1,6.9,0.67
2024-02-01,06:45,5,February,V-Shape,77,TCT,107.9,24.47,26.17,82.96,0.17,66.37,0.14,9.48,0.67
2024-02-01,07:00,5,February,V-Shape,77,TCT,137.5,24.86,27.3,82.6,0.22,66.08,0.18,12.05,0.67
2024-02-01,07:15,5,February,V-Shape,77,TCT,178.93,25.36,28.84,82.11,0.28,65.69,0.24,15.61,0.67
2024-02-01,07:30,5,February,V-Shape,77,TCT,220.37,25.87,30.38,81.62,0.35,65.3,0.29,19.14,0.67
2024-02-01,07:45,5,February,V-Shape,77,TCT,261.8,26.38,31.92,81.14,0.42,64.91,0.35,22.63,0.67
2024-02-01,08:00,5,February,V-Shape,77,TCT,303.24,26.88,33.46,80.65,0.48,64.52,0.4,26.1,0.67
2024-02-01,08:15,5,February,V-Shape,77,TCT,329.59,27.47,34.71,80.25,0.53,64.2,0.44,28.26,0.67
2024-02-01,08:30,5,February,V-Shape,77,TCT,355.95,28.06,35.96,79.86,0.57,63.89,0.48,30.41,0.67
2024-02-01,08:45,5,February,V-Shape,77,TCT,382.31,28.66,37.22,79.46,0.61,63.57,0.51,32.54,0.67
2024-02-01,09:00,5,February,V-Shape,77,TCT,408.66,29.25,38.47,79.06,0.65,63.25,0.55,34.65,0.67
2024-02-01,09:15,5,February,V-Shape,77,TCT,459.91,29.7,40.2,78.52,0.74,62.81,0.62,38.79,0.67
2024-02-01,09:30,5,February,V-Shape,77,TCT,511.17,30.14,41.92,77.97,0.82,62.38,0.69,42.89,0.67
2024-02-01,09:45,5,February,V-Shape,77,TCT,562.42,30.59,43.65,77.42,0.9,61.94,0.76,46.93,0.67
2024-02-01,10:00,5,February,V-Shape,77,TCT,613.67,31.04,45.38,76.87,0.99,61.5,0.83,50.94,0.67
2024-02-01,10:15,5,February,V-Shape,77,TCT,639.59,31.33,46.32,76.58,1.03,61.26,0.86,52.93,0.67
2024-02-01,10:30,5,February,V-Shape,77,TCT,665.5,31.62,47.26,76.28,1.07,61.02,0.9,54.91,0.67
