Date,Time,ISO_Week,Month,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-02-26,05:15,9,February,Flat,77,TSSC,8.48,23.92,24.13,83.6,0.01,66.88,0.01,0.74,0.67
2024-02-26,05:30,9,February,Flat,77,TSSC,16.96,24.12,24.54,83.47,0.03,66.78,0.02,1.47,0.67
2024-02-26,05:45,9,February,Flat,77,TSSC,25.44,24.31,24.94,83.35,0.04,66.68,0.03,2.2,0.67
2024-02-26,06:00,9,February,Flat,77,TSSC,33.92,24.5,25.35,83.22,0.05,66.57,0.04,2.93,0.67
2024-02-26,06:15,9,February,Flat,77,TSSC,73.66,25.08,26.92,82.72,0.11,66.18,0.1,6.34,0.67
2024-02-26,06:30,9,February,Flat,77,TSSC,113.4,25.66,28.49,82.22,0.18,65.78,0.15,9.72,0.67
2024-02-26,06:45,9,February,Flat,77,TSSC,153.14,26.23,30.06,81.73,0.24,65.38,0.2,13.06,0.67
2024-02-26,07:00,9,February,Flat,77,TSSC,192.88,26.81,31.63,81.23,0.3,64.98,0.25,16.38,0.67
2024-02-26,07:15,9,February,Flat,77,TSSC,245.56,27.45,33.59,80.61,0.38,64.49,0.32,20.73,0.67
2024-02-26,07:30,9,February,Flat,77,TSSC,298.23,28.09,35.54,79.99,0.47,63.99,0.39,25.03,0.67
2024-02-26,07:45,9,February,Flat,77,TSSC,350.9,28.72,37.5,79.37,0.55,63.5,0.46,29.28,0.67
2024-02-26,08:00,9,February,Flat,77,TSSC,403.58,29.36,39.45,78.75,0.63,63.0,0.53,33.48,0.67
2024-02-26,08:15,9,February,Flat,77,TSSC,448.3,29.95,41.15,78.21,0.71,62.57,0.59,37.0,0.67
2024-02-26,08:30,9,February,Flat,77,TSSC,493.01,30.54,42.86,77.67,0.78,62.14,0.65,40.47,0.67
2024-02-26,08:45,9,February,Flat,77,TSSC,537.73,31.12,44.57,77.13,0.85,61.71,0.71,43.91,0.67
2024-02-26,09:00,9,February,Flat,77,TSSC,582.45,31.71,46.27,76.59,0.92,61.27,0.77,47.31,0.67
2024-02-26,09:15,9,February,Flat,77,TSSC,614.94,32.23,47.6,76.17,0.97,60.94,0.82,49.74,0.67
2024-02-26,09:30,9,February,Flat,77,TSSC,647.42,32.75,48.93,75.75,1.03,60.6,0.86,52.14,0.67
2024-02-26,09:45,9,February,Flat,77,TSSC,679.91,33.26,50.26,75.33,1.08,60.26,0.9,54.53,0.67
2024-02-26,10:00,9,February,Flat,77,TSSC,712.4,33.78,51.59,74.91,1.13,59.93,0.95,56.89,0.67
2024-02-26,10:15,9,February,Flat,77,TSSC,730.12,34.19,52.44,74.64,1.16,59.71,0.97,58.14,0.67
2024-02-26,10:30,9,February,Flat,77,TSSC,747.85,34.6,53.3,74.37,1.19,59.49,1.0,59.38,0.67
2024-02-26,10:45,9,February,Flat,77,TSSC,765.57,35.01,54.15,74.1,1.22,59.28,1.02,60.62,0.67
2024-02-26,11:00,9,February,Flat,77,TSSC,783.3,35.42,55.0,73.83,1.25,59.06,1.05,61.85,0.67
2024-02-26,11:15,9,February,Flat,77,TSSC,794.5,35.67,55.53,73.66,1.27,58.93,1.06,62.62,0.67
2024-02-26,11:30,9,February,Flat,77,TSSC,805.71,35.92,56.06,73.49,1.29,58.79,1.08,63.39,0.67
