Date,Time,ISO_Week,Month,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-03-04,05:15,10,March,Flat,62,TCT,11.89,22.02,26.32,82.91,0.02,66.33,0.02,1.04,0.67
2024-03-04,05:30,10,March,Flat,62,TCT,23.79,22.51,27.1,82.66,0.04,66.13,0.03,2.09,0.67
2024-03-04,05:45,10,March,Flat,62,TCT,35.69,23.0,27.89,82.41,0.06,65.93,0.05,3.12,0.67
2024-03-04,06:00,10,March,Flat,62,TCT,47.58,23.48,28.67,82.17,0.08,65.73,0.06,4.15,0.67
2024-03-04,06:15,10,March,Flat,62,TCT,98.73,24.28,30.75,81.51,0.16,65.21,0.13,8.56,0.67
2024-03-04,06:30,10,March,Flat,62,TCT,149.89,25.08,32.82,80.85,0.24,64.68,0.2,12.92,0.67
2024-03-04,06:45,10,March,Flat,62,TCT,201.05,25.87,34.9,80.19,0.32,64.15,0.27,17.23,0.67
2024-03-04,07:00,10,March,Flat,62,TCT,252.2,26.67,36.98,79.54,0.4,63.63,0.34,21.48,0.67
2024-03-04,07:15,10,March,Flat,62,TCT,311.63,27.39,39.18,78.84,0.5,63.07,0.42,26.37,0.67
2024-03-04,07:30,10,March,Flat,62,TCT,371.06,28.11,41.39,78.14,0.6,62.51,0.5,31.18,0.67
2024-03-04,07:45,10,March,Flat,62,TCT,430.49,28.83,43.59,77.44,0.69,61.95,0.58,35.93,0.67
2024-03-04,08:00,10,March,Flat,62,TCT,489.92,29.55,45.8,76.74,0.79,61.39,0.66,40.61,0.67
2024-03-04,08:15,10,March,Flat,62,TCT,546.09,30.25,47.91,76.07,0.88,60.86,0.74,44.97,0.67
2024-03-04,08:30,10,March,Flat,62,TCT,602.26,30.96,50.02,75.41,0.97,60.33,0.82,49.26,0.67
