Date,Time,ISO_Week,Month,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-05-27,05:00,22,May,Flat,62,Se-P,5.93,25.97,30.12,81.71,0.01,65.37,0.01,0.48,0.67
2024-05-27,05:15,22,May,Flat,62,Se-P,25.23,26.2,30.83,81.48,0.04,65.19,0.03,2.05,0.67
2024-05-27,05:30,22,May,Flat,62,Se-P,44.54,26.43,31.54,81.26,0.07,65.0,0.06,3.6,0.67
2024-05-27,05:45,22,May,Flat,62,Se-P,63.84,26.66,32.26,81.03,0.09,64.82,0.08,5.15,0.67
2024-05-27,06:00,22,May,Flat,62,Se-P,83.15,26.89,32.97,80.8,0.12,64.64,0.1,6.7,0.67
2024-05-27,06:15,22,May,Flat,62,Se-P,115.03,27.34,34.21,80.41,0.17,64.33,0.14,9.23,0.67
2024-05-27,06:30,22,May,Flat,62,Se-P,146.9,27.79,35.46,80.02,0.22,64.01,0.18,11.75,0.67
2024-05-27,06:45,22,May,Flat,62,Se-P,178.78,28.23,36.7,79.62,0.27,63.7,0.22,14.24,0.67
2024-05-27,07:00,22,May,Flat,62,Se-P,210.65,28.68,37.95,79.23,0.31,63.38,0.26,16.72,0.67
2024-05-27,07:15,22,May,Flat,62,Se-P,246.58,29.22,39.38,78.77,0.37,63.02,0.31,19.48,0.67
2024-05-27,07:30,22,May,Flat,62,Se-P,282.5,29.75,40.82,78.32,0.42,62.66,0.35,22.23,0.67
2024-05-27,07:45,22,May,Flat,62,Se-P,318.43,30.29,42.25,77.86,0.48,62.29,0.4,24.94,0.67
2024-05-27,08:00,22,May,Flat,62,Se-P,354.35,30.83,43.69,77.41,0.53,61.93,0.45,27.63,0.67
2024-05-27,08:15,22,May,Flat,62,Se-P,378.88,31.33,44.8,77.06,0.57,61.65,0.48,29.44,0.67
2024-05-27,08:30,22,May,Flat,62,Se-P,403.4,31.82,45.91,76.71,0.61,61.37,0.51,31.24,0.67
2024-05-27,08:45,22,May,Flat,62,Se-P,427.93,32.32,47.02,76.36,0.65,61.08,0.54,33.02,0.67
2024-05-27,09:00,22,May,Flat,62,Se-P,452.45,32.82,48.13,76.0,0.68,60.8,0.57,34.79,0.67
2024-05-27,09:15,22,May,Flat,62,Se-P,491.08,33.22,49.49,75.57,0.74,60.46,0.62,37.6,0.67
2024-05-27,09:30,22,May,Flat,62,Se-P,529.71,33.61,50.86,75.14,0.8,60.11,0.67,40.38,0.67
2024-05-27,09:45,22,May,Flat,62,Se-P,568.34,34.01,52.22,74.71,0.86,59.77,0.72,43.13,0.67
2024-05-27,10:00,22,May,Flat,62,Se-P,606.97,34.41,53.58,74.28,0.92,59.42,0.77,45.86,0.67
2024-05-27,10:15,22,May,Flat,62,Se-P,612.48,34.64,53.95,74.16,0.93,59.33,0.78,46.22,0.67
2024-05-27,10:30,22,May,Flat,62,Se-P,617.99,34.87,54.32,74.04,0.94,59.24,0.79,46.58,0.67
2024-05-27,10:45,22,May,Flat,62,Se-P,623.49,35.1,54.69,73.93,0.95,59.14,0.79,46.94,0.67
2024-05-27,11:00,22,May,Flat,62,Se-P,629.0,35.33,55.05,73.81,0.96,59.05,0.8,47.29,0.67
2024-05-27,11:15,22,May,Flat,62,Se-P,635.31,35.41,55.29,73.74,0.97,58.99,0.81,47.73,0.67
2024-05-27,11:30,22,May,Flat,62,Se-P,641.62,35.48,55.52,73.66,0.98,58.93,0.82,48.17,0.67
2024-05-27,11:45,22,May,Flat,62,Se-P,647.94,35.55,55.75,73.59,0.99,58.87,0.83,48.6,0.67
2024-05-27,12:00,22,May,Flat,62,Se-P,654.25,35.63,55.99,73.52,1.0,58.81,0.83,49.04,0.67
2024-05-27,12:15,22,May,Flat,62,Se-P,652.65,35.51,55.83,73.57,0.99,58.85,0.83,48.95,0.67
2024-05-27,12:30,22,May,Flat,62,Se-P,651.05,35.39,55.67,73.62,0.99,58.89,0.83,48.85,0.67
2024-05-27,12:45,22,May,Flat,62,Se-P,649.45,35.27,55.51,73.67,0.99,58.93,0.83,48.76,0.67
2024-05-27,13:00,22,May,Flat,62,Se-P,647.85,35.15,55.35,73.72,0.99,58.98,0.83,48.66,0.67
2024-05-27,13:15,22,May,Flat,62,Se-P,590.2,34.92,53.68,74.25,0.9,59.4,0.75,44.58,0.67
2024-05-27,13:30,22,May,Flat,62,Se-P,532.54,34.7,52.01,74.77,0.81,59.82,0.68,40.44,0.67
2024-05-27,13:45,22,May,Flat,62,Se-P,474.88,34.48,50.35,75.3,0.72,60.24,0.6,36.26,0.67
2024-05-27,14:00,22,May,Flat,62,Se-P,417.23,34.25,48.68,75.83,0.63,60.66,0.53,32.03,0.67
2024-05-27,14:15,22,May,Flat,62,Se-P,392.12,33.98,47.79,76.11,0.59,60.89,0.5,30.19,0.67
2024-05-27,14:30,22,May,Flat,62,Se-P,367.0,33.72,46.89,76.4,0.55,61.12,0.46,28.33,0.67
2024-05-27,14:45,22,May,Flat,62,Se-P,341.88,33.45,46.0,76.68,0.52,61.34,0.43,26.47,0.67
2024-05-27,15:00,22,May,Flat,62,Se-P,316.77,33.19,45.11,76.96,0.48,61.57,0.4,24.59,0.67
2024-05-27,15:15,22,May,Flat,62,Se-P,279.77,32.86,43.85,77.36,0.42,61.89,0.35,21.81,0.67
2024-05-27,15:30,22,May,Flat,62,Se-P,242.77,32.52,42.59,77.76,0.36,62.21,0.31,19.0,0.67
2024-05-27,15:45,22,May,Flat,62,Se-P,205.77,32.19,41.34,78.16,0.31,62.52,0.26,16.16,0.67
2024-05-27,16:00,22,May,Flat,62,Se-P,168.77,31.86,40.08,78.55,0.25,62.84,0.21,13.31,0.67
2024-05-27,16:15,22,May,Flat,62,Se-P,137.56,31.45,38.89,78.93,0.21,63.14,0.17,10.89,0.67
2024-05-27,16:30,22,May,Flat,62,Se-P,106.34,31.04,37.7,79.31,0.16,63.45,0.13,8.45,0.67
