Date,Time,ISO_Week,Month,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-07-01,05:15,27,July,Inverted-V,77,Se-P,17.15,25.31,23.74,83.73,0.03,66.98,0.02,1.42,0.67
2024-07-01,05:30,27,July,Inverted-V,77,Se-P,31.49,25.48,24.26,83.56,0.05,66.85,0.04,2.6,0.67
2024-07-01,05:45,27,July,Inverted-V,77,Se-P,45.84,25.64,24.78,83.4,0.07,66.72,0.06,3.78,0.67
2024-07-01,06:00,27,July,Inverted-V,77,Se-P,60.18,25.8,25.3,83.23,0.09,66.59,0.07,4.95,0.67
2024-07-01,06:15,27,July,Inverted-V,77,Se-P,92.49,26.09,26.4,82.88,0.14,66.31,0.11,7.59,0.67
2024-07-01,06:30,27,July,Inverted-V,77,Se-P,124.79,26.38,27.49,82.54,0.18,66.03,0.15,10.21,0.67
2024-07-01,06:45,27,July,Inverted-V,77,Se-P,157.1,26.66,28.59,82.19,0.23,65.75,0.19,12.82,0.67
2024-07-01,07:00,27,July,Inverted-V,77,Se-P,189.41,26.95,29.69,81.84,0.28,65.48,0.24,15.4,0.67
2024-07-01,07:15,27,July,Inverted-V,77,Se-P,228.28,27.25,30.96,81.44,0.34,65.15,0.28,18.5,0.67
2024-07-01,07:30,27,July,Inverted-V,77,Se-P,267.15,27.55,32.23,81.04,0.4,64.83,0.33,21.56,0.67
2024-07-01,07:45,27,July,Inverted-V,77,Se-P,306.03,27.86,33.51,80.63,0.46,64.51,0.38,24.61,0.67
2024-07-01,08:00,27,July,Inverted-V,77,Se-P,344.9,28.16,34.78,80.23,0.51,64.18,0.43,27.63,0.67
2024-07-01,08:15,27,July,Inverted-V,77,Se-P,379.03,28.46,35.94,79.87,0.57,63.89,0.47,30.26,0.67
2024-07-01,08:30,27,July,Inverted-V,77,Se-P,413.15,28.76,37.09,79.5,0.62,63.6,0.52,32.87,0.67
2024-07-01,08:45,27,July,Inverted-V,77,Se-P,447.28,29.06,38.24,79.13,0.67,63.31,0.56,35.47,0.67
2024-07-01,09:00,27,July,Inverted-V,77,Se-P,481.41,29.36,39.4,78.77,0.72,63.02,0.6,38.04,0.67
2024-07-01,09:15,27,July,Inverted-V,77,Se-P,497.0,29.66,40.08,78.55,0.74,62.84,0.62,39.19,0.67
2024-07-01,09:30,27,July,Inverted-V,77,Se-P,512.6,29.95,40.77,78.33,0.77,62.67,0.64,40.34,0.67
2024-07-01,09:45,27,July,Inverted-V,77,Se-P,528.19,30.25,41.46,78.12,0.79,62.49,0.66,41.47,0.67
2024-07-01,10:00,27,July,Inverted-V,77,Se-P,543.78,30.55,42.14,77.9,0.82,62.32,0.68,42.61,0.67
2024-07-01,10:15,27,July,Inverted-V,77,Se-P,537.31,30.83,42.26,77.86,0.81,62.29,0.68,42.09,0.67
2024-07-01,10:30,27,July,Inverted-V,77,Se-P,530.83,31.11,42.38,77.83,0.8,62.26,0.67,41.56,0.67
2024-07-01,10:45,27,July,Inverted-V,77,Se-P,524.36,31.38,42.49,77.79,0.79,62.23,0.66,41.04,0.67
2024-07-01,11:00,27,July,Inverted-V,77,Se-P,517.88,31.66,42.61,77.75,0.78,62.2,0.65,40.52,0.67
2024-07-01,11:15,27,July,Inverted-V,77,Se-P,545.76,31.91,43.55,77.45,0.82,61.96,0.69,42.58,0.67
2024-07-01,11:30,27,July,Inverted-V,77,Se-P,573.64,32.15,44.49,77.16,0.86,61.72,0.72,44.62,0.67
2024-07-01,11:45,27,July,Inverted-V,77,Se-P,601.52,32.4,45.43,76.86,0.91,61.49,0.76,46.65,0.67
2024-07-01,12:00,27,July,Inverted-V,77,Se-P,629.4,32.64,46.38,76.56,0.95,61.25,0.79,48.67,0.67
2024-07-01,12:15,27,July,Inverted-V,77,Se-P,586.06,32.78,45.43,76.86,0.88,61.49,0.74,45.45,0.67
2024-07-01,12:30,27,July,Inverted-V,77,Se-P,542.72,32.91,44.48,77.16,0.82,61.73,0.68,42.22,0.67
2024-07-01,12:45,27,July,Inverted-V,77,Se-P,499.37,33.05,43.54,77.46,0.75,61.97,0.63,38.96,0.67
2024-07-01,13:00,27,July,Inverted-V,77,Se-P,456.03,33.19,42.59,77.76,0.68,62.21,0.57,35.68,0.67
2024-07-01,13:15,27,July,Inverted-V,77,Se-P,432.9,33.17,41.99,77.95,0.65,62.36,0.54,33.94,0.67
2024-07-01,13:30,27,July,Inverted-V,77,Se-P,409.78,33.14,41.39,78.14,0.61,62.51,0.51,32.18,0.67
