Date,Time,ISO_Week,Month,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-07-22,05:15,30,July,V-Shape,93,TSSC,19.96,24.43,20.93,84.62,0.03,67.69,0.03,1.75,0.67
2024-07-22,05:30,30,July,V-Shape,93,TSSC,37.77,24.8,21.74,84.36,0.06,67.49,0.05,3.3,0.67
2024-07-22,05:45,30,July,V-Shape,93,TSSC,55.58,25.16,22.55,84.1,0.09,67.28,0.07,4.84,0.67
2024-07-22,06:00,30,July,V-Shape,93,TSSC,73.4,25.53,23.36,83.85,0.11,67.08,0.1,6.38,0.67
2024-07-22,06:15,30,July,V-Shape,93,TSSC,105.25,26.08,24.71,83.42,0.16,66.74,0.14,9.11,0.67
2024-07-22,06:30,30,July,V-Shape,93,TSSC,137.11,26.63,26.06,82.99,0.21,66.39,0.18,11.83,0.67
2024-07-22,06:45,30,July,V-Shape,93,TSSC,168.97,27.18,27.4,82.57,0.26,66.05,0.22,14.52,0.67
2024-07-22,07:00,30,July,V-Shape,93,TSSC,200.83,27.73,28.75,82.14,0.31,65.71,0.26,17.19,0.67
2024-07-22,07:15,30,July,V-Shape,93,TSSC,236.85,28.37,30.29,81.65,0.37,65.32,0.31,20.19,0.67
2024-07-22,07:30,30,July,V-Shape,93,TSSC,272.87,29.01,31.83,81.16,0.43,64.93,0.36,23.15,0.67
2024-07-22,07:45,30,July,V-Shape,93,TSSC,308.89,29.65,33.37,80.68,0.48,64.54,0.4,26.09,0.67
2024-07-22,08:00,30,July,V-Shape,93,TSSC,344.9,30.29,34.91,80.19,0.54,64.15,0.45,29.0,0.67
2024-07-22,08:15,30,July,V-Shape,93,TSSC,362.16,30.85,35.9,79.88,0.57,63.9,0.48,30.36,0.67
2024-07-22,08:30,30,July,V-Shape,93,TSSC,379.41,31.41,36.89,79.56,0.59,63.65,0.5,31.72,0.67
2024-07-22,08:45,30,July,V-Shape,93,TSSC,396.66,31.96,37.88,79.25,0.62,63.4,0.52,33.06,0.67
2024-07-22,09:00,30,July,V-Shape,93,TSSC,413.91,32.52,38.87,78.94,0.65,63.15,0.54,34.4,0.67
2024-07-22,09:15,30,July,V-Shape,93,TSSC,441.13,32.95,39.98,78.58,0.69,62.87,0.58,36.53,0.67
2024-07-22,09:30,30,July,V-Shape,93,TSSC,468.34,33.39,41.09,78.23,0.74,62.59,0.62,38.66,0.67
2024-07-22,09:45,30,July,V-Shape,93,TSSC,495.56,33.82,42.21,77.88,0.78,62.3,0.65,40.76,0.67
2024-07-22,10:00,30,July,V-Shape,93,TSSC,522.77,34.25,43.32,77.53,0.83,62.02,0.69,42.86,0.67
2024-07-22,10:15,30,July,V-Shape,93,TSSC,523.93,34.55,43.65,77.42,0.83,61.94,0.69,42.91,0.67
2024-07-22,10:30,30,July,V-Shape,93,TSSC,525.08,34.85,43.98,77.32,0.83,61.86,0.69,42.96,0.67
2024-07-22,10:45,30,July,V-Shape,93,TSSC,526.23,35.15,44.31,77.21,0.83,61.77,0.7,43.01,0.67
2024-07-22,11:00,30,July,V-Shape,93,TSSC,527.38,35.45,44.63,77.11,0.83,61.69,0.7,43.06,0.67
2024-07-22,11:15,30,July,V-Shape,93,TSSC,596.7,35.55,46.46,76.53,0.94,61.23,0.79,48.44,0.67
2024-07-22,11:30,30,July,V-Shape,93,TSSC,666.03,35.64,48.29,75.95,1.06,60.76,0.88,53.75,0.67
2024-07-22,11:45,30,July,V-Shape,93,TSSC,735.35,35.73,50.12,75.37,1.17,60.3,0.98,59.0,0.67
2024-07-22,12:00,30,July,V-Shape,93,TSSC,804.67,35.83,51.95,74.8,1.28,59.84,1.07,64.18,0.67
2024-07-22,12:15,30,July,V-Shape,93,TSSC,713.87,35.68,49.53,75.56,1.13,60.45,0.95,57.38,0.67
2024-07-22,12:30,30,July,V-Shape,93,TSSC,623.07,35.53,47.11,76.33,0.99,61.06,0.83,50.47,0.67
2024-07-22,12:45,30,July,V-Shape,93,TSSC,532.27,35.38,44.69,77.09,0.84,61.68,0.7,43.45,0.67
2024-07-22,13:00,30,July,V-Shape,93,TSSC,441.47,35.23,42.27,77.86,0.7,62.29,0.58,36.31,0.67
2024-07-22,13:15,30,July,V-Shape,93,TSSC,428.37,34.96,41.67,78.05,0.67,62.44,0.57,35.3,0.67
2024-07-22,13:30,30,July,V-Shape,93,TSSC,415.26,34.69,41.07,78.24,0.65,62.59,0.55,34.28,0.67
2024-07-22,13:45,30,July,V-Shape,93,TSSC,402.15,34.42,40.47,78.43,0.63,62.74,0.53,33.26,0.67
2024-07-22,14:00,30,July,V-Shape,93,TSSC,389.05,34.15,39.88,78.62,0.61,62.89,0.51,32.23,0.67
2024-07-22,14:15,30,July,V-Shape,93,TSSC,390.68,33.91,39.68,78.68,0.61,62.94,0.51,32.39,0.67
2024-07-22,14:30,30,July,V-Shape,93,TSSC,392.31,33.67,39.48,78.74,0.62,62.99,0.52,32.54,0.67
2024-07-22,14:45,30,July,V-Shape,93,TSSC,393.94,33.44,39.29,78.8,0.62,63.04,0.52,32.7,0.67
2024-07-22,15:00,30,July,V-Shape,93,TSSC,395.57,33.2,39.09,78.87,0.62,63.09,0.52,32.85,0.67
2024-07-22,15:15,30,July,V-Shape,93,TSSC,351.75,33.01,37.81,79.27,0.55,63.42,0.46,29.32,0.67
2024-07-22,15:30,30,July,V-Shape,93,TSSC,307.93,32.83,36.52,79.68,0.48,63.74,0.4,25.77,0.67
2024-07-22,15:45,30,July,V-Shape,93,TSSC,264.11,32.64,35.24,80.09,0.41,64.07,0.35,22.19,0.67
2024-07-22,16:00,30,July,V-Shape,93,TSSC,220.29,32.45,33.96,80.49,0.34,64.39,0.29,18.58,0.67
2024-07-22,16:15,30,July,V-Shape,93,TSSC,182.5,31.97,32.53,80.94,0.28,64.75,0.24,15.45,0.67
2024-07-22,16:30,30,July,V-Shape,93,TSSC,144.7,31.5,31.11,81.39,0.23,65.11,0.19,12.3,0.67
2024-07-22,16:45,30,July,V-Shape,93,TSSC,106.91,31.02,29.69,81.84,0.17,65.47,0.14,9.13,0.67
2024-07-22,17:00,30,July,V-Shape,93,TSSC,69.11,30.54,28.27,82.29,0.11,65.83,0.09,5.92,0.67
2024-07-22,17:15,30,July,V-Shape,93,TSSC,51.83,29.96,27.26,82.61,0.08,66.09,0.07,4.46,0.67
2024-07-22,17:30,30,July,V-Shape,93,TSSC,34.56,29.38,26.25,82.93,0.05,66.35,0.04,2.98,0.67
2024-07-22,17:45,30,July,V-Shape,93,TSSC,17.28,28.81,25.24,83.25,0.03,66.6,0.02,1.49,0.67
2024-07-23,05:15,30,July,V-Shape,93,TSSC,20.24,23.99,20.5,84.75,0.03,67.8,0.03,1.77,0.67
2024-07-23,05:30,30,July,V-Shape,93,TSSC,38.22,24.35,21.31,84.5,0.06,67.6,0.05,3.34,0.67
2024-07-23,05:45,30,July,V-Shape,93,TSSC,56.2,24.72,22.12,84.24,0.09,67.39,0.07,4.9,0.67
2024-07-23,06:00,30,July,V-Shape,93,TSSC,74.18,25.08,22.93,83.98,0.11,67.19,0.1,6.46,0.67
2024-07-23,06:15,30,July,V-Shape,93,TSSC,109.73,25.64,24.38,83.52,0.17,66.82,0.14,9.51,0.67
2024-07-23,06:30,30,July,V-Shape,93,TSSC,145.28,26.2,25.83,83.07,0.23,66.45,0.19,12.54,0.67
2024-07-23,06:45,30,July,V-Shape,93,TSSC,180.83,26.75,27.27,82.61,0.28,66.09,0.24,15.55,0.67
2024-07-23,07:00,30,July,V-Shape,93,TSSC,216.37,27.31,28.72,82.15,0.34,65.72,0.28,18.53,0.67
2024-07-23,07:15,30,July,V-Shape,93,TSSC,259.62,27.99,30.49,81.59,0.4,65.27,0.34,22.12,0.67
2024-07-23,07:30,30,July,V-Shape,93,TSSC,302.87,28.68,32.25,81.03,0.47,64.83,0.4,25.67,0.67
2024-07-23,07:45,30,July,V-Shape,93,TSSC,346.12,29.37,34.02,80.47,0.54,64.38,0.45,29.18,0.67
2024-07-23,08:00,30,July,V-Shape,93,TSSC,389.37,30.05,35.78,79.91,0.61,63.93,0.51,32.66,0.67
2024-07-23,08:15,30,July,V-Shape,93,TSSC,399.17,30.71,36.69,79.63,0.63,63.7,0.52,33.39,0.67
2024-07-23,08:30,30,July,V-Shape,93,TSSC,408.96,31.38,37.6,79.34,0.64,63.47,0.54,34.12,0.67
2024-07-23,08:45,30,July,V-Shape,93,TSSC,418.76,32.04,38.51,79.05,0.66,63.24,0.55,34.84,0.67
2024-07-23,09:00,30,July,V-Shape,93,TSSC,428.56,32.7,39.41,78.76,0.67,63.01,0.56,35.56,0.67
2024-07-23,09:15,30,July,V-Shape,93,TSSC,456.65,33.23,40.64,78.38,0.72,62.7,0.6,37.74,0.67
2024-07-23,09:30,30,July,V-Shape,93,TSSC,484.74,33.75,41.87,77.99,0.76,62.39,0.64,39.92,0.67
2024-07-23,09:45,30,July,V-Shape,93,TSSC,512.84,34.27,43.1,77.6,0.81,62.08,0.68,42.07,0.67
2024-07-23,10:00,30,July,V-Shape,93,TSSC,540.93,34.8,44.32,77.21,0.85,61.77,0.72,44.21,0.67
2024-07-23,10:15,30,July,V-Shape,93,TSSC,553.08,35.19,45.01,76.99,0.87,61.59,0.73,45.1,0.67
2024-07-23,10:30,30,July,V-Shape,93,TSSC,565.24,35.57,45.7,76.77,0.89,61.42,0.75,45.99,0.67
2024-07-23,10:45,30,July,V-Shape,93,TSSC,577.39,35.95,46.39,76.56,0.91,61.24,0.77,46.88,0.67
