Date,Time,ISO_Week,Month,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-09-30,05:15,40,September,Inverted-V,77,TSSC,27.55,26.08,24.77,83.4,0.04,66.72,0.04,2.39,0.67
2024-09-30,05:30,40,September,Inverted-V,77,TSSC,51.22,26.2,25.49,83.17,0.08,66.54,0.07,4.43,0.67
2024-09-30,05:45,40,September,Inverted-V,77,TSSC,74.88,26.33,26.2,82.95,0.12,66.36,0.1,6.46,0.67
2024-09-30,06:00,40,September,Inverted-V,77,TSSC,98.55,26.45,26.91,82.72,0.15,66.18,0.13,8.48,0.67
2024-09-30,06:15,40,September,Inverted-V,77,TSSC,142.18,26.66,28.22,82.31,0.22,65.85,0.19,12.19,0.67
2024-09-30,06:30,40,September,Inverted-V,77,TSSC,185.81,26.88,29.52,81.9,0.29,65.52,0.24,15.87,0.67
2024-09-30,06:45,40,September,Inverted-V,77,TSSC,229.45,27.09,30.82,81.48,0.36,65.19,0.3,19.53,0.67
2024-09-30,07:00,40,September,Inverted-V,77,TSSC,273.08,27.3,32.13,81.07,0.43,64.86,0.36,23.15,0.67
2024-09-30,07:15,40,September,Inverted-V,77,TSSC,320.09,27.51,33.51,80.63,0.5,64.51,0.42,27.03,0.67
2024-09-30,07:30,40,September,Inverted-V,77,TSSC,367.09,27.72,34.9,80.19,0.57,64.16,0.48,30.87,0.67
2024-09-30,07:45,40,September,Inverted-V,77,TSSC,414.1,27.93,36.28,79.76,0.65,63.8,0.54,34.68,0.67
2024-09-30,08:00,40,September,Inverted-V,77,TSSC,461.11,28.14,37.67,79.32,0.72,63.45,0.61,38.46,0.67
2024-09-30,08:15,40,September,Inverted-V,77,TSSC,516.97,28.36,39.29,78.8,0.81,63.04,0.68,42.91,0.67
2024-09-30,08:30,40,September,Inverted-V,77,TSSC,572.83,28.59,40.91,78.29,0.9,62.63,0.76,47.31,0.67
2024-09-30,08:45,40,September,Inverted-V,77,TSSC,628.7,28.81,42.52,77.78,0.99,62.22,0.83,51.67,0.67
2024-09-30,09:00,40,September,Inverted-V,77,TSSC,684.56,29.03,44.14,77.27,1.08,61.81,0.91,55.97,0.67
2024-09-30,09:15,40,September,Inverted-V,77,TSSC,717.13,29.26,45.19,76.94,1.13,61.55,0.95,58.45,0.67
2024-09-30,09:30,40,September,Inverted-V,77,TSSC,749.69,29.48,46.23,76.61,1.19,61.29,0.99,60.9,0.67
