Date,Time,ISO_Week,Month,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-10-28,05:15,44,October,Inverted-V,77,TCT,31.5,23.55,22.34,84.17,0.05,67.34,0.04,2.8,0.67
2024-10-28,05:30,44,October,Inverted-V,77,TCT,59.64,23.81,23.3,83.87,0.09,67.09,0.08,5.28,0.67
2024-10-28,05:45,44,October,Inverted-V,77,TCT,87.79,24.07,24.26,83.56,0.14,66.85,0.12,7.76,0.67
2024-10-28,06:00,44,October,Inverted-V,77,TCT,115.94,24.32,25.22,83.26,0.18,66.61,0.15,10.22,0.67
2024-10-28,06:15,44,October,Inverted-V,77,TCT,171.51,24.71,27.0,82.7,0.27,66.16,0.23,15.04,0.67
2024-10-28,06:30,44,October,Inverted-V,77,TCT,227.08,25.1,28.78,82.13,0.36,65.71,0.3,19.81,0.67
2024-10-28,06:45,44,October,Inverted-V,77,TCT,282.65,25.49,30.56,81.57,0.45,65.25,0.38,24.53,0.67
2024-10-28,07:00,44,October,Inverted-V,77,TCT,338.22,25.88,32.34,81.01,0.54,64.8,0.45,29.2,0.67
2024-10-28,07:15,44,October,Inverted-V,77,TCT,398.18,26.48,34.44,80.34,0.63,64.27,0.53,34.17,0.67
2024-10-28,07:30,44,October,Inverted-V,77,TCT,458.13,27.09,36.54,79.67,0.73,63.74,0.61,39.07,0.67
2024-10-28,07:45,44,October,Inverted-V,77,TCT,518.08,27.69,38.64,79.01,0.83,63.21,0.69,43.9,0.67
2024-10-28,08:00,44,October,Inverted-V,77,TCT,578.04,28.29,40.74,78.34,0.93,62.67,0.78,48.67,0.67
2024-10-28,08:15,44,October,Inverted-V,77,TCT,623.28,28.77,42.35,77.83,1.0,62.27,0.84,52.22,0.67
2024-10-28,08:30,44,October,Inverted-V,77,TCT,668.52,29.25,43.96,77.32,1.08,61.86,0.9,55.74,0.67
2024-10-28,08:45,44,October,Inverted-V,77,TCT,713.76,29.73,45.57,76.81,1.15,61.45,0.96,59.21,0.67
2024-10-28,09:00,44,October,Inverted-V,77,TCT,759.0,30.21,47.19,76.3,1.23,61.04,1.03,62.64,0.67
2024-10-28,09:15,44,October,Inverted-V,77,TCT,764.78,30.51,47.62,76.16,1.24,60.93,1.03,63.03,0.67
2024-10-28,09:30,44,October,Inverted-V,77,TCT,770.55,30.8,48.06,76.02,1.25,60.82,1.04,63.42,0.67
2024-10-28,09:45,44,October,Inverted-V,77,TCT,776.33,31.09,48.5,75.89,1.25,60.71,1.05,63.8,0.67
2024-10-28,10:00,44,October,Inverted-V,77,TCT,782.1,31.39,48.94,75.75,1.26,60.6,1.06,64.19,0.67
2024-10-28,10:15,44,October,Inverted-V,77,TCT,773.78,31.57,48.91,75.76,1.25,60.6,1.05,63.51,0.67
2024-10-28,10:30,44,October,Inverted-V,77,TCT,765.46,31.75,48.89,75.76,1.24,60.61,1.04,62.83,0.67
2024-10-28,10:45,44,October,Inverted-V,77,TCT,757.14,31.93,48.86,75.77,1.22,60.62,1.03,62.16,0.67
2024-10-28,11:00,44,October,Inverted-V,77,TCT,748.82,32.11,48.83,75.78,1.21,60.63,1.01,61.48,0.67
2024-10-28,11:15,44,October,Inverted-V,77,TCT,737.33,32.19,48.62,75.85,1.19,60.68,1.0,60.58,0.67
2024-10-28,11:30,44,October,Inverted-V,77,TCT,725.84,32.26,48.41,75.92,1.17,60.73,0.98,59.67,0.67
2024-10-28,11:45,44,October,Inverted-V,77,TCT,714.35,32.33,48.19,75.98,1.15,60.79,0.97,58.77,0.67
2024-10-28,12:00,44,October,Inverted-V,77,TCT,702.86,32.41,47.98,76.05,1.14,60.84,0.95,57.86,0.67
2024-10-28,12:15,44,October,Inverted-V,77,TCT,695.84,32.4,47.8,76.11,1.12,60.89,0.94,57.32,0.67
2024-10-28,12:30,44,October,Inverted-V,77,TCT,688.81,32.39,47.61,76.17,1.11,60.93,0.93,56.77,0.67
2024-10-28,12:45,44,October,Inverted-V,77,TCT,681.79,32.38,47.42,76.23,1.1,60.98,0.92,56.23,0.67
2024-10-28,13:00,44,October,Inverted-V,77,TCT,674.76,32.37,47.24,76.29,1.09,61.03,0.91,55.68,0.67
2024-10-28,13:15,44,October,Inverted-V,77,TCT,655.15,32.3,46.68,76.46,1.06,61.17,0.89,54.16,0.67
2024-10-28,13:30,44,October,Inverted-V,77,TCT,635.54,32.22,46.11,76.64,1.02,61.31,0.86,52.63,0.67
2024-10-28,13:45,44,October,Inverted-V,77,TCT,615.93,32.15,45.55,76.82,0.99,61.46,0.83,51.1,0.67
2024-10-28,14:00,44,October,Inverted-V,77,TCT,596.32,32.08,44.99,77.0,0.96,61.6,0.8,49.56,0.67
2024-10-28,14:15,44,October,Inverted-V,77,TCT,533.15,31.93,43.26,77.54,0.86,62.04,0.72,44.55,0.67
2024-10-28,14:30,44,October,Inverted-V,77,TCT,469.97,31.79,41.54,78.09,0.75,62.47,0.63,39.48,0.67
2024-10-28,14:45,44,October,Inverted-V,77,TCT,406.8,31.64,39.81,78.64,0.65,62.91,0.55,34.35,0.67
2024-10-28,15:00,44,October,Inverted-V,77,TCT,343.62,31.5,38.09,79.18,0.55,63.35,0.46,29.17,0.67
2024-10-28,15:15,44,October,Inverted-V,77,TCT,291.14,31.23,36.51,79.68,0.47,63.75,0.39,24.83,0.67
2024-10-28,15:30,44,October,Inverted-V,77,TCT,238.65,30.96,34.93,80.18,0.38,64.15,0.32,20.45,0.67
2024-10-28,15:45,44,October,Inverted-V,77,TCT,186.17,30.7,33.35,80.68,0.3,64.55,0.25,16.03,0.67
2024-10-28,16:00,44,October,Inverted-V,77,TCT,133.68,30.43,31.77,81.18,0.21,64.95,0.18,11.56,0.67
2024-10-28,16:15,44,October,Inverted-V,77,TCT,101.88,29.96,30.5,81.59,0.16,65.27,0.14,8.84,0.67
2024-10-28,16:30,44,October,Inverted-V,77,TCT,70.08,29.48,29.24,81.99,0.11,65.59,0.09,6.11,0.67
2024-10-28,16:45,44,October,Inverted-V,77,TCT,38.28,29.01,27.97,82.39,0.06,65.91,0.05,3.35,0.67
2024-10-28,17:00,44,October,Inverted-V,77,TCT,6.48,28.54,26.7,82.79,0.01,66.23,0.01,0.57,0.67
2024-10-29,05:15,44,October,Inverted-V,77,TCT,24.77,24.38,23.0,83.96,0.04,67.17,0.03,2.2,0.67
2024-10-29,05:30,44,October,Inverted-V,77,TCT,46.73,24.54,23.7,83.74,0.07,66.99,0.06,4.13,0.67
2024-10-29,05:45,44,October,Inverted-V,77,TCT,68.69,24.69,24.41,83.51,0.11,66.81,0.09,6.07,0.67
2024-10-29,06:00,44,October,Inverted-V,77,TCT,90.64,24.85,25.12,83.29,0.14,66.63,0.12,7.99,0.67
2024-10-29,06:15,44,October,Inverted-V,77,TCT,136.92,25.13,26.55,82.84,0.22,66.27,0.18,12.02,0.67
2024-10-29,06:30,44,October,Inverted-V,77,TCT,183.2,25.41,27.99,82.38,0.29,65.91,0.24,16.02,0.67
2024-10-29,06:45,44,October,Inverted-V,77,TCT,229.47,25.69,29.43,81.93,0.36,65.54,0.3,19.98,0.67
2024-10-29,07:00,44,October,Inverted-V,77,TCT,275.75,25.97,30.86,81.47,0.44,65.18,0.37,23.91,0.67
2024-10-29,07:15,44,October,Inverted-V,77,TCT,326.9,26.48,32.66,80.9,0.52,64.72,0.44,28.2,0.67
2024-10-29,07:30,44,October,Inverted-V,77,TCT,378.05,27.0,34.45,80.34,0.6,64.27,0.5,32.44,0.67
2024-10-29,07:45,44,October,Inverted-V,77,TCT,429.2,27.52,36.25,79.77,0.69,63.81,0.57,36.63,0.67
2024-10-29,08:00,44,October,Inverted-V,77,TCT,480.35,28.03,38.04,79.2,0.77,63.36,0.64,40.78,0.67
2024-10-29,08:15,44,October,Inverted-V,77,TCT,495.41,28.59,38.97,78.9,0.79,63.12,0.66,41.94,0.67
2024-10-29,08:30,44,October,Inverted-V,77,TCT,510.47,29.14,39.9,78.61,0.82,62.89,0.69,43.09,0.67
2024-10-29,08:45,44,October,Inverted-V,77,TCT,525.53,29.7,40.83,78.31,0.84,62.65,0.71,44.24,0.67
2024-10-29,09:00,44,October,Inverted-V,77,TCT,540.59,30.25,41.76,78.02,0.87,62.42,0.73,45.38,0.67
2024-10-29,09:15,44,October,Inverted-V,77,TCT,581.96,30.57,43.12,77.59,0.94,62.07,0.78,48.64,0.67
2024-10-29,09:30,44,October,Inverted-V,77,TCT,623.32,30.9,44.48,77.16,1.0,61.73,0.84,51.88,0.67
2024-10-29,09:45,44,October,Inverted-V,77,TCT,664.69,31.23,45.84,76.73,1.07,61.38,0.9,55.09,0.67
2024-10-29,10:00,44,October,Inverted-V,77,TCT,706.05,31.55,47.2,76.3,1.14,61.04,0.95,58.27,0.67
2024-10-29,10:15,44,October,Inverted-V,77,TCT,722.67,31.71,47.78,76.11,1.17,60.89,0.98,59.53,0.67
2024-10-29,10:30,44,October,Inverted-V,77,TCT,739.29,31.88,48.36,75.93,1.19,60.74,1.0,60.79,0.67
2024-10-29,10:45,44,October,Inverted-V,77,TCT,755.91,32.05,48.94,75.75,1.22,60.6,1.02,62.04,0.67
2024-10-29,11:00,44,October,Inverted-V,77,TCT,772.52,32.21,49.52,75.56,1.25,60.45,1.05,63.28,0.67
2024-10-29,11:15,44,October,Inverted-V,77,TCT,765.8,32.28,49.43,75.59,1.24,60.47,1.04,62.75,0.67
2024-10-29,11:30,44,October,Inverted-V,77,TCT,759.07,32.36,49.33,75.62,1.23,60.5,1.03,62.22,0.67
2024-10-29,11:45,44,October,Inverted-V,77,TCT,752.34,32.43,49.24,75.65,1.22,60.52,1.02,61.69,0.67
2024-10-29,12:00,44,October,Inverted-V,77,TCT,745.61,32.5,49.14,75.68,1.21,60.55,1.01,61.15,0.67
2024-10-29,12:15,44,October,Inverted-V,77,TCT,724.57,32.53,48.64,75.84,1.17,60.67,0.98,59.52,0.67
2024-10-29,12:30,44,October,Inverted-V,77,TCT,703.54,32.56,48.15,76.0,1.14,60.8,0.95,57.89,0.67
2024-10-29,12:45,44,October,Inverted-V,77,TCT,682.5,32.59,47.65,76.16,1.1,60.92,0.92,56.24,0.67
2024-10-29,13:00,44,October,Inverted-V,77,TCT,661.47,32.62,47.16,76.31,1.07,61.05,0.89,54.6,0.67
2024-10-29,13:15,44,October,Inverted-V,77,TCT,642.72,32.61,46.68,76.46,1.04,61.17,0.87,53.13,0.67
2024-10-29,13:30,44,October,Inverted-V,77,TCT,623.98,32.61,46.2,76.61,1.01,61.29,0.84,51.66,0.67
2024-10-29,13:45,44,October,Inverted-V,77,TCT,605.24,32.6,45.73,76.76,0.98,61.41,0.82,50.18,0.67
2024-10-29,14:00,44,October,Inverted-V,77,TCT,586.49,32.59,45.25,76.92,0.95,61.53,0.79,48.7,0.67
2024-10-29,14:15,44,October,Inverted-V,77,TCT,533.24,32.48,43.82,77.37,0.86,61.9,0.72,44.48,0.67
2024-10-29,14:30,44,October,Inverted-V,77,TCT,479.98,32.38,42.38,77.82,0.77,62.26,0.65,40.21,0.67
2024-10-29,14:45,44,October,Inverted-V,77,TCT,426.72,32.28,40.94,78.28,0.68,62.62,0.57,35.91,0.67
2024-10-29,15:00,44,October,Inverted-V,77,TCT,373.46,32.17,39.51,78.73,0.6,62.99,0.5,31.57,0.67
2024-10-29,15:15,44,October,Inverted-V,77,TCT,315.77,32.04,37.93,79.23,0.51,63.39,0.42,26.82,0.67
2024-10-29,15:30,44,October,Inverted-V,77,TCT,258.08,31.9,36.35,79.73,0.41,63.79,0.35,22.02,0.67
2024-10-29,15:45,44,October,Inverted-V,77,TCT,200.38,31.77,34.77,80.23,0.32,64.19,0.27,17.18,0.67
2024-10-29,16:00,44,October,Inverted-V,77,TCT,142.69,31.63,33.2,80.73,0.23,64.59,0.19,12.29,0.67
2024-10-29,16:15,44,October,Inverted-V,77,TCT,108.75,31.14,31.86,81.15,0.17,64.92,0.14,9.4,0.67
2024-10-29,16:30,44,October,Inverted-V,77,TCT,74.8,30.66,30.53,81.58,0.12,65.26,0.1,6.49,0.67
2024-10-29,16:45,44,October,Inverted-V,77,TCT,40.86,30.18,29.2,82.0,0.06,65.6,0.05,3.56,0.67
2024-10-29,17:00,44,October,Inverted-V,77,TCT,6.91,29.69,27.86,82.42,0.01,65.94,0.01,0.6,0.67
2024-10-30,05:15,44,October,Inverted-V,77,TCT,31.93,24.61,23.41,83.83,0.05,67.07,0.04,2.83,0.67
