Date,Time,ISO_Week,Month,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-11-25,05:15,48,November,V-Shape,77,Se-P,16.7,22.61,22.03,84.27,0.02,67.41,0.02,1.39,0.67
2024-11-25,05:30,48,November,V-Shape,77,Se-P,33.39,22.75,22.58,84.09,0.05,67.28,0.04,2.77,0.67
2024-11-25,05:45,48,November,V-Shape,77,Se-P,50.09,22.88,23.13,83.92,0.07,67.14,0.06,4.15,0.67
2024-11-25,06:00,48,November,V-Shape,77,Se-P,66.78,23.01,23.68,83.75,0.1,67.0,0.08,5.52,0.67
2024-11-25,06:15,48,November,V-Shape,77,Se-P,108.52,23.3,25.02,83.32,0.16,66.66,0.13,8.94,0.67
2024-11-25,06:30,48,November,V-Shape,77,Se-P,150.27,23.6,26.36,82.9,0.22,66.32,0.19,12.34,0.67
2024-11-25,06:45,48,November,V-Shape,77,Se-P,192.01,23.9,27.7,82.47,0.28,65.98,0.24,15.7,0.67
2024-11-25,07:00,48,November,V-Shape,77,Se-P,233.75,24.19,29.03,82.05,0.35,65.64,0.29,19.04,0.67
2024-11-25,07:15,48,November,V-Shape,77,Se-P,278.73,24.44,30.4,81.62,0.41,65.29,0.35,22.62,0.67
2024-11-25,07:30,48,November,V-Shape,77,Se-P,323.7,24.68,31.77,81.18,0.48,64.95,0.4,26.16,0.67
2024-11-25,07:45,48,November,V-Shape,77,Se-P,368.67,24.93,33.14,80.75,0.55,64.6,0.46,29.68,0.67
2024-11-25,08:00,48,November,V-Shape,77,Se-P,413.65,25.17,34.51,80.32,0.62,64.25,0.52,33.17,0.67
2024-11-25,08:15,48,November,V-Shape,77,Se-P,458.19,25.37,35.82,79.9,0.68,63.92,0.57,36.6,0.67
2024-11-25,08:30,48,November,V-Shape,77,Se-P,502.74,25.57,37.14,79.48,0.75,63.59,0.63,40.0,0.67
2024-11-25,08:45,48,November,V-Shape,77,Se-P,547.29,25.77,38.45,79.07,0.82,63.25,0.69,43.37,0.67
2024-11-25,09:00,48,November,V-Shape,77,Se-P,591.83,25.97,39.77,78.65,0.89,62.92,0.74,46.71,0.67
2024-11-25,09:15,48,November,V-Shape,77,Se-P,623.85,26.15,40.74,78.34,0.94,62.67,0.78,49.09,0.67
2024-11-25,09:30,48,November,V-Shape,77,Se-P,655.87,26.32,41.72,78.03,0.98,62.43,0.82,51.46,0.67
2024-11-25,09:45,48,November,V-Shape,77,Se-P,687.88,26.5,42.7,77.72,1.03,62.18,0.87,53.81,0.67
