Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-07-01,05:15,July,Autumn,Flat,77,15.88,25.31,25.71,83.1,0.02,66.48,0.02,1.31,0.67
2024-07-01,05:30,July,Autumn,Flat,77,29.16,25.48,26.2,82.95,0.04,66.36,0.04,2.39,0.67
2024-07-01,05:45,July,Autumn,Flat,77,42.44,25.64,26.7,82.79,0.06,66.23,0.05,3.48,0.67
2024-07-01,06:00,July,Autumn,Flat,77,55.72,25.8,27.19,82.63,0.08,66.11,0.07,4.56,0.67
2024-07-01,06:15,July,Autumn,Flat,77,85.63,26.09,28.23,82.31,0.13,65.84,0.11,6.99,0.67
2024-07-01,06:30,July,Autumn,Flat,77,115.55,26.38,29.26,81.98,0.17,65.58,0.14,9.41,0.67
2024-07-01,06:45,July,Autumn,Flat,77,145.47,26.66,30.3,81.65,0.22,65.32,0.18,11.81,0.67
2024-07-01,07:00,July,Autumn,Flat,77,175.38,26.95,31.33,81.32,0.26,65.06,0.22,14.19,0.67
2024-07-01,07:15,July,Autumn,Flat,77,211.37,27.25,32.54,80.94,0.31,64.75,0.26,17.05,0.67
2024-07-01,07:30,July,Autumn,Flat,77,247.37,27.55,33.74,80.56,0.37,64.45,0.31,19.88,0.67
2024-07-01,07:45,July,Autumn,Flat,77,283.36,27.86,34.94,80.18,0.42,64.14,0.35,22.69,0.67
2024-07-01,08:00,July,Autumn,Flat,77,319.35,28.16,36.14,79.8,0.48,63.84,0.4,25.48,0.67
2024-07-01,08:15,July,Autumn,Flat,77,350.95,28.46,37.23,79.45,0.52,63.56,0.44,27.91,0.67
2024-07-01,08:30,July,Autumn,Flat,77,382.55,28.76,38.32,79.11,0.57,63.29,0.48,30.33,0.67
2024-07-01,08:45,July,Autumn,Flat,77,414.15,29.06,39.41,78.76,0.62,63.01,0.52,32.72,0.67
2024-07-01,09:00,July,Autumn,Flat,77,445.75,29.36,40.5,78.42,0.67,62.74,0.56,35.1,0.67
2024-07-01,09:15,July,Autumn,Flat,77,460.19,29.66,41.16,78.21,0.69,62.57,0.58,36.17,0.67
2024-07-01,09:30,July,Autumn,Flat,77,474.62,29.95,41.82,78.0,0.71,62.4,0.6,37.23,0.67
2024-07-01,09:45,July,Autumn,Flat,77,489.06,30.25,42.48,77.79,0.73,62.23,0.62,38.28,0.67
