Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-07-01,05:15,July,Autumn,V-Shape,77,16.67,25.31,24.73,83.41,0.02,66.73,0.02,1.38,0.67
2024-07-01,05:30,July,Autumn,V-Shape,77,30.62,25.48,25.24,83.25,0.05,66.6,0.04,2.52,0.67
2024-07-01,05:45,July,Autumn,V-Shape,77,44.56,25.64,25.75,83.09,0.07,66.47,0.06,3.66,0.67
2024-07-01,06:00,July,Autumn,V-Shape,77,58.51,25.8,26.26,82.93,0.09,66.34,0.07,4.8,0.67
2024-07-01,06:15,July,Autumn,V-Shape,77,89.92,26.09,27.34,82.59,0.13,66.07,0.11,7.36,0.67
2024-07-01,06:30,July,Autumn,V-Shape,77,121.33,26.38,28.41,82.25,0.18,65.8,0.15,9.9,0.67
2024-07-01,06:45,July,Autumn,V-Shape,77,152.74,26.66,29.48,81.91,0.23,65.53,0.19,12.43,0.67
2024-07-01,07:00,July,Autumn,V-Shape,77,184.15,26.95,30.55,81.57,0.27,65.26,0.23,14.94,0.67
2024-07-01,07:15,July,Autumn,V-Shape,77,221.94,27.25,31.8,81.17,0.33,64.94,0.28,17.94,0.67
2024-07-01,07:30,July,Autumn,V-Shape,77,259.73,27.55,33.05,80.78,0.39,64.62,0.32,20.92,0.67
2024-07-01,07:45,July,Autumn,V-Shape,77,297.53,27.86,34.3,80.38,0.44,64.31,0.37,23.87,0.67
2024-07-01,08:00,July,Autumn,V-Shape,77,335.32,28.16,35.54,79.99,0.5,63.99,0.42,26.8,0.67
2024-07-01,08:15,July,Autumn,V-Shape,77,368.5,28.46,36.67,79.63,0.55,63.71,0.46,29.36,0.67
2024-07-01,08:30,July,Autumn,V-Shape,77,401.68,28.76,37.8,79.27,0.6,63.42,0.5,31.89,0.67
2024-07-01,08:45,July,Autumn,V-Shape,77,434.86,29.06,38.93,78.92,0.65,63.13,0.55,34.41,0.67
2024-07-01,09:00,July,Autumn,V-Shape,77,468.04,29.36,40.06,78.56,0.7,62.85,0.59,36.91,0.67
2024-07-01,09:15,July,Autumn,V-Shape,77,483.2,29.66,40.74,78.34,0.72,62.68,0.61,38.03,0.67
2024-07-01,09:30,July,Autumn,V-Shape,77,498.36,29.95,41.41,78.13,0.75,62.5,0.63,39.14,0.67
2024-07-01,09:45,July,Autumn,V-Shape,77,513.52,30.25,42.09,77.92,0.77,62.33,0.65,40.24,0.67
2024-07-01,10:00,July,Autumn,V-Shape,77,528.68,30.55,42.77,77.7,0.79,62.16,0.67,41.35,0.67
2024-07-01,10:15,July,Autumn,V-Shape,77,522.38,30.83,42.89,77.66,0.78,62.13,0.66,40.84,0.67
2024-07-01,10:30,July,Autumn,V-Shape,77,516.09,31.11,43.01,77.63,0.78,62.1,0.65,40.33,0.67
2024-07-01,10:45,July,Autumn,V-Shape,77,509.79,31.38,43.13,77.59,0.77,62.07,0.64,39.82,0.67
2024-07-01,11:00,July,Autumn,V-Shape,77,503.5,31.66,43.25,77.55,0.76,62.04,0.63,39.32,0.67
2024-07-01,11:15,July,Autumn,V-Shape,77,530.6,31.91,44.17,77.26,0.8,61.81,0.67,41.32,0.67
2024-07-01,11:30,July,Autumn,V-Shape,77,557.71,32.15,45.09,76.97,0.84,61.57,0.7,43.3,0.67
2024-07-01,11:45,July,Autumn,V-Shape,77,584.81,32.4,46.02,76.67,0.88,61.34,0.74,45.27,0.67
2024-07-01,12:00,July,Autumn,V-Shape,77,611.92,32.64,46.94,76.38,0.92,61.11,0.77,47.24,0.67
2024-07-01,12:15,July,Autumn,V-Shape,77,569.78,32.78,46.02,76.67,0.86,61.34,0.72,44.11,0.67
2024-07-01,12:30,July,Autumn,V-Shape,77,527.64,32.91,45.11,76.96,0.79,61.57,0.67,40.97,0.67
2024-07-01,12:45,July,Autumn,V-Shape,77,485.5,33.05,44.19,77.25,0.73,61.8,0.61,37.8,0.67
2024-07-01,13:00,July,Autumn,V-Shape,77,443.36,33.19,43.27,77.54,0.67,62.03,0.56,34.62,0.67
2024-07-01,13:15,July,Autumn,V-Shape,77,420.88,33.17,42.69,77.73,0.63,62.18,0.53,32.92,0.67
2024-07-01,13:30,July,Autumn,V-Shape,77,398.4,33.14,42.1,77.91,0.6,62.33,0.5,31.22,0.67
2024-07-01,13:45,July,Autumn,V-Shape,77,375.91,33.12,41.52,78.1,0.56,62.48,0.47,29.51,0.67
2024-07-01,14:00,July,Autumn,V-Shape,77,353.43,33.1,40.94,78.28,0.53,62.63,0.44,27.8,0.67
2024-07-01,14:15,July,Autumn,V-Shape,77,317.76,32.96,39.9,78.61,0.48,62.89,0.4,25.07,0.67
2024-07-01,14:30,July,Autumn,V-Shape,77,282.1,32.81,38.87,78.94,0.42,63.15,0.35,22.33,0.67
2024-07-01,14:45,July,Autumn,V-Shape,77,246.43,32.67,37.83,79.26,0.37,63.41,0.31,19.56,0.67
2024-07-01,15:00,July,Autumn,V-Shape,77,210.77,32.53,36.8,79.59,0.31,63.67,0.26,16.79,0.67
2024-07-01,15:15,July,Autumn,V-Shape,77,187.16,32.27,35.95,79.86,0.28,63.89,0.23,14.94,0.67
2024-07-01,15:30,July,Autumn,V-Shape,77,163.55,32.02,35.1,80.13,0.24,64.1,0.2,13.09,0.67
2024-07-01,15:45,July,Autumn,V-Shape,77,139.95,31.76,34.26,80.4,0.21,64.32,0.17,11.23,0.67
2024-07-01,16:00,July,Autumn,V-Shape,77,116.34,31.5,33.41,80.67,0.17,64.53,0.15,9.36,0.67
2024-07-01,16:15,July,Autumn,V-Shape,77,96.72,31.04,32.46,80.97,0.14,64.77,0.12,7.8,0.67
2024-07-01,16:30,July,Autumn,V-Shape,77,77.1,30.58,31.51,81.27,0.11,65.01,0.1,6.24,0.67
2024-07-01,16:45,July,Autumn,V-Shape,77,57.47,30.12,30.56,81.57,0.09,65.25,0.07,4.66,0.67
2024-07-01,17:00,July,Autumn,V-Shape,77,37.85,29.66,29.61,81.87,0.06,65.5,0.05,3.08,0.67
2024-07-01,17:15,July,Autumn,V-Shape,77,28.39,29.32,29.03,82.05,0.04,65.64,0.04,2.31,0.67
2024-07-01,17:30,July,Autumn,V-Shape,77,18.93,28.98,28.45,82.24,0.03,65.79,0.02,1.54,0.67
2024-07-01,17:45,July,Autumn,V-Shape,77,9.46,28.63,27.87,82.42,0.01,65.94,0.01,0.77,0.67
2024-07-02,05:15,July,Autumn,V-Shape,77,25.47,24.01,23.65,83.76,0.04,67.0,0.03,2.11,0.67
2024-07-02,05:30,July,Autumn,V-Shape,77,46.97,24.2,24.37,83.53,0.07,66.82,0.06,3.88,0.67
2024-07-02,05:45,July,Autumn,V-Shape,77,68.47,24.38,25.09,83.3,0.1,66.64,0.08,5.64,0.67
2024-07-02,06:00,July,Autumn,V-Shape,77,89.96,24.56,25.81,83.07,0.13,66.46,0.11,7.4,0.67
2024-07-02,06:15,July,Autumn,V-Shape,77,132.01,24.82,27.12,82.66,0.2,66.13,0.16,10.81,0.67
2024-07-02,06:30,July,Autumn,V-Shape,77,174.05,25.07,28.43,82.24,0.26,65.79,0.22,14.2,0.67
2024-07-02,06:45,July,Autumn,V-Shape,77,216.1,25.33,29.73,81.83,0.32,65.46,0.27,17.57,0.67
2024-07-02,07:00,July,Autumn,V-Shape,77,258.14,25.59,31.04,81.41,0.38,65.13,0.32,20.91,0.67
2024-07-02,07:15,July,Autumn,V-Shape,77,300.84,26.09,32.62,80.92,0.45,64.73,0.37,24.26,0.67
2024-07-02,07:30,July,Autumn,V-Shape,77,343.54,26.6,34.19,80.42,0.51,64.33,0.43,27.57,0.67
2024-07-02,07:45,July,Autumn,V-Shape,77,386.25,27.11,35.76,79.92,0.58,63.94,0.48,30.86,0.67
2024-07-02,08:00,July,Autumn,V-Shape,77,428.95,27.61,37.33,79.42,0.64,63.54,0.54,34.11,0.67
2024-07-02,08:15,July,Autumn,V-Shape,77,474.37,28.32,39.18,78.84,0.71,63.07,0.59,37.51,0.67
2024-07-02,08:30,July,Autumn,V-Shape,77,519.8,29.04,41.03,78.25,0.78,62.6,0.65,40.87,0.67
2024-07-02,08:45,July,Autumn,V-Shape,77,565.23,29.75,42.88,77.67,0.85,62.13,0.71,44.19,0.67
2024-07-02,09:00,July,Autumn,V-Shape,77,610.66,30.46,44.73,77.08,0.92,61.67,0.77,47.47,0.67
2024-07-02,09:15,July,Autumn,V-Shape,77,643.34,30.91,46.0,76.68,0.97,61.34,0.81,49.81,0.67
2024-07-02,09:30,July,Autumn,V-Shape,77,676.02,31.37,47.27,76.28,1.02,61.02,0.85,52.13,0.67
2024-07-02,09:45,July,Autumn,V-Shape,77,708.7,31.83,48.54,75.87,1.07,60.7,0.9,54.43,0.67
2024-07-02,10:00,July,Autumn,V-Shape,77,741.38,32.28,49.81,75.47,1.12,60.38,0.94,56.71,0.67
2024-07-02,10:15,July,Autumn,V-Shape,77,732.9,32.58,49.9,75.44,1.11,60.35,0.93,56.04,0.67
2024-07-02,10:30,July,Autumn,V-Shape,77,724.41,32.89,50.0,75.41,1.1,60.33,0.92,55.38,0.67
