Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-01-01,05:15,January,Spring,Flat,93,8.3,21.61,18.82,85.28,0.01,68.23,0.01,0.7,0.67
2025-01-01,05:30,January,Spring,Flat,93,16.6,21.66,19.07,85.21,0.02,68.16,0.02,1.39,0.67
2025-01-01,05:45,January,Spring,Flat,93,24.9,21.7,19.32,85.13,0.04,68.1,0.03,2.08,0.67
2025-01-01,06:00,January,Spring,Flat,93,33.2,21.74,19.57,85.05,0.05,68.04,0.04,2.78,0.67
2025-01-01,06:15,January,Spring,Flat,93,77.21,22.06,20.99,84.6,0.11,67.68,0.1,6.43,0.67
2025-01-01,06:30,January,Spring,Flat,93,121.21,22.38,22.41,84.15,0.18,67.32,0.15,10.06,0.67
2025-01-01,06:45,January,Spring,Flat,93,165.22,22.69,23.82,83.7,0.24,66.96,0.2,13.66,0.67
2025-01-01,07:00,January,Spring,Flat,93,209.23,23.01,25.24,83.25,0.31,66.6,0.26,17.23,0.67
2025-01-01,07:15,January,Spring,Flat,93,265.9,23.48,27.13,82.66,0.39,66.12,0.33,21.78,0.67
2025-01-01,07:30,January,Spring,Flat,93,322.57,23.95,29.01,82.06,0.48,65.65,0.4,26.28,0.67
2025-01-01,07:45,January,Spring,Flat,93,379.25,24.41,30.89,81.46,0.56,65.17,0.47,30.73,0.67
2025-01-01,08:00,January,Spring,Flat,93,435.92,24.88,32.78,80.87,0.65,64.69,0.54,35.13,0.67
2025-01-01,08:15,January,Spring,Flat,93,485.86,25.26,34.41,80.35,0.72,64.28,0.61,38.97,0.67
2025-01-01,08:30,January,Spring,Flat,93,535.79,25.64,36.03,79.83,0.8,63.87,0.67,42.77,0.67
2025-01-01,08:45,January,Spring,Flat,93,585.73,26.02,37.66,79.32,0.88,63.45,0.73,46.53,0.67
2025-01-01,09:00,January,Spring,Flat,93,635.67,26.4,39.29,78.8,0.95,63.04,0.8,50.25,0.67
2025-01-01,09:15,January,Spring,Flat,93,674.48,26.66,40.52,78.41,1.01,62.73,0.85,53.11,0.67
2025-01-01,09:30,January,Spring,Flat,93,713.29,26.91,41.75,78.03,1.07,62.42,0.9,55.96,0.67
2025-01-01,09:45,January,Spring,Flat,93,752.11,27.17,42.98,77.64,1.13,62.11,0.95,58.78,0.67
2025-01-01,10:00,January,Spring,Flat,93,790.92,27.43,44.2,77.25,1.19,61.8,1.0,61.58,0.67
2025-01-01,10:15,January,Spring,Flat,93,803.18,27.62,44.7,77.09,1.21,61.67,1.01,62.44,0.67
2025-01-01,10:30,January,Spring,Flat,93,815.43,27.81,45.2,76.93,1.23,61.55,1.03,63.29,0.67
2025-01-01,10:45,January,Spring,Flat,93,827.69,28.0,45.69,76.78,1.25,61.42,1.04,64.14,0.67
2025-01-01,11:00,January,Spring,Flat,93,839.95,28.19,46.19,76.62,1.27,61.29,1.06,64.99,0.67
2025-01-01,11:15,January,Spring,Flat,93,835.78,28.31,46.2,76.61,1.26,61.29,1.06,64.67,0.67
2025-01-01,11:30,January,Spring,Flat,93,831.6,28.43,46.22,76.61,1.25,61.29,1.05,64.34,0.67
