Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-01-01,05:15,January,Spring,Inverted-V,77,8.96,21.61,19.84,84.96,0.01,67.97,0.01,0.75,0.67
2025-01-01,05:30,January,Spring,Inverted-V,77,17.93,21.66,20.1,84.88,0.03,67.9,0.02,1.5,0.67
2025-01-01,05:45,January,Spring,Inverted-V,77,26.89,21.7,20.37,84.79,0.04,67.84,0.03,2.24,0.67
2025-01-01,06:00,January,Spring,Inverted-V,77,35.86,21.74,20.64,84.71,0.05,67.77,0.04,2.99,0.67
2025-01-01,06:15,January,Spring,Inverted-V,77,83.38,22.06,22.14,84.23,0.12,67.39,0.1,6.93,0.67
2025-01-01,06:30,January,Spring,Inverted-V,77,130.91,22.38,23.65,83.76,0.19,67.0,0.16,10.83,0.67
2025-01-01,06:45,January,Spring,Inverted-V,77,178.44,22.69,25.15,83.28,0.26,66.62,0.22,14.7,0.67
2025-01-01,07:00,January,Spring,Inverted-V,77,225.97,23.01,26.66,82.8,0.33,66.24,0.28,18.53,0.67
2025-01-01,07:15,January,Spring,Inverted-V,77,287.17,23.48,28.66,82.17,0.43,65.74,0.36,23.42,0.67
2025-01-01,07:30,January,Spring,Inverted-V,77,348.38,23.95,30.65,81.54,0.52,65.23,0.43,28.25,0.67
2025-01-01,07:45,January,Spring,Inverted-V,77,409.59,24.41,32.65,80.9,0.61,64.72,0.51,33.02,0.67
2025-01-01,08:00,January,Spring,Inverted-V,77,470.79,24.88,34.65,80.27,0.7,64.22,0.59,37.73,0.67
2025-01-01,08:15,January,Spring,Inverted-V,77,524.73,25.26,36.38,79.73,0.78,63.78,0.66,41.84,0.67
2025-01-01,08:30,January,Spring,Inverted-V,77,578.66,25.64,38.11,79.18,0.87,63.34,0.72,45.9,0.67
2025-01-01,08:45,January,Spring,Inverted-V,77,632.59,26.02,39.83,78.63,0.95,62.9,0.79,49.92,0.67
2025-01-01,09:00,January,Spring,Inverted-V,77,686.52,26.4,41.56,78.08,1.03,62.47,0.86,53.89,0.67
2025-01-01,09:15,January,Spring,Inverted-V,77,728.44,26.66,42.87,77.67,1.09,62.14,0.92,56.95,0.67
2025-01-01,09:30,January,Spring,Inverted-V,77,770.36,26.91,44.17,77.26,1.16,61.81,0.97,59.98,0.67
2025-01-01,09:45,January,Spring,Inverted-V,77,812.28,27.17,45.48,76.84,1.22,61.47,1.02,62.99,0.67
2025-01-01,10:00,January,Spring,Inverted-V,77,854.19,27.43,46.78,76.43,1.29,61.14,1.08,65.97,0.67
2025-01-01,10:15,January,Spring,Inverted-V,77,867.43,27.62,47.31,76.26,1.31,61.01,1.1,66.88,0.67
2025-01-01,10:30,January,Spring,Inverted-V,77,880.67,27.81,47.83,76.1,1.33,60.88,1.11,67.79,0.67
2025-01-01,10:45,January,Spring,Inverted-V,77,893.91,28.0,48.35,75.94,1.35,60.75,1.13,68.69,0.67
2025-01-01,11:00,January,Spring,Inverted-V,77,907.15,28.19,48.87,75.77,1.37,60.62,1.15,69.6,0.67
2025-01-01,11:15,January,Spring,Inverted-V,77,902.64,28.31,48.88,75.77,1.36,60.61,1.14,69.25,0.67
2025-01-01,11:30,January,Spring,Inverted-V,77,898.13,28.43,48.88,75.77,1.36,60.61,1.14,68.9,0.67
2025-01-01,11:45,January,Spring,Inverted-V,77,893.62,28.55,48.89,75.76,1.35,60.61,1.13,68.55,0.67
2025-01-01,12:00,January,Spring,Inverted-V,77,889.11,28.67,48.9,75.76,1.34,60.61,1.13,68.21,0.67
2025-01-01,12:15,January,Spring,Inverted-V,77,861.8,28.72,48.26,75.96,1.3,60.77,1.09,66.25,0.67
2025-01-01,12:30,January,Spring,Inverted-V,77,834.5,28.76,47.62,76.16,1.26,60.93,1.05,64.28,0.67
2025-01-01,12:45,January,Spring,Inverted-V,77,807.19,28.8,46.98,76.37,1.22,61.09,1.02,62.3,0.67
2025-01-01,13:00,January,Spring,Inverted-V,77,779.89,28.85,46.35,76.57,1.18,61.25,0.98,60.31,0.67
2025-01-01,13:15,January,Spring,Inverted-V,77,744.67,28.8,45.42,76.86,1.12,61.49,0.94,57.76,0.67
2025-01-01,13:30,January,Spring,Inverted-V,77,709.45,28.75,44.49,77.16,1.07,61.73,0.89,55.19,0.67
2025-01-01,13:45,January,Spring,Inverted-V,77,674.23,28.7,43.56,77.45,1.01,61.96,0.85,52.6,0.67
2025-01-01,14:00,January,Spring,Inverted-V,77,639.0,28.65,42.63,77.75,0.96,62.2,0.8,50.0,0.67
2025-01-01,14:15,January,Spring,Inverted-V,77,581.39,28.49,41.02,78.25,0.87,62.6,0.73,45.71,0.67
2025-01-01,14:30,January,Spring,Inverted-V,77,523.77,28.33,39.42,78.76,0.78,63.01,0.66,41.38,0.67
2025-01-01,14:45,January,Spring,Inverted-V,77,466.15,28.17,37.82,79.27,0.7,63.41,0.58,37.01,0.67
2025-01-01,15:00,January,Spring,Inverted-V,77,408.53,28.01,36.22,79.77,0.61,63.82,0.51,32.59,0.67
2025-01-01,15:15,January,Spring,Inverted-V,77,355.5,27.66,34.55,80.3,0.53,64.24,0.44,28.5,0.67
2025-01-01,15:30,January,Spring,Inverted-V,77,302.46,27.32,32.88,80.83,0.45,64.67,0.38,24.37,0.67
2025-01-01,15:45,January,Spring,Inverted-V,77,249.43,26.98,31.21,81.36,0.37,65.09,0.31,20.19,0.67
2025-01-01,16:00,January,Spring,Inverted-V,77,196.4,26.63,29.54,81.89,0.29,65.51,0.24,15.98,0.67
2025-01-01,16:15,January,Spring,Inverted-V,77,151.85,26.03,27.82,82.43,0.22,65.95,0.19,12.41,0.67
2025-01-01,16:30,January,Spring,Inverted-V,77,107.3,25.42,26.11,82.98,0.16,66.38,0.13,8.81,0.67
2025-01-01,16:45,January,Spring,Inverted-V,77,62.75,24.82,24.39,83.52,0.09,66.82,0.08,5.18,0.67
2025-01-01,17:00,January,Spring,Inverted-V,77,18.2,24.22,22.67,84.06,0.03,67.25,0.02,1.51,0.67
2025-01-01,17:15,January,Spring,Inverted-V,77,13.65,23.96,22.3,84.18,0.02,67.35,0.02,1.13,0.67
2025-01-01,17:30,January,Spring,Inverted-V,77,9.1,23.7,21.92,84.3,0.01,67.44,0.01,0.76,0.67
2025-01-02,05:15,January,Spring,Inverted-V,77,8.8,19.16,17.38,85.74,0.01,68.59,0.01,0.74,0.67
2025-01-02,05:30,January,Spring,Inverted-V,77,17.6,19.38,17.82,85.6,0.03,68.48,0.02,1.48,0.67
2025-01-02,05:45,January,Spring,Inverted-V,77,26.41,19.6,18.26,85.46,0.04,68.37,0.03,2.22,0.67
2025-01-02,06:00,January,Spring,Inverted-V,77,35.21,19.82,18.7,85.32,0.05,68.26,0.04,2.95,0.67
2025-01-02,06:15,January,Spring,Inverted-V,77,80.13,20.38,20.39,84.79,0.12,67.83,0.1,6.69,0.67
2025-01-02,06:30,January,Spring,Inverted-V,77,125.05,20.95,22.07,84.26,0.18,67.4,0.15,10.39,0.67
2025-01-02,06:45,January,Spring,Inverted-V,77,169.98,21.51,23.76,83.72,0.25,66.98,0.21,14.06,0.67
2025-01-02,07:00,January,Spring,Inverted-V,77,214.9,22.07,25.44,83.19,0.32,66.55,0.27,17.69,0.67
2025-01-02,07:15,January,Spring,Inverted-V,77,267.96,22.71,27.41,82.57,0.4,66.05,0.33,21.93,0.67
2025-01-02,07:30,January,Spring,Inverted-V,77,321.03,23.34,29.37,81.94,0.48,65.56,0.4,26.13,0.67
2025-01-02,07:45,January,Spring,Inverted-V,77,374.1,23.98,31.33,81.32,0.56,65.06,0.47,30.28,0.67
2025-01-02,08:00,January,Spring,Inverted-V,77,427.16,24.62,33.3,80.7,0.64,64.56,0.53,34.37,0.67
2025-01-02,08:15,January,Spring,Inverted-V,77,476.07,25.0,34.9,80.19,0.71,64.15,0.59,38.13,0.67
2025-01-02,08:30,January,Spring,Inverted-V,77,524.98,25.38,36.5,79.69,0.78,63.75,0.66,41.85,0.67
2025-01-02,08:45,January,Spring,Inverted-V,77,573.89,25.75,38.1,79.18,0.86,63.34,0.72,45.53,0.67
2025-01-02,09:00,January,Spring,Inverted-V,77,622.8,26.13,39.7,78.67,0.93,62.94,0.78,49.17,0.67
2025-01-02,09:15,January,Spring,Inverted-V,77,646.49,26.4,40.56,78.4,0.97,62.72,0.81,50.9,0.67
2025-01-02,09:30,January,Spring,Inverted-V,77,670.18,26.67,41.43,78.13,1.01,62.5,0.84,52.63,0.67
2025-01-02,09:45,January,Spring,Inverted-V,77,693.86,26.95,42.29,77.85,1.04,62.28,0.87,54.34,0.67
2025-01-02,10:00,January,Spring,Inverted-V,77,717.55,27.22,43.16,77.58,1.08,62.06,0.9,56.05,0.67
2025-01-02,10:15,January,Spring,Inverted-V,77,749.89,27.42,44.17,77.26,1.13,61.81,0.94,58.39,0.67
2025-01-02,10:30,January,Spring,Inverted-V,77,782.23,27.62,45.18,76.94,1.18,61.55,0.99,60.72,0.67
2025-01-02,10:45,January,Spring,Inverted-V,77,814.57,27.82,46.18,76.62,1.23,61.3,1.03,63.03,0.67
2025-01-02,11:00,January,Spring,Inverted-V,77,846.9,28.02,47.19,76.3,1.28,61.04,1.07,65.32,0.67
2025-01-02,11:15,January,Spring,Inverted-V,77,823.7,28.14,46.73,76.45,1.24,61.16,1.04,63.62,0.67
2025-01-02,11:30,January,Spring,Inverted-V,77,800.49,28.25,46.27,76.59,1.21,61.28,1.01,61.92,0.67
2025-01-02,11:45,January,Spring,Inverted-V,77,777.28,28.37,45.8,76.74,1.17,61.39,0.98,60.22,0.67
2025-01-02,12:00,January,Spring,Inverted-V,77,754.08,28.49,45.34,76.89,1.14,61.51,0.95,58.5,0.67
2025-01-02,12:15,January,Spring,Inverted-V,77,751.9,28.5,45.3,76.9,1.13,61.52,0.95,58.34,0.67
2025-01-02,12:30,January,Spring,Inverted-V,77,749.72,28.52,45.26,76.91,1.13,61.53,0.95,58.18,0.67
2025-01-02,12:45,January,Spring,Inverted-V,77,747.54,28.54,45.22,76.92,1.13,61.54,0.94,58.02,0.67
2025-01-02,13:00,January,Spring,Inverted-V,77,745.36,28.55,45.18,76.94,1.12,61.55,0.94,57.86,0.67
2025-01-02,13:15,January,Spring,Inverted-V,77,709.45,28.43,44.17,77.26,1.07,61.81,0.89,55.24,0.67
2025-01-02,13:30,January,Spring,Inverted-V,77,673.54,28.31,43.15,77.58,1.01,62.07,0.85,52.61,0.67
2025-01-02,13:45,January,Spring,Inverted-V,77,637.63,28.19,42.13,77.9,0.96,62.32,0.8,49.96,0.67
2025-01-02,14:00,January,Spring,Inverted-V,77,601.72,28.07,41.11,78.23,0.9,62.58,0.76,47.3,0.67
2025-01-02,14:15,January,Spring,Inverted-V,77,543.93,27.84,39.44,78.75,0.81,63.0,0.68,42.97,0.67
2025-01-02,14:30,January,Spring,Inverted-V,77,486.15,27.62,37.77,79.28,0.73,63.43,0.61,38.6,0.67
2025-01-02,14:45,January,Spring,Inverted-V,77,428.36,27.4,36.1,79.81,0.64,63.85,0.54,34.18,0.67
2025-01-02,15:00,January,Spring,Inverted-V,77,370.57,27.17,34.43,80.34,0.55,64.27,0.46,29.72,0.67
2025-01-02,15:15,January,Spring,Inverted-V,77,322.95,26.84,32.91,80.82,0.48,64.66,0.4,26.02,0.67
2025-01-02,15:30,January,Spring,Inverted-V,77,275.33,26.51,31.39,81.31,0.41,65.04,0.34,22.28,0.67
2025-01-02,15:45,January,Spring,Inverted-V,77,227.71,26.17,29.87,81.79,0.34,65.43,0.28,18.51,0.67
2025-01-02,16:00,January,Spring,Inverted-V,77,180.09,25.84,28.34,82.27,0.27,65.82,0.22,14.7,0.67
2025-01-02,16:15,January,Spring,Inverted-V,77,139.66,25.46,26.95,82.71,0.21,66.17,0.17,11.45,0.67
2025-01-02,16:30,January,Spring,Inverted-V,77,99.23,25.09,25.57,83.15,0.15,66.52,0.12,8.16,0.67
2025-01-02,16:45,January,Spring,Inverted-V,77,58.79,24.71,24.18,83.59,0.09,66.87,0.07,4.86,0.67
2025-01-02,17:00,January,Spring,Inverted-V,77,18.36,24.33,22.79,84.03,0.03,67.22,0.02,1.52,0.67
2025-01-02,17:15,January,Spring,Inverted-V,77,13.77,24.16,22.5,84.12,0.02,67.29,0.02,1.14,0.67
2025-01-02,17:30,January,Spring,Inverted-V,77,9.18,23.99,22.22,84.21,0.01,67.37,0.01,0.76,0.67
2025-01-03,05:15,January,Spring,Inverted-V,77,9.27,19.67,17.9,85.58,0.01,68.46,0.01,0.78,0.67
2025-01-03,05:30,January,Spring,Inverted-V,77,18.54,19.76,18.22,85.47,0.03,68.38,0.02,1.56,0.67
2025-01-03,05:45,January,Spring,Inverted-V,77,27.81,19.85,18.55,85.37,0.04,68.3,0.03,2.33,0.67
2025-01-03,06:00,January,Spring,Inverted-V,77,37.08,19.94,18.87,85.27,0.05,68.22,0.05,3.11,0.67
2025-01-03,06:15,January,Spring,Inverted-V,77,87.94,20.27,20.47,84.76,0.13,67.81,0.11,7.34,0.67
2025-01-03,06:30,January,Spring,Inverted-V,77,138.8,20.6,22.07,84.26,0.2,67.4,0.17,11.53,0.67
2025-01-03,06:45,January,Spring,Inverted-V,77,189.66,20.93,23.67,83.75,0.28,67.0,0.23,15.69,0.67
2025-01-03,07:00,January,Spring,Inverted-V,77,240.52,21.26,25.27,83.24,0.36,66.59,0.3,19.8,0.67
2025-01-03,07:15,January,Spring,Inverted-V,77,301.68,21.81,27.35,82.58,0.45,66.07,0.37,24.7,0.67
2025-01-03,07:30,January,Spring,Inverted-V,77,362.85,22.37,29.44,81.92,0.54,65.54,0.45,29.53,0.67
2025-01-03,07:45,January,Spring,Inverted-V,77,424.02,22.92,31.52,81.26,0.63,65.01,0.53,34.3,0.67
2025-01-03,08:00,January,Spring,Inverted-V,77,485.19,23.47,33.6,80.6,0.72,64.48,0.6,39.01,0.67
2025-01-03,08:15,January,Spring,Inverted-V,77,540.66,23.98,35.49,80.01,0.81,64.0,0.68,43.23,0.67
2025-01-03,08:30,January,Spring,Inverted-V,77,596.13,24.48,37.39,79.41,0.89,63.52,0.75,47.39,0.67
2025-01-03,08:45,January,Spring,Inverted-V,77,651.6,24.99,39.28,78.81,0.98,63.04,0.82,51.51,0.67
2025-01-03,09:00,January,Spring,Inverted-V,77,707.08,25.5,41.18,78.21,1.06,62.56,0.89,55.57,0.67
2025-01-03,09:15,January,Spring,Inverted-V,77,742.45,25.84,42.4,77.82,1.11,62.25,0.93,58.13,0.67
2025-01-03,09:30,January,Spring,Inverted-V,77,777.83,26.18,43.63,77.43,1.17,61.94,0.98,60.67,0.67
2025-01-03,09:45,January,Spring,Inverted-V,77,813.2,26.52,44.85,77.04,1.22,61.63,1.03,63.19,0.67
2025-01-03,10:00,January,Spring,Inverted-V,77,848.58,26.86,46.07,76.65,1.28,61.32,1.07,65.68,0.67
2025-01-03,10:15,January,Spring,Inverted-V,77,850.5,27.1,46.36,76.56,1.28,61.25,1.07,65.77,0.67
2025-01-03,10:30,January,Spring,Inverted-V,77,852.42,27.34,46.65,76.47,1.29,61.18,1.08,65.86,0.67
2025-01-03,10:45,January,Spring,Inverted-V,77,854.34,27.58,46.94,76.38,1.29,61.11,1.08,65.95,0.67
2025-01-03,11:00,January,Spring,Inverted-V,77,856.26,27.82,47.23,76.29,1.29,61.03,1.08,66.04,0.67
2025-01-03,11:15,January,Spring,Inverted-V,77,854.05,27.96,47.31,76.26,1.29,61.01,1.08,65.85,0.67
2025-01-03,11:30,January,Spring,Inverted-V,77,851.84,28.1,47.4,76.24,1.29,60.99,1.08,65.66,0.67
2025-01-03,11:45,January,Spring,Inverted-V,77,849.63,28.24,47.48,76.21,1.28,60.97,1.07,65.47,0.67
2025-01-03,12:00,January,Spring,Inverted-V,77,847.42,28.38,47.57,76.18,1.28,60.95,1.07,65.28,0.67
2025-01-03,12:15,January,Spring,Inverted-V,77,814.08,28.42,46.77,76.43,1.23,61.15,1.03,62.87,0.67
2025-01-03,12:30,January,Spring,Inverted-V,77,780.74,28.46,45.98,76.68,1.18,61.35,0.99,60.45,0.67
2025-01-03,12:45,January,Spring,Inverted-V,77,747.4,28.51,45.19,76.93,1.13,61.55,0.94,58.01,0.67
2025-01-03,13:00,January,Spring,Inverted-V,77,714.06,28.55,44.4,77.18,1.07,61.75,0.9,55.56,0.67
2025-01-03,13:15,January,Spring,Inverted-V,77,669.85,28.48,43.22,77.56,1.01,62.05,0.84,52.31,0.67
2025-01-03,13:30,January,Spring,Inverted-V,77,625.63,28.41,42.05,77.93,0.94,62.34,0.79,49.04,0.67
2025-01-03,13:45,January,Spring,Inverted-V,77,581.41,28.33,40.87,78.3,0.87,62.64,0.73,45.74,0.67
2025-01-03,14:00,January,Spring,Inverted-V,77,537.19,28.26,39.69,78.68,0.8,62.94,0.67,42.41,0.67
2025-01-03,14:15,January,Spring,Inverted-V,77,486.77,28.08,38.25,79.13,0.73,63.31,0.61,38.6,0.67
2025-01-03,14:30,January,Spring,Inverted-V,77,436.36,27.9,36.81,79.59,0.65,63.67,0.55,34.75,0.67
2025-01-03,14:45,January,Spring,Inverted-V,77,385.94,27.72,35.37,80.04,0.58,64.04,0.48,30.87,0.67
2025-01-03,15:00,January,Spring,Inverted-V,77,335.52,27.54,33.93,80.5,0.5,64.4,0.42,26.95,0.67
2025-01-03,15:15,January,Spring,Inverted-V,77,293.68,27.21,32.55,80.94,0.44,64.75,0.37,23.68,0.67
2025-01-03,15:30,January,Spring,Inverted-V,77,251.83,26.88,31.18,81.37,0.37,65.1,0.31,20.39,0.67
