Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-01-01,05:15,January,Spring,V-Shape,62,8.72,21.61,24.83,83.38,0.01,66.71,0.01,0.72,0.67
2025-01-01,05:30,January,Spring,V-Shape,62,17.43,21.66,25.09,83.3,0.03,66.64,0.02,1.44,0.67
2025-01-01,05:45,January,Spring,V-Shape,62,26.15,21.7,25.35,83.22,0.04,66.57,0.03,2.15,0.67
2025-01-01,06:00,January,Spring,V-Shape,62,34.86,21.74,25.61,83.13,0.05,66.51,0.04,2.87,0.67
2025-01-01,06:15,January,Spring,V-Shape,62,81.07,22.06,27.08,82.67,0.12,66.13,0.1,6.64,0.67
2025-01-01,06:30,January,Spring,V-Shape,62,127.28,22.38,28.56,82.2,0.19,65.76,0.16,10.38,0.67
2025-01-01,06:45,January,Spring,V-Shape,62,173.48,22.69,30.03,81.74,0.26,65.39,0.22,14.09,0.67
2025-01-01,07:00,January,Spring,V-Shape,62,219.69,23.01,31.5,81.27,0.33,65.02,0.27,17.77,0.67
2025-01-01,07:15,January,Spring,V-Shape,62,279.2,23.48,33.46,80.65,0.42,64.52,0.35,22.46,0.67
2025-01-01,07:30,January,Spring,V-Shape,62,338.7,23.95,35.41,80.03,0.51,64.02,0.42,27.09,0.67
2025-01-01,07:45,January,Spring,V-Shape,62,398.21,24.41,37.37,79.41,0.6,63.53,0.5,31.66,0.67
2025-01-01,08:00,January,Spring,V-Shape,62,457.72,24.88,39.32,78.79,0.69,63.03,0.57,36.18,0.67
2025-01-01,08:15,January,Spring,V-Shape,62,510.15,25.26,41.01,78.26,0.77,62.61,0.64,40.11,0.67
2025-01-01,08:30,January,Spring,V-Shape,62,562.58,25.64,42.7,77.72,0.85,62.18,0.71,44.01,0.67
2025-01-01,08:45,January,Spring,V-Shape,62,615.02,26.02,44.4,77.19,0.93,61.75,0.78,47.86,0.67
2025-01-01,09:00,January,Spring,V-Shape,62,667.45,26.4,46.09,76.65,1.01,61.32,0.84,51.66,0.67
2025-01-01,09:15,January,Spring,V-Shape,62,708.21,26.66,47.36,76.25,1.07,61.0,0.9,54.59,0.67
2025-01-01,09:30,January,Spring,V-Shape,62,748.96,26.91,48.64,75.84,1.13,60.67,0.95,57.5,0.67
2025-01-01,09:45,January,Spring,V-Shape,62,789.71,27.17,49.92,75.44,1.19,60.35,1.0,60.38,0.67
2025-01-01,10:00,January,Spring,V-Shape,62,830.47,27.43,51.19,75.03,1.26,60.03,1.05,63.24,0.67
2025-01-01,10:15,January,Spring,V-Shape,62,843.34,27.62,51.7,74.87,1.28,59.9,1.07,64.11,0.67
2025-01-01,10:30,January,Spring,V-Shape,62,856.21,27.81,52.22,74.71,1.3,59.77,1.09,64.98,0.67
2025-01-01,10:45,January,Spring,V-Shape,62,869.08,28.0,52.73,74.55,1.32,59.64,1.1,65.85,0.67
2025-01-01,11:00,January,Spring,V-Shape,62,881.95,28.19,53.24,74.39,1.34,59.51,1.12,66.71,0.67
2025-01-01,11:15,January,Spring,V-Shape,62,877.56,28.31,53.25,74.38,1.33,59.51,1.12,66.38,0.67
2025-01-01,11:30,January,Spring,V-Shape,62,873.18,28.43,53.26,74.38,1.33,59.5,1.11,66.04,0.67
2025-01-01,11:45,January,Spring,V-Shape,62,868.8,28.55,53.27,74.38,1.32,59.5,1.1,65.71,0.67
2025-01-01,12:00,January,Spring,V-Shape,62,864.41,28.67,53.28,74.37,1.31,59.5,1.1,65.37,0.67
2025-01-01,12:15,January,Spring,V-Shape,62,837.87,28.72,52.66,74.57,1.27,59.66,1.06,63.5,0.67
2025-01-01,12:30,January,Spring,V-Shape,62,811.32,28.76,52.04,74.76,1.23,59.81,1.03,61.61,0.67
2025-01-01,12:45,January,Spring,V-Shape,62,784.77,28.8,51.42,74.96,1.19,59.97,1.0,59.71,0.67
2025-01-01,13:00,January,Spring,V-Shape,62,758.23,28.85,50.81,75.16,1.15,60.13,0.96,57.81,0.67
2025-01-01,13:15,January,Spring,V-Shape,62,723.98,28.8,49.9,75.44,1.1,60.35,0.92,55.36,0.67
2025-01-01,13:30,January,Spring,V-Shape,62,689.74,28.75,48.99,75.73,1.04,60.58,0.87,52.9,0.67
2025-01-01,13:45,January,Spring,V-Shape,62,655.5,28.7,48.09,76.02,0.99,60.81,0.83,50.41,0.67
2025-01-01,14:00,January,Spring,V-Shape,62,621.25,28.65,47.18,76.3,0.94,61.04,0.78,47.92,0.67
2025-01-01,14:15,January,Spring,V-Shape,62,565.24,28.49,45.62,76.8,0.85,61.44,0.71,43.81,0.67
2025-01-01,14:30,January,Spring,V-Shape,62,509.22,28.33,44.06,77.29,0.77,61.83,0.64,39.66,0.67
2025-01-01,14:45,January,Spring,V-Shape,62,453.2,28.17,42.5,77.79,0.68,62.23,0.57,35.47,0.67
2025-01-01,15:00,January,Spring,V-Shape,62,397.18,28.01,40.94,78.28,0.6,62.62,0.5,31.24,0.67
2025-01-01,15:15,January,Spring,V-Shape,62,345.62,27.66,39.31,78.8,0.52,63.04,0.43,27.32,0.67
2025-01-01,15:30,January,Spring,V-Shape,62,294.06,27.32,37.67,79.32,0.44,63.45,0.37,23.36,0.67
2025-01-01,15:45,January,Spring,V-Shape,62,242.5,26.98,36.04,79.83,0.36,63.87,0.3,19.36,0.67
2025-01-01,16:00,January,Spring,V-Shape,62,190.94,26.63,34.4,80.35,0.28,64.28,0.24,15.31,0.67
2025-01-01,16:15,January,Spring,V-Shape,62,147.63,26.03,32.72,80.88,0.22,64.71,0.18,11.9,0.67
2025-01-01,16:30,January,Spring,V-Shape,62,104.32,25.42,31.03,81.42,0.15,65.13,0.13,8.45,0.67
2025-01-01,16:45,January,Spring,V-Shape,62,61.0,24.82,29.35,81.95,0.09,65.56,0.08,4.97,0.67
