Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-04-01,05:15,April,Summer,Inverted-V,62,25.74,26.55,29.19,82.0,0.04,65.6,0.03,2.1,0.67
2024-04-01,05:30,April,Summer,Inverted-V,62,51.49,26.98,30.27,81.66,0.08,65.33,0.06,4.18,0.67
2024-04-01,05:45,April,Summer,Inverted-V,62,77.23,27.41,31.35,81.32,0.11,65.05,0.1,6.25,0.67
2024-04-01,06:00,April,Summer,Inverted-V,62,102.98,27.85,32.42,80.98,0.15,64.78,0.13,8.31,0.67
2024-04-01,06:15,April,Summer,Inverted-V,62,164.37,28.51,34.62,80.28,0.24,64.23,0.21,13.18,0.67
2024-04-01,06:30,April,Summer,Inverted-V,62,225.76,29.17,36.81,79.59,0.34,63.67,0.28,17.98,0.67
2024-04-01,06:45,April,Summer,Inverted-V,62,287.16,29.83,39.01,78.89,0.43,63.11,0.36,22.72,0.67
2024-04-01,07:00,April,Summer,Inverted-V,62,348.55,30.49,41.2,78.2,0.52,62.56,0.44,27.39,0.67
2024-04-01,07:15,April,Summer,Inverted-V,62,414.68,31.19,43.56,77.45,0.62,61.96,0.52,32.35,0.67
2024-04-01,07:30,April,Summer,Inverted-V,62,480.81,31.89,45.92,76.71,0.72,61.36,0.61,37.23,0.67
2024-04-01,07:45,April,Summer,Inverted-V,62,546.93,32.6,48.27,75.96,0.83,60.77,0.69,42.04,0.67
2024-04-01,08:00,April,Summer,Inverted-V,62,613.06,33.3,50.63,75.21,0.93,60.17,0.78,46.77,0.67
2024-04-01,08:15,April,Summer,Inverted-V,62,663.35,33.94,52.52,74.61,1.01,59.69,0.84,50.29,0.67
2024-04-01,08:30,April,Summer,Inverted-V,62,713.65,34.58,54.42,74.01,1.08,59.21,0.91,53.77,0.67
2024-04-01,08:45,April,Summer,Inverted-V,62,763.94,35.22,56.32,73.41,1.16,58.73,0.97,57.2,0.67
2024-04-01,09:00,April,Summer,Inverted-V,62,814.23,35.86,58.22,72.81,1.24,58.25,1.04,60.58,0.67
2024-04-01,09:15,April,Summer,Inverted-V,62,849.95,36.36,59.61,72.37,1.3,57.9,1.09,62.93,0.67
2024-04-01,09:30,April,Summer,Inverted-V,62,885.66,36.86,61.0,71.93,1.35,57.54,1.13,65.27,0.67
2024-04-01,09:45,April,Summer,Inverted-V,62,921.38,37.35,62.39,71.49,1.41,57.19,1.18,67.57,0.67
2024-04-01,10:00,April,Summer,Inverted-V,62,957.1,37.85,63.78,71.05,1.47,56.84,1.23,69.86,0.67
2024-04-01,10:15,April,Summer,Inverted-V,62,964.29,38.24,64.34,70.87,1.48,56.7,1.24,70.24,0.67
2024-04-01,10:30,April,Summer,Inverted-V,62,971.49,38.62,64.91,70.69,1.49,56.55,1.25,70.62,0.67
2024-04-01,10:45,April,Summer,Inverted-V,62,978.68,39.01,65.48,70.51,1.5,56.41,1.26,71.01,0.67
2024-04-01,11:00,April,Summer,Inverted-V,62,985.88,39.4,66.05,70.33,1.51,56.26,1.27,71.38,0.67
2024-04-01,11:15,April,Summer,Inverted-V,62,969.54,39.63,65.87,70.39,1.49,56.31,1.25,70.24,0.67
2024-04-01,11:30,April,Summer,Inverted-V,62,953.21,39.87,65.7,70.44,1.46,56.35,1.23,69.1,0.67
2024-04-01,11:45,April,Summer,Inverted-V,62,936.87,40.11,65.53,70.5,1.44,56.4,1.21,67.96,0.67
2024-04-01,12:00,April,Summer,Inverted-V,62,920.54,40.34,65.35,70.55,1.41,56.44,1.18,66.82,0.67
2024-04-01,12:15,April,Summer,Inverted-V,62,897.3,40.43,64.86,70.71,1.38,56.57,1.15,65.24,0.67
2024-04-01,12:30,April,Summer,Inverted-V,62,874.06,40.51,64.36,70.86,1.34,56.69,1.12,63.66,0.67
2024-04-01,12:45,April,Summer,Inverted-V,62,850.82,40.59,63.87,71.02,1.3,56.82,1.09,62.08,0.67
2024-04-01,13:00,April,Summer,Inverted-V,62,827.58,40.68,63.37,71.18,1.27,56.94,1.06,60.49,0.67
2024-04-01,13:15,April,Summer,Inverted-V,62,781.43,40.6,62.13,71.57,1.2,57.26,1.0,57.36,0.67
2024-04-01,13:30,April,Summer,Inverted-V,62,735.27,40.52,60.9,71.96,1.12,57.57,0.94,54.2,0.67
2024-04-01,13:45,April,Summer,Inverted-V,62,689.11,40.43,59.66,72.35,1.05,57.88,0.88,51.02,0.67
2024-04-01,14:00,April,Summer,Inverted-V,62,642.96,40.35,58.42,72.74,0.98,58.2,0.82,47.8,0.67
2024-04-01,14:15,April,Summer,Inverted-V,62,582.35,40.07,56.63,73.31,0.89,58.65,0.74,43.56,0.67
