Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-10-01,05:15,October,Winter,Flat,77,28.16,25.97,26.68,82.8,0.04,66.24,0.03,2.31,0.67
2024-10-01,05:30,October,Winter,Flat,77,53.12,26.14,27.47,82.55,0.08,66.04,0.07,4.35,0.67
2024-10-01,05:45,October,Winter,Flat,77,78.09,26.3,28.26,82.3,0.12,65.84,0.1,6.38,0.67
2024-10-01,06:00,October,Winter,Flat,77,103.05,26.47,29.05,82.05,0.15,65.64,0.13,8.4,0.67
2024-10-01,06:15,October,Winter,Flat,77,156.31,26.76,30.67,81.53,0.23,65.23,0.19,12.67,0.67
2024-10-01,06:30,October,Winter,Flat,77,209.57,27.05,32.29,81.02,0.31,64.81,0.26,16.91,0.67
2024-10-01,06:45,October,Winter,Flat,77,262.84,27.35,33.92,80.5,0.39,64.4,0.33,21.11,0.67
2024-10-01,07:00,October,Winter,Flat,77,316.1,27.64,35.54,79.99,0.47,63.99,0.39,25.27,0.67
2024-10-01,07:15,October,Winter,Flat,77,370.48,27.95,37.21,79.46,0.55,63.57,0.46,29.47,0.67
2024-10-01,07:30,October,Winter,Flat,77,424.86,28.25,38.87,78.94,0.64,63.15,0.53,33.63,0.67
2024-10-01,07:45,October,Winter,Flat,77,479.24,28.55,40.54,78.41,0.72,62.73,0.6,37.74,0.67
2024-10-01,08:00,October,Winter,Flat,77,533.62,28.86,42.2,77.88,0.8,62.31,0.67,41.81,0.67
2024-10-01,08:15,October,Winter,Flat,77,540.54,29.09,42.6,77.75,0.81,62.2,0.68,42.3,0.67
2024-10-01,08:30,October,Winter,Flat,77,547.46,29.31,43.0,77.63,0.82,62.1,0.69,42.78,0.67
2024-10-01,08:45,October,Winter,Flat,77,554.38,29.54,43.4,77.5,0.83,62.0,0.7,43.27,0.67
2024-10-01,09:00,October,Winter,Flat,77,561.3,29.77,43.8,77.37,0.84,61.9,0.71,43.76,0.67
2024-10-01,09:15,October,Winter,Flat,77,562.71,29.98,44.05,77.3,0.85,61.84,0.71,43.83,0.67
2024-10-01,09:30,October,Winter,Flat,77,564.12,30.2,44.3,77.22,0.85,61.77,0.71,43.91,0.67
2024-10-01,09:45,October,Winter,Flat,77,565.54,30.41,44.55,77.14,0.85,61.71,0.71,43.98,0.67
2024-10-01,10:00,October,Winter,Flat,77,566.95,30.62,44.79,77.06,0.85,61.65,0.71,44.06,0.67
2024-10-01,10:15,October,Winter,Flat,77,584.75,30.8,45.41,76.86,0.88,61.49,0.74,45.36,0.67
2024-10-01,10:30,October,Winter,Flat,77,602.56,30.97,46.03,76.67,0.91,61.33,0.76,46.65,0.67
2024-10-01,10:45,October,Winter,Flat,77,620.37,31.14,46.65,76.47,0.94,61.18,0.78,47.93,0.67
2024-10-01,11:00,October,Winter,Flat,77,638.17,31.32,47.27,76.27,0.96,61.02,0.81,49.21,0.67
2024-10-01,11:15,October,Winter,Flat,77,647.87,31.44,47.64,76.16,0.98,60.93,0.82,49.9,0.67
2024-10-01,11:30,October,Winter,Flat,77,657.57,31.56,48.0,76.05,0.99,60.84,0.83,50.59,0.67
2024-10-01,11:45,October,Winter,Flat,77,667.27,31.68,48.36,75.93,1.01,60.74,0.84,51.28,0.67
2024-10-01,12:00,October,Winter,Flat,77,676.97,31.8,48.72,75.82,1.02,60.65,0.86,51.96,0.67
2024-10-01,12:15,October,Winter,Flat,77,656.25,31.85,48.26,75.96,0.99,60.77,0.83,50.45,0.67
2024-10-01,12:30,October,Winter,Flat,77,635.54,31.91,47.79,76.11,0.96,60.89,0.8,48.93,0.67
2024-10-01,12:45,October,Winter,Flat,77,614.82,31.96,47.33,76.26,0.93,61.01,0.78,47.4,0.67
2024-10-01,13:00,October,Winter,Flat,77,594.1,32.01,46.86,76.41,0.9,61.12,0.75,45.87,0.67
2024-10-01,13:15,October,Winter,Flat,77,562.9,31.97,46.05,76.66,0.85,61.33,0.71,43.57,0.67
2024-10-01,13:30,October,Winter,Flat,77,531.7,31.94,45.23,76.92,0.8,61.54,0.67,41.26,0.67
2024-10-01,13:45,October,Winter,Flat,77,500.5,31.91,44.42,77.18,0.75,61.74,0.63,38.94,0.67
2024-10-01,14:00,October,Winter,Flat,77,469.3,31.87,43.6,77.44,0.71,61.95,0.59,36.61,0.67
2024-10-01,14:15,October,Winter,Flat,77,420.91,31.77,42.3,77.85,0.63,62.28,0.53,32.97,0.67
2024-10-01,14:30,October,Winter,Flat,77,372.51,31.68,40.99,78.27,0.56,62.61,0.47,29.29,0.67
2024-10-01,14:45,October,Winter,Flat,77,324.12,31.58,39.68,78.68,0.49,62.94,0.41,25.59,0.67
2024-10-01,15:00,October,Winter,Flat,77,275.73,31.48,38.37,79.09,0.41,63.27,0.35,21.86,0.67
2024-10-01,15:15,October,Winter,Flat,77,239.89,31.27,37.26,79.45,0.36,63.56,0.3,19.08,0.67
2024-10-01,15:30,October,Winter,Flat,77,204.04,31.05,36.15,79.8,0.3,63.84,0.26,16.28,0.67
2024-10-01,15:45,October,Winter,Flat,77,168.19,30.84,35.04,80.15,0.25,64.12,0.21,13.47,0.67
2024-10-01,16:00,October,Winter,Flat,77,132.35,30.62,33.93,80.5,0.2,64.4,0.17,10.63,0.67
2024-10-01,16:15,October,Winter,Flat,77,102.42,30.24,32.8,80.86,0.15,64.69,0.13,8.25,0.67
2024-10-01,16:30,October,Winter,Flat,77,72.48,29.86,31.67,81.22,0.11,64.97,0.09,5.86,0.67
2024-10-01,16:45,October,Winter,Flat,77,42.55,29.48,30.54,81.57,0.06,65.26,0.05,3.45,0.67
2024-10-01,17:00,October,Winter,Flat,77,12.62,29.1,29.42,81.93,0.02,65.54,0.02,1.03,0.67
2024-10-01,17:15,October,Winter,Flat,77,9.46,28.82,29.06,82.04,0.01,65.63,0.01,0.77,0.67
2024-10-01,17:30,October,Winter,Flat,77,6.31,28.54,28.7,82.16,0.01,65.73,0.01,0.51,0.67
2024-10-02,05:15,October,Winter,Flat,77,29.93,24.88,25.63,83.13,0.04,66.5,0.04,2.46,0.67
2024-10-02,05:30,October,Winter,Flat,77,56.02,25.06,26.47,82.86,0.08,66.29,0.07,4.6,0.67
2024-10-02,05:45,October,Winter,Flat,77,82.12,25.25,27.3,82.6,0.12,66.08,0.1,6.72,0.67
2024-10-02,06:00,October,Winter,Flat,77,108.22,25.43,28.14,82.34,0.16,65.87,0.13,8.84,0.67
2024-10-02,06:15,October,Winter,Flat,77,158.79,25.71,29.68,81.85,0.24,65.48,0.2,12.91,0.67
2024-10-02,06:30,October,Winter,Flat,77,209.36,25.98,31.22,81.36,0.31,65.09,0.26,16.95,0.67
2024-10-02,06:45,October,Winter,Flat,77,259.93,26.26,32.76,80.87,0.39,64.7,0.32,20.95,0.67
