Week,Shape,Spacing_cm,Irr_kWh_m2
1,Flat,62,33.8384725
1,Flat,77,33.8384725
1,Flat,93,33.8384725
1,Inverted-V,62,36.5455925
1,Inverted-V,77,36.5455925
1,Inverted-V,93,36.5455925
1,V-Shape,62,35.530445
1,V-Shape,77,35.530445
1,V-Shape,93,35.530445
2,Flat,62,33.5408325
2,Flat,77,33.5408325
2,Flat,93,33.5408325
2,Inverted-V,62,36.2241225
2,Inverted-V,77,36.2241225
2,Inverted-V,93,36.2241225
2,V-Shape,62,35.2178875
2,V-Shape,77,35.2178875
2,V-Shape,93,35.2178875
3,Flat,62,24.5398725
3,Flat,77,24.5398725
3,Flat,93,24.5398725
3,Inverted-V,62,26.503072500000002
3,Inverted-V,77,26.503072500000002
3,Inverted-V,93,26.503072500000002
3,V-Shape,62,25.766885
3,V-Shape,77,25.766885
3,V-Shape,93,25.766885
4,Flat,62,32.6382075
4,Flat,77,32.6382075
4,Flat,93,32.6382075
4,Inverted-V,62,35.249255
4,Inverted-V,77,35.249255
4,Inverted-V,93,35.249255
4,V-Shape,62,34.2701225
4,V-Shape,77,34.2701225
4,V-Shape,93,34.2701225
5,Flat,62,35.5567825
5,Flat,77,35.5567825
5,Flat,93,35.5567825
5,Inverted-V,62,38.40134
5,Inverted-V,77,38.40134
5,Inverted-V,93,38.40134
5,V-Shape,62,37.3346425
5,V-Shape,77,37.3346425
5,V-Shape,93,37.3346425
6,Flat,62,43.0809
6,Flat,77,43.0809
6,Flat,93,43.0809
6,Inverted-V,62,46.527385
6,Inverted-V,77,46.527385
6,Inverted-V,93,46.527385
6,V-Shape,62,45.2349525
6,V-Shape,77,45.2349525
6,V-Shape,93,45.2349525
7,Flat,62,46.8577975
7,Flat,77,46.8577975
7,Flat,93,46.8577975
7,Inverted-V,62,50.6064275
7,Inverted-V,77,50.6064275
7,Inverted-V,93,50.6064275
7,V-Shape,62,49.200705
7,V-Shape,77,49.200705
7,V-Shape,93,49.200705
8,Flat,62,47.683085
8,Flat,77,47.683085
8,Flat,93,47.683085
8,Inverted-V,62,51.4977625
8,Inverted-V,77,51.4977625
8,Inverted-V,93,51.4977625
8,V-Shape,62,50.0672825
8,V-Shape,77,50.0672825
8,V-Shape,93,50.0672825
9,Flat,62,35.243515
9,Flat,77,35.243515
9,Flat,93,35.243515
9,Inverted-V,62,38.0630225
9,Inverted-V,77,38.0630225
9,Inverted-V,93,38.0630225
9,V-Shape,62,37.00572
9,V-Shape,77,37.00572
9,V-Shape,93,37.00572
10,Flat,62,44.9641575
10,Flat,77,44.9641575
10,Flat,93,44.9641575
10,Inverted-V,62,48.56134
10,Inverted-V,77,48.56134
10,Inverted-V,93,48.56134
10,V-Shape,62,47.2123875
10,V-Shape,77,47.2123875
10,V-Shape,93,47.2123875
11,Flat,62,38.0416125
11,Flat,77,38.0416125
11,Flat,93,38.0416125
11,Inverted-V,62,41.0848825
11,Inverted-V,77,41.0848825
11,Inverted-V,93,41.0848825
11,V-Shape,62,39.94365
11,V-Shape,77,39.94365
11,V-Shape,93,39.94365
12,Flat,62,40.3219075
12,Flat,77,40.3219075
12,Flat,93,40.3219075
12,Inverted-V,62,43.547647500000004
12,Inverted-V,77,43.547647500000004
12,Inverted-V,93,43.547647500000004
12,V-Shape,62,42.3380075
12,V-Shape,77,42.3380075
12,V-Shape,93,42.3380075
13,Flat,62,44.6704475
13,Flat,77,44.6704475
13,Flat,93,44.6704475
13,Inverted-V,62,48.244105
13,Inverted-V,77,48.244105
13,Inverted-V,93,48.244105
13,V-Shape,62,46.903985
13,V-Shape,77,46.903985
13,V-Shape,93,46.903985
14,Flat,62,52.2657975
14,Flat,77,52.2657975
14,Flat,93,52.2657975
14,Inverted-V,62,56.44707
14,Inverted-V,77,56.44707
14,Inverted-V,93,56.44707
14,V-Shape,62,54.8790925
14,V-Shape,77,54.8790925
14,V-Shape,93,54.8790925
15,Flat,62,42.861435
15,Flat,77,42.861435
15,Flat,93,42.861435
15,Inverted-V,62,46.2903525
15,Inverted-V,77,46.2903525
15,Inverted-V,93,46.2903525
15,V-Shape,62,45.004545
15,V-Shape,77,45.004545
15,V-Shape,93,45.004545
16,Flat,62,41.8362525
16,Flat,77,41.8362525
16,Flat,93,41.8362525
16,Inverted-V,62,45.183165
16,Inverted-V,77,45.183165
16,Inverted-V,93,45.183165
16,V-Shape,62,43.928085
16,V-Shape,77,43.928085
16,V-Shape,93,43.928085
17,Flat,62,45.437915
17,Flat,77,45.437915
17,Flat,93,45.437915
17,Inverted-V,62,49.0729775
17,Inverted-V,77,49.0729775
17,Inverted-V,93,49.0729775
17,V-Shape,62,47.709805
17,V-Shape,77,47.709805
17,V-Shape,93,47.709805
18,Flat,62,42.095145
18,Flat,77,42.095145
18,Flat,93,42.095145
18,Inverted-V,62,45.462735
18,Inverted-V,77,45.462735
18,Inverted-V,93,45.462735
18,V-Shape,62,44.199875
18,V-Shape,77,44.199875
18,V-Shape,93,44.199875
19,Flat,62,38.956055
19,Flat,77,38.956055
19,Flat,93,38.956055
19,Inverted-V,62,42.072555
19,Inverted-V,77,42.072555
19,Inverted-V,93,42.072555
19,V-Shape,62,40.9039075
19,V-Shape,77,40.9039075
19,V-Shape,93,40.9039075
20,Flat,62,28.3063425
20,Flat,77,28.3063425
20,Flat,93,28.3063425
20,Inverted-V,62,30.5708425
20,Inverted-V,77,30.5708425
20,Inverted-V,93,30.5708425
20,V-Shape,62,29.7216825
20,V-Shape,77,29.7216825
20,V-Shape,93,29.7216825
21,Flat,62,25.1423
21,Flat,77,25.1423
21,Flat,93,25.1423
21,Inverted-V,62,27.1536725
21,Inverted-V,77,27.1536725
21,Inverted-V,93,27.1536725
21,V-Shape,62,26.39943
21,V-Shape,77,26.39943
21,V-Shape,93,26.39943
22,Flat,62,32.5583625
22,Flat,77,32.5583625
22,Flat,93,32.5583625
22,Inverted-V,62,35.1630125
22,Inverted-V,77,35.1630125
22,Inverted-V,93,35.1630125
22,V-Shape,62,34.1862825
22,V-Shape,77,34.1862825
22,V-Shape,93,34.1862825
