Week,Spacing_cm,Best_Shape,Best_Irr_kWh_m2
1,62,Inverted-V,36.5455925
1,77,Inverted-V,36.5455925
1,93,Inverted-V,36.5455925
2,62,Inverted-V,36.2241225
2,77,Inverted-V,36.2241225
2,93,Inverted-V,36.2241225
3,62,Inverted-V,26.503072500000002
3,77,Inverted-V,26.503072500000002
3,93,Inverted-V,26.503072500000002
4,62,Inverted-V,35.249255
4,77,Inverted-V,35.249255
4,93,Inverted-V,35.249255
5,62,Inverted-V,38.40134
5,77,Inverted-V,38.40134
5,93,Inverted-V,38.40134
6,62,Inverted-V,46.527385
6,77,Inverted-V,46.527385
6,93,Inverted-V,46.527385
7,62,Inverted-V,50.6064275
7,77,Inverted-V,50.6064275
7,93,Inverted-V,50.6064275
8,62,Inverted-V,51.4977625
8,77,Inverted-V,51.4977625
8,93,Inverted-V,51.4977625
9,62,Inverted-V,38.0630225
9,77,Inverted-V,38.0630225
9,93,Inverted-V,38.0630225
10,62,Inverted-V,48.56134
10,77,Inverted-V,48.56134
10,93,Inverted-V,48.56134
11,62,Inverted-V,41.0848825
11,77,Inverted-V,41.0848825
11,93,Inverted-V,41.0848825
12,62,Inverted-V,43.547647500000004
12,77,Inverted-V,43.547647500000004
12,93,Inverted-V,43.547647500000004
13,62,Inverted-V,48.244105
13,77,Inverted-V,48.244105
13,93,Inverted-V,48.244105
14,62,Inverted-V,56.44707
14,77,Inverted-V,56.44707
14,93,Inverted-V,56.44707
15,62,Inverted-V,46.2903525
15,77,Inverted-V,46.2903525
15,93,Inverted-V,46.2903525
16,62,Inverted-V,45.183165
16,77,Inverted-V,45.183165
16,93,Inverted-V,45.183165
17,62,Inverted-V,49.0729775
17,77,Inverted-V,49.0729775
17,93,Inverted-V,49.0729775
18,62,Inverted-V,45.462735
18,77,Inverted-V,45.462735
18,93,Inverted-V,45.462735
19,62,Inverted-V,42.072555
19,77,Inverted-V,42.072555
19,93,Inverted-V,42.072555
20,62,Inverted-V,30.5708425
20,77,Inverted-V,30.5708425
20,93,Inverted-V,30.5708425
21,62,Inverted-V,27.1536725
21,77,Inverted-V,27.1536725
21,93,Inverted-V,27.1536725
22,62,Inverted-V,35.1630125
22,77,Inverted-V,35.1630125
22,93,Inverted-V,35.1630125
23,62,Inverted-V,35.90713
23,77,Inverted-V,35.90713
23,93,Inverted-V,35.90713
24,62,Inverted-V,41.445515
24,77,Inverted-V,41.445515
24,93,Inverted-V,41.445515
25,62,Inverted-V,33.5571625
25,77,Inverted-V,33.5571625
25,93,Inverted-V,33.5571625
26,62,Inverted-V,29.09132
26,77,Inverted-V,29.09132
26,93,Inverted-V,29.09132
27,62,Inverted-V,35.6804025
27,77,Inverted-V,35.6804025
27,93,Inverted-V,35.6804025
28,62,Inverted-V,32.7305975
28,77,Inverted-V,32.7305975
28,93,Inverted-V,32.7305975
29,62,Inverted-V,26.112
29,77,Inverted-V,26.112
29,93,Inverted-V,26.112
30,62,Inverted-V,32.724905
30,77,Inverted-V,32.724905
30,93,Inverted-V,32.724905
31,62,Inverted-V,33.6359675
31,77,Inverted-V,33.6359675
31,93,Inverted-V,33.6359675
32,62,Inverted-V,35.893565
32,77,Inverted-V,35.893565
32,93,Inverted-V,35.893565
33,62,Inverted-V,35.9074875
33,77,Inverted-V,35.9074875
33,93,Inverted-V,35.9074875
34,62,Inverted-V,37.31739
34,77,Inverted-V,37.31739
34,93,Inverted-V,37.31739
35,62,Inverted-V,33.8111575
35,77,Inverted-V,33.8111575
35,93,Inverted-V,33.8111575
36,62,Inverted-V,38.1297
36,77,Inverted-V,38.1297
36,93,Inverted-V,38.1297
37,62,Inverted-V,39.77188
37,77,Inverted-V,39.77188
37,93,Inverted-V,39.77188
38,62,Inverted-V,49.22903
38,77,Inverted-V,49.22903
38,93,Inverted-V,49.22903
39,62,Inverted-V,39.51099
39,77,Inverted-V,39.51099
39,93,Inverted-V,39.51099
40,62,Inverted-V,35.975165
40,77,Inverted-V,35.975165
40,93,Inverted-V,35.975165
41,62,Inverted-V,34.4010025
41,77,Inverted-V,34.4010025
41,93,Inverted-V,34.4010025
42,62,Inverted-V,32.167765
42,77,Inverted-V,32.167765
42,93,Inverted-V,32.167765
43,62,Inverted-V,33.061795
43,77,Inverted-V,33.061795
43,93,Inverted-V,33.061795
44,62,Inverted-V,37.20265
44,77,Inverted-V,37.20265
44,93,Inverted-V,37.20265
45,62,Inverted-V,37.3287525
45,77,Inverted-V,37.3287525
45,93,Inverted-V,37.3287525
46,62,Inverted-V,33.245855
46,77,Inverted-V,33.245855
46,93,Inverted-V,33.245855
47,62,Inverted-V,26.291315
47,77,Inverted-V,26.291315
47,93,Inverted-V,26.291315
48,62,Inverted-V,19.9337775
48,77,Inverted-V,19.9337775
48,93,Inverted-V,19.9337775
49,62,Inverted-V,33.0948525
49,77,Inverted-V,33.0948525
49,93,Inverted-V,33.0948525
50,62,Inverted-V,25.53041
50,77,Inverted-V,25.53041
50,93,Inverted-V,25.53041
51,62,Inverted-V,37.2883275
51,77,Inverted-V,37.2883275
51,93,Inverted-V,37.2883275
52,62,Inverted-V,38.8779375
52,77,Inverted-V,38.8779375
52,93,Inverted-V,38.8779375
