Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-02-01,06:00,February,Spring,Flat,62,18.2,23.29,27.74,82.46,0.03,65.97,0.02,1.49,0.67
2024-02-01,06:15,February,Spring,Flat,62,18.2,23.29,27.74,82.46,0.03,65.97,0.02,1.49,0.67
2024-02-01,06:30,February,Spring,Flat,62,18.2,23.29,27.74,82.46,0.03,65.97,0.02,1.49,0.67
2024-02-01,06:45,February,Spring,Flat,62,18.2,23.29,27.74,82.46,0.03,65.97,0.02,1.49,0.67
2024-02-01,07:00,February,Spring,Flat,62,130.95,24.86,32.13,81.07,0.19,64.86,0.16,10.57,0.67
2024-02-01,07:15,February,Spring,Flat,62,130.95,24.86,32.13,81.07,0.19,64.86,0.16,10.57,0.67
2024-02-01,07:30,February,Spring,Flat,62,130.95,24.86,32.13,81.07,0.19,64.86,0.16,10.57,0.67
2024-02-01,07:45,February,Spring,Flat,62,130.95,24.86,32.13,81.07,0.19,64.86,0.16,10.57,0.67
2024-02-01,08:00,February,Spring,Flat,62,288.8,26.88,38.1,79.18,0.43,63.34,0.36,22.91,0.67
2024-02-01,08:15,February,Spring,Flat,62,288.8,26.88,38.1,79.18,0.43,63.34,0.36,22.91,0.67
2024-02-01,08:30,February,Spring,Flat,62,288.8,26.88,38.1,79.18,0.43,63.34,0.36,22.91,0.67
2024-02-01,08:45,February,Spring,Flat,62,288.8,26.88,38.1,79.18,0.43,63.34,0.36,22.91,0.67
2024-02-01,09:00,February,Spring,Flat,62,389.2,29.25,42.98,77.63,0.58,62.11,0.49,30.42,0.67
2024-02-01,09:15,February,Spring,Flat,62,389.2,29.25,42.98,77.63,0.58,62.11,0.49,30.42,0.67
2024-02-01,09:30,February,Spring,Flat,62,389.2,29.25,42.98,77.63,0.58,62.11,0.49,30.42,0.67
2024-02-01,09:45,February,Spring,Flat,62,389.2,29.25,42.98,77.63,0.58,62.11,0.49,30.42,0.67
2024-02-01,10:00,February,Spring,Flat,62,584.45,31.04,49.65,75.52,0.88,60.42,0.74,44.73,0.67
2024-02-01,10:15,February,Spring,Flat,62,584.45,31.04,49.65,75.52,0.88,60.42,0.74,44.73,0.67
2024-02-01,10:30,February,Spring,Flat,62,584.45,31.04,49.65,75.52,0.88,60.42,0.74,44.73,0.67
2024-02-01,10:45,February,Spring,Flat,62,584.45,31.04,49.65,75.52,0.88,60.42,0.74,44.73,0.67
2024-02-01,11:00,February,Spring,Flat,62,683.17,32.21,53.29,74.37,1.04,59.5,0.87,51.67,0.67
2024-02-01,11:15,February,Spring,Flat,62,683.17,32.21,53.29,74.37,1.04,59.5,0.87,51.67,0.67
2024-02-01,11:30,February,Spring,Flat,62,683.17,32.21,53.29,74.37,1.04,59.5,0.87,51.67,0.67
2024-02-01,11:45,February,Spring,Flat,62,683.17,32.21,53.29,74.37,1.04,59.5,0.87,51.67,0.67
2024-02-01,12:00,February,Spring,Flat,62,671.38,32.86,53.64,74.26,1.02,59.41,0.85,50.72,0.67
2024-02-01,12:15,February,Spring,Flat,62,671.38,32.86,53.64,74.26,1.02,59.41,0.85,50.72,0.67
2024-02-01,12:30,February,Spring,Flat,62,671.38,32.86,53.64,74.26,1.02,59.41,0.85,50.72,0.67
2024-02-01,12:45,February,Spring,Flat,62,671.38,32.86,53.64,74.26,1.02,59.41,0.85,50.72,0.67
2024-02-01,13:00,February,Spring,Flat,62,521.45,33.05,50.09,75.38,0.79,60.31,0.66,39.85,0.67
2024-02-01,13:15,February,Spring,Flat,62,521.45,33.05,50.09,75.38,0.79,60.31,0.66,39.85,0.67
2024-02-01,13:30,February,Spring,Flat,62,521.45,33.05,50.09,75.38,0.79,60.31,0.66,39.85,0.67
2024-02-01,13:45,February,Spring,Flat,62,521.45,33.05,50.09,75.38,0.79,60.31,0.66,39.85,0.67
2024-02-01,14:00,February,Spring,Flat,62,535.88,32.74,50.14,75.37,0.81,60.29,0.68,40.94,0.67
2024-02-01,14:15,February,Spring,Flat,62,535.88,32.74,50.14,75.37,0.81,60.29,0.68,40.94,0.67
2024-02-01,14:30,February,Spring,Flat,62,535.88,32.74,50.14,75.37,0.81,60.29,0.68,40.94,0.67
2024-02-01,14:45,February,Spring,Flat,62,535.88,32.74,50.14,75.37,0.81,60.29,0.68,40.94,0.67
2024-02-01,15:00,February,Spring,Flat,62,384.4,32.07,45.68,76.78,0.58,61.42,0.49,29.79,0.67
2024-02-01,15:15,February,Spring,Flat,62,384.4,32.07,45.68,76.78,0.58,61.42,0.49,29.79,0.67
2024-02-01,15:30,February,Spring,Flat,62,384.4,32.07,45.68,76.78,0.58,61.42,0.49,29.79,0.67
2024-02-01,15:45,February,Spring,Flat,62,384.4,32.07,45.68,76.78,0.58,61.42,0.49,29.79,0.67
2024-02-01,16:00,February,Spring,Flat,62,185.98,30.66,39.31,78.8,0.28,63.04,0.23,14.7,0.67
2024-02-01,16:15,February,Spring,Flat,62,185.98,30.66,39.31,78.8,0.28,63.04,0.23,14.7,0.67
2024-02-01,16:30,February,Spring,Flat,62,185.98,30.66,39.31,78.8,0.28,63.04,0.23,14.7,0.67
2024-02-01,16:45,February,Spring,Flat,62,185.98,30.66,39.31,78.8,0.28,63.04,0.23,14.7,0.67
2024-02-01,17:00,February,Spring,Flat,62,33.1,28.19,33.02,80.79,0.05,64.63,0.04,2.67,0.67
2024-02-01,17:15,February,Spring,Flat,62,33.1,28.19,33.02,80.79,0.05,64.63,0.04,2.67,0.67
2024-02-01,17:30,February,Spring,Flat,62,33.1,28.19,33.02,80.79,0.05,64.63,0.04,2.67,0.67
2024-02-01,17:45,February,Spring,Flat,62,33.1,28.19,33.02,80.79,0.05,64.63,0.04,2.67,0.67
2024-02-02,06:00,February,Spring,Flat,62,23.2,24.01,28.59,82.19,0.03,65.75,0.03,1.89,0.67
2024-02-02,06:15,February,Spring,Flat,62,23.2,24.01,28.59,82.19,0.03,65.75,0.03,1.89,0.67
2024-02-02,06:30,February,Spring,Flat,62,23.2,24.01,28.59,82.19,0.03,65.75,0.03,1.89,0.67
2024-02-02,06:45,February,Spring,Flat,62,23.2,24.01,28.59,82.19,0.03,65.75,0.03,1.89,0.67
2024-02-02,07:00,February,Spring,Flat,62,163.45,25.54,33.63,80.6,0.24,64.48,0.2,13.14,0.67
2024-02-02,07:15,February,Spring,Flat,62,163.45,25.54,33.63,80.6,0.24,64.48,0.2,13.14,0.67
2024-02-02,07:30,February,Spring,Flat,62,163.45,25.54,33.63,80.6,0.24,64.48,0.2,13.14,0.67
2024-02-02,07:45,February,Spring,Flat,62,163.45,25.54,33.63,80.6,0.24,64.48,0.2,13.14,0.67
2024-02-02,08:00,February,Spring,Flat,62,343.33,27.6,40.18,78.52,0.51,62.82,0.43,27.06,0.67
2024-02-02,08:15,February,Spring,Flat,62,343.33,27.6,40.18,78.52,0.51,62.82,0.43,27.06,0.67
2024-02-02,08:30,February,Spring,Flat,62,343.33,27.6,40.18,78.52,0.51,62.82,0.43,27.06,0.67
2024-02-02,08:45,February,Spring,Flat,62,343.33,27.6,40.18,78.52,0.51,62.82,0.43,27.06,0.67
2024-02-02,09:00,February,Spring,Flat,62,545.08,29.71,47.34,76.26,0.82,61.0,0.69,42.02,0.67
2024-02-02,09:15,February,Spring,Flat,62,545.08,29.71,47.34,76.26,0.82,61.0,0.69,42.02,0.67
2024-02-02,09:30,February,Spring,Flat,62,545.08,29.71,47.34,76.26,0.82,61.0,0.69,42.02,0.67
2024-02-02,09:45,February,Spring,Flat,62,545.08,29.71,47.34,76.26,0.82,61.0,0.69,42.02,0.67
2024-02-02,10:00,February,Spring,Flat,62,705.75,31.13,52.77,74.53,1.07,59.63,0.9,53.46,0.67
2024-02-02,10:15,February,Spring,Flat,62,705.75,31.13,52.77,74.53,1.07,59.63,0.9,53.46,0.67
2024-02-02,10:30,February,Spring,Flat,62,705.75,31.13,52.77,74.53,1.07,59.63,0.9,53.46,0.67
2024-02-02,10:45,February,Spring,Flat,62,705.75,31.13,52.77,74.53,1.07,59.63,0.9,53.46,0.67
2024-02-02,11:00,February,Spring,Flat,62,792.08,32.18,55.98,73.52,1.21,58.81,1.01,59.37,0.67
2024-02-02,11:15,February,Spring,Flat,62,792.08,32.18,55.98,73.52,1.21,58.81,1.01,59.37,0.67
2024-02-02,11:30,February,Spring,Flat,62,792.08,32.18,55.98,73.52,1.21,58.81,1.01,59.37,0.67
2024-02-02,11:45,February,Spring,Flat,62,792.08,32.18,55.98,73.52,1.21,58.81,1.01,59.37,0.67
2024-02-02,12:00,February,Spring,Flat,62,717.97,32.84,54.79,73.9,1.09,59.12,0.91,54.03,0.67
2024-02-02,12:15,February,Spring,Flat,62,717.97,32.84,54.79,73.9,1.09,59.12,0.91,54.03,0.67
2024-02-02,12:30,February,Spring,Flat,62,717.97,32.84,54.79,73.9,1.09,59.12,0.91,54.03,0.67
2024-02-02,12:45,February,Spring,Flat,62,717.97,32.84,54.79,73.9,1.09,59.12,0.91,54.03,0.67
2024-02-02,13:00,February,Spring,Flat,62,694.1,33.1,54.45,74.0,1.05,59.2,0.88,52.29,0.67
2024-02-02,13:15,February,Spring,Flat,62,694.1,33.1,54.45,74.0,1.05,59.2,0.88,52.29,0.67
2024-02-02,13:30,February,Spring,Flat,62,694.1,33.1,54.45,74.0,1.05,59.2,0.88,52.29,0.67
2024-02-02,13:45,February,Spring,Flat,62,694.1,33.1,54.45,74.0,1.05,59.2,0.88,52.29,0.67
2024-02-02,14:00,February,Spring,Flat,62,556.83,32.94,50.86,75.14,0.84,60.11,0.71,42.45,0.67
