Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-09-01,06:00,September,Autumn,Inverted-V,77,101.6,25.02,25.56,83.15,0.15,66.52,0.13,8.36,0.67
2024-09-01,06:15,September,Autumn,Inverted-V,77,101.6,25.02,25.56,83.15,0.15,66.52,0.13,8.36,0.67
2024-09-01,06:30,September,Autumn,Inverted-V,77,101.6,25.02,25.56,83.15,0.15,66.52,0.13,8.36,0.67
2024-09-01,06:45,September,Autumn,Inverted-V,77,101.6,25.02,25.56,83.15,0.15,66.52,0.13,8.36,0.67
2024-09-01,07:00,September,Autumn,Inverted-V,77,270.11,26.26,31.01,81.42,0.4,65.14,0.34,21.88,0.67
2024-09-01,07:15,September,Autumn,Inverted-V,77,270.11,26.26,31.01,81.42,0.4,65.14,0.34,21.88,0.67
2024-09-01,07:30,September,Autumn,Inverted-V,77,270.11,26.26,31.01,81.42,0.4,65.14,0.34,21.88,0.67
2024-09-01,07:45,September,Autumn,Inverted-V,77,270.11,26.26,31.01,81.42,0.4,65.14,0.34,21.88,0.67
2024-09-01,08:00,September,Autumn,Inverted-V,77,483.82,28.21,38.31,79.11,0.72,63.29,0.61,38.36,0.67
2024-09-01,08:15,September,Autumn,Inverted-V,77,483.82,28.21,38.31,79.11,0.72,63.29,0.61,38.36,0.67
2024-09-01,08:30,September,Autumn,Inverted-V,77,483.82,28.21,38.31,79.11,0.72,63.29,0.61,38.36,0.67
2024-09-01,08:45,September,Autumn,Inverted-V,77,483.82,28.21,38.31,79.11,0.72,63.29,0.61,38.36,0.67
2024-09-01,09:00,September,Autumn,Inverted-V,77,584.15,30.26,42.86,77.67,0.88,62.14,0.73,45.67,0.67
2024-09-01,09:15,September,Autumn,Inverted-V,77,584.15,30.26,42.86,77.67,0.88,62.14,0.73,45.67,0.67
2024-09-01,09:30,September,Autumn,Inverted-V,77,584.15,30.26,42.86,77.67,0.88,62.14,0.73,45.67,0.67
2024-09-01,09:45,September,Autumn,Inverted-V,77,584.15,30.26,42.86,77.67,0.88,62.14,0.73,45.67,0.67
2024-09-01,10:00,September,Autumn,Inverted-V,77,672.03,31.88,46.68,76.46,1.01,61.17,0.85,51.92,0.67
