Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-02-01,06:00,February,Spring,Flat,93,18.2,23.29,20.74,84.68,0.03,67.74,0.02,1.52,0.67
2024-02-01,06:15,February,Spring,Flat,93,18.2,23.29,20.74,84.68,0.03,67.74,0.02,1.52,0.67
2024-02-01,06:30,February,Spring,Flat,93,18.2,23.29,20.74,84.68,0.03,67.74,0.02,1.52,0.67
2024-02-01,06:45,February,Spring,Flat,93,18.2,23.29,20.74,84.68,0.03,67.74,0.02,1.52,0.67
2024-02-01,07:00,February,Spring,Flat,93,130.95,24.86,25.13,83.29,0.19,66.63,0.16,10.79,0.67
2024-02-01,07:15,February,Spring,Flat,93,130.95,24.86,25.13,83.29,0.19,66.63,0.16,10.79,0.67
2024-02-01,07:30,February,Spring,Flat,93,130.95,24.86,25.13,83.29,0.19,66.63,0.16,10.79,0.67
2024-02-01,07:45,February,Spring,Flat,93,130.95,24.86,25.13,83.29,0.19,66.63,0.16,10.79,0.67
2024-02-01,08:00,February,Spring,Flat,93,288.8,26.88,31.1,81.4,0.43,65.12,0.36,23.39,0.67
2024-02-01,08:15,February,Spring,Flat,93,288.8,26.88,31.1,81.4,0.43,65.12,0.36,23.39,0.67
2024-02-01,08:30,February,Spring,Flat,93,288.8,26.88,31.1,81.4,0.43,65.12,0.36,23.39,0.67
2024-02-01,08:45,February,Spring,Flat,93,288.8,26.88,31.1,81.4,0.43,65.12,0.36,23.39,0.67
2024-02-01,09:00,February,Spring,Flat,93,389.2,29.25,35.98,79.85,0.58,63.88,0.49,31.07,0.67
2024-02-01,09:15,February,Spring,Flat,93,389.2,29.25,35.98,79.85,0.58,63.88,0.49,31.07,0.67
2024-02-01,09:30,February,Spring,Flat,93,389.2,29.25,35.98,79.85,0.58,63.88,0.49,31.07,0.67
2024-02-01,09:45,February,Spring,Flat,93,389.2,29.25,35.98,79.85,0.58,63.88,0.49,31.07,0.67
2024-02-01,10:00,February,Spring,Flat,93,584.45,31.04,42.65,77.74,0.88,62.19,0.74,45.72,0.67
2024-02-01,10:15,February,Spring,Flat,93,584.45,31.04,42.65,77.74,0.88,62.19,0.74,45.72,0.67
2024-02-01,10:30,February,Spring,Flat,93,584.45,31.04,42.65,77.74,0.88,62.19,0.74,45.72,0.67
2024-02-01,10:45,February,Spring,Flat,93,584.45,31.04,42.65,77.74,0.88,62.19,0.74,45.72,0.67
2024-02-01,11:00,February,Spring,Flat,93,683.17,32.21,46.29,76.59,1.03,61.27,0.86,52.84,0.67
2024-02-01,11:15,February,Spring,Flat,93,683.17,32.21,46.29,76.59,1.03,61.27,0.86,52.84,0.67
2024-02-01,11:30,February,Spring,Flat,93,683.17,32.21,46.29,76.59,1.03,61.27,0.86,52.84,0.67
2024-02-01,11:45,February,Spring,Flat,93,683.17,32.21,46.29,76.59,1.03,61.27,0.86,52.84,0.67
2024-02-01,12:00,February,Spring,Flat,93,671.38,32.86,46.64,76.47,1.01,61.18,0.85,51.87,0.67
2024-02-01,12:15,February,Spring,Flat,93,671.38,32.86,46.64,76.47,1.01,61.18,0.85,51.87,0.67
2024-02-01,12:30,February,Spring,Flat,93,671.38,32.86,46.64,76.47,1.01,61.18,0.85,51.87,0.67
2024-02-01,12:45,February,Spring,Flat,93,671.38,32.86,46.64,76.47,1.01,61.18,0.85,51.87,0.67
2024-02-01,13:00,February,Spring,Flat,93,521.45,33.05,43.09,77.6,0.78,62.08,0.66,40.74,0.67
2024-02-01,13:15,February,Spring,Flat,93,521.45,33.05,43.09,77.6,0.78,62.08,0.66,40.74,0.67
2024-02-01,13:30,February,Spring,Flat,93,521.45,33.05,43.09,77.6,0.78,62.08,0.66,40.74,0.67
2024-02-01,13:45,February,Spring,Flat,93,521.45,33.05,43.09,77.6,0.78,62.08,0.66,40.74,0.67
2024-02-01,14:00,February,Spring,Flat,93,535.88,32.74,43.14,77.58,0.81,62.07,0.67,41.86,0.67
2024-02-01,14:15,February,Spring,Flat,93,535.88,32.74,43.14,77.58,0.81,62.07,0.67,41.86,0.67
2024-02-01,14:30,February,Spring,Flat,93,535.88,32.74,43.14,77.58,0.81,62.07,0.67,41.86,0.67
2024-02-01,14:45,February,Spring,Flat,93,535.88,32.74,43.14,77.58,0.81,62.07,0.67,41.86,0.67
2024-02-01,15:00,February,Spring,Flat,93,384.4,32.07,38.68,79.0,0.58,63.2,0.48,30.44,0.67
2024-02-01,15:15,February,Spring,Flat,93,384.4,32.07,38.68,79.0,0.58,63.2,0.48,30.44,0.67
2024-02-01,15:30,February,Spring,Flat,93,384.4,32.07,38.68,79.0,0.58,63.2,0.48,30.44,0.67
2024-02-01,15:45,February,Spring,Flat,93,384.4,32.07,38.68,79.0,0.58,63.2,0.48,30.44,0.67
2024-02-01,16:00,February,Spring,Flat,93,185.98,30.66,32.31,81.01,0.28,64.81,0.23,15.01,0.67
2024-02-01,16:15,February,Spring,Flat,93,185.98,30.66,32.31,81.01,0.28,64.81,0.23,15.01,0.67
2024-02-01,16:30,February,Spring,Flat,93,185.98,30.66,32.31,81.01,0.28,64.81,0.23,15.01,0.67
2024-02-01,16:45,February,Spring,Flat,93,185.98,30.66,32.31,81.01,0.28,64.81,0.23,15.01,0.67
2024-02-01,17:00,February,Spring,Flat,93,33.1,28.19,26.02,83.01,0.05,66.4,0.04,2.72,0.67
2024-02-01,17:15,February,Spring,Flat,93,33.1,28.19,26.02,83.01,0.05,66.4,0.04,2.72,0.67
2024-02-01,17:30,February,Spring,Flat,93,33.1,28.19,26.02,83.01,0.05,66.4,0.04,2.72,0.67
2024-02-01,17:45,February,Spring,Flat,93,33.1,28.19,26.02,83.01,0.05,66.4,0.04,2.72,0.67
2024-02-02,06:00,February,Spring,Flat,93,23.2,24.01,21.59,84.41,0.03,67.53,0.03,1.93,0.67
2024-02-02,06:15,February,Spring,Flat,93,23.2,24.01,21.59,84.41,0.03,67.53,0.03,1.93,0.67
2024-02-02,06:30,February,Spring,Flat,93,23.2,24.01,21.59,84.41,0.03,67.53,0.03,1.93,0.67
2024-02-02,06:45,February,Spring,Flat,93,23.2,24.01,21.59,84.41,0.03,67.53,0.03,1.93,0.67
2024-02-02,07:00,February,Spring,Flat,93,163.45,25.54,26.63,82.81,0.24,66.25,0.2,13.41,0.67
2024-02-02,07:15,February,Spring,Flat,93,163.45,25.54,26.63,82.81,0.24,66.25,0.2,13.41,0.67
2024-02-02,07:30,February,Spring,Flat,93,163.45,25.54,26.63,82.81,0.24,66.25,0.2,13.41,0.67
2024-02-02,07:45,February,Spring,Flat,93,163.45,25.54,26.63,82.81,0.24,66.25,0.2,13.41,0.67
2024-02-02,08:00,February,Spring,Flat,93,343.33,27.6,33.18,80.74,0.51,64.59,0.43,27.64,0.67
2024-02-02,08:15,February,Spring,Flat,93,343.33,27.6,33.18,80.74,0.51,64.59,0.43,27.64,0.67
2024-02-02,08:30,February,Spring,Flat,93,343.33,27.6,33.18,80.74,0.51,64.59,0.43,27.64,0.67
2024-02-02,08:45,February,Spring,Flat,93,343.33,27.6,33.18,80.74,0.51,64.59,0.43,27.64,0.67
2024-02-02,09:00,February,Spring,Flat,93,545.08,29.71,40.34,78.47,0.82,62.78,0.68,42.95,0.67
2024-02-02,09:15,February,Spring,Flat,93,545.08,29.71,40.34,78.47,0.82,62.78,0.68,42.95,0.67
2024-02-02,09:30,February,Spring,Flat,93,545.08,29.71,40.34,78.47,0.82,62.78,0.68,42.95,0.67
2024-02-02,09:45,February,Spring,Flat,93,545.08,29.71,40.34,78.47,0.82,62.78,0.68,42.95,0.67
2024-02-02,10:00,February,Spring,Flat,93,705.75,31.13,45.77,76.75,1.06,61.4,0.89,54.68,0.67
2024-02-02,10:15,February,Spring,Flat,93,705.75,31.13,45.77,76.75,1.06,61.4,0.89,54.68,0.67
2024-02-02,10:30,February,Spring,Flat,93,705.75,31.13,45.77,76.75,1.06,61.4,0.89,54.68,0.67
2024-02-02,10:45,February,Spring,Flat,93,705.75,31.13,45.77,76.75,1.06,61.4,0.89,54.68,0.67
2024-02-02,11:00,February,Spring,Flat,93,792.08,32.18,48.98,75.73,1.2,60.59,1.0,60.75,0.67
2024-02-02,11:15,February,Spring,Flat,93,792.08,32.18,48.98,75.73,1.2,60.59,1.0,60.75,0.67
2024-02-02,11:30,February,Spring,Flat,93,792.08,32.18,48.98,75.73,1.2,60.59,1.0,60.75,0.67
2024-02-02,11:45,February,Spring,Flat,93,792.08,32.18,48.98,75.73,1.2,60.59,1.0,60.75,0.67
2024-02-02,12:00,February,Spring,Flat,93,717.97,32.84,47.79,76.11,1.08,60.89,0.91,55.27,0.67
2024-02-02,12:15,February,Spring,Flat,93,717.97,32.84,47.79,76.11,1.08,60.89,0.91,55.27,0.67
2024-02-02,12:30,February,Spring,Flat,93,717.97,32.84,47.79,76.11,1.08,60.89,0.91,55.27,0.67
2024-02-02,12:45,February,Spring,Flat,93,717.97,32.84,47.79,76.11,1.08,60.89,0.91,55.27,0.67
2024-02-02,13:00,February,Spring,Flat,93,694.1,33.1,47.45,76.22,1.05,60.97,0.88,53.49,0.67
2024-02-02,13:15,February,Spring,Flat,93,694.1,33.1,47.45,76.22,1.05,60.97,0.88,53.49,0.67
2024-02-02,13:30,February,Spring,Flat,93,694.1,33.1,47.45,76.22,1.05,60.97,0.88,53.49,0.67
2024-02-02,13:45,February,Spring,Flat,93,694.1,33.1,47.45,76.22,1.05,60.97,0.88,53.49,0.67
2024-02-02,14:00,February,Spring,Flat,93,556.83,32.94,43.86,77.36,0.84,61.88,0.7,43.4,0.67
2024-02-02,14:15,February,Spring,Flat,93,556.83,32.94,43.86,77.36,0.84,61.88,0.7,43.4,0.67
2024-02-02,14:30,February,Spring,Flat,93,556.83,32.94,43.86,77.36,0.84,61.88,0.7,43.4,0.67
2024-02-02,14:45,February,Spring,Flat,93,556.83,32.94,43.86,77.36,0.84,61.88,0.7,43.4,0.67
2024-02-02,15:00,February,Spring,Flat,93,356.77,32.33,38.25,79.13,0.53,63.31,0.45,28.29,0.67
2024-02-02,15:15,February,Spring,Flat,93,356.77,32.33,38.25,79.13,0.53,63.31,0.45,28.29,0.67
2024-02-02,15:30,February,Spring,Flat,93,356.77,32.33,38.25,79.13,0.53,63.31,0.45,28.29,0.67
