Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-02-01,06:00,February,Spring,Inverted-V,77,19.66,23.29,21.78,84.35,0.03,67.48,0.02,1.63,0.67
2024-02-01,06:15,February,Spring,Inverted-V,77,19.66,23.29,21.78,84.35,0.03,67.48,0.02,1.63,0.67
2024-02-01,06:30,February,Spring,Inverted-V,77,19.66,23.29,21.78,84.35,0.03,67.48,0.02,1.63,0.67
2024-02-01,06:45,February,Spring,Inverted-V,77,19.66,23.29,21.78,84.35,0.03,67.48,0.02,1.63,0.67
2024-02-01,07:00,February,Spring,Inverted-V,77,141.43,24.86,26.4,82.89,0.21,66.31,0.18,11.61,0.67
2024-02-01,07:15,February,Spring,Inverted-V,77,141.43,24.86,26.4,82.89,0.21,66.31,0.18,11.61,0.67
2024-02-01,07:30,February,Spring,Inverted-V,77,141.43,24.86,26.4,82.89,0.21,66.31,0.18,11.61,0.67
2024-02-01,07:45,February,Spring,Inverted-V,77,141.43,24.86,26.4,82.89,0.21,66.31,0.18,11.61,0.67
2024-02-01,08:00,February,Spring,Inverted-V,77,311.9,26.88,32.68,80.9,0.46,64.72,0.39,25.14,0.67
2024-02-01,08:15,February,Spring,Inverted-V,77,311.9,26.88,32.68,80.9,0.46,64.72,0.39,25.14,0.67
2024-02-01,08:30,February,Spring,Inverted-V,77,311.9,26.88,32.68,80.9,0.46,64.72,0.39,25.14,0.67
2024-02-01,08:45,February,Spring,Inverted-V,77,311.9,26.88,32.68,80.9,0.46,64.72,0.39,25.14,0.67
2024-02-01,09:00,February,Spring,Inverted-V,77,420.34,29.25,37.76,79.29,0.63,63.43,0.53,33.38,0.67
2024-02-01,09:15,February,Spring,Inverted-V,77,420.34,29.25,37.76,79.29,0.63,63.43,0.53,33.38,0.67
2024-02-01,09:30,February,Spring,Inverted-V,77,420.34,29.25,37.76,79.29,0.63,63.43,0.53,33.38,0.67
2024-02-01,09:45,February,Spring,Inverted-V,77,420.34,29.25,37.76,79.29,0.63,63.43,0.53,33.38,0.67
2024-02-01,10:00,February,Spring,Inverted-V,77,631.21,31.04,44.82,77.05,0.95,61.64,0.8,49.05,0.67
2024-02-01,10:15,February,Spring,Inverted-V,77,631.21,31.04,44.82,77.05,0.95,61.64,0.8,49.05,0.67
2024-02-01,10:30,February,Spring,Inverted-V,77,631.21,31.04,44.82,77.05,0.95,61.64,0.8,49.05,0.67
2024-02-01,10:45,February,Spring,Inverted-V,77,631.21,31.04,44.82,77.05,0.95,61.64,0.8,49.05,0.67
2024-02-01,11:00,February,Spring,Inverted-V,77,737.82,32.21,48.66,75.84,1.11,60.67,0.93,56.64,0.67
2024-02-01,11:15,February,Spring,Inverted-V,77,737.82,32.21,48.66,75.84,1.11,60.67,0.93,56.64,0.67
2024-02-01,11:30,February,Spring,Inverted-V,77,737.82,32.21,48.66,75.84,1.11,60.67,0.93,56.64,0.67
2024-02-01,11:45,February,Spring,Inverted-V,77,737.82,32.21,48.66,75.84,1.11,60.67,0.93,56.64,0.67
2024-02-01,12:00,February,Spring,Inverted-V,77,725.09,32.86,48.99,75.73,1.1,60.59,0.92,55.61,0.67
2024-02-01,12:15,February,Spring,Inverted-V,77,725.09,32.86,48.99,75.73,1.1,60.59,0.92,55.61,0.67
2024-02-01,12:30,February,Spring,Inverted-V,77,725.09,32.86,48.99,75.73,1.1,60.59,0.92,55.61,0.67
2024-02-01,12:45,February,Spring,Inverted-V,77,725.09,32.86,48.99,75.73,1.1,60.59,0.92,55.61,0.67
2024-02-01,13:00,February,Spring,Inverted-V,77,563.17,33.05,45.13,76.95,0.85,61.56,0.71,43.72,0.67
2024-02-01,13:15,February,Spring,Inverted-V,77,563.17,33.05,45.13,76.95,0.85,61.56,0.71,43.72,0.67
