Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-04-01,06:00,April,Summer,Flat,93,95.35,27.85,27.23,82.62,0.14,66.1,0.12,7.81,0.67
2024-04-01,06:15,April,Summer,Flat,93,95.35,27.85,27.23,82.62,0.14,66.1,0.12,7.81,0.67
2024-04-01,06:30,April,Summer,Flat,93,95.35,27.85,27.23,82.62,0.14,66.1,0.12,7.81,0.67
2024-04-01,06:45,April,Summer,Flat,93,95.35,27.85,27.23,82.62,0.14,66.1,0.12,7.81,0.67
2024-04-01,07:00,April,Summer,Flat,93,322.73,30.49,35.56,79.98,0.48,63.99,0.4,25.8,0.67
2024-04-01,07:15,April,Summer,Flat,93,322.73,30.49,35.56,79.98,0.48,63.99,0.4,25.8,0.67
2024-04-01,07:30,April,Summer,Flat,93,322.73,30.49,35.56,79.98,0.48,63.99,0.4,25.8,0.67
2024-04-01,07:45,April,Summer,Flat,93,322.73,30.49,35.56,79.98,0.48,63.99,0.4,25.8,0.67
2024-04-01,08:00,April,Summer,Flat,93,567.65,33.3,44.49,77.16,0.85,61.72,0.72,44.16,0.67
2024-04-01,08:15,April,Summer,Flat,93,567.65,33.3,44.49,77.16,0.85,61.72,0.72,44.16,0.67
2024-04-01,08:30,April,Summer,Flat,93,567.65,33.3,44.49,77.16,0.85,61.72,0.72,44.16,0.67
2024-04-01,08:45,April,Summer,Flat,93,567.65,33.3,44.49,77.16,0.85,61.72,0.72,44.16,0.67
2024-04-01,09:00,April,Summer,Flat,93,753.92,35.86,51.71,74.87,1.14,59.9,0.96,57.31,0.67
2024-04-01,09:15,April,Summer,Flat,93,753.92,35.86,51.71,74.87,1.14,59.9,0.96,57.31,0.67
2024-04-01,09:30,April,Summer,Flat,93,753.92,35.86,51.71,74.87,1.14,59.9,0.96,57.31,0.67
2024-04-01,09:45,April,Summer,Flat,93,753.92,35.86,51.71,74.87,1.14,59.9,0.96,57.31,0.67
2024-04-01,10:00,April,Summer,Flat,93,886.2,37.85,57.01,73.19,1.35,58.55,1.13,66.2,0.67
2024-04-01,10:15,April,Summer,Flat,93,886.2,37.85,57.01,73.19,1.35,58.55,1.13,66.2,0.67
2024-04-01,10:30,April,Summer,Flat,93,886.2,37.85,57.01,73.19,1.35,58.55,1.13,66.2,0.67
2024-04-01,10:45,April,Summer,Flat,93,886.2,37.85,57.01,73.19,1.35,58.55,1.13,66.2,0.67
2024-04-01,11:00,April,Summer,Flat,93,912.85,39.4,59.22,72.49,1.39,57.99,1.17,67.68,0.67
2024-04-01,11:15,April,Summer,Flat,93,912.85,39.4,59.22,72.49,1.39,57.99,1.17,67.68,0.67
2024-04-01,11:30,April,Summer,Flat,93,912.85,39.4,59.22,72.49,1.39,57.99,1.17,67.68,0.67
2024-04-01,11:45,April,Summer,Flat,93,912.85,39.4,59.22,72.49,1.39,57.99,1.17,67.68,0.67
2024-04-01,12:00,April,Summer,Flat,93,852.35,40.34,58.65,72.67,1.3,58.14,1.09,63.32,0.67
2024-04-01,12:15,April,Summer,Flat,93,852.35,40.34,58.65,72.67,1.3,58.14,1.09,63.32,0.67
2024-04-01,12:30,April,Summer,Flat,93,852.35,40.34,58.65,72.67,1.3,58.14,1.09,63.32,0.67
2024-04-01,12:45,April,Summer,Flat,93,852.35,40.34,58.65,72.67,1.3,58.14,1.09,63.32,0.67
2024-04-01,13:00,April,Summer,Flat,93,766.28,40.68,56.84,73.25,1.17,58.6,0.98,57.27,0.67
2024-04-01,13:15,April,Summer,Flat,93,766.28,40.68,56.84,73.25,1.17,58.6,0.98,57.27,0.67
2024-04-01,13:30,April,Summer,Flat,93,766.28,40.68,56.84,73.25,1.17,58.6,0.98,57.27,0.67
2024-04-01,13:45,April,Summer,Flat,93,766.28,40.68,56.84,73.25,1.17,58.6,0.98,57.27,0.67
2024-04-01,14:00,April,Summer,Flat,93,595.33,40.35,52.23,74.7,0.9,59.76,0.76,45.18,0.67
2024-04-01,14:15,April,Summer,Flat,93,595.33,40.35,52.23,74.7,0.9,59.76,0.76,45.18,0.67
2024-04-01,14:30,April,Summer,Flat,93,595.33,40.35,52.23,74.7,0.9,59.76,0.76,45.18,0.67
2024-04-01,14:45,April,Summer,Flat,93,595.33,40.35,52.23,74.7,0.9,59.76,0.76,45.18,0.67
2024-04-01,15:00,April,Summer,Flat,93,370.88,39.24,45.51,76.83,0.56,61.47,0.47,28.76,0.67
2024-04-01,15:15,April,Summer,Flat,93,370.88,39.24,45.51,76.83,0.56,61.47,0.47,28.76,0.67
2024-04-01,15:30,April,Summer,Flat,93,370.88,39.24,45.51,76.83,0.56,61.47,0.47,28.76,0.67
2024-04-01,15:45,April,Summer,Flat,93,370.88,39.24,45.51,76.83,0.56,61.47,0.47,28.76,0.67
2024-04-01,16:00,April,Summer,Flat,93,182.2,37.28,38.84,78.95,0.27,63.16,0.23,14.42,0.67
2024-04-01,16:15,April,Summer,Flat,93,182.2,37.28,38.84,78.95,0.27,63.16,0.23,14.42,0.67
2024-04-01,16:30,April,Summer,Flat,93,182.2,37.28,38.84,78.95,0.27,63.16,0.23,14.42,0.67
2024-04-01,16:45,April,Summer,Flat,93,182.2,37.28,38.84,78.95,0.27,63.16,0.23,14.42,0.67
2024-04-01,17:00,April,Summer,Flat,93,37.5,34.52,32.46,80.97,0.06,64.77,0.05,3.02,0.67
2024-04-01,17:15,April,Summer,Flat,93,37.5,34.52,32.46,80.97,0.06,64.77,0.05,3.02,0.67
2024-04-01,17:30,April,Summer,Flat,93,37.5,34.52,32.46,80.97,0.06,64.77,0.05,3.02,0.67
2024-04-01,17:45,April,Summer,Flat,93,37.5,34.52,32.46,80.97,0.06,64.77,0.05,3.02,0.67
2024-04-02,06:00,April,Summer,Flat,93,90.97,28.26,27.53,82.53,0.13,66.02,0.11,7.44,0.67
2024-04-02,06:15,April,Summer,Flat,93,90.97,28.26,27.53,82.53,0.13,66.02,0.11,7.44,0.67
2024-04-02,06:30,April,Summer,Flat,93,90.97,28.26,27.53,82.53,0.13,66.02,0.11,7.44,0.67
2024-04-02,06:45,April,Summer,Flat,93,90.97,28.26,27.53,82.53,0.13,66.02,0.11,7.44,0.67
2024-04-02,07:00,April,Summer,Flat,93,305.95,30.79,35.44,80.02,0.46,64.02,0.38,24.46,0.67
2024-04-02,07:15,April,Summer,Flat,93,305.95,30.79,35.44,80.02,0.46,64.02,0.38,24.46,0.67
2024-04-02,07:30,April,Summer,Flat,93,305.95,30.79,35.44,80.02,0.46,64.02,0.38,24.46,0.67
2024-04-02,07:45,April,Summer,Flat,93,305.95,30.79,35.44,80.02,0.46,64.02,0.38,24.46,0.67
2024-04-02,08:00,April,Summer,Flat,93,546.7,33.52,44.19,77.25,0.82,61.8,0.69,42.57,0.67
2024-04-02,08:15,April,Summer,Flat,93,546.7,33.52,44.19,77.25,0.82,61.8,0.69,42.57,0.67
2024-04-02,08:30,April,Summer,Flat,93,546.7,33.52,44.19,77.25,0.82,61.8,0.69,42.57,0.67
2024-04-02,08:45,April,Summer,Flat,93,546.7,33.52,44.19,77.25,0.82,61.8,0.69,42.57,0.67
2024-04-02,09:00,April,Summer,Flat,93,725.83,36.01,51.16,75.05,1.1,60.04,0.92,55.28,0.67
2024-04-02,09:15,April,Summer,Flat,93,725.83,36.01,51.16,75.05,1.1,60.04,0.92,55.28,0.67
2024-04-02,09:30,April,Summer,Flat,93,725.83,36.01,51.16,75.05,1.1,60.04,0.92,55.28,0.67
2024-04-02,09:45,April,Summer,Flat,93,725.83,36.01,51.16,75.05,1.1,60.04,0.92,55.28,0.67
2024-04-02,10:00,April,Summer,Flat,93,865.33,38.05,56.68,73.3,1.32,58.64,1.1,64.71,0.67
2024-04-02,10:15,April,Summer,Flat,93,865.33,38.05,56.68,73.3,1.32,58.64,1.1,64.71,0.67
2024-04-02,10:30,April,Summer,Flat,93,865.33,38.05,56.68,73.3,1.32,58.64,1.1,64.71,0.67
2024-04-02,10:45,April,Summer,Flat,93,865.33,38.05,56.68,73.3,1.32,58.64,1.1,64.71,0.67
2024-04-02,11:00,April,Summer,Flat,93,948.12,39.42,60.12,72.21,1.45,57.77,1.21,70.08,0.67
2024-04-02,11:15,April,Summer,Flat,93,948.12,39.42,60.12,72.21,1.45,57.77,1.21,70.08,0.67
2024-04-02,11:30,April,Summer,Flat,93,948.12,39.42,60.12,72.21,1.45,57.77,1.21,70.08,0.67
2024-04-02,11:45,April,Summer,Flat,93,948.12,39.42,60.12,72.21,1.45,57.77,1.21,70.08,0.67
2024-04-02,12:00,April,Summer,Flat,93,911.7,40.24,60.03,72.24,1.39,57.79,1.17,67.41,0.67
2024-04-02,12:15,April,Summer,Flat,93,911.7,40.24,60.03,72.24,1.39,57.79,1.17,67.41,0.67
2024-04-02,12:30,April,Summer,Flat,93,911.7,40.24,60.03,72.24,1.39,57.79,1.17,67.41,0.67
2024-04-02,12:45,April,Summer,Flat,93,911.7,40.24,60.03,72.24,1.39,57.79,1.17,67.41,0.67
2024-04-02,13:00,April,Summer,Flat,93,770.53,40.44,56.7,73.29,1.17,58.63,0.98,57.62,0.67
2024-04-02,13:15,April,Summer,Flat,93,770.53,40.44,56.7,73.29,1.17,58.63,0.98,57.62,0.67
2024-04-02,13:30,April,Summer,Flat,93,770.53,40.44,56.7,73.29,1.17,58.63,0.98,57.62,0.67
2024-04-02,13:45,April,Summer,Flat,93,770.53,40.44,56.7,73.29,1.17,58.63,0.98,57.62,0.67
2024-04-02,14:00,April,Summer,Flat,93,650.53,40.15,53.41,74.33,0.99,59.46,0.83,49.18,0.67
2024-04-02,14:15,April,Summer,Flat,93,650.53,40.15,53.41,74.33,0.99,59.46,0.83,49.18,0.67
2024-04-02,14:30,April,Summer,Flat,93,650.53,40.15,53.41,74.33,0.99,59.46,0.83,49.18,0.67
2024-04-02,14:45,April,Summer,Flat,93,650.53,40.15,53.41,74.33,0.99,59.46,0.83,49.18,0.67
2024-04-02,15:00,April,Summer,Flat,93,415.45,39.17,46.56,76.5,0.63,61.2,0.52,32.11,0.67
2024-04-02,15:15,April,Summer,Flat,93,415.45,39.17,46.56,76.5,0.63,61.2,0.52,32.11,0.67
2024-04-02,15:30,April,Summer,Flat,93,415.45,39.17,46.56,76.5,0.63,61.2,0.52,32.11,0.67
2024-04-02,15:45,April,Summer,Flat,93,415.45,39.17,46.56,76.5,0.63,61.2,0.52,32.11,0.67
2024-04-02,16:00,April,Summer,Flat,93,202.43,37.37,39.43,78.76,0.3,63.01,0.25,15.99,0.67
2024-04-02,16:15,April,Summer,Flat,93,202.43,37.37,39.43,78.76,0.3,63.01,0.25,15.99,0.67
2024-04-02,16:30,April,Summer,Flat,93,202.43,37.37,39.43,78.76,0.3,63.01,0.25,15.99,0.67
2024-04-02,16:45,April,Summer,Flat,93,202.43,37.37,39.43,78.76,0.3,63.01,0.25,15.99,0.67
2024-04-02,17:00,April,Summer,Flat,93,35.7,34.98,32.87,80.84,0.05,64.67,0.04,2.88,0.67
2024-04-02,17:15,April,Summer,Flat,93,35.7,34.98,32.87,80.84,0.05,64.67,0.04,2.88,0.67
2024-04-02,17:30,April,Summer,Flat,93,35.7,34.98,32.87,80.84,0.05,64.67,0.04,2.88,0.67
2024-04-02,17:45,April,Summer,Flat,93,35.7,34.98,32.87,80.84,0.05,64.67,0.04,2.88,0.67
2024-04-03,06:00,April,Summer,Flat,93,88.15,27.7,26.9,82.73,0.13,66.18,0.11,7.23,0.67
2024-04-03,06:15,April,Summer,Flat,93,88.15,27.7,26.9,82.73,0.13,66.18,0.11,7.23,0.67
2024-04-03,06:30,April,Summer,Flat,93,88.15,27.7,26.9,82.73,0.13,66.18,0.11,7.23,0.67
2024-04-03,06:45,April,Summer,Flat,93,88.15,27.7,26.9,82.73,0.13,66.18,0.11,7.23,0.67
2024-04-03,07:00,April,Summer,Flat,93,279.77,29.62,33.61,80.6,0.42,64.48,0.35,22.49,0.67
2024-04-03,07:15,April,Summer,Flat,93,279.77,29.62,33.61,80.6,0.42,64.48,0.35,22.49,0.67
2024-04-03,07:30,April,Summer,Flat,93,279.77,29.62,33.61,80.6,0.42,64.48,0.35,22.49,0.67
2024-04-03,07:45,April,Summer,Flat,93,279.77,29.62,33.61,80.6,0.42,64.48,0.35,22.49,0.67
2024-04-03,08:00,April,Summer,Flat,93,482.7,32.38,41.45,78.12,0.72,62.5,0.61,37.9,0.67
2024-04-03,08:15,April,Summer,Flat,93,482.7,32.38,41.45,78.12,0.72,62.5,0.61,37.9,0.67
2024-04-03,08:30,April,Summer,Flat,93,482.7,32.38,41.45,78.12,0.72,62.5,0.61,37.9,0.67
2024-04-03,08:45,April,Summer,Flat,93,482.7,32.38,41.45,78.12,0.72,62.5,0.61,37.9,0.67
2024-04-03,09:00,April,Summer,Flat,93,636.6,34.68,47.59,76.17,0.96,60.94,0.8,49.04,0.67
2024-04-03,09:15,April,Summer,Flat,93,636.6,34.68,47.59,76.17,0.96,60.94,0.8,49.04,0.67
2024-04-03,09:30,April,Summer,Flat,93,636.6,34.68,47.59,76.17,0.96,60.94,0.8,49.04,0.67
2024-04-03,09:45,April,Summer,Flat,93,636.6,34.68,47.59,76.17,0.96,60.94,0.8,49.04,0.67
2024-04-03,10:00,April,Summer,Flat,93,753.53,36.6,52.44,74.64,1.14,59.71,0.96,57.15,0.67
2024-04-03,10:15,April,Summer,Flat,93,753.53,36.6,52.44,74.64,1.14,59.71,0.96,57.15,0.67
2024-04-03,10:30,April,Summer,Flat,93,753.53,36.6,52.44,74.64,1.14,59.71,0.96,57.15,0.67
2024-04-03,10:45,April,Summer,Flat,93,753.53,36.6,52.44,74.64,1.14,59.71,0.96,57.15,0.67
2024-04-03,11:00,April,Summer,Flat,93,817.8,38.09,55.54,73.66,1.24,58.93,1.04,61.39,0.67
2024-04-03,11:15,April,Summer,Flat,93,817.8,38.09,55.54,73.66,1.24,58.93,1.04,61.39,0.67
2024-04-03,11:30,April,Summer,Flat,93,817.8,38.09,55.54,73.66,1.24,58.93,1.04,61.39,0.67
2024-04-03,11:45,April,Summer,Flat,93,817.8,38.09,55.54,73.66,1.24,58.93,1.04,61.39,0.67
2024-04-03,12:00,April,Summer,Flat,93,773.0,39.03,55.36,73.72,1.18,58.97,0.98,58.06,0.67
2024-04-03,12:15,April,Summer,Flat,93,773.0,39.03,55.36,73.72,1.18,58.97,0.98,58.06,0.67
2024-04-03,12:30,April,Summer,Flat,93,773.0,39.03,55.36,73.72,1.18,58.97,0.98,58.06,0.67
2024-04-03,12:45,April,Summer,Flat,93,773.0,39.03,55.36,73.72,1.18,58.97,0.98,58.06,0.67
2024-04-03,13:00,April,Summer,Flat,93,708.45,39.39,54.1,74.11,1.08,59.29,0.9,53.43,0.67
2024-04-03,13:15,April,Summer,Flat,93,708.45,39.39,54.1,74.11,1.08,59.29,0.9,53.43,0.67
2024-04-03,13:30,April,Summer,Flat,93,708.45,39.39,54.1,74.11,1.08,59.29,0.9,53.43,0.67
2024-04-03,13:45,April,Summer,Flat,93,708.45,39.39,54.1,74.11,1.08,59.29,0.9,53.43,0.67
2024-04-03,14:00,April,Summer,Flat,93,623.47,39.07,51.66,74.89,0.94,59.91,0.79,47.4,0.67
2024-04-03,14:15,April,Summer,Flat,93,623.47,39.07,51.66,74.89,0.94,59.91,0.79,47.4,0.67
2024-04-03,14:30,April,Summer,Flat,93,623.47,39.07,51.66,74.89,0.94,59.91,0.79,47.4,0.67
2024-04-03,14:45,April,Summer,Flat,93,623.47,39.07,51.66,74.89,0.94,59.91,0.79,47.4,0.67
2024-04-03,15:00,April,Summer,Flat,93,446.02,38.15,46.3,76.58,0.67,61.27,0.56,34.5,0.67
2024-04-03,15:15,April,Summer,Flat,93,446.02,38.15,46.3,76.58,0.67,61.27,0.56,34.5,0.67
2024-04-03,15:30,April,Summer,Flat,93,446.02,38.15,46.3,76.58,0.67,61.27,0.56,34.5,0.67
2024-04-03,15:45,April,Summer,Flat,93,446.02,38.15,46.3,76.58,0.67,61.27,0.56,34.5,0.67
2024-04-03,16:00,April,Summer,Flat,93,229.98,36.58,39.33,78.79,0.34,63.03,0.29,18.18,0.67
2024-04-03,16:15,April,Summer,Flat,93,229.98,36.58,39.33,78.79,0.34,63.03,0.29,18.18,0.67
2024-04-03,16:30,April,Summer,Flat,93,229.98,36.58,39.33,78.79,0.34,63.03,0.29,18.18,0.67
2024-04-03,16:45,April,Summer,Flat,93,229.98,36.58,39.33,78.79,0.34,63.03,0.29,18.18,0.67
2024-04-03,17:00,April,Summer,Flat,93,50.38,34.35,32.61,80.92,0.07,64.73,0.06,4.06,0.67
2024-04-03,17:15,April,Summer,Flat,93,50.38,34.35,32.61,80.92,0.07,64.73,0.06,4.06,0.67
2024-04-03,17:30,April,Summer,Flat,93,50.38,34.35,32.61,80.92,0.07,64.73,0.06,4.06,0.67
2024-04-03,17:45,April,Summer,Flat,93,50.38,34.35,32.61,80.92,0.07,64.73,0.06,4.06,0.67
2024-04-04,06:00,April,Summer,Flat,93,92.68,28.32,27.64,82.49,0.14,65.99,0.11,7.58,0.67
2024-04-04,06:15,April,Summer,Flat,93,92.68,28.32,27.64,82.49,0.14,65.99,0.11,7.58,0.67
2024-04-04,06:30,April,Summer,Flat,93,92.68,28.32,27.64,82.49,0.14,65.99,0.11,7.58,0.67
2024-04-04,06:45,April,Summer,Flat,93,92.68,28.32,27.64,82.49,0.14,65.99,0.11,7.58,0.67
2024-04-04,07:00,April,Summer,Flat,93,283.1,30.75,34.83,80.22,0.42,64.17,0.35,22.68,0.67
2024-04-04,07:15,April,Summer,Flat,93,283.1,30.75,34.83,80.22,0.42,64.17,0.35,22.68,0.67
2024-04-04,07:30,April,Summer,Flat,93,283.1,30.75,34.83,80.22,0.42,64.17,0.35,22.68,0.67
2024-04-04,07:45,April,Summer,Flat,93,283.1,30.75,34.83,80.22,0.42,64.17,0.35,22.68,0.67
2024-04-04,08:00,April,Summer,Flat,93,507.48,33.4,43.09,77.6,0.76,62.08,0.64,39.65,0.67
2024-04-04,08:15,April,Summer,Flat,93,507.48,33.4,43.09,77.6,0.76,62.08,0.64,39.65,0.67
2024-04-04,08:30,April,Summer,Flat,93,507.48,33.4,43.09,77.6,0.76,62.08,0.64,39.65,0.67
2024-04-04,08:45,April,Summer,Flat,93,507.48,33.4,43.09,77.6,0.76,62.08,0.64,39.65,0.67
2024-04-04,09:00,April,Summer,Flat,93,688.88,35.74,49.96,75.42,1.04,60.34,0.87,52.66,0.67
2024-04-04,09:15,April,Summer,Flat,93,688.88,35.74,49.96,75.42,1.04,60.34,0.87,52.66,0.67
2024-04-04,09:30,April,Summer,Flat,93,688.88,35.74,49.96,75.42,1.04,60.34,0.87,52.66,0.67
