Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-04-01,06:00,April,Summer,V-Shape,62,100.12,27.85,33.35,80.68,0.15,64.55,0.12,8.06,0.67
2024-04-01,06:15,April,Summer,V-Shape,62,100.12,27.85,33.35,80.68,0.15,64.55,0.12,8.06,0.67
2024-04-01,06:30,April,Summer,V-Shape,62,100.12,27.85,33.35,80.68,0.15,64.55,0.12,8.06,0.67
2024-04-01,06:45,April,Summer,V-Shape,62,100.12,27.85,33.35,80.68,0.15,64.55,0.12,8.06,0.67
2024-04-01,07:00,April,Summer,V-Shape,62,338.87,30.49,41.96,77.96,0.51,62.37,0.43,26.57,0.67
2024-04-01,07:15,April,Summer,V-Shape,62,338.87,30.49,41.96,77.96,0.51,62.37,0.43,26.57,0.67
2024-04-01,07:30,April,Summer,V-Shape,62,338.87,30.49,41.96,77.96,0.51,62.37,0.43,26.57,0.67
2024-04-01,07:45,April,Summer,V-Shape,62,338.87,30.49,41.96,77.96,0.51,62.37,0.43,26.57,0.67
2024-04-01,08:00,April,Summer,V-Shape,62,596.03,33.3,51.2,75.03,0.9,60.03,0.76,45.38,0.67
2024-04-01,08:15,April,Summer,V-Shape,62,596.03,33.3,51.2,75.03,0.9,60.03,0.76,45.38,0.67
2024-04-01,08:30,April,Summer,V-Shape,62,596.03,33.3,51.2,75.03,0.9,60.03,0.76,45.38,0.67
2024-04-01,08:45,April,Summer,V-Shape,62,596.03,33.3,51.2,75.03,0.9,60.03,0.76,45.38,0.67
2024-04-01,09:00,April,Summer,V-Shape,62,791.62,35.86,58.65,72.67,1.21,58.14,1.01,58.81,0.67
2024-04-01,09:15,April,Summer,V-Shape,62,791.62,35.86,58.65,72.67,1.21,58.14,1.01,58.81,0.67
2024-04-01,09:30,April,Summer,V-Shape,62,791.62,35.86,58.65,72.67,1.21,58.14,1.01,58.81,0.67
2024-04-01,09:45,April,Summer,V-Shape,62,791.62,35.86,58.65,72.67,1.21,58.14,1.01,58.81,0.67
2024-04-01,10:00,April,Summer,V-Shape,62,930.51,37.85,64.11,70.94,1.43,56.75,1.2,67.84,0.67
2024-04-01,10:15,April,Summer,V-Shape,62,930.51,37.85,64.11,70.94,1.43,56.75,1.2,67.84,0.67
2024-04-01,10:30,April,Summer,V-Shape,62,930.51,37.85,64.11,70.94,1.43,56.75,1.2,67.84,0.67
2024-04-01,10:45,April,Summer,V-Shape,62,930.51,37.85,64.11,70.94,1.43,56.75,1.2,67.84,0.67
2024-04-01,11:00,April,Summer,V-Shape,62,958.49,39.4,66.36,70.23,1.47,56.18,1.23,69.32,0.67
2024-04-01,11:15,April,Summer,V-Shape,62,958.49,39.4,66.36,70.23,1.47,56.18,1.23,69.32,0.67
2024-04-01,11:30,April,Summer,V-Shape,62,958.49,39.4,66.36,70.23,1.47,56.18,1.23,69.32,0.67
2024-04-01,11:45,April,Summer,V-Shape,62,958.49,39.4,66.36,70.23,1.47,56.18,1.23,69.32,0.67
2024-04-01,12:00,April,Summer,V-Shape,62,894.97,40.34,65.71,70.44,1.37,56.35,1.15,64.88,0.67
