Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-11-01,06:00,November,Winter,Inverted-V,62,96.55,25.48,29.89,81.78,0.14,65.42,0.12,7.85,0.67
2024-11-01,06:15,November,Winter,Inverted-V,62,96.55,25.48,29.89,81.78,0.14,65.42,0.12,7.85,0.67
2024-11-01,06:30,November,Winter,Inverted-V,62,96.55,25.48,29.89,81.78,0.14,65.42,0.12,7.85,0.67
2024-11-01,06:45,November,Winter,Inverted-V,62,96.55,25.48,29.89,81.78,0.14,65.42,0.12,7.85,0.67
2024-11-01,07:00,November,Winter,Inverted-V,62,293.49,26.43,35.77,79.92,0.44,63.93,0.37,23.45,0.67
2024-11-01,07:15,November,Winter,Inverted-V,62,293.49,26.43,35.77,79.92,0.44,63.93,0.37,23.45,0.67
2024-11-01,07:30,November,Winter,Inverted-V,62,293.49,26.43,35.77,79.92,0.44,63.93,0.37,23.45,0.67
2024-11-01,07:45,November,Winter,Inverted-V,62,293.49,26.43,35.77,79.92,0.44,63.93,0.37,23.45,0.67
2024-11-01,08:00,November,Winter,Inverted-V,62,522.13,27.71,42.76,77.7,0.78,62.16,0.66,40.83,0.67
2024-11-01,08:15,November,Winter,Inverted-V,62,522.13,27.71,42.76,77.7,0.78,62.16,0.66,40.83,0.67
2024-11-01,08:30,November,Winter,Inverted-V,62,522.13,27.71,42.76,77.7,0.78,62.16,0.66,40.83,0.67
2024-11-01,08:45,November,Winter,Inverted-V,62,522.13,27.71,42.76,77.7,0.78,62.16,0.66,40.83,0.67
2024-11-01,09:00,November,Winter,Inverted-V,62,708.35,29.1,48.81,75.79,1.07,60.63,0.9,54.35,0.67
2024-11-01,09:15,November,Winter,Inverted-V,62,708.35,29.1,48.81,75.79,1.07,60.63,0.9,54.35,0.67
2024-11-01,09:30,November,Winter,Inverted-V,62,708.35,29.1,48.81,75.79,1.07,60.63,0.9,54.35,0.67
2024-11-01,09:45,November,Winter,Inverted-V,62,708.35,29.1,48.81,75.79,1.07,60.63,0.9,54.35,0.67
2024-11-01,10:00,November,Winter,Inverted-V,62,820.35,30.32,52.83,74.52,1.24,59.61,1.04,62.13,0.67
2024-11-01,10:15,November,Winter,Inverted-V,62,820.35,30.32,52.83,74.52,1.24,59.61,1.04,62.13,0.67
2024-11-01,10:30,November,Winter,Inverted-V,62,820.35,30.32,52.83,74.52,1.24,59.61,1.04,62.13,0.67
2024-11-01,10:45,November,Winter,Inverted-V,62,820.35,30.32,52.83,74.52,1.24,59.61,1.04,62.13,0.67
2024-11-01,11:00,November,Winter,Inverted-V,62,814.1,31.22,53.57,74.28,1.24,59.42,1.04,61.51,0.67
2024-11-01,11:15,November,Winter,Inverted-V,62,814.1,31.22,53.57,74.28,1.24,59.42,1.04,61.51,0.67
2024-11-01,11:30,November,Winter,Inverted-V,62,814.1,31.22,53.57,74.28,1.24,59.42,1.04,61.51,0.67
2024-11-01,11:45,November,Winter,Inverted-V,62,814.1,31.22,53.57,74.28,1.24,59.42,1.04,61.51,0.67
2024-11-01,12:00,November,Winter,Inverted-V,62,706.75,31.7,51.37,74.98,1.07,59.98,0.9,53.79,0.67
2024-11-01,12:15,November,Winter,Inverted-V,62,706.75,31.7,51.37,74.98,1.07,59.98,0.9,53.79,0.67
2024-11-01,12:30,November,Winter,Inverted-V,62,706.75,31.7,51.37,74.98,1.07,59.98,0.9,53.79,0.67
2024-11-01,12:45,November,Winter,Inverted-V,62,706.75,31.7,51.37,74.98,1.07,59.98,0.9,53.79,0.67
2024-11-01,13:00,November,Winter,Inverted-V,62,462.33,31.83,45.39,76.87,0.7,61.5,0.58,35.86,0.67
2024-11-01,13:15,November,Winter,Inverted-V,62,462.33,31.83,45.39,76.87,0.7,61.5,0.58,35.86,0.67
2024-11-01,13:30,November,Winter,Inverted-V,62,462.33,31.83,45.39,76.87,0.7,61.5,0.58,35.86,0.67
2024-11-01,13:45,November,Winter,Inverted-V,62,462.33,31.83,45.39,76.87,0.7,61.5,0.58,35.86,0.67
2024-11-01,14:00,November,Winter,Inverted-V,62,296.89,31.47,40.89,78.3,0.45,62.64,0.37,23.35,0.67
2024-11-01,14:15,November,Winter,Inverted-V,62,296.89,31.47,40.89,78.3,0.45,62.64,0.37,23.35,0.67
2024-11-01,14:30,November,Winter,Inverted-V,62,296.89,31.47,40.89,78.3,0.45,62.64,0.37,23.35,0.67
2024-11-01,14:45,November,Winter,Inverted-V,62,296.89,31.47,40.89,78.3,0.45,62.64,0.37,23.35,0.67
2024-11-01,15:00,November,Winter,Inverted-V,62,181.46,31.01,37.55,79.36,0.27,63.48,0.23,14.42,0.67
2024-11-01,15:15,November,Winter,Inverted-V,62,181.46,31.01,37.55,79.36,0.27,63.48,0.23,14.42,0.67
2024-11-01,15:30,November,Winter,Inverted-V,62,181.46,31.01,37.55,79.36,0.27,63.48,0.23,14.42,0.67
2024-11-01,15:45,November,Winter,Inverted-V,62,181.46,31.01,37.55,79.36,0.27,63.48,0.23,14.42,0.67
2024-11-01,16:00,November,Winter,Inverted-V,62,73.41,30.2,34.04,80.47,0.11,64.37,0.09,5.89,0.67
2024-11-01,16:15,November,Winter,Inverted-V,62,73.41,30.2,34.04,80.47,0.11,64.37,0.09,5.89,0.67
2024-11-01,16:30,November,Winter,Inverted-V,62,73.41,30.2,34.04,80.47,0.11,64.37,0.09,5.89,0.67
2024-11-01,16:45,November,Winter,Inverted-V,62,73.41,30.2,34.04,80.47,0.11,64.37,0.09,5.89,0.67
2024-11-02,06:00,November,Winter,Inverted-V,62,86.94,25.22,29.39,81.94,0.13,65.55,0.11,7.08,0.67
2024-11-02,06:15,November,Winter,Inverted-V,62,86.94,25.22,29.39,81.94,0.13,65.55,0.11,7.08,0.67
2024-11-02,06:30,November,Winter,Inverted-V,62,86.94,25.22,29.39,81.94,0.13,65.55,0.11,7.08,0.67
2024-11-02,06:45,November,Winter,Inverted-V,62,86.94,25.22,29.39,81.94,0.13,65.55,0.11,7.08,0.67
2024-11-02,07:00,November,Winter,Inverted-V,62,262.6,25.91,34.48,80.33,0.39,64.26,0.33,21.06,0.67
2024-11-02,07:15,November,Winter,Inverted-V,62,262.6,25.91,34.48,80.33,0.39,64.26,0.33,21.06,0.67
2024-11-02,07:30,November,Winter,Inverted-V,62,262.6,25.91,34.48,80.33,0.39,64.26,0.33,21.06,0.67
2024-11-02,07:45,November,Winter,Inverted-V,62,262.6,25.91,34.48,80.33,0.39,64.26,0.33,21.06,0.67
2024-11-02,08:00,November,Winter,Inverted-V,62,489.49,26.7,40.94,78.28,0.73,62.63,0.61,38.5,0.67
2024-11-02,08:15,November,Winter,Inverted-V,62,489.49,26.7,40.94,78.28,0.73,62.63,0.61,38.5,0.67
2024-11-02,08:30,November,Winter,Inverted-V,62,489.49,26.7,40.94,78.28,0.73,62.63,0.61,38.5,0.67
2024-11-02,08:45,November,Winter,Inverted-V,62,489.49,26.7,40.94,78.28,0.73,62.63,0.61,38.5,0.67
2024-11-02,09:00,November,Winter,Inverted-V,62,617.04,27.35,44.78,77.07,0.93,61.65,0.78,47.96,0.67
2024-11-02,09:15,November,Winter,Inverted-V,62,617.04,27.35,44.78,77.07,0.93,61.65,0.78,47.96,0.67
2024-11-02,09:30,November,Winter,Inverted-V,62,617.04,27.35,44.78,77.07,0.93,61.65,0.78,47.96,0.67
2024-11-02,09:45,November,Winter,Inverted-V,62,617.04,27.35,44.78,77.07,0.93,61.65,0.78,47.96,0.67
2024-11-02,10:00,November,Winter,Inverted-V,62,702.81,27.93,47.5,76.2,1.06,60.96,0.89,54.15,0.67
2024-11-02,10:15,November,Winter,Inverted-V,62,702.81,27.93,47.5,76.2,1.06,60.96,0.89,54.15,0.67
2024-11-02,10:30,November,Winter,Inverted-V,62,702.81,27.93,47.5,76.2,1.06,60.96,0.89,54.15,0.67
