Season,Month,Shape,Spacing_cm,Energy_kWh,Baseline_Energy_kWh,Deviation_%
Autumn,August,Flat,62,11.4171275,11.5630475,-1.2619510557229854
Autumn,August,Flat,77,11.5630475,11.5630475,0.0
Autumn,August,Flat,93,11.6714425,11.5630475,0.9374258818879695
Autumn,August,Inverted-V,62,12.36705,11.5630475,6.953205891439961
Autumn,August,Inverted-V,77,12.5242725,11.5630475,8.31290367007487
Autumn,August,Inverted-V,93,12.64109,11.5630475,9.323169346143398
Autumn,August,V-Shape,62,12.0006,11.5630475,3.784058657546816
Autumn,August,V-Shape,77,12.1536425,11.5630475,5.107606796564664
Autumn,August,V-Shape,93,12.26745,11.5630475,6.091841272813248
Autumn,July,Flat,62,9.846865,9.9718675,-1.2535515539090425
Autumn,July,Flat,77,9.9718675,9.9718675,0.0
Autumn,July,Flat,93,10.06474,9.9718675,0.9313451066212057
Autumn,July,Inverted-V,62,10.67128,9.9718675,7.013856732452566
Autumn,July,Inverted-V,77,10.8058625,9.9718675,8.3634785560478
Autumn,July,Inverted-V,93,10.9058875,9.9718675,9.366550448047974
Autumn,July,V-Shape,62,10.3532925,9.9718675,3.8250107113838014
Autumn,July,V-Shape,77,10.4843325,9.9718675,5.139107594440065
Autumn,July,V-Shape,93,10.5817775,9.9718675,6.116306699823271
Autumn,September,Flat,62,12.367145,12.52885,-1.290661154056434
Autumn,September,Flat,77,12.52885,12.52885,0.0
Autumn,September,Flat,93,12.6490975,12.52885,0.9597648626968925
Autumn,September,Inverted-V,62,13.390545,12.52885,6.877686300019549
Autumn,September,Inverted-V,77,13.5648825,12.52885,8.26917474468925
Autumn,September,Inverted-V,93,13.69443,12.52885,9.30316828759224
Autumn,September,V-Shape,62,12.9955125,12.52885,3.7247033845883695
Autumn,September,V-Shape,77,13.165245,12.52885,5.079436660188287
Autumn,September,V-Shape,93,13.2913925,12.52885,6.086292836134205
Spring,February,Flat,62,13.3025275,13.4771975,-1.296040961038085
Spring,February,Flat,77,13.4771975,13.4771975,0.0
Spring,February,Flat,93,13.60709,13.4771975,0.9637945871164878
Spring,February,Inverted-V,62,14.3937725,13.4771975,6.800931721895445
Spring,February,Inverted-V,77,14.58216,13.4771975,8.198755713122102
Spring,February,Inverted-V,93,14.7222525,13.4771975,9.23823369064673
Spring,February,V-Shape,62,13.9726025,13.4771975,3.6758754926608432
Spring,February,V-Shape,77,14.15598,13.4771975,5.036525583304679
Spring,February,V-Shape,93,14.2922975,13.4771975,6.047993286438069
Spring,January,Flat,62,10.9686475,11.1060225,-1.2369414882780985
Spring,January,Flat,77,11.1060225,11.1060225,0.0
Spring,January,Flat,93,11.208085,11.1060225,0.9189833714095269
Spring,January,Inverted-V,62,11.879695,11.1060225,6.966242865076133
Spring,January,Inverted-V,77,12.02772,11.1060225,8.299078270370877
Spring,January,Inverted-V,93,12.1377625,11.1060225,9.289914548615394
Spring,January,V-Shape,62,11.5284525,11.1060225,3.8036119591870117
Spring,January,V-Shape,77,11.67255,11.1060225,5.10108366879321
Spring,January,V-Shape,93,11.77969,11.1060225,6.065785478104339
Spring,March,Flat,62,13.71332,13.894855,-1.3064907838189044
Spring,March,Flat,77,13.894855,13.894855,0.0
Spring,March,Flat,93,14.02977,13.894855,0.97097090973601
Spring,March,Inverted-V,62,14.8412025,13.894855,6.810776362905549
Spring,March,Inverted-V,77,15.0369325,13.894855,8.219427262824988
Spring,March,Inverted-V,93,15.1824825,13.894855,9.266937294415818
Spring,March,V-Shape,62,14.405765,13.894855,3.6769725196844507
Spring,March,V-Shape,77,14.5963,13.894855,5.048235479967223
Spring,March,V-Shape,93,14.7379725,13.894855,6.067839498864867
