Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-08-01,06:00,August,Autumn,Flat,62,82.82,25.82,31.89,81.15,0.12,64.92,0.1,6.69,0.67
2024-08-01,06:15,August,Autumn,Flat,62,82.82,25.82,31.89,81.15,0.12,64.92,0.1,6.69,0.67
2024-08-01,06:30,August,Autumn,Flat,62,82.82,25.82,31.89,81.15,0.12,64.92,0.1,6.69,0.67
2024-08-01,06:45,August,Autumn,Flat,62,82.82,25.82,31.89,81.15,0.12,64.92,0.1,6.69,0.67
2024-08-01,07:00,August,Autumn,Flat,62,230.32,27.6,37.36,79.41,0.34,63.53,0.29,18.31,0.67
2024-08-01,07:15,August,Autumn,Flat,62,230.32,27.6,37.36,79.41,0.34,63.53,0.29,18.31,0.67
2024-08-01,07:30,August,Autumn,Flat,62,230.32,27.6,37.36,79.41,0.34,63.53,0.29,18.31,0.67
2024-08-01,07:45,August,Autumn,Flat,62,230.32,27.6,37.36,79.41,0.34,63.53,0.29,18.31,0.67
2024-08-01,08:00,August,Autumn,Flat,62,375.38,29.79,43.17,77.57,0.56,62.06,0.47,29.32,0.67
2024-08-01,08:15,August,Autumn,Flat,62,375.38,29.79,43.17,77.57,0.56,62.06,0.47,29.32,0.67
2024-08-01,08:30,August,Autumn,Flat,62,375.38,29.79,43.17,77.57,0.56,62.06,0.47,29.32,0.67
2024-08-01,08:45,August,Autumn,Flat,62,375.38,29.79,43.17,77.57,0.56,62.06,0.47,29.32,0.67
2024-08-01,09:00,August,Autumn,Flat,62,558.35,31.52,49.48,75.58,0.84,60.46,0.71,42.75,0.67
2024-08-01,09:15,August,Autumn,Flat,62,558.35,31.52,49.48,75.58,0.84,60.46,0.71,42.75,0.67
2024-08-01,09:30,August,Autumn,Flat,62,558.35,31.52,49.48,75.58,0.84,60.46,0.71,42.75,0.67
2024-08-01,09:45,August,Autumn,Flat,62,558.35,31.52,49.48,75.58,0.84,60.46,0.71,42.75,0.67
