Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-08-01,06:00,August,Autumn,V-Shape,77,86.96,25.82,26.99,82.7,0.13,66.16,0.11,7.13,0.67
2024-08-01,06:15,August,Autumn,V-Shape,77,86.96,25.82,26.99,82.7,0.13,66.16,0.11,7.13,0.67
2024-08-01,06:30,August,Autumn,V-Shape,77,86.96,25.82,26.99,82.7,0.13,66.16,0.11,7.13,0.67
2024-08-01,06:45,August,Autumn,V-Shape,77,86.96,25.82,26.99,82.7,0.13,66.16,0.11,7.13,0.67
2024-08-01,07:00,August,Autumn,V-Shape,77,241.84,27.6,32.65,80.91,0.36,64.73,0.3,19.5,0.67
2024-08-01,07:15,August,Autumn,V-Shape,77,241.84,27.6,32.65,80.91,0.36,64.73,0.3,19.5,0.67
2024-08-01,07:30,August,Autumn,V-Shape,77,241.84,27.6,32.65,80.91,0.36,64.73,0.3,19.5,0.67
2024-08-01,07:45,August,Autumn,V-Shape,77,241.84,27.6,32.65,80.91,0.36,64.73,0.3,19.5,0.67
2024-08-01,08:00,August,Autumn,V-Shape,77,394.15,29.79,38.64,79.01,0.59,63.21,0.49,31.22,0.67
2024-08-01,08:15,August,Autumn,V-Shape,77,394.15,29.79,38.64,79.01,0.59,63.21,0.49,31.22,0.67
2024-08-01,08:30,August,Autumn,V-Shape,77,394.15,29.79,38.64,79.01,0.59,63.21,0.49,31.22,0.67
2024-08-01,08:45,August,Autumn,V-Shape,77,394.15,29.79,38.64,79.01,0.59,63.21,0.49,31.22,0.67
2024-08-01,09:00,August,Autumn,V-Shape,77,586.27,31.52,45.18,76.94,0.88,61.55,0.74,45.51,0.67
2024-08-01,09:15,August,Autumn,V-Shape,77,586.27,31.52,45.18,76.94,0.88,61.55,0.74,45.51,0.67
2024-08-01,09:30,August,Autumn,V-Shape,77,586.27,31.52,45.18,76.94,0.88,61.55,0.74,45.51,0.67
2024-08-01,09:45,August,Autumn,V-Shape,77,586.27,31.52,45.18,76.94,0.88,61.55,0.74,45.51,0.67
2024-08-01,10:00,August,Autumn,V-Shape,77,702.05,32.8,49.35,75.62,1.06,60.49,0.89,53.78,0.67
