Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-02-01,06:00,February,Spring,Flat,77,18.2,23.29,23.74,83.73,0.03,66.98,0.02,1.51,0.67
2024-02-01,06:15,February,Spring,Flat,77,18.2,23.29,23.74,83.73,0.03,66.98,0.02,1.51,0.67
2024-02-01,06:30,February,Spring,Flat,77,18.2,23.29,23.74,83.73,0.03,66.98,0.02,1.51,0.67
2024-02-01,06:45,February,Spring,Flat,77,18.2,23.29,23.74,83.73,0.03,66.98,0.02,1.51,0.67
2024-02-01,07:00,February,Spring,Flat,77,130.95,24.86,28.13,82.34,0.19,65.87,0.16,10.7,0.67
2024-02-01,07:15,February,Spring,Flat,77,130.95,24.86,28.13,82.34,0.19,65.87,0.16,10.7,0.67
2024-02-01,07:30,February,Spring,Flat,77,130.95,24.86,28.13,82.34,0.19,65.87,0.16,10.7,0.67
2024-02-01,07:45,February,Spring,Flat,77,130.95,24.86,28.13,82.34,0.19,65.87,0.16,10.7,0.67
2024-02-01,08:00,February,Spring,Flat,77,288.8,26.88,34.1,80.45,0.43,64.36,0.36,23.18,0.67
2024-02-01,08:15,February,Spring,Flat,77,288.8,26.88,34.1,80.45,0.43,64.36,0.36,23.18,0.67
2024-02-01,08:30,February,Spring,Flat,77,288.8,26.88,34.1,80.45,0.43,64.36,0.36,23.18,0.67
2024-02-01,08:45,February,Spring,Flat,77,288.8,26.88,34.1,80.45,0.43,64.36,0.36,23.18,0.67
2024-02-01,09:00,February,Spring,Flat,77,389.2,29.25,38.98,78.9,0.58,63.12,0.49,30.79,0.67
2024-02-01,09:15,February,Spring,Flat,77,389.2,29.25,38.98,78.9,0.58,63.12,0.49,30.79,0.67
2024-02-01,09:30,February,Spring,Flat,77,389.2,29.25,38.98,78.9,0.58,63.12,0.49,30.79,0.67
2024-02-01,09:45,February,Spring,Flat,77,389.2,29.25,38.98,78.9,0.58,63.12,0.49,30.79,0.67
2024-02-01,10:00,February,Spring,Flat,77,584.45,31.04,45.65,76.79,0.88,61.43,0.74,45.3,0.67
2024-02-01,10:15,February,Spring,Flat,77,584.45,31.04,45.65,76.79,0.88,61.43,0.74,45.3,0.67
2024-02-01,10:30,February,Spring,Flat,77,584.45,31.04,45.65,76.79,0.88,61.43,0.74,45.3,0.67
2024-02-01,10:45,February,Spring,Flat,77,584.45,31.04,45.65,76.79,0.88,61.43,0.74,45.3,0.67
2024-02-01,11:00,February,Spring,Flat,77,683.17,32.21,49.29,75.64,1.03,60.51,0.87,52.34,0.67
2024-02-01,11:15,February,Spring,Flat,77,683.17,32.21,49.29,75.64,1.03,60.51,0.87,52.34,0.67
2024-02-01,11:30,February,Spring,Flat,77,683.17,32.21,49.29,75.64,1.03,60.51,0.87,52.34,0.67
2024-02-01,11:45,February,Spring,Flat,77,683.17,32.21,49.29,75.64,1.03,60.51,0.87,52.34,0.67
2024-02-01,12:00,February,Spring,Flat,77,671.38,32.86,49.64,75.52,1.02,60.42,0.85,51.38,0.67
