Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-02-01,06:00,February,Spring,Inverted-V,62,19.66,23.29,25.78,83.08,0.03,66.46,0.02,1.62,0.67
2024-02-01,06:15,February,Spring,Inverted-V,62,19.66,23.29,25.78,83.08,0.03,66.46,0.02,1.62,0.67
2024-02-01,06:30,February,Spring,Inverted-V,62,19.66,23.29,25.78,83.08,0.03,66.46,0.02,1.62,0.67
2024-02-01,06:45,February,Spring,Inverted-V,62,19.66,23.29,25.78,83.08,0.03,66.46,0.02,1.62,0.67
2024-02-01,07:00,February,Spring,Inverted-V,62,141.43,24.86,30.4,81.62,0.21,65.3,0.18,11.48,0.67
2024-02-01,07:15,February,Spring,Inverted-V,62,141.43,24.86,30.4,81.62,0.21,65.3,0.18,11.48,0.67
2024-02-01,07:30,February,Spring,Inverted-V,62,141.43,24.86,30.4,81.62,0.21,65.3,0.18,11.48,0.67
2024-02-01,07:45,February,Spring,Inverted-V,62,141.43,24.86,30.4,81.62,0.21,65.3,0.18,11.48,0.67
2024-02-01,08:00,February,Spring,Inverted-V,62,311.9,26.88,36.68,79.63,0.47,63.7,0.39,24.85,0.67
2024-02-01,08:15,February,Spring,Inverted-V,62,311.9,26.88,36.68,79.63,0.47,63.7,0.39,24.85,0.67
2024-02-01,08:30,February,Spring,Inverted-V,62,311.9,26.88,36.68,79.63,0.47,63.7,0.39,24.85,0.67
2024-02-01,08:45,February,Spring,Inverted-V,62,311.9,26.88,36.68,79.63,0.47,63.7,0.39,24.85,0.67
2024-02-01,09:00,February,Spring,Inverted-V,62,420.34,29.25,41.76,78.02,0.63,62.42,0.53,32.98,0.67
2024-02-01,09:15,February,Spring,Inverted-V,62,420.34,29.25,41.76,78.02,0.63,62.42,0.53,32.98,0.67
2024-02-01,09:30,February,Spring,Inverted-V,62,420.34,29.25,41.76,78.02,0.63,62.42,0.53,32.98,0.67
2024-02-01,09:45,February,Spring,Inverted-V,62,420.34,29.25,41.76,78.02,0.63,62.42,0.53,32.98,0.67
2024-02-01,10:00,February,Spring,Inverted-V,62,631.21,31.04,48.82,75.79,0.95,60.63,0.8,48.43,0.67
2024-02-01,10:15,February,Spring,Inverted-V,62,631.21,31.04,48.82,75.79,0.95,60.63,0.8,48.43,0.67
2024-02-01,10:30,February,Spring,Inverted-V,62,631.21,31.04,48.82,75.79,0.95,60.63,0.8,48.43,0.67
2024-02-01,10:45,February,Spring,Inverted-V,62,631.21,31.04,48.82,75.79,0.95,60.63,0.8,48.43,0.67
2024-02-01,11:00,February,Spring,Inverted-V,62,737.82,32.21,52.66,74.57,1.12,59.66,0.94,55.92,0.67
2024-02-01,11:15,February,Spring,Inverted-V,62,737.82,32.21,52.66,74.57,1.12,59.66,0.94,55.92,0.67
2024-02-01,11:30,February,Spring,Inverted-V,62,737.82,32.21,52.66,74.57,1.12,59.66,0.94,55.92,0.67
2024-02-01,11:45,February,Spring,Inverted-V,62,737.82,32.21,52.66,74.57,1.12,59.66,0.94,55.92,0.67
2024-02-01,12:00,February,Spring,Inverted-V,62,725.09,32.86,52.99,74.47,1.1,59.57,0.92,54.89,0.67
2024-02-01,12:15,February,Spring,Inverted-V,62,725.09,32.86,52.99,74.47,1.1,59.57,0.92,54.89,0.67
2024-02-01,12:30,February,Spring,Inverted-V,62,725.09,32.86,52.99,74.47,1.1,59.57,0.92,54.89,0.67
2024-02-01,12:45,February,Spring,Inverted-V,62,725.09,32.86,52.99,74.47,1.1,59.57,0.92,54.89,0.67
2024-02-01,13:00,February,Spring,Inverted-V,62,563.17,33.05,49.13,75.69,0.85,60.55,0.71,43.17,0.67
2024-02-01,13:15,February,Spring,Inverted-V,62,563.17,33.05,49.13,75.69,0.85,60.55,0.71,43.17,0.67
2024-02-01,13:30,February,Spring,Inverted-V,62,563.17,33.05,49.13,75.69,0.85,60.55,0.71,43.17,0.67
2024-02-01,13:45,February,Spring,Inverted-V,62,563.17,33.05,49.13,75.69,0.85,60.55,0.71,43.17,0.67
2024-02-01,14:00,February,Spring,Inverted-V,62,578.75,32.74,49.21,75.66,0.87,60.53,0.73,44.35,0.67
2024-02-01,14:15,February,Spring,Inverted-V,62,578.75,32.74,49.21,75.66,0.87,60.53,0.73,44.35,0.67
2024-02-01,14:30,February,Spring,Inverted-V,62,578.75,32.74,49.21,75.66,0.87,60.53,0.73,44.35,0.67
2024-02-01,14:45,February,Spring,Inverted-V,62,578.75,32.74,49.21,75.66,0.87,60.53,0.73,44.35,0.67
2024-02-01,15:00,February,Spring,Inverted-V,62,415.15,32.07,44.45,77.17,0.62,61.74,0.52,32.3,0.67
2024-02-01,15:15,February,Spring,Inverted-V,62,415.15,32.07,44.45,77.17,0.62,61.74,0.52,32.3,0.67
2024-02-01,15:30,February,Spring,Inverted-V,62,415.15,32.07,44.45,77.17,0.62,61.74,0.52,32.3,0.67
2024-02-01,15:45,February,Spring,Inverted-V,62,415.15,32.07,44.45,77.17,0.62,61.74,0.52,32.3,0.67
2024-02-01,16:00,February,Spring,Inverted-V,62,200.86,30.66,37.68,79.31,0.3,63.45,0.25,15.95,0.67
2024-02-01,16:15,February,Spring,Inverted-V,62,200.86,30.66,37.68,79.31,0.3,63.45,0.25,15.95,0.67
2024-02-01,16:30,February,Spring,Inverted-V,62,200.86,30.66,37.68,79.31,0.3,63.45,0.25,15.95,0.67
2024-02-01,16:45,February,Spring,Inverted-V,62,200.86,30.66,37.68,79.31,0.3,63.45,0.25,15.95,0.67
2024-02-01,17:00,February,Spring,Inverted-V,62,35.75,28.19,31.08,81.4,0.05,65.12,0.04,2.9,0.67
2024-02-01,17:15,February,Spring,Inverted-V,62,35.75,28.19,31.08,81.4,0.05,65.12,0.04,2.9,0.67
2024-02-01,17:30,February,Spring,Inverted-V,62,35.75,28.19,31.08,81.4,0.05,65.12,0.04,2.9,0.67
2024-02-01,17:45,February,Spring,Inverted-V,62,35.75,28.19,31.08,81.4,0.05,65.12,0.04,2.9,0.67
2024-02-02,06:00,February,Spring,Inverted-V,62,25.06,24.01,26.64,82.81,0.04,66.25,0.03,2.06,0.67
2024-02-02,06:15,February,Spring,Inverted-V,62,25.06,24.01,26.64,82.81,0.04,66.25,0.03,2.06,0.67
2024-02-02,06:30,February,Spring,Inverted-V,62,25.06,24.01,26.64,82.81,0.04,66.25,0.03,2.06,0.67
2024-02-02,06:45,February,Spring,Inverted-V,62,25.06,24.01,26.64,82.81,0.04,66.25,0.03,2.06,0.67
2024-02-02,07:00,February,Spring,Inverted-V,62,176.53,25.54,31.95,81.13,0.26,64.9,0.22,14.26,0.67
2024-02-02,07:15,February,Spring,Inverted-V,62,176.53,25.54,31.95,81.13,0.26,64.9,0.22,14.26,0.67
2024-02-02,07:30,February,Spring,Inverted-V,62,176.53,25.54,31.95,81.13,0.26,64.9,0.22,14.26,0.67
2024-02-02,07:45,February,Spring,Inverted-V,62,176.53,25.54,31.95,81.13,0.26,64.9,0.22,14.26,0.67
2024-02-02,08:00,February,Spring,Inverted-V,62,370.8,27.6,38.87,78.94,0.55,63.15,0.46,29.35,0.67
2024-02-02,08:15,February,Spring,Inverted-V,62,370.8,27.6,38.87,78.94,0.55,63.15,0.46,29.35,0.67
2024-02-02,08:30,February,Spring,Inverted-V,62,370.8,27.6,38.87,78.94,0.55,63.15,0.46,29.35,0.67
2024-02-02,08:45,February,Spring,Inverted-V,62,370.8,27.6,38.87,78.94,0.55,63.15,0.46,29.35,0.67
2024-02-02,09:00,February,Spring,Inverted-V,62,588.69,29.71,46.43,76.54,0.89,61.23,0.74,45.52,0.67
2024-02-02,09:15,February,Spring,Inverted-V,62,588.69,29.71,46.43,76.54,0.89,61.23,0.74,45.52,0.67
2024-02-02,09:30,February,Spring,Inverted-V,62,588.69,29.71,46.43,76.54,0.89,61.23,0.74,45.52,0.67
2024-02-02,09:45,February,Spring,Inverted-V,62,588.69,29.71,46.43,76.54,0.89,61.23,0.74,45.52,0.67
2024-02-02,10:00,February,Spring,Inverted-V,62,762.21,31.13,52.19,74.72,1.16,59.78,0.97,57.85,0.67
2024-02-02,10:15,February,Spring,Inverted-V,62,762.21,31.13,52.19,74.72,1.16,59.78,0.97,57.85,0.67
2024-02-02,10:30,February,Spring,Inverted-V,62,762.21,31.13,52.19,74.72,1.16,59.78,0.97,57.85,0.67
2024-02-02,10:45,February,Spring,Inverted-V,62,762.21,31.13,52.19,74.72,1.16,59.78,0.97,57.85,0.67
2024-02-02,11:00,February,Spring,Inverted-V,62,855.45,32.18,55.57,73.65,1.3,58.92,1.09,64.21,0.67
2024-02-02,11:15,February,Spring,Inverted-V,62,855.45,32.18,55.57,73.65,1.3,58.92,1.09,64.21,0.67
2024-02-02,11:30,February,Spring,Inverted-V,62,855.45,32.18,55.57,73.65,1.3,58.92,1.09,64.21,0.67
2024-02-02,11:45,February,Spring,Inverted-V,62,855.45,32.18,55.57,73.65,1.3,58.92,1.09,64.21,0.67
2024-02-02,12:00,February,Spring,Inverted-V,62,775.41,32.84,54.23,74.07,1.18,59.26,0.99,58.46,0.67
2024-02-02,12:15,February,Spring,Inverted-V,62,775.41,32.84,54.23,74.07,1.18,59.26,0.99,58.46,0.67
2024-02-02,12:30,February,Spring,Inverted-V,62,775.41,32.84,54.23,74.07,1.18,59.26,0.99,58.46,0.67
2024-02-02,12:45,February,Spring,Inverted-V,62,775.41,32.84,54.23,74.07,1.18,59.26,0.99,58.46,0.67
2024-02-02,13:00,February,Spring,Inverted-V,62,749.63,33.1,53.84,74.2,1.14,59.36,0.95,56.59,0.67
