Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-02-01,06:00,February,Spring,V-Shape,93,19.11,23.29,19.77,84.98,0.03,67.99,0.02,1.6,0.67
2024-02-01,06:15,February,Spring,V-Shape,93,19.11,23.29,19.77,84.98,0.03,67.99,0.02,1.6,0.67
2024-02-01,06:30,February,Spring,V-Shape,93,19.11,23.29,19.77,84.98,0.03,67.99,0.02,1.6,0.67
2024-02-01,06:45,February,Spring,V-Shape,93,19.11,23.29,19.77,84.98,0.03,67.99,0.02,1.6,0.67
2024-02-01,07:00,February,Spring,V-Shape,93,137.5,24.86,24.3,83.55,0.2,66.84,0.17,11.35,0.67
2024-02-01,07:15,February,Spring,V-Shape,93,137.5,24.86,24.3,83.55,0.2,66.84,0.17,11.35,0.67
2024-02-01,07:30,February,Spring,V-Shape,93,137.5,24.86,24.3,83.55,0.2,66.84,0.17,11.35,0.67
2024-02-01,07:45,February,Spring,V-Shape,93,137.5,24.86,24.3,83.55,0.2,66.84,0.17,11.35,0.67
2024-02-01,08:00,February,Spring,V-Shape,93,303.24,26.88,30.46,81.6,0.45,65.28,0.38,24.6,0.67
2024-02-01,08:15,February,Spring,V-Shape,93,303.24,26.88,30.46,81.6,0.45,65.28,0.38,24.6,0.67
2024-02-01,08:30,February,Spring,V-Shape,93,303.24,26.88,30.46,81.6,0.45,65.28,0.38,24.6,0.67
2024-02-01,08:45,February,Spring,V-Shape,93,303.24,26.88,30.46,81.6,0.45,65.28,0.38,24.6,0.67
2024-02-01,09:00,February,Spring,V-Shape,93,408.66,29.25,35.47,80.01,0.61,64.01,0.51,32.67,0.67
2024-02-01,09:15,February,Spring,V-Shape,93,408.66,29.25,35.47,80.01,0.61,64.01,0.51,32.67,0.67
2024-02-01,09:30,February,Spring,V-Shape,93,408.66,29.25,35.47,80.01,0.61,64.01,0.51,32.67,0.67
2024-02-01,09:45,February,Spring,V-Shape,93,408.66,29.25,35.47,80.01,0.61,64.01,0.51,32.67,0.67
2024-02-01,10:00,February,Spring,V-Shape,93,613.67,31.04,42.38,77.82,0.92,62.26,0.77,48.05,0.67
2024-02-01,10:15,February,Spring,V-Shape,93,613.67,31.04,42.38,77.82,0.92,62.26,0.77,48.05,0.67
2024-02-01,10:30,February,Spring,V-Shape,93,613.67,31.04,42.38,77.82,0.92,62.26,0.77,48.05,0.67
2024-02-01,10:45,February,Spring,V-Shape,93,613.67,31.04,42.38,77.82,0.92,62.26,0.77,48.05,0.67
2024-02-01,11:00,February,Spring,V-Shape,93,717.33,32.21,46.14,76.63,1.08,61.31,0.91,55.51,0.67
2024-02-01,11:15,February,Spring,V-Shape,93,717.33,32.21,46.14,76.63,1.08,61.31,0.91,55.51,0.67
2024-02-01,11:30,February,Spring,V-Shape,93,717.33,32.21,46.14,76.63,1.08,61.31,0.91,55.51,0.67
2024-02-01,11:45,February,Spring,V-Shape,93,717.33,32.21,46.14,76.63,1.08,61.31,0.91,55.51,0.67
2024-02-01,12:00,February,Spring,V-Shape,93,704.95,32.86,46.48,76.53,1.06,61.22,0.89,54.49,0.67
2024-02-01,12:15,February,Spring,V-Shape,93,704.95,32.86,46.48,76.53,1.06,61.22,0.89,54.49,0.67
2024-02-01,12:30,February,Spring,V-Shape,93,704.95,32.86,46.48,76.53,1.06,61.22,0.89,54.49,0.67
2024-02-01,12:45,February,Spring,V-Shape,93,704.95,32.86,46.48,76.53,1.06,61.22,0.89,54.49,0.67
2024-02-01,13:00,February,Spring,V-Shape,93,547.52,33.05,42.74,77.71,0.82,62.17,0.69,42.82,0.67
2024-02-01,13:15,February,Spring,V-Shape,93,547.52,33.05,42.74,77.71,0.82,62.17,0.69,42.82,0.67
2024-02-01,13:30,February,Spring,V-Shape,93,547.52,33.05,42.74,77.71,0.82,62.17,0.69,42.82,0.67
2024-02-01,13:45,February,Spring,V-Shape,93,547.52,33.05,42.74,77.71,0.82,62.17,0.69,42.82,0.67
2024-02-01,14:00,February,Spring,V-Shape,93,562.67,32.74,42.81,77.69,0.85,62.15,0.71,44.0,0.67
2024-02-01,14:15,February,Spring,V-Shape,93,562.67,32.74,42.81,77.69,0.85,62.15,0.71,44.0,0.67
2024-02-01,14:30,February,Spring,V-Shape,93,562.67,32.74,42.81,77.69,0.85,62.15,0.71,44.0,0.67
2024-02-01,14:45,February,Spring,V-Shape,93,562.67,32.74,42.81,77.69,0.85,62.15,0.71,44.0,0.67
2024-02-01,15:00,February,Spring,V-Shape,93,403.62,32.07,38.16,79.16,0.6,63.33,0.51,32.01,0.67
2024-02-01,15:15,February,Spring,V-Shape,93,403.62,32.07,38.16,79.16,0.6,63.33,0.51,32.01,0.67
2024-02-01,15:30,February,Spring,V-Shape,93,403.62,32.07,38.16,79.16,0.6,63.33,0.51,32.01,0.67
2024-02-01,15:45,February,Spring,V-Shape,93,403.62,32.07,38.16,79.16,0.6,63.33,0.51,32.01,0.67
2024-02-01,16:00,February,Spring,V-Shape,93,195.28,30.66,31.54,81.26,0.29,65.01,0.24,15.79,0.67
2024-02-01,16:15,February,Spring,V-Shape,93,195.28,30.66,31.54,81.26,0.29,65.01,0.24,15.79,0.67
2024-02-01,16:30,February,Spring,V-Shape,93,195.28,30.66,31.54,81.26,0.29,65.01,0.24,15.79,0.67
2024-02-01,16:45,February,Spring,V-Shape,93,195.28,30.66,31.54,81.26,0.29,65.01,0.24,15.79,0.67
2024-02-01,17:00,February,Spring,V-Shape,93,34.76,28.19,25.06,83.31,0.05,66.65,0.04,2.86,0.67
2024-02-01,17:15,February,Spring,V-Shape,93,34.76,28.19,25.06,83.31,0.05,66.65,0.04,2.86,0.67
2024-02-01,17:30,February,Spring,V-Shape,93,34.76,28.19,25.06,83.31,0.05,66.65,0.04,2.86,0.67
2024-02-01,17:45,February,Spring,V-Shape,93,34.76,28.19,25.06,83.31,0.05,66.65,0.04,2.86,0.67
2024-02-02,06:00,February,Spring,V-Shape,93,24.36,24.01,20.62,84.72,0.04,67.77,0.03,2.03,0.67
2024-02-02,06:15,February,Spring,V-Shape,93,24.36,24.01,20.62,84.72,0.04,67.77,0.03,2.03,0.67
2024-02-02,06:30,February,Spring,V-Shape,93,24.36,24.01,20.62,84.72,0.04,67.77,0.03,2.03,0.67
2024-02-02,06:45,February,Spring,V-Shape,93,24.36,24.01,20.62,84.72,0.04,67.77,0.03,2.03,0.67
