Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-05-01,05:00,May,Summer,Flat,77,5.25,28.43,28.56,82.2,0.01,65.76,0.01,0.43,0.67
2024-05-01,05:15,May,Summer,Flat,77,5.25,28.43,28.56,82.2,0.01,65.76,0.01,0.43,0.67
2024-05-01,05:30,May,Summer,Flat,77,5.25,28.43,28.56,82.2,0.01,65.76,0.01,0.43,0.67
2024-05-01,05:45,May,Summer,Flat,77,5.25,28.43,28.56,82.2,0.01,65.76,0.01,0.43,0.67
2024-05-01,06:00,May,Summer,Flat,77,118.1,29.34,32.29,81.02,0.18,64.82,0.15,9.53,0.67
2024-05-01,06:15,May,Summer,Flat,77,118.1,29.34,32.29,81.02,0.18,64.82,0.15,9.53,0.67
2024-05-01,06:30,May,Summer,Flat,77,118.1,29.34,32.29,81.02,0.18,64.82,0.15,9.53,0.67
2024-05-01,06:45,May,Summer,Flat,77,118.1,29.34,32.29,81.02,0.18,64.82,0.15,9.53,0.67
2024-05-01,07:00,May,Summer,Flat,77,327.05,31.7,39.88,78.62,0.49,62.89,0.41,25.81,0.67
2024-05-01,07:15,May,Summer,Flat,77,327.05,31.7,39.88,78.62,0.49,62.89,0.41,25.81,0.67
2024-05-01,07:30,May,Summer,Flat,77,327.05,31.7,39.88,78.62,0.49,62.89,0.41,25.81,0.67
2024-05-01,07:45,May,Summer,Flat,77,327.05,31.7,39.88,78.62,0.49,62.89,0.41,25.81,0.67
2024-05-01,08:00,May,Summer,Flat,77,536.88,33.96,47.38,76.24,0.81,60.99,0.68,41.38,0.67
2024-05-01,08:15,May,Summer,Flat,77,536.88,33.96,47.38,76.24,0.81,60.99,0.68,41.38,0.67
2024-05-01,08:30,May,Summer,Flat,77,536.88,33.96,47.38,76.24,0.81,60.99,0.68,41.38,0.67
2024-05-01,08:45,May,Summer,Flat,77,536.88,33.96,47.38,76.24,0.81,60.99,0.68,41.38,0.67
2024-05-01,09:00,May,Summer,Flat,77,654.85,35.92,52.29,74.69,0.99,59.75,0.83,49.69,0.67
2024-05-01,09:15,May,Summer,Flat,77,654.85,35.92,52.29,74.69,0.99,59.75,0.83,49.69,0.67
2024-05-01,09:30,May,Summer,Flat,77,654.85,35.92,52.29,74.69,0.99,59.75,0.83,49.69,0.67
2024-05-01,09:45,May,Summer,Flat,77,654.85,35.92,52.29,74.69,0.99,59.75,0.83,49.69,0.67
2024-05-01,10:00,May,Summer,Flat,77,842.65,37.65,58.72,72.65,1.29,58.12,1.08,62.58,0.67
2024-05-01,10:15,May,Summer,Flat,77,842.65,37.65,58.72,72.65,1.29,58.12,1.08,62.58,0.67
2024-05-01,10:30,May,Summer,Flat,77,842.65,37.65,58.72,72.65,1.29,58.12,1.08,62.58,0.67
2024-05-01,10:45,May,Summer,Flat,77,842.65,37.65,58.72,72.65,1.29,58.12,1.08,62.58,0.67
2024-05-01,11:00,May,Summer,Flat,77,893.7,39.06,61.4,71.8,1.37,57.44,1.14,65.77,0.67
2024-05-01,11:15,May,Summer,Flat,77,893.7,39.06,61.4,71.8,1.37,57.44,1.14,65.77,0.67
2024-05-01,11:30,May,Summer,Flat,77,893.7,39.06,61.4,71.8,1.37,57.44,1.14,65.77,0.67
2024-05-01,11:45,May,Summer,Flat,77,893.7,39.06,61.4,71.8,1.37,57.44,1.14,65.77,0.67
2024-05-01,12:00,May,Summer,Flat,77,762.97,40.0,59.07,72.54,1.16,58.03,0.98,56.6,0.67
2024-05-01,12:15,May,Summer,Flat,77,762.97,40.0,59.07,72.54,1.16,58.03,0.98,56.6,0.67
2024-05-01,12:30,May,Summer,Flat,77,762.97,40.0,59.07,72.54,1.16,58.03,0.98,56.6,0.67
2024-05-01,12:45,May,Summer,Flat,77,762.97,40.0,59.07,72.54,1.16,58.03,0.98,56.6,0.67
