Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-05-01,05:00,May,Summer,Inverted-V,77,5.67,28.43,26.57,82.83,0.01,66.26,0.01,0.47,0.67
2024-05-01,05:15,May,Summer,Inverted-V,77,5.67,28.43,26.57,82.83,0.01,66.26,0.01,0.47,0.67
2024-05-01,05:30,May,Summer,Inverted-V,77,5.67,28.43,26.57,82.83,0.01,66.26,0.01,0.47,0.67
2024-05-01,05:45,May,Summer,Inverted-V,77,5.67,28.43,26.57,82.83,0.01,66.26,0.01,0.47,0.67
2024-05-01,06:00,May,Summer,Inverted-V,77,127.55,29.34,30.53,81.58,0.19,65.26,0.16,10.35,0.67
2024-05-01,06:15,May,Summer,Inverted-V,77,127.55,29.34,30.53,81.58,0.19,65.26,0.16,10.35,0.67
2024-05-01,06:30,May,Summer,Inverted-V,77,127.55,29.34,30.53,81.58,0.19,65.26,0.16,10.35,0.67
2024-05-01,06:45,May,Summer,Inverted-V,77,127.55,29.34,30.53,81.58,0.19,65.26,0.16,10.35,0.67
2024-05-01,07:00,May,Summer,Inverted-V,77,353.21,31.7,38.53,79.04,0.53,63.23,0.44,27.98,0.67
2024-05-01,07:15,May,Summer,Inverted-V,77,353.21,31.7,38.53,79.04,0.53,63.23,0.44,27.98,0.67
2024-05-01,07:30,May,Summer,Inverted-V,77,353.21,31.7,38.53,79.04,0.53,63.23,0.44,27.98,0.67
2024-05-01,07:45,May,Summer,Inverted-V,77,353.21,31.7,38.53,79.04,0.53,63.23,0.44,27.98,0.67
2024-05-01,08:00,May,Summer,Inverted-V,77,579.83,33.96,46.46,76.53,0.87,61.23,0.73,44.83,0.67
2024-05-01,08:15,May,Summer,Inverted-V,77,579.83,33.96,46.46,76.53,0.87,61.23,0.73,44.83,0.67
2024-05-01,08:30,May,Summer,Inverted-V,77,579.83,33.96,46.46,76.53,0.87,61.23,0.73,44.83,0.67
2024-05-01,08:45,May,Summer,Inverted-V,77,579.83,33.96,46.46,76.53,0.87,61.23,0.73,44.83,0.67
2024-05-01,09:00,May,Summer,Inverted-V,77,707.24,35.92,51.6,74.9,1.07,59.92,0.9,53.78,0.67
2024-05-01,09:15,May,Summer,Inverted-V,77,707.24,35.92,51.6,74.9,1.07,59.92,0.9,53.78,0.67
2024-05-01,09:30,May,Summer,Inverted-V,77,707.24,35.92,51.6,74.9,1.07,59.92,0.9,53.78,0.67
2024-05-01,09:45,May,Summer,Inverted-V,77,707.24,35.92,51.6,74.9,1.07,59.92,0.9,53.78,0.67
2024-05-01,10:00,May,Summer,Inverted-V,77,910.06,37.65,58.4,72.75,1.39,58.2,1.16,67.66,0.67
2024-05-01,10:15,May,Summer,Inverted-V,77,910.06,37.65,58.4,72.75,1.39,58.2,1.16,67.66,0.67
2024-05-01,10:30,May,Summer,Inverted-V,77,910.06,37.65,58.4,72.75,1.39,58.2,1.16,67.66,0.67
2024-05-01,10:45,May,Summer,Inverted-V,77,910.06,37.65,58.4,72.75,1.39,58.2,1.16,67.66,0.67
2024-05-01,11:00,May,Summer,Inverted-V,77,965.2,39.06,61.19,71.87,1.48,57.49,1.24,71.08,0.67
2024-05-01,11:15,May,Summer,Inverted-V,77,965.2,39.06,61.19,71.87,1.48,57.49,1.24,71.08,0.67
2024-05-01,11:30,May,Summer,Inverted-V,77,965.2,39.06,61.19,71.87,1.48,57.49,1.24,71.08,0.67
2024-05-01,11:45,May,Summer,Inverted-V,77,965.2,39.06,61.19,71.87,1.48,57.49,1.24,71.08,0.67
2024-05-01,12:00,May,Summer,Inverted-V,77,824.01,40.0,58.6,72.69,1.26,58.15,1.05,61.22,0.67
2024-05-01,12:15,May,Summer,Inverted-V,77,824.01,40.0,58.6,72.69,1.26,58.15,1.05,61.22,0.67
2024-05-01,12:30,May,Summer,Inverted-V,77,824.01,40.0,58.6,72.69,1.26,58.15,1.05,61.22,0.67
2024-05-01,12:45,May,Summer,Inverted-V,77,824.01,40.0,58.6,72.69,1.26,58.15,1.05,61.22,0.67
2024-05-01,13:00,May,Summer,Inverted-V,77,757.59,40.56,57.5,73.04,1.15,58.43,0.97,56.5,0.67
2024-05-01,13:15,May,Summer,Inverted-V,77,757.59,40.56,57.5,73.04,1.15,58.43,0.97,56.5,0.67
2024-05-01,13:30,May,Summer,Inverted-V,77,757.59,40.56,57.5,73.04,1.15,58.43,0.97,56.5,0.67
2024-05-01,13:45,May,Summer,Inverted-V,77,757.59,40.56,57.5,73.04,1.15,58.43,0.97,56.5,0.67
2024-05-01,14:00,May,Summer,Inverted-V,77,641.84,40.35,54.4,74.02,0.98,59.22,0.82,48.36,0.67
2024-05-01,14:15,May,Summer,Inverted-V,77,641.84,40.35,54.4,74.02,0.98,59.22,0.82,48.36,0.67
2024-05-01,14:30,May,Summer,Inverted-V,77,641.84,40.35,54.4,74.02,0.98,59.22,0.82,48.36,0.67
2024-05-01,14:45,May,Summer,Inverted-V,77,641.84,40.35,54.4,74.02,0.98,59.22,0.82,48.36,0.67
2024-05-01,15:00,May,Summer,Inverted-V,77,484.63,39.95,50.07,75.39,0.73,60.31,0.61,37.04,0.67
2024-05-01,15:15,May,Summer,Inverted-V,77,484.63,39.95,50.07,75.39,0.73,60.31,0.61,37.04,0.67
2024-05-01,15:30,May,Summer,Inverted-V,77,484.63,39.95,50.07,75.39,0.73,60.31,0.61,37.04,0.67
2024-05-01,15:45,May,Summer,Inverted-V,77,484.63,39.95,50.07,75.39,0.73,60.31,0.61,37.04,0.67
2024-05-01,16:00,May,Summer,Inverted-V,77,251.66,39.03,43.32,77.53,0.38,62.02,0.32,19.65,0.67
2024-05-01,16:15,May,Summer,Inverted-V,77,251.66,39.03,43.32,77.53,0.38,62.02,0.32,19.65,0.67
2024-05-01,16:30,May,Summer,Inverted-V,77,251.66,39.03,43.32,77.53,0.38,62.02,0.32,19.65,0.67
2024-05-01,16:45,May,Summer,Inverted-V,77,251.66,39.03,43.32,77.53,0.38,62.02,0.32,19.65,0.67
2024-05-01,17:00,May,Summer,Inverted-V,77,48.57,37.5,36.71,79.62,0.07,63.69,0.06,3.87,0.67
2024-05-01,17:15,May,Summer,Inverted-V,77,48.57,37.5,36.71,79.62,0.07,63.69,0.06,3.87,0.67
2024-05-01,17:30,May,Summer,Inverted-V,77,48.57,37.5,36.71,79.62,0.07,63.69,0.06,3.87,0.67
2024-05-01,17:45,May,Summer,Inverted-V,77,48.57,37.5,36.71,79.62,0.07,63.69,0.06,3.87,0.67
2024-05-02,05:00,May,Summer,Inverted-V,77,6.05,30.16,28.31,82.28,0.01,65.82,0.01,0.49,0.67
2024-05-02,05:15,May,Summer,Inverted-V,77,6.05,30.16,28.31,82.28,0.01,65.82,0.01,0.49,0.67
2024-05-02,05:30,May,Summer,Inverted-V,77,6.05,30.16,28.31,82.28,0.01,65.82,0.01,0.49,0.67
2024-05-02,05:45,May,Summer,Inverted-V,77,6.05,30.16,28.31,82.28,0.01,65.82,0.01,0.49,0.67
2024-05-02,06:00,May,Summer,Inverted-V,77,126.6,31.06,32.22,81.04,0.19,64.83,0.16,10.22,0.67
2024-05-02,06:15,May,Summer,Inverted-V,77,126.6,31.06,32.22,81.04,0.19,64.83,0.16,10.22,0.67
2024-05-02,06:30,May,Summer,Inverted-V,77,126.6,31.06,32.22,81.04,0.19,64.83,0.16,10.22,0.67
2024-05-02,06:45,May,Summer,Inverted-V,77,126.6,31.06,32.22,81.04,0.19,64.83,0.16,10.22,0.67
2024-05-02,07:00,May,Summer,Inverted-V,77,346.14,32.97,39.62,78.7,0.52,62.96,0.43,27.33,0.67
2024-05-02,07:15,May,Summer,Inverted-V,77,346.14,32.97,39.62,78.7,0.52,62.96,0.43,27.33,0.67
2024-05-02,07:30,May,Summer,Inverted-V,77,346.14,32.97,39.62,78.7,0.52,62.96,0.43,27.33,0.67
2024-05-02,07:45,May,Summer,Inverted-V,77,346.14,32.97,39.62,78.7,0.52,62.96,0.43,27.33,0.67
2024-05-02,08:00,May,Summer,Inverted-V,77,562.77,35.0,47.07,76.34,0.85,61.07,0.71,43.42,0.67
2024-05-02,08:15,May,Summer,Inverted-V,77,562.77,35.0,47.07,76.34,0.85,61.07,0.71,43.42,0.67
2024-05-02,08:30,May,Summer,Inverted-V,77,562.77,35.0,47.07,76.34,0.85,61.07,0.71,43.42,0.67
