Date,Time,Month,Season,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-05-01,05:00,May,Summer,V-Shape,93,5.51,28.43,24.57,83.46,0.01,66.77,0.01,0.45,0.67
2024-05-01,05:15,May,Summer,V-Shape,93,5.51,28.43,24.57,83.46,0.01,66.77,0.01,0.45,0.67
2024-05-01,05:30,May,Summer,V-Shape,93,5.51,28.43,24.57,83.46,0.01,66.77,0.01,0.45,0.67
2024-05-01,05:45,May,Summer,V-Shape,93,5.51,28.43,24.57,83.46,0.01,66.77,0.01,0.45,0.67
2024-05-01,06:00,May,Summer,V-Shape,93,124.0,29.34,28.44,82.24,0.18,65.79,0.15,10.12,0.67
2024-05-01,06:15,May,Summer,V-Shape,93,124.0,29.34,28.44,82.24,0.18,65.79,0.15,10.12,0.67
2024-05-01,06:30,May,Summer,V-Shape,93,124.0,29.34,28.44,82.24,0.18,65.79,0.15,10.12,0.67
2024-05-01,06:45,May,Summer,V-Shape,93,124.0,29.34,28.44,82.24,0.18,65.79,0.15,10.12,0.67
2024-05-01,07:00,May,Summer,V-Shape,93,343.4,31.7,36.29,79.75,0.51,63.8,0.43,27.39,0.67
2024-05-01,07:15,May,Summer,V-Shape,93,343.4,31.7,36.29,79.75,0.51,63.8,0.43,27.39,0.67
2024-05-01,07:30,May,Summer,V-Shape,93,343.4,31.7,36.29,79.75,0.51,63.8,0.43,27.39,0.67
2024-05-01,07:45,May,Summer,V-Shape,93,343.4,31.7,36.29,79.75,0.51,63.8,0.43,27.39,0.67
2024-05-01,08:00,May,Summer,V-Shape,93,563.72,33.96,44.05,77.29,0.85,61.84,0.71,43.91,0.67
2024-05-01,08:15,May,Summer,V-Shape,93,563.72,33.96,44.05,77.29,0.85,61.84,0.71,43.91,0.67
2024-05-01,08:30,May,Summer,V-Shape,93,563.72,33.96,44.05,77.29,0.85,61.84,0.71,43.91,0.67
2024-05-01,08:45,May,Summer,V-Shape,93,563.72,33.96,44.05,77.29,0.85,61.84,0.71,43.91,0.67
2024-05-01,09:00,May,Summer,V-Shape,93,687.59,35.92,49.11,75.69,1.04,60.55,0.87,52.71,0.67
2024-05-01,09:15,May,Summer,V-Shape,93,687.59,35.92,49.11,75.69,1.04,60.55,0.87,52.71,0.67
2024-05-01,09:30,May,Summer,V-Shape,93,687.59,35.92,49.11,75.69,1.04,60.55,0.87,52.71,0.67
2024-05-01,09:45,May,Summer,V-Shape,93,687.59,35.92,49.11,75.69,1.04,60.55,0.87,52.71,0.67
2024-05-01,10:00,May,Summer,V-Shape,93,884.78,37.65,55.77,73.58,1.35,58.87,1.13,66.37,0.67
2024-05-01,10:15,May,Summer,V-Shape,93,884.78,37.65,55.77,73.58,1.35,58.87,1.13,66.37,0.67
2024-05-01,10:30,May,Summer,V-Shape,93,884.78,37.65,55.77,73.58,1.35,58.87,1.13,66.37,0.67
2024-05-01,10:45,May,Summer,V-Shape,93,884.78,37.65,55.77,73.58,1.35,58.87,1.13,66.37,0.67
2024-05-01,11:00,May,Summer,V-Shape,93,938.39,39.06,58.52,72.71,1.43,58.17,1.2,69.74,0.67
2024-05-01,11:15,May,Summer,V-Shape,93,938.39,39.06,58.52,72.71,1.43,58.17,1.2,69.74,0.67
2024-05-01,11:30,May,Summer,V-Shape,93,938.39,39.06,58.52,72.71,1.43,58.17,1.2,69.74,0.67
2024-05-01,11:45,May,Summer,V-Shape,93,938.39,39.06,58.52,72.71,1.43,58.17,1.2,69.74,0.67
2024-05-01,12:00,May,Summer,V-Shape,93,801.12,40.0,56.03,73.5,1.22,58.8,1.02,60.04,0.67
2024-05-01,12:15,May,Summer,V-Shape,93,801.12,40.0,56.03,73.5,1.22,58.8,1.02,60.04,0.67
2024-05-01,12:30,May,Summer,V-Shape,93,801.12,40.0,56.03,73.5,1.22,58.8,1.02,60.04,0.67
2024-05-01,12:45,May,Summer,V-Shape,93,801.12,40.0,56.03,73.5,1.22,58.8,1.02,60.04,0.67
2024-05-01,13:00,May,Summer,V-Shape,93,736.54,40.56,54.97,73.84,1.12,59.07,0.94,55.39,0.67
2024-05-01,13:15,May,Summer,V-Shape,93,736.54,40.56,54.97,73.84,1.12,59.07,0.94,55.39,0.67
2024-05-01,13:30,May,Summer,V-Shape,93,736.54,40.56,54.97,73.84,1.12,59.07,0.94,55.39,0.67
2024-05-01,13:45,May,Summer,V-Shape,93,736.54,40.56,54.97,73.84,1.12,59.07,0.94,55.39,0.67
2024-05-01,14:00,May,Summer,V-Shape,93,624.01,40.35,51.95,74.79,0.95,59.84,0.79,47.4,0.67
2024-05-01,14:15,May,Summer,V-Shape,93,624.01,40.35,51.95,74.79,0.95,59.84,0.79,47.4,0.67
2024-05-01,14:30,May,Summer,V-Shape,93,624.01,40.35,51.95,74.79,0.95,59.84,0.79,47.4,0.67
2024-05-01,14:45,May,Summer,V-Shape,93,624.01,40.35,51.95,74.79,0.95,59.84,0.79,47.4,0.67
2024-05-01,15:00,May,Summer,V-Shape,93,471.17,39.95,47.73,76.13,0.71,60.9,0.6,36.28,0.67
2024-05-01,15:15,May,Summer,V-Shape,93,471.17,39.95,47.73,76.13,0.71,60.9,0.6,36.28,0.67
2024-05-01,15:30,May,Summer,V-Shape,93,471.17,39.95,47.73,76.13,0.71,60.9,0.6,36.28,0.67
2024-05-01,15:45,May,Summer,V-Shape,93,471.17,39.95,47.73,76.13,0.71,60.9,0.6,36.28,0.67
2024-05-01,16:00,May,Summer,V-Shape,93,244.67,39.03,41.15,78.22,0.37,62.57,0.31,19.23,0.67
2024-05-01,16:15,May,Summer,V-Shape,93,244.67,39.03,41.15,78.22,0.37,62.57,0.31,19.23,0.67
2024-05-01,16:30,May,Summer,V-Shape,93,244.67,39.03,41.15,78.22,0.37,62.57,0.31,19.23,0.67
2024-05-01,16:45,May,Summer,V-Shape,93,244.67,39.03,41.15,78.22,0.37,62.57,0.31,19.23,0.67
2024-05-01,17:00,May,Summer,V-Shape,93,47.22,37.5,34.68,80.26,0.07,64.21,0.06,3.78,0.67
2024-05-01,17:15,May,Summer,V-Shape,93,47.22,37.5,34.68,80.26,0.07,64.21,0.06,3.78,0.67
2024-05-01,17:30,May,Summer,V-Shape,93,47.22,37.5,34.68,80.26,0.07,64.21,0.06,3.78,0.67
2024-05-01,17:45,May,Summer,V-Shape,93,47.22,37.5,34.68,80.26,0.07,64.21,0.06,3.78,0.67
