Date,Time,ISO_Week,Month,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-06-17,04:45,25,June,V-Shape,62,5.47,24.05,27.18,82.64,0.01,66.11,0.01,0.45,0.67
2024-06-17,05:00,25,June,V-Shape,62,7.3,24.0,27.18,82.64,0.01,66.11,0.01,0.6,0.67
2024-06-17,05:15,25,June,V-Shape,62,39.93,24.25,28.24,82.3,0.06,65.84,0.05,3.26,0.67
2024-06-17,05:30,25,June,V-Shape,62,72.57,24.49,29.3,81.97,0.11,65.57,0.09,5.91,0.67
2024-06-17,05:45,25,June,V-Shape,62,105.2,24.73,30.36,81.63,0.16,65.3,0.13,8.54,0.67
2024-06-17,06:00,25,June,V-Shape,62,137.83,24.98,31.43,81.29,0.2,65.03,0.17,11.15,0.67
2024-06-17,06:15,25,June,V-Shape,62,193.97,25.43,33.28,80.71,0.29,64.57,0.24,15.61,0.67
2024-06-17,06:30,25,June,V-Shape,62,250.1,25.88,35.13,80.12,0.37,64.1,0.31,20.02,0.67
2024-06-17,06:45,25,June,V-Shape,62,306.24,26.32,36.98,79.54,0.46,63.63,0.38,24.38,0.67
2024-06-17,07:00,25,June,V-Shape,62,362.38,26.77,38.83,78.95,0.54,63.16,0.45,28.68,0.67
2024-06-17,07:15,25,June,V-Shape,62,417.11,27.45,40.88,78.3,0.63,62.64,0.52,32.81,0.67
2024-06-17,07:30,25,June,V-Shape,62,471.84,28.13,42.93,77.65,0.71,62.12,0.59,36.88,0.67
2024-06-17,07:45,25,June,V-Shape,62,526.57,28.81,44.97,77.0,0.79,61.6,0.66,40.9,0.67
2024-06-17,08:00,25,June,V-Shape,62,581.3,29.49,47.02,76.35,0.88,61.08,0.73,44.86,0.67
2024-06-17,08:15,25,June,V-Shape,62,605.51,30.14,48.28,75.96,0.91,60.77,0.77,46.54,0.67
2024-06-17,08:30,25,June,V-Shape,62,629.72,30.8,49.54,75.56,0.95,60.45,0.8,48.21,0.67
2024-06-17,08:45,25,June,V-Shape,62,653.93,31.45,50.8,75.16,0.99,60.13,0.83,49.86,0.67
2024-06-17,09:00,25,June,V-Shape,62,678.14,32.1,52.05,74.76,1.03,59.81,0.86,51.49,0.67
2024-06-17,09:15,25,June,V-Shape,62,699.43,32.54,53.02,74.46,1.06,59.56,0.89,52.94,0.67
2024-06-17,09:30,25,June,V-Shape,62,720.72,32.97,53.99,74.15,1.09,59.32,0.92,54.38,0.67
2024-06-17,09:45,25,June,V-Shape,62,742.01,33.41,54.96,73.84,1.13,59.07,0.94,55.81,0.67
2024-06-17,10:00,25,June,V-Shape,62,763.3,33.84,55.92,73.54,1.16,58.83,0.97,57.22,0.67
2024-06-17,10:15,25,June,V-Shape,62,776.38,34.13,56.54,73.34,1.18,58.67,0.99,58.09,0.67
2024-06-17,10:30,25,June,V-Shape,62,789.46,34.42,57.16,73.14,1.2,58.52,1.01,58.94,0.67
2024-06-17,10:45,25,June,V-Shape,62,802.54,34.72,57.78,72.95,1.22,58.36,1.02,59.79,0.67
2024-06-17,11:00,25,June,V-Shape,62,815.62,35.01,58.4,72.75,1.24,58.2,1.04,60.64,0.67
2024-06-17,11:15,25,June,V-Shape,62,812.78,35.19,58.51,72.72,1.24,58.17,1.04,60.41,0.67
2024-06-17,11:30,25,June,V-Shape,62,809.94,35.38,58.62,72.68,1.24,58.14,1.03,60.17,0.67
2024-06-17,11:45,25,June,V-Shape,62,807.11,35.56,58.74,72.65,1.23,58.12,1.03,59.94,0.67
2024-06-17,12:00,25,June,V-Shape,62,804.27,35.74,58.85,72.61,1.23,58.09,1.03,59.71,0.67
2024-06-17,12:15,25,June,V-Shape,62,779.68,35.76,58.25,72.8,1.19,58.24,1.0,58.0,0.67
2024-06-17,12:30,25,June,V-Shape,62,755.09,35.77,57.65,72.99,1.15,58.39,0.96,56.28,0.67
2024-06-17,12:45,25,June,V-Shape,62,730.5,35.78,57.05,73.18,1.11,58.54,0.93,54.56,0.67
2024-06-17,13:00,25,June,V-Shape,62,705.91,35.8,56.45,73.37,1.07,58.7,0.9,52.83,0.67
2024-06-17,13:15,25,June,V-Shape,62,698.01,35.66,56.12,73.48,1.06,58.78,0.89,52.3,0.67
2024-06-17,13:30,25,June,V-Shape,62,690.11,35.53,55.78,73.58,1.05,58.86,0.88,51.76,0.67
2024-06-17,13:45,25,June,V-Shape,62,682.21,35.39,55.45,73.69,1.04,58.95,0.87,51.23,0.67
2024-06-17,14:00,25,June,V-Shape,62,674.31,35.26,55.12,73.79,1.03,59.03,0.86,50.69,0.67
2024-06-17,14:15,25,June,V-Shape,62,621.16,35.03,53.56,74.28,0.94,59.43,0.79,46.93,0.67
2024-06-17,14:30,25,June,V-Shape,62,568.01,34.81,52.01,74.78,0.86,59.82,0.72,43.14,0.67
2024-06-17,14:45,25,June,V-Shape,62,514.86,34.59,50.46,75.27,0.78,60.21,0.65,39.3,0.67
2024-06-17,15:00,25,June,V-Shape,62,461.72,34.36,48.9,75.76,0.7,60.61,0.58,35.42,0.67
2024-06-17,15:15,25,June,V-Shape,62,411.43,34.01,47.3,76.27,0.62,61.01,0.52,31.72,0.67
2024-06-17,15:30,25,June,V-Shape,62,361.14,33.66,45.69,76.78,0.54,61.42,0.46,27.99,0.67
2024-06-17,15:45,25,June,V-Shape,62,310.85,33.32,44.09,77.28,0.47,61.83,0.39,24.21,0.67
2024-06-17,16:00,25,June,V-Shape,62,260.56,32.97,42.48,77.79,0.39,62.23,0.33,20.4,0.67
2024-06-17,16:15,25,June,V-Shape,62,211.55,32.43,40.72,78.35,0.32,62.68,0.27,16.65,0.67
2024-06-17,16:30,25,June,V-Shape,62,162.55,31.89,38.96,78.91,0.24,63.13,0.2,12.86,0.67
2024-06-17,16:45,25,June,V-Shape,62,113.55,31.36,37.2,79.47,0.17,63.57,0.14,9.03,0.67
2024-06-17,17:00,25,June,V-Shape,62,64.54,30.82,35.43,80.02,0.1,64.02,0.08,5.16,0.67
2024-06-17,17:15,25,June,V-Shape,62,48.41,30.38,34.6,80.29,0.07,64.23,0.06,3.88,0.67
2024-06-17,17:30,25,June,V-Shape,62,32.27,29.95,33.76,80.56,0.05,64.44,0.04,2.59,0.67
2024-06-17,17:45,25,June,V-Shape,62,16.14,29.52,32.92,80.82,0.02,64.66,0.02,1.3,0.67
2024-06-18,05:00,25,June,V-Shape,62,5.62,24.49,27.63,82.5,0.01,66.0,0.01,0.46,0.67
2024-06-18,05:15,25,June,V-Shape,62,28.87,24.75,28.47,82.23,0.04,65.78,0.04,2.36,0.67
2024-06-18,05:30,25,June,V-Shape,62,52.12,25.01,29.31,81.96,0.08,65.57,0.06,4.24,0.67
2024-06-18,05:45,25,June,V-Shape,62,75.37,25.27,30.15,81.7,0.11,65.36,0.09,6.12,0.67
2024-06-18,06:00,25,June,V-Shape,62,98.63,25.53,31.0,81.43,0.15,65.14,0.12,7.99,0.67
2024-06-18,06:15,25,June,V-Shape,62,142.44,25.89,32.45,80.97,0.21,64.77,0.18,11.49,0.67
2024-06-18,06:30,25,June,V-Shape,62,186.26,26.25,33.91,80.51,0.28,64.41,0.23,14.96,0.67
2024-06-18,06:45,25,June,V-Shape,62,230.08,26.61,35.36,80.05,0.34,64.04,0.29,18.4,0.67
2024-06-18,07:00,25,June,V-Shape,62,273.89,26.97,36.82,79.59,0.41,63.67,0.34,21.81,0.67
2024-06-18,07:15,25,June,V-Shape,62,323.08,27.48,38.55,79.04,0.48,63.23,0.4,25.59,0.67
2024-06-18,07:30,25,June,V-Shape,62,372.27,27.98,40.29,78.49,0.56,62.79,0.47,29.34,0.67
2024-06-18,07:45,25,June,V-Shape,62,421.45,28.49,42.03,77.94,0.63,62.35,0.53,33.04,0.67
2024-06-18,08:00,25,June,V-Shape,62,470.64,29.0,43.77,77.39,0.71,61.91,0.59,36.69,0.67
2024-06-18,08:15,25,June,V-Shape,62,500.32,29.45,44.96,77.01,0.75,61.61,0.63,38.86,0.67
2024-06-18,08:30,25,June,V-Shape,62,530.0,29.91,46.16,76.63,0.8,61.3,0.67,41.01,0.67
2024-06-18,08:45,25,June,V-Shape,62,559.68,30.37,47.36,76.25,0.84,61.0,0.71,43.15,0.67
2024-06-18,09:00,25,June,V-Shape,62,589.37,30.82,48.55,75.87,0.89,60.7,0.75,45.26,0.67
2024-06-18,09:15,25,June,V-Shape,62,605.09,31.2,49.33,75.62,0.91,60.5,0.77,46.35,0.67
2024-06-18,09:30,25,June,V-Shape,62,620.82,31.58,50.1,75.38,0.94,60.3,0.79,47.44,0.67
2024-06-18,09:45,25,June,V-Shape,62,636.55,31.96,50.87,75.14,0.96,60.11,0.81,48.52,0.67
2024-06-18,10:00,25,June,V-Shape,62,652.28,32.34,51.65,74.89,0.99,59.91,0.83,49.6,0.67
2024-06-18,10:15,25,June,V-Shape,62,658.83,32.61,52.08,74.75,1.0,59.8,0.84,50.02,0.67
2024-06-18,10:30,25,June,V-Shape,62,665.37,32.89,52.52,74.61,1.01,59.69,0.85,50.45,0.67
2024-06-18,10:45,25,June,V-Shape,62,671.91,33.16,52.96,74.48,1.02,59.58,0.85,50.87,0.67
2024-06-18,11:00,25,June,V-Shape,62,678.46,33.43,53.39,74.34,1.03,59.47,0.86,51.29,0.67
2024-06-18,11:15,25,June,V-Shape,62,682.51,33.55,53.61,74.27,1.04,59.41,0.87,51.56,0.67
2024-06-18,11:30,25,June,V-Shape,62,686.56,33.66,53.83,74.2,1.04,59.36,0.87,51.83,0.67
2024-06-18,11:45,25,June,V-Shape,62,690.61,33.78,54.05,74.13,1.05,59.3,0.88,52.1,0.67
2024-06-18,12:00,25,June,V-Shape,62,694.66,33.9,54.27,74.06,1.06,59.25,0.88,52.37,0.67
2024-06-18,12:15,25,June,V-Shape,62,666.66,33.91,53.58,74.28,1.01,59.42,0.85,50.37,0.67
2024-06-18,12:30,25,June,V-Shape,62,638.65,33.92,52.89,74.5,0.97,59.6,0.81,48.36,0.67
2024-06-18,12:45,25,June,V-Shape,62,610.65,33.93,52.2,74.72,0.93,59.77,0.78,46.35,0.67
2024-06-18,13:00,25,June,V-Shape,62,582.64,33.94,51.51,74.93,0.88,59.95,0.74,44.32,0.67
2024-06-18,13:15,25,June,V-Shape,62,566.97,33.82,51.0,75.1,0.86,60.08,0.72,43.2,0.67
2024-06-18,13:30,25,June,V-Shape,62,551.3,33.7,50.49,75.26,0.83,60.21,0.7,42.08,0.67
2024-06-18,13:45,25,June,V-Shape,62,535.63,33.59,49.98,75.42,0.81,60.33,0.68,40.95,0.67
2024-06-18,14:00,25,June,V-Shape,62,519.96,33.47,49.47,75.58,0.79,60.46,0.66,39.81,0.67
2024-06-18,14:15,25,June,V-Shape,62,475.4,33.29,48.17,75.99,0.72,60.79,0.6,36.55,0.67
2024-06-18,14:30,25,June,V-Shape,62,430.84,33.11,46.88,76.4,0.65,61.12,0.54,33.26,0.67
2024-06-18,14:45,25,June,V-Shape,62,386.28,32.92,45.58,76.81,0.58,61.45,0.49,29.95,0.67
2024-06-18,15:00,25,June,V-Shape,62,341.72,32.74,44.28,77.22,0.51,61.78,0.43,26.6,0.67
2024-06-18,15:15,25,June,V-Shape,62,303.92,32.45,43.05,77.61,0.46,62.09,0.38,23.75,0.67
2024-06-18,15:30,25,June,V-Shape,62,266.12,32.16,41.81,78.0,0.4,62.4,0.33,20.87,0.67
2024-06-18,15:45,25,June,V-Shape,62,228.32,31.87,40.58,78.4,0.34,62.72,0.29,17.98,0.67
2024-06-18,16:00,25,June,V-Shape,62,190.52,31.58,39.34,78.79,0.29,63.03,0.24,15.06,0.67
2024-06-18,16:15,25,June,V-Shape,62,155.97,31.12,38.02,79.2,0.23,63.36,0.2,12.38,0.67
2024-06-18,16:30,25,June,V-Shape,62,121.42,30.66,36.7,79.62,0.18,63.7,0.15,9.67,0.67
2024-06-18,16:45,25,June,V-Shape,62,86.87,30.21,35.38,80.04,0.13,64.03,0.11,6.95,0.67
2024-06-18,17:00,25,June,V-Shape,62,52.32,29.75,34.06,80.46,0.08,64.37,0.07,4.2,0.67
2024-06-18,17:15,25,June,V-Shape,62,39.24,29.36,33.34,80.69,0.06,64.55,0.05,3.16,0.67
2024-06-18,17:30,25,June,V-Shape,62,26.16,28.96,32.61,80.92,0.04,64.73,0.03,2.11,0.67
2024-06-18,17:45,25,June,V-Shape,62,13.08,28.57,31.89,81.15,0.02,64.92,0.02,1.06,0.67
2024-06-19,05:15,25,June,V-Shape,62,27.28,24.94,28.62,82.18,0.04,65.75,0.03,2.23,0.67
2024-06-19,05:30,25,June,V-Shape,62,49.58,25.11,29.35,81.95,0.07,65.56,0.06,4.04,0.67
2024-06-19,05:45,25,June,V-Shape,62,71.87,25.29,30.08,81.72,0.11,65.38,0.09,5.84,0.67
2024-06-19,06:00,25,June,V-Shape,62,94.16,25.46,30.81,81.49,0.14,65.19,0.12,7.63,0.67
2024-06-19,06:15,25,June,V-Shape,62,130.83,25.76,32.03,81.1,0.19,64.88,0.16,10.57,0.67
2024-06-19,06:30,25,June,V-Shape,62,167.49,26.06,33.25,80.72,0.25,64.57,0.21,13.48,0.67
2024-06-19,06:45,25,June,V-Shape,62,204.15,26.36,34.46,80.33,0.3,64.27,0.25,16.37,0.67
2024-06-19,07:00,25,June,V-Shape,62,240.82,26.66,35.68,79.95,0.36,63.96,0.3,19.24,0.67
2024-06-19,07:15,25,June,V-Shape,62,282.26,27.1,37.15,79.48,0.42,63.58,0.35,22.46,0.67
2024-06-19,07:30,25,June,V-Shape,62,323.7,27.54,38.63,79.01,0.48,63.21,0.41,25.64,0.67
2024-06-19,07:45,25,June,V-Shape,62,365.15,27.97,40.1,78.55,0.55,62.84,0.46,28.79,0.67
2024-06-19,08:00,25,June,V-Shape,62,406.59,28.41,41.57,78.08,0.61,62.46,0.51,31.92,0.67
2024-06-19,08:15,25,June,V-Shape,62,429.79,28.85,42.59,77.76,0.65,62.21,0.54,33.63,0.67
2024-06-19,08:30,25,June,V-Shape,62,452.99,29.29,43.61,77.43,0.68,61.95,0.57,35.33,0.67
2024-06-19,08:45,25,June,V-Shape,62,476.18,29.73,44.63,77.11,0.72,61.69,0.6,37.02,0.67
2024-06-19,09:00,25,June,V-Shape,62,499.38,30.17,45.65,76.79,0.75,61.43,0.63,38.7,0.67
2024-06-19,09:15,25,June,V-Shape,62,524.53,30.52,46.63,76.48,0.79,61.18,0.66,40.53,0.67
2024-06-19,09:30,25,June,V-Shape,62,549.69,30.87,47.61,76.17,0.83,60.94,0.69,42.34,0.67
2024-06-19,09:45,25,June,V-Shape,62,574.84,31.21,48.58,75.86,0.87,60.69,0.73,44.14,0.67
2024-06-19,10:00,25,June,V-Shape,62,599.99,31.56,49.56,75.55,0.91,60.44,0.76,45.93,0.67
2024-06-19,10:15,25,June,V-Shape,62,608.17,31.83,50.04,75.4,0.92,60.32,0.77,46.48,0.67
2024-06-19,10:30,25,June,V-Shape,62,616.35,32.1,50.51,75.25,0.93,60.2,0.78,47.04,0.67
