Date,Time,ISO_Week,Month,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-08-05,05:15,32,August,Inverted-V,62,20.13,26.05,28.56,82.2,0.03,65.76,0.02,1.64,0.67
2024-08-05,05:30,32,August,Inverted-V,62,40.27,26.19,29.2,82.0,0.06,65.6,0.05,3.28,0.67
2024-08-05,05:45,32,August,Inverted-V,62,60.4,26.33,29.84,81.8,0.09,65.44,0.08,4.91,0.67
2024-08-05,06:00,32,August,Inverted-V,62,80.54,26.46,30.47,81.59,0.12,65.28,0.1,6.53,0.67
2024-08-05,06:15,32,August,Inverted-V,62,120.75,26.79,31.81,81.17,0.18,64.94,0.15,9.76,0.67
2024-08-05,06:30,32,August,Inverted-V,62,160.97,27.12,33.15,80.75,0.24,64.6,0.2,12.96,0.67
2024-08-05,06:45,32,August,Inverted-V,62,201.19,27.46,34.49,80.32,0.3,64.26,0.25,16.13,0.67
2024-08-05,07:00,32,August,Inverted-V,62,241.4,27.79,35.83,79.9,0.36,63.92,0.3,19.28,0.67
2024-08-05,07:15,32,August,Inverted-V,62,284.67,28.2,37.32,79.43,0.43,63.54,0.36,22.64,0.67
2024-08-05,07:30,32,August,Inverted-V,62,327.94,28.62,38.81,78.95,0.49,63.16,0.41,25.96,0.67
2024-08-05,07:45,32,August,Inverted-V,62,371.2,29.03,40.31,78.48,0.56,62.78,0.47,29.25,0.67
2024-08-05,08:00,32,August,Inverted-V,62,414.47,29.44,41.8,78.01,0.62,62.41,0.52,32.51,0.67
2024-08-05,08:15,32,August,Inverted-V,62,472.92,29.9,43.72,77.4,0.71,61.92,0.6,36.88,0.67
2024-08-05,08:30,32,August,Inverted-V,62,531.37,30.36,45.64,76.79,0.8,61.43,0.67,41.19,0.67
2024-08-05,08:45,32,August,Inverted-V,62,589.82,30.81,47.56,76.19,0.89,60.95,0.75,45.44,0.67
