Date,Time,ISO_Week,Month,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-10-21,05:15,43,October,Flat,77,15.53,25.51,25.9,83.04,0.02,66.44,0.02,1.28,0.67
2024-10-21,05:30,43,October,Flat,77,28.79,25.59,26.31,82.91,0.04,66.33,0.04,2.36,0.67
2024-10-21,05:45,43,October,Flat,77,42.05,25.68,26.73,82.78,0.06,66.22,0.05,3.45,0.67
2024-10-21,06:00,43,October,Flat,77,55.3,25.77,27.15,82.65,0.08,66.12,0.07,4.53,0.67
2024-10-21,06:15,43,October,Flat,77,84.34,26.05,28.15,82.33,0.12,65.86,0.1,6.89,0.67
2024-10-21,06:30,43,October,Flat,77,113.38,26.32,29.15,82.01,0.17,65.61,0.14,9.23,0.67
2024-10-21,06:45,43,October,Flat,77,142.41,26.59,30.16,81.7,0.21,65.36,0.18,11.56,0.67
2024-10-21,07:00,43,October,Flat,77,171.45,26.87,31.16,81.38,0.25,65.1,0.21,13.88,0.67
2024-10-21,07:15,43,October,Flat,77,202.31,27.23,32.29,81.02,0.3,64.82,0.25,16.33,0.67
2024-10-21,07:30,43,October,Flat,77,233.16,27.6,33.43,80.66,0.35,64.53,0.29,18.76,0.67
2024-10-21,07:45,43,October,Flat,77,264.02,27.96,34.57,80.3,0.39,64.24,0.33,21.17,0.67
2024-10-21,08:00,43,October,Flat,77,294.88,28.33,35.7,79.94,0.44,63.95,0.37,23.56,0.67
2024-10-21,08:15,43,October,Flat,77,340.26,28.65,37.16,79.48,0.51,63.58,0.43,27.07,0.67
2024-10-21,08:30,43,October,Flat,77,385.64,28.97,38.61,79.02,0.58,63.21,0.48,30.55,0.67
2024-10-21,08:45,43,October,Flat,77,431.02,29.29,40.07,78.56,0.65,62.85,0.54,33.99,0.67
2024-10-21,09:00,43,October,Flat,77,476.4,29.61,41.52,78.1,0.71,62.48,0.6,37.4,0.67
2024-10-21,09:15,43,October,Flat,77,500.4,29.76,42.27,77.86,0.75,62.29,0.63,39.19,0.67
2024-10-21,09:30,43,October,Flat,77,524.4,29.91,43.02,77.62,0.79,62.1,0.66,40.98,0.67
2024-10-21,09:45,43,October,Flat,77,548.4,30.05,43.76,77.39,0.82,61.91,0.69,42.76,0.67
2024-10-21,10:00,43,October,Flat,77,572.4,30.2,44.51,77.15,0.86,61.72,0.72,44.52,0.67
2024-10-21,10:15,43,October,Flat,77,589.06,30.3,45.03,76.99,0.89,61.59,0.74,45.75,0.67
2024-10-21,10:30,43,October,Flat,77,605.72,30.41,45.55,76.82,0.91,61.46,0.76,46.96,0.67
2024-10-21,10:45,43,October,Flat,77,622.39,30.51,46.07,76.66,0.94,61.33,0.79,48.18,0.67
2024-10-21,11:00,43,October,Flat,77,639.05,30.61,46.59,76.49,0.96,61.19,0.81,49.38,0.67
2024-10-21,11:15,43,October,Flat,77,631.47,30.67,46.45,76.53,0.95,61.23,0.8,48.82,0.67
2024-10-21,11:30,43,October,Flat,77,623.9,30.73,46.32,76.58,0.94,61.26,0.79,48.25,0.67
2024-10-21,11:45,43,October,Flat,77,616.33,30.78,46.19,76.62,0.93,61.29,0.78,47.69,0.67
