Month,Flat_POA,V_Shape_POA,Inv_V_POA,GHI,Cloud%,Winner
1,134299.4,147522.1,138245.5,155250.1,45.1,146
2,122816.3,134659.3,126116.0,141658.0,45.4,132
3,138739.2,152674.7,143210.8,160678.9,45.0,141
4,129426.2,141936.9,132939.9,149381.1,45.3,140
5,138022.8,151900.3,142530.9,159899.2,44.5,144
6,59771.6,60621.9,55211.6,64364.6,84.5,236
7,53019.2,53635.3,48785.5,56941.6,84.2,256
8,57339.3,58070.1,52844.3,61655.1,85.0,250
9,103945.0,114367.9,107350.6,120463.7,44.8,137
10,119353.8,131005.6,122848.6,138057.4,45.6,151
11,121721.3,133197.6,124670.3,140132.3,46.3,142
12,128783.3,141165.1,132235.8,148589.1,45.5,145
