Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-09-01,05:15,Flat,62,Se-P,23.5,24.4,29.0,82.06,0.03,65.65,0.03,1.9,0.67
2024-09-01,05:30,Flat,62,Se-P,47.0,24.6,29.8,81.81,0.07,65.45,0.06,3.8,0.67
2024-09-01,05:45,Flat,62,Se-P,70.6,24.8,30.6,81.56,0.1,65.25,0.09,5.7,0.67
2024-09-01,06:00,Flat,62,Se-P,94.1,25.0,31.4,81.31,0.14,65.05,0.12,7.6,0.67
2024-09-01,06:15,Flat,62,Se-P,133.1,25.3,32.7,80.9,0.2,64.72,0.17,10.7,0.67
2024-09-01,06:30,Flat,62,Se-P,172.1,25.6,33.9,80.5,0.26,64.4,0.21,13.8,0.67
2024-09-01,06:45,Flat,62,Se-P,211.1,26.0,35.2,80.09,0.31,64.07,0.26,16.9,0.67
2024-09-01,07:00,Flat,62,Se-P,250.1,26.3,36.5,79.68,0.37,63.75,0.31,19.9,0.67
2024-09-01,07:15,Flat,62,Se-P,299.6,26.7,38.2,79.14,0.45,63.31,0.38,23.8,0.67
2024-09-01,07:30,Flat,62,Se-P,349.0,27.2,40.0,78.59,0.52,62.87,0.44,27.5,0.67
2024-09-01,07:45,Flat,62,Se-P,398.5,27.7,41.7,78.04,0.6,62.44,0.5,31.3,0.67
2024-09-01,08:00,Flat,62,Se-P,448.0,28.2,43.4,77.5,0.67,62.0,0.56,35.0,0.67
2024-09-01,08:15,Flat,62,Se-P,471.2,28.7,44.5,77.15,0.71,61.72,0.59,36.7,0.67
2024-09-01,08:30,Flat,62,Se-P,494.4,29.2,45.6,76.81,0.74,61.45,0.62,38.3,0.67
2024-09-01,08:45,Flat,62,Se-P,517.7,29.7,46.7,76.46,0.78,61.17,0.65,40.0,0.67
2024-09-01,09:00,Flat,62,Se-P,540.9,30.3,47.8,76.11,0.82,60.89,0.68,41.6,0.67
2024-09-01,09:15,Flat,62,Se-P,561.2,30.7,48.7,75.82,0.85,60.66,0.71,43.1,0.67
2024-09-01,09:30,Flat,62,Se-P,581.6,31.1,49.6,75.54,0.88,60.43,0.74,44.5,0.67
2024-09-01,09:45,Flat,62,Se-P,601.9,31.5,50.5,75.25,0.91,60.2,0.76,45.9,0.67
2024-09-01,10:00,Flat,62,Se-P,622.2,31.9,51.4,74.96,0.94,59.97,0.79,47.3,0.67
2024-09-01,10:15,Flat,62,Se-P,607.6,32.1,51.3,74.99,0.92,59.99,0.77,46.2,0.67
2024-09-01,10:30,Flat,62,Se-P,593.0,32.4,51.2,75.02,0.9,60.01,0.75,45.1,0.67
2024-09-01,10:45,Flat,62,Se-P,578.4,32.7,51.1,75.05,0.88,60.04,0.73,44.0,0.67
2024-09-01,11:00,Flat,62,Se-P,563.8,33.0,51.1,75.08,0.85,60.06,0.72,42.9,0.67
2024-09-01,11:15,Flat,62,Se-P,541.4,33.1,50.6,75.21,0.82,60.17,0.69,41.3,0.67
2024-09-01,11:30,Flat,62,Se-P,519.0,33.3,50.2,75.34,0.79,60.27,0.66,39.6,0.67
2024-09-01,11:45,Flat,62,Se-P,496.7,33.4,49.8,75.47,0.75,60.37,0.63,38.0,0.67
2024-09-01,12:00,Flat,62,Se-P,474.4,33.6,49.4,75.6,0.72,60.48,0.6,36.3,0.67
2024-09-01,12:15,Flat,62,Se-P,447.3,33.6,48.8,75.81,0.68,60.65,0.57,34.3,0.67
2024-09-01,12:30,Flat,62,Se-P,420.2,33.6,48.1,76.02,0.63,60.81,0.53,32.3,0.67
2024-09-01,12:45,Flat,62,Se-P,393.1,33.6,47.4,76.23,0.59,60.98,0.5,30.3,0.67
2024-09-01,13:00,Flat,62,Se-P,366.0,33.6,46.8,76.44,0.55,61.15,0.46,28.3,0.67
2024-09-01,13:15,Flat,62,Se-P,371.4,33.5,46.8,76.44,0.56,61.15,0.47,28.7,0.67
2024-09-01,13:30,Flat,62,Se-P,376.9,33.3,46.8,76.44,0.57,61.15,0.48,29.1,0.67
2024-09-01,13:45,Flat,62,Se-P,382.3,33.2,46.8,76.44,0.58,61.15,0.48,29.5,0.67
2024-09-01,14:00,Flat,62,Se-P,387.8,33.1,46.8,76.44,0.58,61.15,0.49,29.9,0.67
2024-09-01,14:15,Flat,62,Se-P,358.8,32.8,45.8,76.75,0.54,61.4,0.45,27.8,0.67
2024-09-01,14:30,Flat,62,Se-P,329.9,32.6,44.8,77.05,0.5,61.64,0.42,25.6,0.67
2024-09-01,14:45,Flat,62,Se-P,301.0,32.3,43.8,77.36,0.45,61.89,0.38,23.5,0.67
2024-09-01,15:00,Flat,62,Se-P,272.1,32.1,42.9,77.67,0.41,62.14,0.34,21.3,0.67
2024-09-01,15:15,Flat,62,Se-P,240.0,31.7,41.7,78.03,0.36,62.42,0.3,18.8,0.67
2024-09-01,15:30,Flat,62,Se-P,207.9,31.4,40.6,78.39,0.31,62.71,0.26,16.4,0.67
2024-09-01,15:45,Flat,62,Se-P,175.8,31.1,39.5,78.75,0.26,63.0,0.22,13.9,0.67
2024-09-01,16:00,Flat,62,Se-P,143.7,30.7,38.3,79.11,0.21,63.29,0.18,11.4,0.67
2024-09-01,16:15,Flat,62,Se-P,115.9,30.2,37.1,79.5,0.17,63.6,0.14,9.2,0.67
2024-09-01,16:30,Flat,62,Se-P,88.0,29.7,35.9,79.88,0.13,63.91,0.11,7.0,0.67
2024-09-01,16:45,Flat,62,Se-P,60.2,29.2,34.7,80.27,0.09,64.21,0.08,4.8,0.67
2024-09-01,17:00,Flat,62,Se-P,32.3,28.6,33.4,80.65,0.05,64.52,0.04,2.6,0.67
2024-09-01,17:15,Flat,62,Se-P,24.2,28.2,32.8,80.85,0.04,64.68,0.03,2.0,0.67
2024-09-01,17:30,Flat,62,Se-P,16.2,27.8,32.2,81.04,0.02,64.83,0.02,1.3,0.67
2024-09-01,17:45,Flat,62,Se-P,8.1,27.4,31.6,81.24,0.01,64.99,0.01,0.7,0.67
2024-09-02,05:15,Flat,62,Se-P,17.3,24.3,28.7,82.15,0.03,65.72,0.02,1.4,0.67
2024-09-02,05:30,Flat,62,Se-P,34.6,24.6,29.4,81.93,0.05,65.54,0.04,2.8,0.67
2024-09-02,05:45,Flat,62,Se-P,51.8,24.8,30.1,81.7,0.08,65.36,0.06,4.2,0.67
2024-09-02,06:00,Flat,62,Se-P,69.1,25.1,30.9,81.47,0.1,65.18,0.09,5.6,0.67
